0: [[9, 6, 3, 16], [5, 1, 2, 4], [8, 15], [7, 14, 11, 10], [13, 12, 19], [17, 18, 20, 22], [21, 23, 24]]
23: [[9, 6, 3, 16], [5], [1, 2, 4, 8, 15], [7, 14, 11, 10], [13, 12, 19, 17, 18], [20, 22, 21, 23, 24]]
24: [[9, 6, 3, 16], [5, 1, 2], [4, 8], [15, 7, 14, 11], [10, 13, 12], [19, 17, 18, 20], [22, 21, 23, 24]]
25: [[9, 6, 3, 16], [5, 1, 2], [4, 8], [15, 7, 14, 11], [10, 13, 12], [19, 17, 18, 20], [22, 21, 23, 24]]
26: [[9, 6, 3, 16], [5, 1, 2], [4, 8], [15, 7, 14, 11, 10], [13, 12, 19, 17, 18, 20, 22, 21], [23, 24]]
27: [[9, 6], [3, 16], [5, 1, 2], [4, 8], [15, 7, 14], [11, 10], [13, 12], [19, 17, 18, 20], [22, 21, 23, 24]]
28: [[9, 6], [3, 16], [5, 1, 2], [4, 8], [15, 7, 14], [11, 10], [13, 12], [19, 17, 18, 20], [22, 21, 23, 24]]
29: [[16, 5, 1, 9, 6], [2, 4, 8, 15, 7], [14, 11], [10, 13, 3], [12, 19, 17], [18, 20], [22, 21, 23, 24]]
30: [[16], [5, 1, 9, 6], [2, 4, 8], [15, 7, 14], [11, 10, 13, 3], [12, 19, 17], [18, 20, 22], [21, 23, 24]]
31: [[9, 5, 1, 6], [2, 4, 8, 16], [15, 7], [14, 11], [10, 13, 3], [12, 19, 17], [18, 20, 22], [21, 23, 24]]
32: [[16, 5, 6, 3], [1, 2, 4, 9], [8, 15, 7], [14, 11, 10], [13, 12, 19, 17], [18, 20, 22, 21, 23, 24]]
33: [[9], [5], [1, 2, 4, 8], [15, 7, 14, 6], [11, 10, 13, 3, 16], [12, 19], [17, 18, 20], [22, 21], [23, 24]]
34: [[16, 5, 1], [2, 4, 8, 9], [15, 7], [14, 11], [10, 13, 6, 3], [12, 19], [17, 18, 20], [22, 21, 23, 24]]
35: [[3, 16, 5, 9, 6], [1, 2, 4], [8, 15, 7, 14, 11], [10, 13, 12, 19, 17, 18, 20, 22, 21, 23, 24]]
36: [[16], [5, 1, 9, 6], [2, 4, 8], [15, 7], [14, 11], [10, 13, 12, 3], [19, 17], [18, 20], [22, 21, 23, 24]]
37: [[9, 6, 3, 16], [5, 1, 2], [4, 8, 15], [7, 14], [11, 10, 13, 12], [19, 17, 18, 20, 22, 21, 23, 24]]
38: [[3, 16, 5, 6], [1, 2, 4], [8, 15, 7, 14, 9], [11, 10, 13], [12, 19, 17, 18, 20, 22, 21, 23, 24]]
39: [[9, 6, 3, 16, 5, 1, 2, 4], [8, 15, 7, 14], [11, 10, 13, 12, 19, 17, 18, 20, 22, 21, 23, 24]]
40: [[9, 6], [3, 16], [5, 1, 2], [4, 8, 15, 7], [14, 11, 10], [13, 12, 19, 17, 18, 20, 22, 21, 23, 24]]
41: [[16, 5], [1, 2, 4, 9], [8, 15, 7, 14], [11, 10, 13, 6, 3], [12, 19, 17, 18, 20, 22, 21, 23, 24]]
42: [[16, 5, 1, 3], [2, 4, 8, 9], [15, 7, 14, 11, 6], [10, 13, 12, 19, 17], [18, 20, 22], [21, 23], [24]]
43: [[9, 6], [3, 16], [5, 1, 2], [4, 8, 15, 7, 14, 11, 10, 13, 12, 19, 17, 18, 20, 22, 21, 23, 24]]
44: [[16], [5, 1, 9, 6], [2, 4], [8, 15], [7, 14], [11, 10, 13, 3], [12, 19, 17, 18], [20, 22, 21, 23], [24]]
45: [[3, 16], [5, 1, 2], [4, 8, 9, 6], [15, 7, 14, 11, 10, 13, 12, 19, 17, 18, 20, 22, 21, 23, 24]]
46: [[9], [5], [1, 2, 4, 8], [15, 7, 14, 6], [11, 10, 13, 3, 16], [12, 19], [17, 18, 20, 22, 21, 23, 24]]
47: [[16, 5, 1, 3], [2, 4, 8, 9], [15, 7, 14, 11, 6], [10, 13, 12], [19, 17, 18, 20, 22, 21, 23, 24]]
48: [[9, 6], [3, 16], [5, 1, 2], [4, 8], [15, 7], [14, 11, 10, 13], [12, 19, 17, 18, 20, 22, 21, 23, 24]]
49: [[9, 6], [3, 16, 5], [1, 2, 4, 8], [15, 7, 14], [11, 10, 13, 12, 19, 17, 18, 20, 22, 21, 23, 24]]
