0: [[5, 3, 19, 20, 6, 1, 2, 10], [12, 14, 4, 13, 11, 7, 9, 8, 15], [25], [16, 23, 22, 18, 29, 17], [27, 26, 21], [24, 28]]
30: [[5, 3, 19, 20], [2, 1, 6, 10, 12, 13, 8], [4, 7, 9, 14, 11, 15], [17, 16], [21, 22, 18, 23, 29, 24, 28, 26, 27, 25]]
31: [[5, 3, 19, 20, 6, 1, 7, 8, 10], [4, 11, 9], [2, 13, 15, 12], [25, 22, 16, 18, 29, 17, 23, 21, 26, 27, 24, 28, 14]]
32: [[5, 3], [19, 20, 2, 1, 10], [6, 4, 15], [7, 13, 11, 8, 9, 12, 14, 17, 16, 22, 23, 18, 21, 24, 27, 26, 25, 29, 28]]
33: [[5], [3, 19, 20, 6, 10], [1, 2, 4, 13, 11, 12], [7, 15], [8, 25, 9, 14, 16], [18, 22, 23], [21, 17, 27, 24, 26, 28, 29]]
34: [[5, 3, 19, 20, 2, 1, 4, 15, 12], [7, 8], [14, 6, 9, 11, 10, 13, 17, 16, 23, 18, 22, 29, 25, 26, 27, 21, 24, 28]]
35: [[5], [3, 19, 20, 10, 1], [14, 2, 6, 4], [7, 9, 8, 15, 12, 11], [13, 17], [16, 21, 22, 18, 23, 25, 27], [26, 24, 29, 28]]
36: [[5, 3, 19, 20, 2], [1], [7, 6, 4, 12], [14, 8, 9, 10, 13, 11, 15, 17, 16, 23, 18, 22, 21, 29, 27, 24, 25, 28, 26]]
37: [[5, 3, 19, 20, 6, 1, 2, 7], [4, 11, 8, 13, 9, 10], [12, 14], [15, 17, 16, 22, 18, 21, 29, 23, 24, 25, 26, 28, 27]]
38: [[5, 3, 19, 20, 2, 1, 6, 11], [13, 4, 7, 10], [15, 8, 9, 14, 12, 25, 16, 18, 17, 21, 22, 23, 27, 24, 26, 29, 28]]
39: [[5, 3, 19, 20, 2], [1, 13, 6, 4, 7, 12, 14], [8, 11, 15, 9, 10, 17, 18, 22, 21, 16, 29, 23, 27, 26, 25, 24, 28]]
40: [[5, 3], [19, 20, 2, 1, 14, 7, 6, 12, 8, 4, 15, 11, 10, 9, 13, 25, 16, 22, 17, 18, 28, 21, 27, 23, 29], [24, 26]]
41: [[5, 3, 19, 20, 2, 1, 4], [13, 12, 7, 6, 14, 8], [9, 11, 10, 15, 17, 18, 23, 25, 16, 21, 29, 22, 26, 24, 27, 28]]
42: [[5, 3, 19, 20, 2, 1, 10, 11, 12], [6, 4], [14], [15, 13, 9, 8, 18, 17, 16, 23, 7, 24, 21, 25, 22, 27, 28, 26, 29]]
43: [[5, 3, 19], [20, 6, 1, 2, 10, 7, 8, 12, 15, 11, 4, 9, 14, 13, 24, 18, 16, 22, 17, 21, 23, 25, 26, 27], [29, 28]]
44: [[5, 3, 19], [20, 8, 1, 6, 7, 12, 4, 10, 2, 15, 14, 9, 11, 13, 25, 16, 23, 18, 22, 21, 17, 26, 24], [27, 28, 29]]
45: [[5, 3, 19, 20, 11], [1, 6, 2, 13, 4, 14], [8, 12, 7, 9, 10, 15, 25, 16, 17, 22, 18, 29, 21, 23, 27, 28, 26, 24]]
46: [[5, 3, 19], [20, 15, 9, 2, 1, 12, 6, 4, 7, 14, 8, 10, 13, 11, 25, 16, 17, 22, 18, 21, 23, 24, 27, 29], [26, 28]]
47: [[5, 3, 19, 20, 2], [1], [4, 7, 8, 6, 11, 13, 12], [9, 10, 14, 15, 17], [16], [23, 18, 22, 21, 24, 26, 25, 27, 28, 29]]
48: [[5, 3, 19, 20, 6, 1], [2, 10, 13], [14, 4], [7, 15, 8, 9, 11, 12, 25, 16, 17, 23, 18, 22, 29, 27, 24, 21, 26, 28]]
49: [[5, 3, 19, 20], [6, 1], [2, 4, 13, 8], [7], [15, 9, 14, 11], [10, 12, 17, 16], [22, 23], [18, 25, 21, 26], [27, 28, 24, 29]]
50: [[5, 3, 19, 20], [2], [1, 9, 15, 4, 12, 6, 7], [8, 10, 13, 14], [11, 17, 18, 21, 22, 16, 29], [23], [27, 24, 25, 26, 28]]
51: [[5, 3, 19, 20], [2, 1], [6, 10, 4, 7, 12], [8], [9, 15, 13, 14, 11], [17, 18, 21, 16], [22, 29, 23, 27, 26, 28], [24, 25]]
52: [[5, 3, 19, 20], [2, 1, 4, 10, 12, 7, 15], [8], [9, 6, 13], [14, 11, 17, 22, 16, 18, 21, 29, 23, 24, 26, 28, 25, 27]]
53: [[5, 3, 19, 20], [2, 1, 4], [14, 15, 8, 12, 7], [6, 9, 13, 10], [11, 24, 16], [17, 22, 18, 23], [21], [27, 25, 29, 28, 26]]
54: [[5, 3, 19, 20, 2], [1], [13, 6], [4, 7, 12, 9, 15], [8], [14, 10, 11, 17], [16, 23], [18, 21, 29, 22, 27, 26], [25, 24, 28]]
55: [[5, 3, 19], [20, 2, 1, 6, 7], [4, 8, 12, 9, 11], [10, 13, 14, 15, 24], [16, 18, 27, 25, 17], [22, 21], [23, 29, 26, 28]]
56: [[5, 3, 19, 20], [10, 1], [6], [14, 8, 4, 11, 9, 7], [2, 13, 12, 15, 25, 16, 23], [17, 18, 29, 28], [22, 26, 21, 24, 27]]
57: [[5], [3, 19, 20, 2, 1], [4], [6, 7, 10, 13, 8, 14], [9, 11, 12, 15, 17, 16], [23, 21], [18, 29, 28, 27, 26], [25, 24, 22]]
58: [[5, 3, 19], [20], [6, 1, 2, 14, 12, 4, 7], [13, 11, 8], [15, 24, 9], [16, 10, 23, 17], [18, 21, 22, 25, 27, 29, 28, 26]]
59: [[5, 3, 19, 20], [6, 1], [10, 9, 12, 7], [4, 2, 8, 11, 13, 15, 14], [17, 18, 21, 23, 16, 25, 29], [22, 24, 28, 26, 27]]
