0: [[35, 7, 2], [4, 3, 1], [13, 5, 6, 21], [8, 27, 9, 14, 30, 12, 17, 15, 16, 11, 10], [19, 23, 22], [28, 26, 20, 24, 25, 31, 29, 60, 36, 32, 33, 37], [38, 44, 47, 34, 40, 43, 18], [46], [41, 52, 39], [50, 42, 53, 45], [56, 55, 48], [57, 49], [51, 54, 58, 59]]
12: [[35, 7, 2], [4, 3, 1], [13, 21, 5, 6], [12, 11, 24], [14, 9, 27, 10, 26, 18, 28, 20, 19, 8, 17, 15, 23, 16, 29, 22, 31, 30, 25, 37, 34, 32, 33, 39, 36, 38, 40, 44, 46, 45, 41, 42, 43, 47, 48, 49, 50, 51, 54, 60, 52, 55, 53, 56, 59, 57, 58]]
13: [[35, 7, 2], [4, 3, 1], [13, 21, 6, 5], [8, 12, 11, 10, 9, 30, 24], [15, 31, 16, 25, 19, 14, 17, 23, 18, 22, 20, 28, 26, 27, 29, 36, 33, 37, 34, 38, 42, 32, 45, 41, 47, 40, 43, 44, 46, 49, 39, 50, 52, 51, 53, 48, 54, 57, 55, 58, 59, 60, 56]]
14: [[35, 7, 2], [4, 3, 1], [13, 21, 6, 5], [8, 27, 15, 14, 9, 18, 25, 12, 16, 11, 10], [17, 19, 26], [28, 31, 20, 24, 22, 29, 23, 60, 37, 32, 30, 33], [41, 36, 47, 42, 43, 40, 38], [46, 45, 52, 39, 50, 34, 48, 44, 59, 49, 54, 55, 53, 51, 56, 57, 58]]
15: [[35, 7, 2], [4, 3, 1], [13, 21, 6, 5], [8, 12, 11, 10, 9, 30, 24], [15, 31, 16, 25, 19, 14, 17, 23, 18, 22, 20, 28, 26, 27, 29, 36, 33, 37, 34, 38, 42, 32, 45, 41, 47, 40, 43, 44, 46, 49, 39, 50, 52, 51, 53, 48, 54, 57, 55, 58, 59, 60, 56]]
16: [[35, 7, 2], [4, 3, 1], [13, 21, 6, 5, 8, 26, 11], [14, 12, 9, 10, 18, 16, 15, 23, 19, 22, 24, 17, 20, 25], [28, 29, 30, 27, 31], [37, 40, 36, 34, 52, 39, 32, 42, 33, 43, 38, 44, 47, 41, 45, 46], [48, 53, 50, 51, 55, 54, 49, 58, 56, 57, 59, 60]]
17: [[35, 7, 2], [4, 3], [1, 13, 21, 6], [5, 9, 10, 12, 28, 8, 14, 11, 18], [17, 22, 26, 15, 19, 16, 29, 23, 30, 20, 25, 24, 27, 31, 45, 48, 33, 38, 36, 32, 47, 37, 34, 40, 41, 39, 43, 44, 42, 51, 46, 60, 52, 49, 50, 54, 55, 58, 59, 57, 53, 56]]
18: [[35, 7, 2], [4, 3, 1], [13, 21, 5, 6], [8, 9, 14, 11, 15, 18, 10, 12, 17, 27, 22, 16], [19, 26, 20, 29, 23, 28, 24, 25, 30, 31, 37, 48], [36, 33, 32, 34, 38, 44, 39, 40, 46, 42, 45, 41, 47, 51, 52, 50, 59, 43, 49, 54, 55, 53, 57, 58, 60, 56]]
19: [[35, 7, 2], [4, 3, 1], [13, 21, 6, 5, 9, 10], [11, 8, 12, 28, 14, 15, 16, 18, 24, 26, 19, 17, 23, 22], [30, 29, 20, 27, 25, 31, 45, 32, 44, 33, 39, 34, 43, 38, 40, 36, 41, 37, 42, 58, 47, 46, 49, 52, 51, 48, 54, 60, 53, 59, 50, 55, 57, 56]]
20: [[35, 7, 2], [4, 3, 1], [13, 23, 8, 11, 5, 18, 21, 6], [9, 24, 25, 12, 26, 16, 27, 30, 15, 14, 17, 10], [22, 20, 28, 31, 19, 29, 33, 32, 37, 36], [38, 34, 46], [47, 44, 39, 42, 58, 40, 53, 45, 56, 49, 41, 57], [43, 52, 50, 54, 48, 51, 55, 59, 60]]
21: [[35, 7, 2], [4, 3, 1], [13, 21, 6], [5, 8, 9, 18], [12, 11, 31], [28, 29, 14, 24, 19, 26, 15, 10], [16, 23, 22, 20, 17, 25, 59, 27, 36, 33, 30, 34, 54, 42, 44, 45, 40, 37, 46, 41, 47, 43, 32, 38, 60, 49, 50, 39, 48, 52, 53, 51, 58, 56, 55, 57]]
22: [[35, 7, 2], [4, 3, 1], [13, 21, 5, 6], [9, 8, 14, 10, 11, 18, 12, 24, 17], [30, 15, 16, 19, 20, 23, 31, 22, 29, 25, 26, 27, 28, 37, 32, 41, 33, 38, 34], [36, 39, 44, 45, 47, 42, 43, 57], [46, 40, 49, 52, 48, 50, 51, 54, 53, 55, 58, 56, 59, 60]]
23: [[35, 7, 2], [4, 3, 1], [13, 21, 6], [5, 9, 15], [8, 14, 10, 11, 12, 31, 30, 17, 16, 26, 18, 23, 22, 27, 25, 20, 24, 19, 28, 29, 40, 32, 37, 42, 49, 38, 33, 34, 47, 46, 39, 36, 44, 48, 43, 45, 41, 51, 53, 56, 50, 54, 52], [55, 57, 58, 59, 60]]
24: [[35, 7, 2], [4, 3, 1, 13, 21, 8, 6, 12], [11, 30, 27, 15], [25, 5, 31, 29, 26, 18, 17, 9, 10, 14], [22, 19, 28], [16, 20, 23, 24, 37, 32, 33, 38, 34], [36, 39, 43, 41, 42, 47, 40, 45, 46, 44], [51, 49, 56, 48, 52, 53, 55, 57, 54, 58], [50, 59, 60]]
25: [[35, 7, 2], [4, 3, 1], [13, 21, 6], [5, 9, 15], [8, 14, 10, 11, 12, 31, 30, 17, 16, 26, 18, 23, 22, 27, 25, 20, 24, 19, 28, 29, 40, 32, 37, 42, 49, 38, 33, 34, 47, 46, 39, 36, 44, 48, 43, 45, 41, 51, 53, 56, 50, 54, 52], [55, 57, 58, 59, 60]]
26: [[35, 7, 2], [4, 3, 1], [13, 21, 6], [5, 8, 14, 15, 12, 9, 16, 27, 10], [11, 18, 23, 17, 22, 19, 24, 20, 25, 26, 31, 28, 29, 54, 37, 33, 36, 44, 30, 32, 41, 40, 34, 43, 47, 38, 42, 39, 59, 45, 46, 49, 58, 51, 50, 48, 55, 57, 53, 60, 52, 56]]
27: [[35, 7, 2], [4, 3, 1, 13, 21, 5, 6, 8, 9], [15, 11, 31, 30, 18, 28, 12, 27, 10, 16], [14, 17, 19, 20, 24, 22, 23, 25, 26, 29], [37, 50, 44], [33, 36, 32], [39, 34, 38, 40, 43], [42, 45, 41, 47, 51], [52, 46, 48, 55, 53, 49, 54, 59, 57, 58, 60, 56]]
28: [[35, 7, 2], [4, 3, 1], [13, 21, 6], [5, 9, 10], [8, 14, 12, 11, 19, 15, 22, 23, 16, 27, 18, 17, 20, 25, 28, 24, 30, 31, 26, 29, 40, 32, 33, 47, 51, 46, 34, 39, 45, 41, 42, 36, 37], [38, 43, 44, 49, 50, 53, 56, 54, 52, 55, 48, 57, 58, 59, 60]]
29: [[35, 7, 2], [4, 3, 1], [13, 21, 6, 5, 8, 28, 11], [14, 9, 27], [10, 22, 12, 15], [31, 19, 17, 16, 18, 23, 24], [20, 25, 30, 26, 29, 36, 32, 37, 34, 33, 47, 38, 46, 41, 39, 40, 42, 45, 43, 44, 48, 50, 53, 49, 51, 52, 54, 57, 55, 58, 59, 60, 56]]
30: [[35, 7, 2], [4, 3, 1], [13, 21, 6], [5, 8, 27], [9, 14, 12], [10, 29, 11], [26, 17, 18, 19, 15, 16], [22, 20, 24, 25, 31, 23, 30, 28, 33, 32, 37, 36, 41, 34, 40, 46, 42], [43, 39, 45, 44, 38, 47, 48, 59, 54, 53, 52, 50, 51, 55, 49, 58, 56, 57, 60]]
31: [[35, 7, 2], [4, 3, 1], [13, 5, 8, 30, 15, 9, 11, 12, 10, 21, 6], [16, 14], [25, 27, 17, 28, 19, 22, 20], [29, 31, 23, 24, 26, 41, 32, 38, 36, 39], [33, 44, 34, 40, 46, 42, 43, 45, 56, 47, 37, 50, 18], [48, 52, 51, 53, 55, 54, 49, 57, 58, 59, 60]]
32: [[35, 7, 2], [4, 3, 1, 13, 21, 6, 5, 8, 10, 11, 14, 9, 26, 12], [15, 20, 17, 18, 19], [22, 25, 23, 16, 24, 28, 29, 30, 27, 31, 36, 32, 37, 34, 52, 43], [38, 47, 33, 41, 42, 44, 45, 40, 46, 39, 48, 53], [51, 49, 50, 54, 57, 55, 56, 58, 59, 60]]
33: [[35, 7, 2], [4, 3, 1, 13, 21], [6, 5, 8, 11], [9, 10, 12, 29, 14, 23, 24, 27, 30], [18, 28, 15, 19, 16, 20, 17, 31, 26, 22, 25, 45, 32, 50, 39], [47, 37, 36, 40, 42, 38, 41, 33, 34, 44, 43, 48], [46, 51, 49, 53, 57, 52, 55, 59, 54], [56, 58, 60]]
34: [[35, 7, 2], [4, 3, 1, 13, 21, 6, 5, 8], [9, 11, 10, 28, 27, 30, 12, 16, 17, 19, 14, 18, 20, 15, 23], [24, 26, 25, 22, 29, 31, 41, 32, 33, 39, 53, 34, 36, 37, 38, 47, 44, 40, 46, 43, 42, 60, 52, 49, 54, 50, 45, 55, 48, 58, 56, 59, 57, 51]]
35: [[35, 7, 2, 4, 3, 1, 13, 21, 5, 6, 8, 12], [9, 14, 11, 15, 27, 10, 18, 16, 19, 17, 20, 22, 24, 25, 28, 33, 29, 31, 30, 26, 37, 32, 48, 34, 23, 36, 38, 46, 39, 41, 42, 40, 44, 43, 47, 45, 50, 58, 51, 55, 53, 52], [59, 49, 54, 57, 56, 60]]
36: [[35, 7, 2], [4, 3, 1], [13, 21, 5, 6], [8, 9, 12, 15], [14, 17, 10, 11, 19, 27, 18, 16], [22, 20, 23], [31, 26, 28, 24], [25, 29, 30, 37, 48, 34, 32, 39], [38, 33, 40, 36, 41], [47, 42, 44, 43, 45, 55, 60, 46, 51, 49, 50, 54, 52, 56, 57, 53, 58, 59]]
37: [[35, 7, 2], [4, 3, 1, 13, 21, 6, 14, 9, 27, 11, 10, 12], [24, 5, 8, 18, 15, 16, 23, 19, 22, 17], [20, 28, 25, 31, 26, 30, 29, 33, 32, 38, 36, 34, 37, 44, 39, 46, 41, 40, 42, 47, 50, 45, 52, 49, 51, 48, 43, 53, 55], [54, 56, 59, 58, 57, 60]]
38: [[35, 7, 2], [4, 3, 1], [13, 21, 6], [5, 8, 15, 9, 14, 10], [27, 11, 12, 18, 29, 16, 26, 19, 17, 23, 24, 20, 22, 25, 28, 30, 31], [40, 32, 33, 43, 51], [42, 36, 34, 37, 46, 39, 41, 45], [38, 44, 47, 57, 48], [53, 56, 50, 52, 54, 49, 55, 59, 58, 60]]
39: [[35, 7, 2], [4, 3, 1], [13, 21, 6, 5], [8, 11, 15], [14, 30, 12], [17, 9, 16], [10, 20, 19], [22, 18, 28, 27, 23, 24, 25, 31], [26, 29, 37, 32, 33], [45, 34, 38, 41, 42, 36, 40, 44], [47, 43, 48, 39, 51, 46, 52, 53, 60], [50, 49, 57, 55, 59, 54, 56, 58]]
40: [[35, 7, 2], [4, 3, 1], [13, 21, 6, 5, 8, 14, 9, 10], [11, 26, 12, 15, 28, 17, 16, 19, 18, 23, 22, 27, 24, 20, 29, 25, 30, 31, 40, 56, 37, 33, 44, 39, 41, 32, 36, 34, 47, 42, 43], [59, 60, 45, 49, 46, 38, 48, 51, 54], [52, 50, 57, 53, 55, 58]]
41: [[35, 7, 2], [4, 3, 1, 13, 21, 6, 5, 8, 25, 15, 10, 14], [12, 9, 11, 19, 16, 31, 17, 23, 18, 24, 26, 27], [28, 29, 30, 20, 22, 37, 48, 36, 32, 47, 34], [33, 39, 40, 43], [42, 46, 45, 44, 41, 38, 60, 52, 50, 53, 57, 54, 51, 55, 56, 49, 58, 59]]
42: [[35, 7, 2], [4, 3, 1, 13, 21, 6, 5, 8, 9, 27, 10, 12], [29, 14, 11, 28, 17, 18], [22, 30, 15, 19, 25, 20, 16, 31, 26, 23, 24, 45, 32, 43, 39], [47, 33, 44, 36, 40, 38, 37, 54, 41, 46, 42, 48], [34, 50, 51, 53, 49, 52, 55, 57, 58], [56, 59, 60]]
43: [[35, 7, 2], [4, 3, 1], [13, 21, 5, 14, 9, 6, 10], [30, 8, 11, 12, 15, 31, 18, 17, 16, 27, 19], [22, 20, 25, 28, 24, 23, 26, 29, 41, 32, 36, 38, 49, 39, 45, 34, 44, 46, 37, 40, 42, 43, 51, 33, 47, 48, 53, 50, 52, 54, 55, 57, 59, 56, 58, 60]]
44: [[35, 7, 2], [4, 3, 1], [13, 21, 5, 6], [8, 9, 30, 11, 12, 18, 10, 14, 17, 19, 20, 22], [15, 23, 16, 29, 31, 28, 24, 25, 26, 27, 41, 40], [37, 32, 36, 34, 33, 38, 39, 43, 46, 42, 45, 44, 47, 55, 48, 58, 50, 51, 49, 52, 59, 53, 57, 54, 60, 56]]
45: [[35, 7, 2], [4, 3, 1, 13, 21, 5, 15, 9, 26, 6, 8], [10, 28, 25, 11, 16, 12, 18, 19, 22, 14, 17, 23, 24, 30, 29, 31, 20, 27, 33, 32, 50, 34, 46, 37, 36, 40, 42, 38, 41, 43, 47, 44, 45, 48, 49, 39, 53, 51, 54, 52, 55, 58, 59, 57, 56, 60]]
46: [[35, 7, 2], [4, 3, 1, 13, 21, 6, 14, 8, 15], [9, 11, 12, 10, 25, 20], [26, 16, 28, 19, 17, 5, 22, 18, 24, 23, 31, 27], [29, 30, 45, 33, 32, 37], [36, 34, 39], [42, 40, 38, 43, 41, 44, 46, 47, 60, 49, 48, 51, 50, 54, 53, 57, 58, 55, 52, 56, 59]]
47: [[35, 7, 2, 4], [3, 1, 13, 21, 6], [5], [8, 9, 14, 15, 24, 25, 11, 12, 31, 23, 10], [22, 17, 19], [16, 30, 28, 18], [20, 29, 26], [27, 33, 32, 51, 38, 36], [37, 39, 40, 34, 43, 41, 47, 44, 45, 42, 50], [49, 46, 53, 48, 54, 52, 55, 59, 56, 57, 58, 60]]
48: [[35, 7, 2], [4, 3, 1, 13, 21, 5, 6, 8, 9, 25, 11, 27, 10, 14, 30, 26, 12], [20, 19, 28, 23, 16, 15, 18, 22, 17, 24, 29, 48, 37, 32, 33, 34, 38, 39, 45, 42, 31, 43, 36, 40, 41, 44, 58, 60, 56, 46, 47, 54, 49, 51, 57], [50, 52, 53, 55, 59]]
49: [[35, 7, 2], [4, 3, 1, 13, 21, 6, 14, 10, 12, 5, 8, 9, 26, 15, 11, 17], [22, 16, 18, 19, 23, 24, 20, 25, 30, 29, 27, 31, 28, 33, 54, 44, 39, 36, 32, 46, 37, 47, 43, 42, 34, 38, 45, 40, 60, 51, 41, 49, 55, 48, 50, 52, 58, 56, 53, 57, 59]]
50: [[35, 7, 2], [4, 3, 1], [13, 5, 9, 15, 8, 12, 10, 21, 6], [24, 29, 11, 16, 30, 23, 22, 14, 20, 17, 26, 18, 19, 31, 25, 27, 28, 37, 33, 36, 34, 38, 41, 40, 44], [49, 45, 47, 32, 51, 39, 42, 46, 43, 48, 57, 50, 53, 54, 58, 52, 55, 59, 56, 60]]
51: [[35, 7, 2], [4, 3, 1], [13, 21, 5, 23], [9, 26, 6, 10, 14, 28, 25, 11, 16, 8, 12], [19, 22, 30, 17, 15, 20, 18, 29, 31, 24, 27, 36, 32, 50, 39, 46, 44, 38, 33, 42, 34, 37, 43, 45, 40, 41, 48, 51, 55, 47, 56, 53, 52, 49, 58, 54, 57, 59, 60]]
52: [[35, 7, 2], [4, 3, 1], [13, 21, 5], [6, 12, 8, 11, 10, 9], [26, 15, 14, 23, 17, 16, 19, 18, 20, 22, 29, 24, 31, 28, 27, 25], [30, 37, 39, 36, 51, 54, 34, 32, 33, 41, 38, 42, 40, 43, 57, 59, 45, 49, 48, 46, 44, 55, 47, 52, 58, 50, 56, 60, 53]]
53: [[35, 7, 2], [4, 3, 1, 13, 21, 5, 6, 8, 10], [11, 9, 12, 27, 30, 15, 14, 20, 16], [23, 17, 22, 18], [19, 24], [31, 29, 28, 25, 26, 45], [32, 34, 55, 50, 37, 36], [39, 42, 38, 44, 40, 41], [46, 43, 33, 53, 56, 49, 47, 52], [51, 48, 54, 60], [58, 57, 59]]
54: [[35, 7, 2], [4, 3, 1], [13, 5, 8], [21, 6, 27, 9, 14, 26, 10, 17], [15, 16, 11, 12, 19, 23, 24, 28], [18, 20, 30, 29, 31, 25, 41, 36, 49, 33, 22, 38, 45, 44, 32, 40, 43, 47, 46, 42, 39, 37, 50, 34, 51, 52, 48, 55, 53, 57, 54, 56, 59, 58, 60]]
55: [[35, 7, 2], [4, 3, 1], [13, 21, 6], [5, 8, 11], [15, 10, 28, 9, 27, 29, 16, 12, 30], [19, 14, 22, 17, 26], [20, 24, 25], [31, 18, 23, 36, 38, 33, 32], [44, 34, 39, 37, 42, 43, 50], [45], [40, 54, 53], [51, 41, 49, 60], [46, 47, 48], [52, 55], [56, 58, 59, 57]]
56: [[35, 7, 2], [4, 3, 1, 13, 21, 5, 14, 8, 12, 6, 26, 9, 10, 11, 15, 19, 16, 17, 18, 22], [23, 20, 31, 27, 28, 25, 30, 24, 29, 32, 33, 36, 37, 38, 34, 47, 45, 41, 46], [39, 40, 44, 50, 57, 48, 43, 42, 49, 51, 56, 52, 53, 54, 55, 58, 60, 59]]
57: [[35, 7, 2], [4, 3, 1, 13, 21, 6, 12, 8, 26], [11, 5, 9, 10, 14, 15, 27, 16], [19, 18, 30, 23, 17, 22, 20, 28, 24, 29, 25, 31, 33, 32, 36, 41, 43, 34, 54, 42, 38, 44, 40, 46, 39, 45, 47, 48, 37, 52, 51, 60, 53, 49, 50, 55, 57, 59, 56, 58]]
58: [[35, 7, 2], [4, 3, 1, 13, 21], [5, 6, 8, 9, 11, 12, 14, 27, 31, 15, 29, 17, 16, 10, 22, 23, 19, 18, 24, 26, 20, 30, 28, 25, 33, 32, 40, 39, 34, 37, 36, 46, 38, 47, 43, 41, 45, 42, 44, 48, 49, 52, 51, 53, 54, 55, 59, 50, 57, 58, 56, 60]]
59: [[35, 7, 2], [4, 3, 1, 13, 21, 6, 5, 10, 14, 15, 8, 12, 16, 9, 11, 18, 28, 23, 19, 22, 20, 24, 26, 17, 25, 27, 29, 31, 54, 36, 33, 32, 38, 30, 37, 41, 40], [34, 45, 47, 42, 50, 39, 43, 44, 46, 48, 59, 51, 49, 53, 58, 52, 55, 57, 60, 56]]
60: [[35, 7, 2, 4, 3, 1], [13, 21, 5, 6, 8, 9, 14], [12, 29, 24], [26, 10, 27, 16, 15, 19, 11, 17, 18, 22, 20, 28], [23, 25, 30, 31, 37, 32, 33, 36, 34, 38, 45, 41, 44, 43, 46, 42, 47, 39, 52, 40, 50, 58, 49, 54, 48, 51, 59, 55, 56, 53, 57, 60]]
61: [[35, 7, 2], [4, 3, 1, 13, 21, 9, 5, 8, 11], [6, 27, 15], [24, 10, 12, 25, 30, 14, 17, 16, 23, 18, 22, 19, 28, 20, 31, 26, 29, 45, 32, 34, 36, 33, 38, 37, 39, 41, 40, 43, 42, 47, 46, 44, 56, 49, 48, 54, 53, 52, 51, 55, 50, 58, 57, 59, 60]]
62: [[35, 7, 2], [4, 3, 1], [13, 21, 8, 10, 5, 24, 31, 14, 9, 6, 11], [22, 18, 15], [25, 26, 16], [12, 17, 19, 20, 23, 30, 27, 28, 29, 32, 58], [37, 38, 33, 34, 36, 40, 39, 43, 42, 46, 44, 53, 45, 47, 56, 41, 52, 55, 48, 54, 50, 49, 57, 51, 59, 60]]
63: [[35, 7, 2, 4, 3, 1], [13, 21, 5], [6, 9, 12], [14, 30, 10, 8, 11, 15, 26, 16, 17, 22, 25, 18, 20, 23, 19, 27, 24, 31, 28, 29, 37, 32, 33, 46, 52, 39, 41, 34, 36, 42, 43, 38, 40, 44, 45, 47, 48, 51, 53, 59, 50, 54, 49], [55, 56, 58, 57, 60]]
64: [[35, 7, 2], [4, 3, 1], [13, 21, 6, 23, 8, 10, 17], [15, 30, 5], [25, 12, 9, 26, 11, 19, 14, 20, 16, 18, 24, 22], [28, 31, 27, 36, 33, 34, 29, 32, 38, 46], [47, 50, 40, 37, 41, 39, 43, 42, 45, 60, 56, 44], [49, 48, 52, 53, 57, 51, 54, 59, 55, 58]]
65: [[35, 7, 2], [4, 3, 1, 13, 21, 5, 6, 8, 9, 15], [10, 11, 22, 12], [14, 16, 17, 19, 20, 18, 27, 23, 29, 26, 25, 24, 28, 30, 31, 37, 32, 36, 48, 42, 34, 39, 38, 46, 40, 41, 43, 45, 57, 44, 49, 47, 50, 55, 51, 33, 54, 52, 53, 56, 58, 60, 59]]
66: [[35, 7, 2], [4, 3, 1, 13, 14, 8, 9, 21, 6], [5, 11, 12, 25], [20, 26, 16, 15, 23, 17, 19, 22, 18, 24, 28, 27, 29, 31, 30, 41, 32, 36, 37, 52, 34, 10], [39, 42, 40, 38, 43, 33, 45, 47, 46, 44, 49, 50, 51, 48, 54, 53, 57, 58, 55, 56, 59, 60]]
67: [[35, 7, 2], [4, 3, 1, 13, 5, 11, 15, 8, 9, 12, 14, 16], [18, 17, 6, 27, 22, 10, 19, 21, 20, 23, 31, 30], [25], [26, 24, 29], [28, 37, 48, 41], [32, 36, 34], [33, 38], [39, 44, 42, 46], [43, 40, 47, 45, 50, 52, 51, 56, 54], [55, 53, 57, 49, 58, 59, 60]]
68: [[35, 7, 2], [4, 3, 1, 13], [21, 5, 6, 8, 15, 9, 10, 30], [26, 11, 27, 24, 19], [12, 14, 22, 20, 16, 17, 18, 29, 23, 28, 25, 59, 37, 50, 34, 51, 39, 31, 38, 41, 32, 42, 36, 40, 46, 44, 60, 43, 45, 53, 33, 47, 48, 52, 54, 55, 57, 49, 56, 58]]
69: [[35, 7, 2, 4, 3, 1, 13, 21, 5, 6, 8, 9, 15, 11], [27, 18, 26, 29, 17, 10, 12, 16, 19, 28, 20, 31, 14, 24, 22, 25, 23, 30, 37, 32, 40, 33, 36, 41, 47, 38, 39, 34, 44, 42, 43, 45], [46, 48, 52, 58, 59, 49, 50, 51, 54, 53, 57, 55, 60, 56]]
70: [[35, 7, 2], [4, 3, 1], [13, 21, 5], [6, 8, 12], [15, 24, 9, 10, 26, 11, 17, 14, 16], [18, 19, 20, 30, 31, 22, 27, 25, 23, 28, 29], [45, 48, 32, 34, 38, 33, 43, 37, 36, 40, 47, 44, 41, 56, 42, 46, 51, 39, 52, 54, 50, 49, 53, 55, 58, 57, 60, 59]]
71: [[35, 7, 2], [4, 3, 1], [13, 21, 6, 5, 8, 27, 11, 14, 12], [26, 29, 9], [10, 15, 22, 18, 16, 19, 17, 20, 24, 23, 25], [28, 30, 31], [37, 49, 32, 34, 33, 39, 36, 47, 46, 41, 43, 38], [40, 44, 45, 42, 48, 53, 50, 59, 51, 54, 52, 58, 56, 55, 57, 60]]
72: [[35, 7, 2], [4, 3, 1], [13, 5, 9, 26, 8, 18, 21, 6], [15, 28, 11], [24, 14, 30, 17, 19, 22, 16, 20, 27, 23, 31, 10], [29, 25, 12, 33, 32, 37, 34, 36, 39, 45], [50, 44, 41], [40, 38, 47, 46, 42, 43, 57, 60, 48, 49, 52, 53, 54, 51, 55, 59, 58, 56]]
73: [[35, 7, 2], [4, 3, 1], [13, 21, 6, 23, 9, 27, 15, 14], [5, 8, 11], [12, 16, 10], [19, 28, 22, 20, 25, 17, 26, 18], [29, 30, 24, 31, 33], [32, 37, 44, 34, 38, 36, 39, 41, 42, 46, 45, 40], [43, 47, 49, 53, 55, 58, 57, 51, 48, 50, 54, 56, 59, 52, 60]]
