0: [[35, 27, 7, 2], [22], [3, 1, 14, 15, 4, 10, 18], [5], [8, 9, 26, 6, 21], [13, 11, 16], [19, 25, 20], [31], [24, 23, 17, 30, 28, 29, 12], [40, 33], [34, 36, 32, 39], [37, 46, 59], [45, 41], [42, 38, 47, 43, 54, 44], [51, 48], [55, 50], [52], [53], [49, 57], [58, 56, 60]]
25: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 10, 8, 5, 9, 6, 12, 23, 11, 28, 19, 26, 15, 17, 18, 16, 22, 21, 24], [25, 31, 29, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 52, 48, 50, 49, 55, 53, 58, 57, 59, 56, 60]]
26: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 9, 5, 8, 11, 10, 24, 12, 15, 28, 17, 16, 18, 26, 19, 21, 22, 23], [30, 29, 25, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 50, 48, 51, 53, 49, 52, 55, 56, 57, 59, 58, 60]]
27: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 8, 9, 11, 10, 13, 26, 28, 12, 19, 24, 16, 17, 15, 23, 25, 18, 21], [31, 22, 30, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 48, 49, 51, 52, 50, 55, 56, 53, 57, 58, 60]]
28: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 11, 8, 9, 13, 10, 24, 28, 15, 21, 25, 17, 16, 12, 19, 18, 23, 26], [22, 29, 31, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 53, 48, 50, 49, 55, 52, 56, 57, 58, 59, 60]]
29: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 12, 10, 11, 6, 9, 5, 17, 8, 31, 19, 21, 25, 18, 23, 16, 15, 24, 30], [22, 29, 26, 28, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 52, 48, 51, 49, 50, 55, 56, 53, 57, 58, 60]]
30: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 9, 11, 8, 12, 13, 21, 15, 30, 23, 19, 17, 18, 10, 24, 16, 25, 31], [22, 28, 26, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 52, 55, 53, 59, 56, 57, 58, 60]]
31: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 11, 13, 8, 9, 21, 30, 10, 31, 23, 17, 18, 12, 15, 16, 19, 24, 25], [22, 26, 28, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 50, 49, 48, 53, 52, 55, 56, 57, 59, 58, 60]]
32: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 5, 10, 11, 12, 8, 30, 15, 28, 16, 9, 18, 17, 19, 23, 21, 26, 31], [22, 24, 25, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 52, 56, 55, 58, 60, 53, 59, 57]]
33: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 9, 6, 8, 10, 11, 30, 12, 15, 24, 17, 18, 19, 25, 16, 26, 28, 21], [31, 22, 23, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 55, 52, 53, 56, 57, 59, 58, 60]]
34: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 12, 6, 10, 15, 9, 28, 30, 16, 23, 11, 18, 31, 8, 22, 19, 17, 21], [25, 24, 29, 26, 42, 33, 34, 36, 32, 39, 37, 38, 41, 44, 40, 43, 45], [47, 46, 54, 59, 48, 49, 50, 53, 52, 55, 56, 51, 58, 57, 60]]
35: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 11, 8, 6, 9, 15, 12, 10, 18, 13, 19, 16, 17, 30, 28, 22, 23, 21, 31], [26, 29, 24, 25, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 48, 49, 50, 51, 52, 55, 56, 53, 58, 57, 60]]
36: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 9, 8, 11, 15, 12, 13, 28, 30, 16, 19, 25, 17, 10, 18, 23, 31, 21], [22, 26, 29, 24, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 52, 49, 48, 53, 59, 55, 56, 58, 50, 57, 60]]
37: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 10, 11, 6, 13, 28, 9, 15, 26, 18, 23, 17, 22, 31, 8, 12, 19, 21, 24], [25, 16, 29, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 52, 53, 55, 57, 56, 59, 58, 60]]
38: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 8, 9, 30, 6, 10, 28, 11, 12, 15, 18, 23, 19, 17, 29, 16, 21, 24], [25, 22, 26, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 52, 55, 53, 56, 57, 60, 58, 59]]
39: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 10, 8, 9, 11, 19, 12, 30, 29, 13, 15, 16, 17, 23, 28, 18, 21, 24], [22, 25, 31, 26, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 53, 52, 55, 57, 56, 59, 58, 60]]
40: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 9, 10, 26, 6, 8, 24, 11, 23, 12, 15, 17, 21, 16, 19, 18, 29, 30], [22, 28, 25, 31, 42, 33, 34, 36, 32, 39, 37, 38, 41, 44, 40, 43, 45], [47, 46, 54, 51, 48, 49, 50, 53, 55, 52, 56, 59, 58, 57, 60]]
41: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 10, 11, 8, 15, 25, 24, 9, 28, 12, 17, 13, 19, 16, 22, 18, 21, 23], [31, 26, 29, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 52, 53, 55, 60, 58, 59, 56, 57]]
42: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 10, 9, 8, 12, 21, 23, 24, 17, 15, 16, 28, 18, 13, 19, 11, 25, 22], [26, 29, 30, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 53, 52, 55, 58, 57, 56, 59, 60]]
43: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 9, 12, 5, 15, 11, 28, 10, 16, 25, 8, 18, 17, 19, 22, 21, 23, 24], [26, 30, 31, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 48, 49, 51, 50, 52, 55, 56, 53, 57, 58, 60]]
44: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 9, 5, 8, 10, 12, 28, 15, 22, 17, 16, 23, 19, 18, 11, 24, 21, 25], [30, 26, 31, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 48, 49, 50, 52, 55, 53, 56, 51, 57, 58, 60]]
45: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 10, 5, 8, 9, 11, 24, 12, 28, 15, 25, 16, 19, 18, 17, 22, 23, 21], [26, 29, 31, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 53, 52, 55, 56, 58, 57, 59, 60]]
46: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 11, 5, 9, 8, 10, 24, 12, 28, 19, 15, 16, 23, 18, 21, 17, 22, 25], [30, 29, 26, 31, 42, 33, 34, 36, 32, 39, 37, 38, 41, 44, 40, 43, 45], [47, 46, 54, 59, 49, 52, 50, 53, 48, 55, 56, 57, 58, 51, 60]]
47: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 8, 5, 9, 10, 15, 28, 11, 12, 23, 25, 24, 17, 18, 21, 16, 22, 19], [31, 26, 29, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 50, 52, 48, 51, 49, 53, 55, 58, 57, 56, 59, 60]]
48: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 8, 5, 9, 10, 15, 28, 11, 12, 23, 25, 24, 17, 18, 21, 16, 22, 19], [31, 26, 29, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 50, 52, 48, 51, 49, 53, 55, 58, 57, 56, 59, 60]]
49: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 11, 10, 12, 6, 9, 15, 8, 28, 13, 22, 19, 17, 21, 16, 18, 23, 24, 25], [26, 31, 30, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 49, 48, 50, 53, 51, 52, 56, 55, 58, 57, 60]]
50: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 9, 8, 12, 13, 28, 11, 15, 17, 23, 18, 16, 19, 22, 25, 24, 10, 21, 6], [30, 26, 31, 29, 42, 33, 34, 36, 32, 39, 37, 38, 41, 44, 40, 43, 45], [47, 46, 54, 51, 53, 49, 48, 56, 52, 55, 50, 57, 59, 58, 60]]
51: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 9, 12, 10, 6, 8, 11, 15, 28, 31, 19, 17, 18, 26, 23, 22, 16, 21], [24, 25, 29, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 48, 49, 50, 55, 52, 53, 56, 57, 51, 58, 60]]
52: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 11, 9, 6, 12, 15, 17, 26, 28, 21, 8, 10, 18, 23, 22, 16, 19, 31], [24, 25, 29, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 52, 55, 53, 57, 58, 56, 59, 60]]
53: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 9, 5, 10, 11, 17, 30, 26, 28, 23, 8, 18, 21, 12, 22, 15, 19, 16], [25, 24, 31, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 48, 49, 51, 52, 53, 55, 50, 58, 56, 57, 60]]
54: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 9, 12, 10, 8, 11, 18, 13, 31, 16, 15, 23, 17, 19, 22, 28, 21, 25], [26, 24, 30, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 50, 48, 53, 49, 52, 55, 56, 58, 51, 57, 60]]
55: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 6, 10, 11, 9, 8, 15, 12, 17, 16, 31, 19, 18, 22, 21, 23, 25, 28], [30, 26, 24, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 53, 52, 55, 56, 57, 58, 59, 60]]
56: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 9, 12, 10, 8, 11, 18, 13, 31, 16, 15, 23, 17, 19, 22, 28, 21, 25], [26, 24, 30, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 50, 48, 53, 49, 52, 55, 56, 58, 51, 57, 60]]
57: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 8, 9, 6, 11, 10, 12, 15, 19, 17, 16, 22, 18, 25, 23, 21, 31, 28], [24, 26, 29, 30, 42, 33, 34, 36, 32, 39, 37, 38, 41, 44, 40, 43, 45], [46, 47, 54, 59, 48, 49, 50, 53, 55, 51, 56, 57, 58, 52, 60]]
58: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 11, 5, 9, 10, 12, 8, 31, 15, 23, 19, 17, 21, 16, 18, 25, 28, 22, 30, 6], [26, 24, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 50, 49, 53, 48, 52, 55, 56, 57, 59, 58, 60]]
59: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 15, 10, 9, 8, 6, 11, 30, 12, 23, 28, 13, 18, 19, 16, 17, 22, 25, 21], [24, 26, 31, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 51, 48, 49, 53, 50, 52, 58, 57, 55, 56, 60]]
60: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 25, 5, 9, 10, 11, 28, 30, 12, 17, 8, 22, 21, 15, 16, 23, 18, 19], [26, 24, 31, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 49, 48, 50, 53, 52, 51, 56, 55, 58, 57, 60]]
61: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 8, 6, 11, 15, 9, 21, 30, 26, 23, 12, 16, 31, 10, 18, 19, 17, 29], [22, 24, 25, 28, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 48, 49, 50, 52, 53, 55, 51, 56, 57, 58, 60]]
62: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 6, 11, 10, 8, 9, 26, 12, 31, 16, 18, 17, 25, 30, 23, 15, 19, 21], [28, 29, 22, 24, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 52, 53, 55, 56, 60, 59, 57, 58]]
63: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 9, 5, 8, 10, 11, 26, 28, 12, 15, 25, 17, 23, 16, 18, 19, 22, 21], [30, 24, 29, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 49, 48, 50, 53, 55, 52, 56, 59, 57, 58, 60]]
64: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 10, 9, 11, 8, 15, 13, 12, 19, 16, 17, 21, 18, 22, 28, 6, 23, 25, 26], [24, 30, 31, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 53, 49, 50, 56, 52, 55, 60, 48, 59, 57, 58]]
65: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 8, 9, 11, 10, 25, 12, 15, 28, 19, 17, 13, 16, 21, 22, 18, 26, 23], [30, 24, 29, 31, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 52, 49, 50, 48, 55, 53, 56, 58, 59, 57, 60]]
66: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 9, 5, 26, 25, 8, 11, 23, 15, 22, 16, 17, 18, 12, 19, 28, 10, 21, 6], [30, 24, 31, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 53, 55, 52, 56, 57, 59, 58, 60]]
67: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 13, 11, 10, 12, 9, 28, 15, 16, 23, 17, 19, 18, 8, 21, 22, 25, 26], [24, 29, 31, 30, 42, 33, 34, 36, 32, 39, 37, 38, 41, 44, 40, 43, 45], [47, 46, 54, 51, 48, 49, 50, 53, 52, 55, 56, 57, 58, 59, 60]]
68: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 6, 8, 9, 10, 15, 12, 11, 26, 13, 17, 21, 16, 19, 28, 18, 22, 24, 31], [23, 25, 29, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 49, 48, 50, 53, 52, 55, 60, 57, 59, 58, 56]]
69: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 9, 6, 11, 8, 15, 22, 10, 12, 28, 29, 23, 17, 18, 19, 24, 16, 21], [26, 30, 31, 25, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 48, 49, 52, 53, 50, 55, 56, 51, 57, 58, 60]]
70: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 11, 8, 5, 9, 10, 28, 15, 12, 21, 24, 25, 19, 29, 16, 18, 17, 23], [22, 26, 31, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [46, 47, 54, 50, 49, 48, 51, 53, 55, 52, 60, 57, 58, 59, 56]]
71: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [5, 8, 15, 13, 12, 10, 6, 11, 18, 31, 19, 17, 16, 22, 21, 26, 23, 9, 24], [25, 28, 29, 30, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 50, 48, 55, 49, 52, 53, 56, 59, 57, 58, 60]]
72: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 5, 9, 11, 12, 6, 8, 10, 15, 31, 18, 23, 17, 19, 26, 21, 16, 24, 22], [25, 28, 30, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 59, 48, 49, 50, 53, 51, 52, 55, 57, 56, 58, 60]]
73: [[35, 27, 7, 2, 20, 1, 3, 4, 14], [13, 6, 8, 9, 5, 12, 11, 15, 24, 21, 31, 19, 18, 26, 16, 22, 10, 17, 23], [30, 25, 28, 29, 42, 33, 34, 36, 32, 39, 37, 38, 43, 44, 40, 41, 45], [47, 46, 54, 51, 48, 49, 50, 53, 57, 55, 52, 60, 56, 58, 59]]
