0: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3, 4, 8], [7, 9, 16, 13, 18, 24, 20, 10, 12, 22, 14], [23, 29, 28], [27, 26, 21]]
22: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3, 4, 8], [7, 9, 16], [14, 22, 24], [20, 10], [12, 13, 18, 23, 21, 27, 26, 28, 29]]
23: [[17], [25, 5, 6], [15, 11, 2, 19, 1], [3, 4, 8, 7, 9, 16, 13, 18, 24, 20, 10, 12, 22, 14, 23, 21, 28, 27, 26, 29]]
24: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3], [4, 8, 7], [9], [16, 13, 18, 24, 12, 10, 28, 22, 14, 29, 21, 20, 27, 23, 26]]
25: [[17], [25, 5, 6], [15, 11], [2, 19, 1, 3, 4, 8, 7, 9, 16], [13, 20, 24, 10, 12, 14], [21], [26, 18, 22, 27, 28, 23, 29]]
26: [[17], [25, 5, 6], [15, 11, 2, 19], [1], [3, 4, 8], [7, 9], [16, 13, 18], [24, 12, 10], [21, 22, 14], [20, 27, 26], [28, 23, 29]]
27: [[17], [25, 5], [6, 15, 11, 2, 19, 1, 3, 4, 8], [7, 9, 16, 13, 18, 24, 12, 10, 28, 22, 29, 14, 23, 21, 27, 20, 26]]
28: [[17], [25, 5], [6, 15, 11], [2, 19], [1, 3, 4, 8, 7, 9, 16, 13, 18, 24, 22, 10, 12, 20, 14, 21, 28, 26, 27, 23, 29]]
29: [[17], [25, 5], [6, 15, 11, 2], [19, 1, 3], [4, 8, 7, 9, 16], [13, 22, 24, 12, 10], [14, 18, 29, 21, 26, 20, 28, 23, 27]]
30: [[17], [25, 5, 6], [15, 11], [2], [19, 1, 3], [4, 8], [7, 9, 16, 13], [18, 24, 12], [10, 28, 22, 29, 14], [20, 23, 26, 21, 27]]
31: [[17], [25, 5, 6], [15, 11], [2, 19, 1, 3], [4, 8], [7, 9, 16, 13, 20, 24], [18, 28, 22, 26, 10, 21, 14, 23, 27, 12, 29]]
32: [[17], [25, 5, 6], [15, 11, 2, 19, 1, 3], [4, 8, 7, 9, 16, 13, 18, 26, 12, 10, 28, 22, 29, 14, 21, 23, 24, 20, 27]]
33: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3, 4, 8], [7, 9, 16], [13, 22, 28], [18, 29], [14], [23, 20, 21, 27, 24, 26, 12, 10]]
34: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3, 4, 8], [7, 9], [16, 13, 18, 24, 10], [21, 12, 14], [26, 20, 23, 27], [28, 29, 22]]
35: [[17], [25, 5, 6], [15, 11, 2, 19], [1, 3, 4], [8, 7], [9, 16, 13], [18, 24, 12], [10, 22], [21, 20, 14], [23, 27, 26, 28, 29]]
36: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3, 4, 8], [7, 9], [16], [13, 18, 24, 10, 14, 12], [23, 20, 21], [22, 27, 26], [28, 29]]
37: [[17], [25, 5, 6], [15, 11, 2, 19], [1, 3, 4], [8, 7, 9, 16, 13], [18, 24, 12, 10, 28, 22, 26, 14, 23, 20, 27, 21, 29]]
38: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3, 4], [8, 7, 9], [16, 13], [24, 10], [14, 22], [20, 12, 18], [21, 23, 27], [26, 29, 28]]
39: [[17], [25, 5, 6], [15, 11, 2, 19], [1, 3, 4], [8, 7, 9], [16, 13, 18, 24, 20, 26, 12, 10, 14, 21, 28, 22, 29, 27, 23]]
40: [[17], [25, 5, 6], [15, 11, 2, 19], [1, 3], [4, 8, 7, 9, 16, 13, 18, 24, 14, 10, 28, 22, 26, 12, 23, 20, 27, 21, 29]]
41: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3, 4, 8], [7, 9], [16, 13], [24], [10, 14, 20], [23, 12], [22, 18, 21, 27], [26, 29, 28]]
42: [[17], [25, 5, 6], [15, 11], [2, 19, 1], [3, 4, 8, 7], [9, 16], [14, 22, 28], [10, 13, 12], [18, 27, 21], [23, 20, 24], [29, 26]]
43: [[17], [25, 5, 6, 15], [11, 2, 19, 1, 3], [4, 8, 7, 9, 16, 13, 18, 24, 10, 14, 12], [22, 20, 23, 21, 26, 27, 28, 29]]
44: [[17], [25, 5, 6], [15, 11], [2, 19, 1, 3], [4, 8, 7], [9, 16, 13, 18, 24], [10, 14, 20], [26, 12], [21, 22, 23], [27, 29, 28]]
45: [[17], [25, 5, 6], [15, 11], [2], [19], [1, 3, 4], [8, 7], [9, 16, 13], [18, 24, 10], [12, 28], [22, 29, 14], [20, 23, 26, 21, 27]]
46: [[17, 25, 5, 6, 15, 11], [2, 19, 1, 3, 4, 8, 7, 9], [16, 13, 18, 24, 20, 22, 12, 10, 14, 23, 27, 26, 29, 28, 21]]
47: [[17], [25, 5, 6], [15, 11], [2, 19, 1, 3], [4, 8, 7, 9, 16, 13, 18, 24, 14, 10], [12, 22, 26], [21, 20, 23], [27, 29, 28]]
48: [[17], [25, 5, 6, 15], [11, 2, 19, 1], [3, 4], [8, 7, 9, 16], [13, 10], [24], [20, 12], [22, 14, 18, 28], [29, 27, 23], [21, 26]]
49: [[17], [25, 5], [6, 15, 11], [2, 19, 1], [3], [4, 8], [7, 9, 16, 13], [22, 24], [12, 10, 14, 28, 18, 21, 27, 26], [23, 29, 20]]
50: [[17], [25, 5, 6], [15, 11], [2], [19, 1, 3], [4, 8], [7, 9, 16, 13], [22, 24, 12], [10, 20, 28, 14, 21], [23, 27, 18, 29, 26]]
51: [[17, 25, 5], [6, 15, 11], [2, 19], [1, 3, 4, 8, 7, 9, 16, 14, 22], [28, 18, 26, 20, 24, 29, 23, 21, 27, 10, 12, 13]]
52: [[17], [25, 5, 6], [15, 11], [2], [19, 1, 3], [4, 8], [7, 9, 16], [13, 18, 24], [12, 10], [28, 20], [22, 14, 27, 29, 26, 21], [23]]
53: [[17, 25], [5, 6, 15, 11, 2, 19, 1, 3, 4, 8, 7], [9, 16, 13, 22, 24, 12], [10], [26, 20, 14, 21, 28, 27, 18, 29, 23]]
54: [[17, 25, 5], [6, 15], [11, 2, 19, 1, 3, 4, 8, 7, 9], [16, 13, 18, 24, 20, 10], [12], [23, 14, 22, 28, 29, 27, 26, 21]]
55: [[17], [25, 5], [6, 15, 11, 2], [19, 1, 3], [4, 8, 7], [9, 16, 13, 18], [24, 14, 10, 12], [20, 22, 21], [23, 27], [26, 28, 29]]
56: [[17, 25, 5], [6, 15], [11, 2, 19, 1], [3, 4, 8], [7, 9, 16, 13, 20], [24, 12, 10, 14, 21], [26, 18, 23, 27, 22, 28, 29]]
57: [[17], [25, 5, 6], [15, 11, 2], [19, 1, 3], [4, 8, 7], [9, 16, 13], [18], [24, 10], [14, 12, 22], [20, 21], [23, 27], [28, 26], [29]]
58: [[17, 25, 5], [6, 15, 11, 2, 19], [1, 3, 4, 8, 7, 9], [16, 13, 18], [24, 12, 14, 28], [20, 10, 21, 22, 23, 26, 27, 29]]
59: [[17, 25, 5], [6, 15, 11, 2, 19], [1, 3, 4], [8, 7], [9, 16, 13, 18, 24], [12, 10, 28], [20, 14], [23], [22, 21, 26, 27, 29]]
