0: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
26: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
27: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
28: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
29: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
30: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
31: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
32: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
33: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
34: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
35: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
36: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
37: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
38: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
39: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
40: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
41: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
42: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
43: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
44: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
45: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
46: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
47: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
48: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
49: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
50: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
51: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
52: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
53: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
54: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
55: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
56: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
57: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
58: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
59: [[6, 5, 19, 2, 10], [3, 1, 11, 29, 14], [15, 4, 8, 13, 12], [7, 16, 17, 9, 18, 22], [27, 26, 21], [20, 23, 24, 25, 28]]
