0: [[10, 3, 2, 22, 16, 4, 14], [6, 5, 13], [7, 9, 11], [8, 12, 15, 18], [17, 20, 19, 1], [21, 23, 24]]
17: [[14, 10], [3, 2, 22, 16, 1, 4], [6, 5, 7, 9, 11, 8, 12, 13, 15, 18, 17, 20, 19, 21], [23, 24]]
18: [[10, 14], [3, 2], [22, 16], [6, 5, 7, 9, 4], [11, 8, 12, 13, 15], [18, 17, 20, 19, 1], [21, 23, 24]]
19: [[10, 3, 2, 22, 16, 4], [6, 5], [7, 9, 11], [8, 12, 13, 14], [15, 18, 17], [20, 19, 21, 1], [23, 24]]
20: [[10, 3, 2, 22, 14], [16, 6, 5, 4], [7, 9, 11], [8, 12, 13], [15, 18, 17], [20, 19, 21, 1], [23, 24]]
21: [[10, 3, 14], [2, 22], [16, 6, 4], [5, 7], [9, 11, 8, 12], [13, 15, 18, 17], [20, 19, 1], [21, 23, 24]]
22: [[10, 3, 2], [22, 16, 4], [6, 5, 7, 14], [9, 11, 8, 1], [12, 13], [15, 18, 17, 20], [19, 21], [23, 24]]
23: [[10, 14], [3, 2], [22, 16], [6, 5, 7, 9], [11, 8], [12, 13, 15, 4], [18, 17, 20, 19, 1], [21, 23, 24]]
24: [[10, 14], [3, 2], [22, 16, 6, 4], [5, 7, 9], [11, 8, 12], [13, 15, 18], [17, 20, 19, 1], [21, 23, 24]]
25: [[10, 3, 2, 22, 16, 4], [6, 5], [7, 9, 11], [8, 12, 14], [13, 15, 18, 17], [20, 19, 21, 1], [23, 24]]
26: [[10, 3, 14], [2, 22, 16, 1, 4], [6, 5], [7, 9], [11, 8, 12], [13, 15, 18], [17, 20, 19, 21], [23, 24]]
27: [[10, 14], [3, 2], [22, 16, 6, 4], [5, 7, 9, 11], [8, 12, 13], [15, 18, 17], [20, 19, 21, 1], [23, 24]]
28: [[10, 14], [3, 2, 1], [22, 16, 4], [6, 5], [7, 9], [11, 8, 12, 13], [15, 18, 17, 20], [19, 21, 23, 24]]
29: [[1, 4], [14, 10, 3, 2, 22, 16, 6, 5, 7, 9, 11, 8, 12, 13, 15, 18, 17, 20, 19, 21], [23, 24]]
30: [[10, 14], [3, 2, 1], [22, 16, 4], [6, 5], [7, 9], [11, 8, 12], [13, 15, 18, 17, 20], [19, 21], [23, 24]]
31: [[10, 14], [3, 2, 1], [22, 16, 4], [6, 5], [7, 9], [11, 8, 12], [13, 15, 18], [17, 20], [19, 21, 23, 24]]
32: [[10, 3, 2, 22, 16, 1, 4], [6, 5, 14], [7, 9, 11, 8], [12, 13, 15], [18, 17], [20, 19, 21, 23, 24]]
33: [[10, 14], [3, 2], [22, 16, 4], [6, 5], [7, 9, 11, 8], [12, 13, 1], [15, 18], [17, 20, 19, 21, 23, 24]]
34: [[10, 1, 14], [3, 2, 22, 4], [16, 6], [5, 7, 9, 11], [8, 12, 13], [15, 18, 17, 20], [19, 21, 23, 24]]
35: [[10, 14], [3, 2, 22], [16, 6, 4], [5, 7], [9, 11, 8], [12, 13, 15], [18, 17], [20, 19, 21, 1], [23, 24]]
36: [[14, 10, 3, 2, 22, 16, 1, 4], [6, 5], [7, 9, 11], [8, 12, 13], [15, 18, 17, 20, 19, 21, 23, 24]]
37: [[10, 3, 1], [2, 22], [16, 6, 4, 14], [5, 7, 9], [11, 8], [12, 13, 15], [18, 17, 20], [19, 21, 23, 24]]
38: [[10, 14], [3, 2, 1], [22, 16, 4], [6, 5], [7, 9, 11, 8, 12], [13, 15, 18, 17, 20, 19, 21, 23, 24]]
39: [[14, 10, 3], [2, 22, 16, 1, 4], [6, 5, 7], [9, 11, 8, 12, 13, 15, 18, 17, 20, 19, 21, 23, 24]]
40: [[14, 10, 3], [2, 22, 16, 1, 4], [6, 5, 7], [9, 11, 8, 12, 13, 15, 18, 17, 20, 19, 21, 23, 24]]
41: [[10, 3, 14], [2, 22, 16, 6, 1, 4], [5, 7], [9, 11], [8, 12, 13], [15, 18], [17, 20, 19, 21, 23, 24]]
42: [[1, 4], [14, 10], [3, 2, 22], [16, 6, 5, 7, 9, 11], [8, 12, 13, 15, 18, 17, 20, 19, 21, 23, 24]]
43: [[14, 10, 4], [3, 2, 1], [22, 16, 6, 5, 7, 9, 11, 8, 12, 13, 15, 18, 17, 20, 19, 21, 23, 24]]
44: [[1, 4, 14, 10, 3, 2, 22], [16], [6, 5, 7, 9, 11, 8, 12, 13, 15, 18, 17, 20, 19, 21, 23, 24]]
45: [[14, 10], [3, 2], [22, 16, 6, 1, 4], [5, 7, 9, 11, 8, 12, 13, 15, 18, 17, 20, 19, 21, 23, 24]]
46: [[1, 4], [14, 10], [3, 2, 22, 16, 6, 5, 7, 9, 11, 8, 12, 13, 15, 18, 17, 20, 19, 21, 23, 24]]
47: [[10, 3, 2, 22, 1, 4, 14], [16, 6], [5, 7, 9], [11, 8], [12, 13, 15, 18, 17, 20, 19, 21, 23, 24]]
48: [[10, 3, 1], [2, 22], [16, 6, 4], [5, 7, 9, 11], [8, 12, 14], [13, 15, 18, 17, 20, 19, 21, 23, 24]]
49: [[1, 4], [14, 10, 3, 2, 22, 16, 6, 5, 7, 9, 11, 8, 12, 13, 15, 18, 17, 20, 19, 21, 23], [24]]
