0: [[25, 5], [29, 2, 1, 7], [4, 3, 6, 8, 12], [17, 11, 16, 9, 13, 15, 14], [18, 19, 10], [20, 23, 22], [28, 24], [27, 21, 26]]
23: [[25, 5], [29, 2, 1, 7, 4, 3, 14, 8, 12, 17, 6, 9, 13, 11, 15, 26, 19, 10, 22, 23, 20, 16, 18, 24, 21, 27], [28]]
24: [[25, 5], [29, 2, 1, 7], [4, 3], [6, 8, 10, 17, 11], [12, 9, 13], [15, 18, 14, 16, 20, 23, 22, 19, 28, 24, 27, 21, 26]]
25: [[25, 5], [29, 2, 1, 7], [4, 3, 6, 8, 9, 17, 11, 13, 10, 15], [12, 14, 18], [21, 22, 23, 19, 16], [28, 20], [27, 26, 24]]
26: [[25, 5, 29], [2, 1, 7], [4, 3], [6, 8, 12], [16, 11, 17], [9, 13, 15], [10, 14, 23], [26, 20, 22], [18, 19], [21, 27, 24, 28]]
27: [[25, 5], [29, 2, 1, 7], [4, 3], [6, 12, 10, 17], [11, 14, 8], [13, 15, 19, 9, 16, 21], [20, 23, 18, 28, 24, 27, 22, 26]]
28: [[25, 5], [29, 2, 1, 7], [4, 3, 6, 8, 12, 17], [11, 16, 9, 13], [15, 10, 18], [23, 14], [19], [22, 20, 28, 24, 27, 21, 26]]
29: [[25, 5], [29, 2, 1, 7], [4, 3, 6, 10, 12, 17, 11, 26, 15, 22], [9, 8, 14, 13, 16, 18, 27, 21], [23, 24, 20, 19, 28]]
30: [[25, 5], [29, 2, 1, 7], [4, 3], [6, 12, 10], [17, 9, 15], [11, 8], [13, 19, 14, 21, 16], [20, 18, 22, 28, 24, 26, 23, 27]]
31: [[25, 5], [29, 2, 1, 7], [4, 3, 6, 8, 11], [16, 9, 13, 10, 12], [15, 14, 19], [17, 20, 21, 23, 18], [22], [24, 28, 26, 27]]
32: [[25, 5, 29], [2, 1, 7], [4, 3], [6, 8, 12], [16, 11, 17], [9, 13, 15], [10, 14, 21], [18, 19, 23, 22], [28, 20], [27, 24, 26]]
33: [[25, 5], [29, 2, 1, 7], [4, 3], [6, 8, 12, 9], [19, 10, 11, 15, 13], [22, 16, 14, 18], [17, 21, 23, 20, 24, 27, 26, 28]]
34: [[25, 5], [29, 2, 1, 7], [4, 3], [6, 8], [12, 10, 19, 11, 9], [15, 13, 18], [16, 20, 14, 17, 21, 22, 28, 24, 23, 27, 26]]
35: [[25, 5], [29, 2, 1, 7], [4, 3, 14, 8, 12], [16, 9, 13, 6, 10], [11, 15, 18, 17, 23, 20, 19, 22, 24, 26, 21], [28, 27]]
36: [[25, 5], [29, 2, 1, 7], [4, 3], [6, 8], [12, 9, 17], [10, 11, 13, 14, 19, 16, 18, 21, 20, 15, 22, 23, 26, 24, 27, 28]]
37: [[25, 5], [29, 2, 1, 7], [4, 3], [6, 8, 10], [9, 19], [11, 13, 15, 12], [18], [14, 16], [17, 20, 21], [22, 23, 24], [27, 26, 28]]
38: [[25, 5], [29, 2, 1, 7], [4], [3, 14, 8, 6, 16, 9, 13, 10, 15, 11, 12], [18, 17, 22, 23, 19, 20, 28, 24, 21, 26, 27]]
39: [[25, 5], [29, 2, 1], [7, 4, 3, 6], [8, 12, 16], [11, 15, 9, 13], [17, 10, 18, 20, 14, 19, 22, 21, 23, 24, 27, 28, 26]]
40: [[25, 5], [29, 2, 1, 7], [4, 3, 6], [10, 12, 17], [11, 18, 8, 15, 9, 14, 13, 20, 16], [22, 19, 23, 26, 24, 28, 21, 27]]
41: [[25, 5], [29, 2, 1], [7, 4], [3, 6], [8, 13, 16], [11, 19, 10], [9, 12, 14, 15, 17, 24, 20, 22, 18, 23, 27], [21, 28, 26]]
42: [[25, 5], [29, 2], [1, 7, 4, 3, 6, 10], [8, 17, 11, 16, 9, 15, 13, 12, 18, 22, 14, 20, 23, 19, 28, 24, 27, 21, 26]]
43: [[25, 5], [29], [2, 1, 7], [4, 3, 6], [10, 8], [17, 11, 16], [9, 13, 15, 12, 18, 23, 14, 20, 19, 22, 28, 24, 27, 21, 26]]
44: [[25, 5], [29, 2, 1, 7], [4, 3], [6, 12, 10], [17, 11, 14], [13, 8], [15, 18, 9, 16, 21], [20, 23], [19, 28, 24], [27, 22, 26]]
45: [[25, 5], [29, 2, 1, 7, 4], [3, 6], [8, 12], [17, 11, 18, 10, 13], [9, 14, 15, 16], [20, 22, 23, 21], [28, 24, 19, 27, 26]]
46: [[25, 5], [29, 2, 1], [7, 4], [3, 6], [8, 13, 16], [11, 19, 9], [12, 15, 10, 14, 20, 17, 18, 23, 22, 24, 28, 27, 21, 26]]
47: [[25, 5, 29], [2, 1, 7, 4], [3, 6, 8, 14], [17, 11], [9, 10, 13, 15, 20, 16, 12, 18, 19, 23, 22, 28, 24, 27, 21], [26]]
48: [[25, 5], [29, 2, 1, 7], [4, 3], [6, 8, 10], [14, 9], [27, 12, 13, 17], [11], [18, 15, 22, 23, 16, 19, 20, 24, 26, 21, 28]]
49: [[25, 5, 29, 2, 1, 7], [4, 3], [6, 8], [10, 17, 11, 12, 13, 9, 14, 18, 19, 15, 16], [20, 23, 22, 27, 24, 21, 26, 28]]
50: [[25, 5, 29], [2, 1], [7, 4, 3], [6, 8], [10, 9, 17, 11], [12, 15], [13, 16, 18], [21, 14, 20, 19, 22], [23, 24], [28, 26, 27]]
51: [[25, 5], [29, 2], [1, 7], [4, 3, 6], [10, 14, 17], [11, 13], [8, 9, 12, 19], [15, 16, 22, 18, 20], [23, 21], [24, 28, 26, 27]]
52: [[25, 5, 29, 2], [1], [7, 4, 3, 14, 8, 12, 17, 6, 10, 9, 11], [13, 18, 15, 16, 22, 20, 19, 21, 27, 24, 23, 26, 28]]
53: [[25, 5, 29, 2], [1], [7, 4, 3, 6, 8, 11, 17, 9, 13, 10, 15, 12, 14, 18, 16, 22, 20, 23, 19, 21, 24, 28, 26, 27]]
54: [[25, 5, 29], [2, 1, 7], [4, 3, 6], [10, 9], [17, 11], [12, 8, 13], [16, 15, 14], [23, 26, 18, 19], [22, 20, 21, 28], [24, 27]]
55: [[25, 5, 29], [2, 1], [7, 4], [3, 14], [8, 9, 17, 6], [10, 12, 11, 15], [19, 13, 16], [22, 21, 23, 20, 26, 24], [18, 27, 28]]
56: [[25, 5, 29], [2, 1], [7, 4, 3], [6, 8, 10], [16, 9, 14], [11, 12, 15, 19], [23, 13, 21, 17], [20, 18], [24, 22, 27, 26, 28]]
57: [[25, 5, 29], [2, 1], [7, 4, 3], [14, 10, 12], [17, 9, 6], [8, 15, 11], [13, 18, 19], [16, 21, 22], [20, 28, 26], [27, 24, 23]]
58: [[25, 5, 29, 2], [1, 7], [4, 3, 6, 8, 12, 17, 11, 16, 9, 13, 15], [10, 18], [22, 14, 19, 23, 21], [20, 24, 27], [28, 26]]
59: [[25, 5, 29, 2, 1, 7, 4, 3, 6, 8], [12, 17, 11, 10], [9, 13, 14], [15, 18, 20, 22, 19], [16, 21, 23, 24], [27], [26, 28]]
