0: [[22, 37, 20, 1, 2, 7, 3, 12, 4, 6], [5, 11], [8, 9], [10, 13, 26, 15, 17, 19, 14], [24, 18], [29, 16], [21, 25, 27, 28], [31, 23, 30, 32, 34, 33], [35, 36]]
38: [[22, 37, 20, 1, 2, 7, 3], [12, 4], [6, 5, 11, 8], [9, 10, 13, 26, 15, 17], [19, 14], [24, 18, 29, 16, 21, 25, 27, 28, 31, 23], [30, 32, 34, 33, 35, 36]]
39: [[22, 37, 20, 1, 2, 7, 3, 12, 4, 6, 5, 11, 8, 9, 10, 13], [26, 15, 17, 19, 14, 24, 18, 29], [16, 21, 25], [27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
40: [[22, 37, 20, 1, 2, 7, 3], [12, 4, 6], [5, 11, 8], [9, 10], [13, 26], [15, 17], [19, 14, 24, 18, 29, 16, 21, 25, 27], [28, 31, 23, 30], [32, 34, 33, 35, 36]]
41: [[22, 37, 20], [1, 2, 7, 3, 12], [4, 6, 5, 11, 8, 9, 10, 13, 26, 15], [17, 19, 14], [24, 18, 29], [16, 21], [25], [27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
42: [[22, 37, 20, 1, 2, 7, 3, 12, 4, 6], [5, 11], [8, 9], [10, 13], [26, 15, 17, 19, 14, 24], [18, 29], [16, 21], [25, 27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
43: [[22, 37, 20, 1, 2, 7], [3, 12, 4], [6, 5, 11], [8, 9, 10, 13, 26, 15, 17, 19, 14, 24], [18, 29], [16, 21, 25, 27, 28, 31, 23, 30, 32], [34, 33, 35, 36]]
44: [[22, 37], [20, 1, 2, 7], [3, 12], [4, 6, 5], [11, 8, 9], [10, 13, 26, 15], [17, 19, 14, 24], [18, 29, 16], [21, 25, 27, 28, 31, 23], [30, 32], [34, 33, 35, 36]]
45: [[22, 37, 20, 1, 2, 7, 3, 12], [4, 6, 5], [11, 8, 9, 10, 13, 26, 15, 17, 19, 14, 24, 18, 29, 16, 21, 25, 27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
46: [[22, 37, 20, 1, 2], [7, 3, 12], [4, 6, 5], [11, 8, 9, 10, 13, 26], [15, 17, 19, 14], [24, 18, 29], [16, 21], [25, 27, 28, 31, 23, 30, 32], [34, 33], [35, 36]]
47: [[22, 37], [20, 1, 2, 7, 3, 12, 4, 6, 5, 11, 8, 9, 10, 13], [26, 15, 17, 19], [14, 24, 18, 29, 16, 21, 25], [27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
48: [[22, 37, 20, 1, 2, 7], [3, 12], [4, 6, 5, 11, 8, 9, 10, 13, 26, 15, 17, 19, 14, 24, 18, 29, 16, 21, 25, 27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
49: [[22, 37, 20], [1, 2], [7, 3], [12, 4, 6], [5, 11], [8, 9], [10, 13, 26], [15, 17], [19, 14, 24, 18], [29, 16, 21, 25], [27, 28], [31, 23], [30, 32, 34], [33, 35, 36]]
50: [[22, 37], [20, 1], [2, 7, 3, 12, 4, 6, 5], [11, 8], [9, 10], [13, 26, 15, 17], [19, 14, 24, 18, 29, 16], [21, 25], [27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
51: [[22, 37, 20], [1, 2], [7, 3], [12, 4], [6, 5, 11, 8, 9, 10], [13, 26], [15, 17, 19, 14, 24, 18, 29], [16, 21, 25, 27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
52: [[22, 37, 20, 1], [2, 7, 3], [12, 4, 6], [5, 11], [8, 9], [10, 13], [26, 15], [17, 19, 14], [24, 18], [29, 16, 21, 25], [27, 28], [31], [23, 30, 32, 34, 33, 35, 36]]
53: [[22, 37], [20, 1, 2], [7, 3], [12, 4, 6], [5, 11, 8], [9, 10, 13, 26], [15, 17, 19, 14, 24, 18, 29, 16, 21, 25], [27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
54: [[22, 37, 20, 1], [2, 7, 3, 12, 4], [6, 5, 11], [8, 9, 10], [13, 26, 15, 17], [19, 14, 24], [18, 29, 16], [21, 25], [27, 28], [31, 23, 30, 32, 34, 33, 35, 36]]
55: [[22, 37, 20, 1], [2, 7, 3], [12, 4], [6, 5], [11, 8], [9, 10, 13], [26, 15], [17, 19], [14, 24, 18], [29, 16, 21], [25, 27, 28, 31], [23, 30, 32, 34, 33], [35, 36]]
56: [[22, 37], [20, 1], [2, 7, 3, 12, 4, 6, 5], [11, 8, 9], [10, 13, 26, 15], [17, 19, 14], [24, 18, 29], [16, 21, 25, 27, 28, 31, 23, 30, 32], [34, 33, 35], [36]]
57: [[22, 37], [20, 1, 2, 7], [3, 12, 4, 6, 5, 11], [8, 9], [10, 13, 26, 15, 17, 19, 14, 24, 18, 29, 16, 21, 25, 27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
58: [[22, 37, 20, 1], [2, 7], [3, 12], [4, 6, 5, 11, 8, 9, 10], [13, 26], [15, 17], [19, 14, 24, 18], [29, 16, 21, 25], [27, 28], [31, 23, 30, 32], [34, 33, 35, 36]]
59: [[22, 37, 20, 1], [2, 7], [3, 12, 4, 6, 5, 11, 8, 9, 10], [13, 26, 15, 17, 19, 14, 24, 18, 29], [16, 21], [25, 27, 28, 31, 23, 30, 32, 34, 33], [35], [36]]
60: [[22, 37], [20, 1, 2, 7], [3, 12], [4, 6], [5, 11], [8, 9, 10, 13], [26, 15, 17, 19, 14, 24, 18, 29, 16, 21, 25, 27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
61: [[22, 37], [20, 1, 2, 7], [3, 12, 4, 6], [5, 11, 8, 9], [10, 13, 26], [15, 17, 19], [14, 24], [18, 29, 16, 21], [25, 27, 28, 31, 23, 30], [32, 34, 33, 35, 36]]
62: [[22, 37], [20, 1, 2, 7, 3, 12, 4, 6, 5, 11, 8, 9, 10, 13, 26, 15, 17, 19], [14, 24, 18, 29, 16, 21, 25, 27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
63: [[22, 37, 20], [1, 2], [7, 3, 12, 4, 6, 5], [11, 8], [9, 10, 13], [26, 15, 17, 19], [14, 24, 18, 29, 16, 21, 25], [27, 28], [31, 23, 30, 32], [34, 33], [35, 36]]
64: [[22, 37], [20, 1], [2, 7, 3, 12, 4, 6, 5], [11, 8], [9, 10, 13, 26, 15, 17], [19, 14, 24, 18, 29, 16, 21, 25, 27], [28, 31, 23, 30, 32, 34], [33, 35, 36]]
65: [[22, 37], [20, 1, 2, 7], [3, 12], [4, 6], [5, 11, 8, 9, 10, 13], [26, 15, 17, 19, 14, 24, 18, 29, 16, 21, 25, 27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
66: [[22, 37], [20, 1], [2, 7], [3, 12], [4, 6, 5, 11], [8, 9], [10, 13], [26, 15, 17], [19, 14, 24, 18, 29], [16, 21, 25], [27, 28, 31, 23], [30, 32, 34], [33, 35], [36]]
67: [[22, 37, 20], [1], [2, 7, 3, 12, 4, 6, 5, 11, 8, 9, 10, 13, 26, 15, 17, 19, 14, 24, 18, 29, 16, 21, 25, 27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
68: [[22, 37, 20], [1, 2, 7, 3], [12, 4], [6, 5], [11, 8], [9, 10, 13, 26, 15, 17, 19], [14, 24], [18, 29], [16, 21], [25, 27, 28, 31, 23, 30, 32, 34], [33, 35, 36]]
69: [[22, 37, 20, 1, 2], [7, 3], [12, 4], [6], [5, 11, 8, 9], [10, 13, 26, 15, 17, 19, 14, 24, 18, 29, 16, 21, 25, 27, 28, 31, 23, 30], [32, 34, 33, 35, 36]]
70: [[22, 37, 20, 1, 2, 7], [3, 12, 4], [6, 5], [11, 8], [9, 10, 13], [26, 15, 17, 19, 14, 24, 18, 29, 16, 21, 25, 27, 28, 31, 23, 30, 32, 34], [33, 35, 36]]
71: [[22, 37, 20, 1, 2], [7, 3, 12, 4], [6, 5], [11, 8, 9, 10, 13], [26, 15], [17, 19, 14, 24, 18, 29, 16, 21, 25, 27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
72: [[22, 37], [20, 1], [2, 7], [3, 12, 4, 6, 5, 11, 8], [9, 10, 13], [26, 15], [17, 19, 14, 24, 18, 29, 16, 21, 25], [27, 28, 31], [23, 30, 32, 34, 33, 35, 36]]
73: [[22, 37], [20, 1], [2, 7], [3, 12, 4, 6], [5, 11, 8, 9, 10, 13], [26, 15], [17, 19, 14, 24, 18, 29, 16, 21, 25, 27, 28, 31, 23, 30, 32, 34, 33, 35, 36]]
