0: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
12: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
13: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
14: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
15: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
16: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
17: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
18: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
19: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
20: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
21: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
22: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
23: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
24: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
25: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
26: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
27: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
28: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
29: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
30: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
31: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
32: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
33: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
34: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
35: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
36: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
37: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
38: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
39: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
40: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
41: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
42: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
43: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
44: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
45: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
46: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
47: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
48: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
49: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
50: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
51: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
52: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
53: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
54: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
55: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
56: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
57: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
58: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
59: [[5, 22, 25, 6, 20, 3, 13], [15, 1, 4, 8, 12], [7, 16, 17, 18, 19, 11, 9, 2, 10], [26, 21, 29, 23, 27, 28, 24, 14]]
