0: [[17, 7, 6, 2], [1, 15], [3, 4, 8], [5, 11, 10], [9, 13, 23, 12, 22], [16, 19, 18, 14], [21, 27, 26], [28, 24], [20, 25], [29]]
33: [[17, 7], [6, 2, 1], [15, 3, 4], [8, 5, 11], [10, 9], [13, 18], [12, 22, 16], [19, 23, 14], [21, 27], [26, 28, 24, 20], [25, 29]]
34: [[17, 7, 6], [2, 1], [15, 3, 4, 8, 13], [5, 11, 9], [10, 12, 22, 16, 14, 19, 26, 21, 18, 27, 23, 28, 25, 20, 24, 29]]
35: [[17, 7, 6], [2, 1, 15], [3, 4], [8], [5, 11, 10, 9, 13, 18, 12, 14, 16, 19, 22, 21, 20, 27], [23, 28, 24, 26, 25, 29]]
36: [[17, 7, 6, 2], [1, 15, 3, 4, 8, 5, 11, 10, 13, 22, 14], [16, 28, 18, 21, 19, 29, 9, 12, 23, 20, 24, 26, 25, 27]]
37: [[17, 7, 6], [2, 1, 15], [3, 4, 8], [5, 11, 10], [9, 13, 18], [12, 14], [16, 19, 23], [21, 26, 22], [20, 25, 28], [27, 24, 29]]
38: [[17, 7, 6, 2], [1, 15, 3], [4, 8], [5, 11, 14, 9, 13, 10, 20, 22, 12, 19, 18, 16, 23, 27, 21, 24, 26, 29, 25, 28]]
39: [[17, 7, 6], [2, 1, 15], [3, 4, 9], [5, 11, 8, 10, 14, 21, 12, 22, 18, 19, 16, 13, 23, 27, 26, 28, 25, 20, 29, 24]]
40: [[17, 7], [6, 2], [1, 15, 3, 4, 8, 5, 12, 9, 11, 10, 13, 22, 20, 14, 21, 27, 18, 16, 23, 24, 25, 26, 19, 28, 29]]
41: [[17, 7, 6, 2], [1, 15], [3, 4, 8, 5], [11, 9, 10], [13, 23, 12, 18, 21], [19, 16, 14, 22], [27, 24, 26], [29, 20], [25, 28]]
42: [[17, 7, 6, 2], [1, 15, 3], [4, 8, 5], [11, 10, 9, 13, 22, 12, 20, 18, 19, 24, 14, 21, 27, 16, 28, 25, 23, 26, 29]]
43: [[17, 7, 6, 2], [1, 15], [3, 4, 8], [5, 11, 10], [9, 13], [22, 12], [14, 16], [19, 20, 23, 21, 27, 18, 24, 28], [26, 25, 29]]
44: [[17, 7, 6], [2, 1, 15], [3, 4, 8, 5], [11, 10, 9], [13, 22, 12, 14], [16, 19, 23, 18, 21, 27, 26, 28, 25, 24, 20, 29]]
45: [[17, 7, 6], [2, 1, 15], [3, 4, 8, 5, 11], [10, 13, 9, 20], [12, 14, 18], [19, 16], [21, 28], [27, 22, 25, 26, 23], [24, 29]]
46: [[17, 7, 6], [2, 1, 15], [3, 4, 8], [5, 11, 10, 13], [9, 20, 12], [22, 14, 19, 16], [18, 21, 27], [26, 29], [24, 23, 25], [28]]
47: [[17, 7, 6], [2, 1, 15], [3, 4, 8], [5, 11], [10, 9, 13], [18, 12, 14], [22, 19, 26, 21, 24, 27], [20, 28, 16, 23, 25, 29]]
48: [[17, 7, 6, 2], [1, 15], [3, 4, 8], [5, 11], [10, 9], [13], [23, 12, 22, 16, 18, 26, 14, 19, 27, 20, 24, 28], [21, 25, 29]]
49: [[17, 7, 6], [2, 1], [15, 3, 4, 8], [5, 11, 14], [9, 13], [10, 20], [22], [12, 16, 23, 19, 21, 27, 18, 24, 26, 29, 25, 28]]
50: [[17, 7], [6, 2, 1], [15, 3], [4, 8], [5, 9, 14], [11, 10], [13, 21, 22], [12, 23, 18], [16, 26, 27], [19], [20, 24, 28, 25, 29]]
51: [[17, 7, 6], [2, 1, 15, 3, 4], [8, 5, 11, 10, 9, 13, 22, 28, 14, 12, 16, 19, 18, 21, 27, 26, 24, 20], [23, 25, 29]]
52: [[17, 7, 6, 2], [1, 15, 3], [4, 8, 5], [11, 10, 9], [13, 23], [12, 22, 16, 19], [20, 14, 21], [26, 18], [25, 24, 27, 28, 29]]
53: [[17, 7, 6], [2, 1, 15], [3, 4, 8, 5, 11], [10, 9, 13, 23], [12, 14, 16], [19, 18], [21, 28], [27], [22, 24, 26, 20, 25, 29]]
54: [[17, 7, 6], [2, 1], [15, 3], [4, 8], [13, 11], [10, 9, 5], [23, 12, 14], [16, 18, 19, 22, 21], [27, 26, 28, 20, 24, 25, 29]]
55: [[17, 7, 6], [2, 1, 15], [3, 4, 8], [13, 5], [11], [10, 9, 23], [12, 22], [16, 14, 19], [18, 21], [26, 24, 28], [27, 20, 29], [25]]
56: [[17, 7], [6, 2], [1, 15], [3, 4], [8, 5, 11], [14, 10, 9], [12, 20, 16], [13, 21, 26, 18], [22, 27, 23], [19, 24, 29, 25, 28]]
57: [[17, 7, 6], [2, 1, 15], [3, 4, 8, 13], [9, 10, 5, 11], [12, 14], [22, 16], [18, 20], [19, 27], [21, 25, 24], [28, 26, 29, 23]]
58: [[17, 7, 6], [2, 1, 15], [3, 4, 8], [13, 11, 14], [9, 5], [22, 12], [10, 20, 19], [23, 16, 21], [27, 18, 24], [28, 25, 29, 26]]
59: [[17, 7, 6], [2, 1], [15, 3, 4], [8, 5, 11], [9, 10, 13], [22, 12], [14, 18], [23, 16], [19, 21], [27, 26, 25, 24], [20, 28, 29]]
