0: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8, 12], [13, 11, 15, 14], [9, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
30: [[3, 5, 6, 10], [1, 2, 19], [7, 4, 8, 13], [14, 11, 9, 12], [15, 16, 17, 18], [23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
31: [[3, 5, 6], [10, 1, 2, 19], [7, 4, 8, 12], [15, 11], [13, 14], [9, 16, 17, 18], [23, 22, 24, 28], [21, 27, 26, 29], [25, 20]]
32: [[3, 5, 6, 10], [1, 2], [19, 7], [4, 8, 12, 15], [11, 13, 9, 17], [14, 16, 18], [23, 22, 24, 28], [21, 27, 26, 29], [25, 20]]
33: [[3, 5, 6, 10], [1, 2, 19], [7, 4, 8, 15], [12, 11, 13, 14], [9, 16], [17, 18], [23, 22, 28, 24], [21, 27, 26, 29], [25, 20]]
34: [[3, 5], [6, 10], [1, 2, 19, 7], [4, 8, 12, 13], [11, 15, 14], [9, 16, 17, 18], [23, 22, 24, 28], [21, 27, 26, 29], [25, 20]]
35: [[3, 5], [6, 10], [1, 2, 19, 7], [4, 8, 12, 13], [11, 15, 14], [9, 16, 17, 18], [23, 22, 24, 28], [21, 27, 26, 29], [25, 20]]
36: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8, 13], [12, 11, 9, 14], [15, 16], [17, 18], [23, 24, 22, 28], [21, 27, 26, 29], [25, 20]]
37: [[3, 5, 6, 10], [1, 2], [19, 7], [4, 8, 12, 15], [11, 13, 14, 9], [16, 17, 18], [23, 22, 24, 28], [21, 27, 26, 29], [25, 20]]
38: [[3, 5, 6, 10], [1, 2], [19, 7], [4, 8, 12, 15], [11, 14, 13, 9], [16, 17, 18], [23, 22, 24, 28], [21, 27, 26, 29], [25, 20]]
39: [[3, 5, 6, 10], [1, 2], [19, 7], [4, 8, 12, 15], [11, 13, 14, 9], [16, 17, 18], [23, 22, 24, 28], [21, 27, 26, 29], [25, 20]]
40: [[3, 5, 6, 10], [1, 2], [19, 7], [4, 8, 12, 15], [11, 13, 14, 9], [16, 17, 18], [23, 22, 24, 28], [21, 27, 26, 29], [25, 20]]
41: [[3, 5, 6], [10, 1], [2, 19, 7, 4], [8, 12, 15, 11], [13, 14, 9, 16], [17, 18, 23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
42: [[3, 5], [6, 10, 1, 2], [19, 7, 4, 8], [12, 15, 11, 13], [14, 9, 16, 17], [18, 23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
43: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8, 12, 15], [11, 13], [14, 9], [16, 17, 18], [23, 22, 24, 28], [21, 27, 26, 29], [25, 20]]
44: [[3, 5], [6, 10], [1, 2, 19, 7], [4, 8, 12, 15], [11, 13, 14, 9], [16, 17, 18], [23, 22, 24, 28], [21, 27, 26, 29], [25, 20]]
45: [[3, 5], [6, 10, 1, 2], [19, 7, 4, 8], [12, 15, 11, 13], [14, 9, 16], [17, 18, 23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
46: [[3, 5], [6, 10, 1, 2], [19, 7, 4, 8], [12, 15, 11, 13], [14, 9, 16], [17, 18, 23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
47: [[3, 5], [6, 10, 1, 2], [19, 7, 4, 8], [12, 15, 11, 14], [13, 9, 16], [17, 18, 23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
48: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8], [12, 15], [11, 13, 14, 9], [16, 17, 18, 23], [22, 24, 28], [21, 27, 26, 29], [25, 20]]
49: [[3, 5], [6, 10, 1, 2], [19, 7, 4, 8], [12, 13, 11], [14, 15, 9, 16], [17, 18, 23, 22], [24, 28], [21, 27, 26, 29], [25, 20]]
50: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8, 12, 14], [11, 13, 15], [9, 16, 17, 18], [23, 24, 28, 22], [21, 27], [26, 29], [25, 20]]
51: [[3, 5, 6, 10], [1, 2], [19, 7], [4, 8, 12, 15], [11, 13, 14, 9], [16, 17, 18, 23], [22, 24, 28], [21, 27, 26, 29], [25, 20]]
52: [[3, 5, 6, 10], [1, 2], [19, 7], [4, 8, 12, 15], [11, 13, 14, 9], [16, 17, 18, 23], [24, 28, 22], [21, 27, 26, 29], [25, 20]]
53: [[3, 5, 6, 10], [1, 2], [19, 7], [4, 8, 12, 15], [11, 13, 14, 9], [16, 17, 18, 23], [22, 24, 28], [21, 27, 26, 29], [25, 20]]
54: [[3, 5], [6, 10], [1, 2, 19, 7], [4, 8, 15, 14], [11, 13, 12, 9], [16, 17, 18], [23, 22, 24, 28], [21, 27, 26, 29], [25, 20]]
55: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8, 12], [15, 11, 14, 13], [9, 21, 16, 18], [23, 22], [24, 28], [17, 27, 26, 29], [25, 20]]
56: [[3, 5, 6, 10], [1, 2], [19, 7], [4, 8, 13, 15], [11, 9, 12, 14], [16, 17, 18], [23, 20, 24, 22], [21, 27, 26, 29], [25, 28]]
57: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8], [15, 9], [11, 14, 12], [17, 13, 16, 18], [23, 20, 24, 22], [21, 27, 26, 29], [25, 28]]
58: [[3, 5, 6, 10], [1, 2, 19, 7], [4, 8], [12, 14], [11, 13, 9], [15, 16, 17, 18], [23, 26, 28, 20], [21, 27, 22, 29], [25, 24]]
59: [[3, 5], [6, 10, 1, 2], [19, 7, 4, 8], [12, 15, 11], [13, 9, 14, 16], [17, 18, 23, 22], [28, 20, 21, 27], [26, 29], [25, 24]]
