0: [[2, 35, 7], [1, 3, 4], [30, 13, 21, 5, 6], [9, 14], [11, 24, 10, 15, 12, 8, 16, 18, 23, 17, 31], [19, 20, 25], [22, 26, 28, 27], [29, 40, 32, 38, 37], [33, 39, 34, 42, 41, 36, 45, 43, 44, 47, 46], [51, 55, 48, 52, 53, 54, 58, 50, 56, 59], [57, 49, 60]]
28: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 6], [10, 14, 9, 12, 8, 11, 16, 15, 20, 19, 27], [17, 23, 18, 26, 22, 24, 25, 29, 28, 31], [40, 32, 36], [33, 38, 39, 37, 34, 41, 42, 43, 45], [47, 54, 44, 46, 51, 48, 52, 49, 50, 58, 53, 59, 55, 56, 60, 57]]
29: [[2, 35, 7, 1], [3, 4], [30, 13, 21, 5, 6, 9, 11, 8, 14, 16], [12, 18, 10], [15, 17, 19, 22, 23, 20, 27, 31, 24, 25, 26, 29, 28, 42, 40, 38, 32, 39], [37, 34, 33, 44, 36, 41, 47, 45], [43, 46, 51, 48, 58, 52, 50, 53, 54, 56, 49, 57, 60, 59, 55]]
30: [[2, 35, 7], [1, 3, 4, 30], [13, 21, 5, 6, 9, 10, 8, 26, 12, 11, 15, 14, 20, 23, 16, 18, 22, 24, 17, 25, 19, 27, 28, 29, 31, 40, 33, 36, 32, 34, 37, 39, 42, 41, 46, 38, 43, 44, 45], [47, 49, 50, 53, 48, 52, 54, 51, 55, 57, 58, 56, 59, 60]]
31: [[2, 35, 7, 1], [3, 4, 30, 13, 21, 5, 6], [9, 11, 10, 27, 8, 14, 28, 15, 12], [19, 20, 23, 18, 17, 22, 25], [24, 16, 29], [26, 31, 32, 34], [38, 42, 33, 37, 36, 46, 45, 40, 39, 41, 44], [47, 43, 48, 55, 54, 52, 53, 51], [58, 50, 59, 57, 56, 49, 60]]
32: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5], [6, 8, 14], [11, 12, 9, 15, 16, 10, 17, 23, 19, 26, 24, 18, 20, 25], [28, 31, 22, 27], [29, 40, 33, 36, 32, 34, 39, 42, 38, 41, 37, 46, 43, 44, 45, 47, 51, 55, 53, 49, 52, 48, 58, 50, 54, 59, 56, 57, 60]]
33: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 6], [8, 14, 11], [10, 9, 12, 17], [15, 16, 23, 22], [20, 19, 18, 24], [25, 26, 27, 28, 31, 29, 40, 32], [36, 34, 37], [39, 42, 33, 41, 38, 45, 44, 43], [46, 47, 50, 55], [52, 51, 48, 53, 54, 56, 58, 59, 57, 49, 60]]
34: [[2, 35, 7, 1], [3, 4, 30, 13, 21, 9, 6], [5, 15, 8, 28, 10, 11, 12, 18, 14, 16, 27], [17, 20, 19, 31, 24, 23], [25, 22, 26, 29, 42, 41, 38, 34, 36, 32, 33, 39, 44, 47, 37, 43], [45, 46, 40, 51, 48, 52, 50, 53, 54, 58, 49, 55, 59, 56, 60, 57]]
35: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 6, 5, 9], [15, 8, 14], [24, 10, 18, 11], [31, 17, 20, 12], [16, 19, 25, 23, 22, 26, 27, 28, 29], [40, 32, 36], [33, 38, 39, 34], [41, 37, 42], [46, 45, 44, 43, 47, 50, 54, 55, 52], [53, 51, 49, 58, 48, 56, 57, 59, 60]]
36: [[2, 35, 7], [1, 3, 4, 30, 13, 21, 5, 6, 8, 11], [9, 27, 10, 12, 22, 17, 14, 23, 19, 15], [20, 24, 16, 25], [31, 18, 26, 28], [29, 40, 33, 37, 32, 34, 41, 39, 42, 47, 46, 44, 43, 38], [36, 45, 50, 56, 54, 48, 53], [49, 59, 55, 57, 60, 51, 52, 58]]
37: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 6, 9], [11, 10, 24, 12, 14], [8, 15, 16, 17, 19, 22, 23, 20, 18, 31, 25], [26, 27], [29, 28, 46], [41, 34, 33, 32, 39, 37, 36, 38, 45, 42], [40, 43, 44, 47, 55, 57, 54, 48, 51, 50, 53, 52, 49, 56, 58, 59, 60]]
38: [[2, 35], [7, 1, 3, 4, 30, 13, 21, 5, 6, 9, 10], [8, 26, 15, 14, 22, 16, 20, 11, 24, 17, 12, 18, 19, 23, 27, 25, 29, 31, 28, 42, 33, 38, 32, 36, 39, 34, 45, 40, 37, 41, 43, 44, 47, 46, 48], [55, 54, 52, 49, 51, 50, 57, 56, 59, 53, 58, 60]]
39: [[2, 35, 7], [1, 3, 4, 30], [13, 21, 5, 6], [8, 15, 9, 26, 10, 14, 11, 12], [20, 17, 24, 18, 16], [19, 27, 22, 23, 25, 29, 31], [28, 46, 33, 36, 34], [32, 43, 37], [38, 40, 39, 41], [45, 44], [51, 42, 47, 49, 54, 52, 50, 53, 55, 58, 56, 57, 48, 59, 60]]
40: [[2, 35, 7], [1, 3, 4], [30, 13, 21, 5, 6], [9, 15], [8, 27, 11, 14, 10], [12, 29, 17, 20, 16, 18, 19, 24, 28, 23, 22, 25, 31, 26, 40, 33, 38, 34, 32, 37, 36, 39, 41], [45, 46, 42, 43, 44, 47, 51, 49, 54, 52, 55, 53, 56, 50, 58, 57, 59, 48, 60]]
41: [[2, 35, 7], [1, 3, 4, 30], [13, 21, 6], [5, 9, 10, 15, 28, 11, 18, 12, 8], [14, 16, 20], [22, 23, 25, 26], [29, 27, 17, 19, 31], [24, 40, 33, 32, 34, 36, 39], [38, 37, 41, 42, 43, 45, 47, 46, 44, 51], [52, 48, 49], [53, 50, 57, 56, 59, 54, 55, 60, 58]]
42: [[2, 35, 7], [1, 3, 4, 30], [13, 5, 21, 6], [9, 14, 15], [26, 8, 22, 16, 18, 10], [11, 23, 28], [12, 17, 19], [29, 20, 25, 24], [27, 31, 32, 36, 33, 40, 34, 39, 37, 38, 41, 46, 42, 44], [45, 47, 43, 50, 48, 51, 49, 52, 55, 57, 54, 56, 58, 53, 59, 60]]
43: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 6], [9, 14, 8, 10, 12, 15, 28, 11, 26, 25], [20, 23, 22, 19, 18, 16, 24, 17, 29], [31, 27, 40, 33], [38, 34, 39, 37, 41, 46, 45, 32, 36, 42, 44, 47, 43, 51, 54, 48, 50, 53, 55, 58, 52, 56, 59, 60, 49, 57]]
44: [[2, 35, 7], [1, 3, 4], [30, 13, 21, 5], [6, 9, 14, 11, 26], [10, 15, 12, 8, 18, 17, 23, 16, 24], [19, 20, 25, 22], [28, 29, 27, 31, 32, 34, 38, 41, 33, 39, 37, 42, 40, 36, 45, 43, 44, 47, 46, 51, 54, 48, 52, 53, 55, 58, 50, 56, 59, 57, 49, 60]]
45: [[2, 35, 7, 1], [3, 4, 30, 13, 21, 5, 6], [9, 11, 8, 10, 12, 15, 28, 14, 23], [17, 22, 26, 16, 19, 18, 25, 20, 24, 27, 29, 31, 32, 41, 36, 33, 37, 39, 43, 34, 45, 38, 42, 40, 44, 46, 47, 50, 55, 49, 52, 48, 53, 57, 51, 54, 56, 59, 58, 60]]
46: [[2, 35, 1], [3, 7, 4, 30], [13, 21, 5, 6, 9, 10, 16, 26, 14], [12, 8, 15, 29, 17, 11, 18, 20, 19, 24, 22, 23, 25, 28, 27, 31, 40, 42, 36, 32, 34, 33, 37, 46, 38], [39, 47, 44, 41, 43, 45, 49, 51, 53, 52, 48, 54, 50, 55, 56, 57, 59, 58, 60]]
47: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5], [6, 8, 15], [9, 28, 10, 11, 14, 18, 20, 22, 12, 19, 17], [16, 24, 31, 23, 25, 26, 29, 27, 40, 45, 36, 34, 32, 37, 33, 38, 39, 46, 42, 41, 44, 43, 47, 51, 56, 54, 52, 48, 50, 59, 49, 57, 60, 55, 53, 58]]
48: [[2, 35, 7, 1], [3, 4, 30, 13, 21, 5, 6, 9, 8, 11], [10, 15, 14, 16, 12, 28, 19, 31, 17, 20, 27, 23, 25, 24, 18, 22, 26, 40, 32, 33, 34, 39, 38, 37, 47, 44, 41, 45, 36, 42, 50, 46, 43, 49, 54, 48, 53, 52, 51, 56, 57, 59, 55, 58, 29], [60]]
49: [[2, 35, 7, 1], [3, 4, 30], [13, 5], [21, 6, 9, 8, 10], [11, 27, 15, 14, 31, 16, 12, 19, 17, 28, 20, 18, 24, 25, 22, 23, 29, 26, 40, 37, 32, 34, 33, 36, 38, 39, 41, 43, 46, 45, 44, 47, 55, 51, 48, 52, 57], [53, 42, 54, 58, 50], [56, 59, 49, 60]]
50: [[2, 35, 7, 1, 3, 4, 30], [13, 21, 5, 6], [8, 10, 9, 27, 12, 11, 26, 16, 20, 19, 15, 14, 17, 18, 22, 25, 29, 31, 23, 24, 28], [40, 33, 38, 34, 32, 36, 39, 41, 45, 44, 43, 37, 42, 47, 46, 48, 51, 53, 54, 50, 56, 58, 49, 55, 59, 57, 52, 60]]
51: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5], [6, 9, 11, 10, 8, 24, 15, 19], [18, 14, 17], [16, 22, 20, 12], [25, 23, 28, 27, 26], [29, 31, 42, 34, 38, 33, 32, 37, 36, 39, 43, 41, 46, 40], [45, 44, 47, 49, 51, 53, 52, 48, 54, 50, 55, 57, 56, 60, 59, 58]]
52: [[2, 35, 7, 1], [3, 4, 30, 13], [21, 6, 5, 11], [8, 9, 27], [14, 10, 12, 15], [16, 17, 19, 20], [18, 24, 23, 25, 22, 26, 31, 28], [29, 40, 33], [37, 34], [32, 39, 44, 36, 41, 45, 38], [42, 46], [54, 47, 43, 51, 53, 52, 48], [55, 50, 57, 49, 56, 60, 58, 59]]
53: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 6, 9], [14, 8, 12, 10], [15, 17, 16, 31, 18, 23, 11], [24, 19, 20, 25], [22, 26, 28, 27, 29, 38], [33, 37], [36, 32, 39], [34, 46, 45, 40], [43, 44, 47, 41, 42], [51, 55, 49], [48, 53, 54, 50], [59, 56, 60, 52, 58, 57]]
54: [[2, 35, 7, 1], [3, 4, 30, 13, 21, 5, 6], [8, 11, 9, 14, 15, 12, 16, 17, 18, 10], [19, 22, 20, 23, 27, 31, 26, 29, 24, 25], [28, 33, 40], [34, 32, 38, 37, 36, 39, 44, 47, 41, 42, 43, 45, 46, 51, 48, 49, 55, 50], [54, 57, 59, 52, 58, 60, 53, 56]]
55: [[2, 35, 7, 1], [3, 4, 30, 13, 21, 5, 6], [9, 14, 11, 25, 15, 10, 28, 8, 12], [16, 20, 18, 17, 19, 22, 23], [24, 26, 29], [27, 31, 40, 34, 36], [41, 32, 39, 37, 46, 45, 33, 38, 42, 47], [44, 43, 51, 54, 48, 52, 53], [55, 58, 50, 49, 56, 57, 59, 60]]
56: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 6], [9, 11, 8], [12, 10, 15, 28], [14, 18, 25, 22], [26, 16, 19, 17, 31, 23, 24, 20, 29], [27, 40, 33, 36, 32, 34, 39, 41, 42, 37, 38, 43, 47, 44, 46, 45, 50, 55, 52, 54, 48, 53, 58, 56, 51, 57, 59, 49, 60]]
57: [[2, 35, 7], [1, 3, 4, 30, 13], [21, 5, 6, 9, 15, 8, 24, 10, 23, 11, 12, 16, 18, 14, 17, 19], [22, 20, 27, 25, 26, 31, 29, 28, 40, 33, 38, 39, 32, 34, 37, 36], [42, 45, 41, 44, 43, 46, 47, 51, 54, 52, 53, 48, 49, 58, 50, 57], [59, 55, 60, 56]]
58: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 6], [10, 14, 11], [9, 12, 15, 17], [8, 18, 16, 24], [23, 22, 20], [26, 31, 19, 25], [29, 28, 27, 32, 34], [38, 33, 36, 39, 41, 42, 43, 37, 40], [46, 44, 47, 45], [50, 55, 52, 48, 49, 53, 54, 56, 51, 59, 57, 58, 60]]
59: [[2, 35, 7, 1], [3, 4, 30, 13, 5, 21, 6], [8, 11, 9, 12, 15, 14, 28, 24, 16, 10], [19, 22, 20], [17, 18, 23, 26, 29, 25, 27, 43, 33, 37], [34, 31, 32, 40, 36, 38, 39, 41, 42, 44, 46, 45, 47, 55, 53, 52, 49], [50, 48, 51, 59, 54, 56, 60, 57, 58]]
60: [[2, 35, 7, 1], [3, 4, 30, 13, 21, 5, 6, 9, 8, 10], [27, 11, 12, 14, 16, 15, 18, 23, 19, 17, 22, 20, 26, 24, 31, 25, 28, 29, 40, 33, 34, 32, 38, 39, 37, 36, 43, 42, 46, 45, 47, 41, 44, 50, 51, 53, 48, 49, 54, 55, 52, 56, 59, 58, 57, 60]]
61: [[2, 35, 7, 1], [3, 4, 30, 13, 21, 6, 5], [8, 11, 9, 14, 12, 15, 28, 24, 20, 10, 17, 16, 22, 31, 19, 23, 27, 26, 29, 25], [44, 33, 32, 38, 36, 34, 42, 39], [43, 45, 37, 41, 46, 47, 40, 50, 48, 53, 52, 51, 18, 56, 58, 57, 54, 49, 55, 59, 60]]
62: [[2, 35, 7, 1], [3, 4], [30, 13, 5, 21, 6, 9, 11, 10, 14], [18, 8, 28, 31], [23, 16, 19, 22, 20], [12, 17, 15, 24], [25, 26, 27, 45, 42, 37], [38, 33, 29, 41, 34, 47, 43, 32, 46], [40, 36, 39], [54, 50, 53, 44, 49, 51, 48, 58, 56, 52, 57, 60, 55, 59]]
63: [[2, 35, 7], [1, 3, 4, 30], [13, 21, 5, 6], [8, 14, 9], [27, 11, 10, 22, 28, 15, 23, 24, 16, 19, 20, 12, 25, 17], [18, 29, 26, 31], [38, 37, 36, 41, 33, 39, 32, 34, 45, 42, 40, 46, 43, 44, 47, 50, 48, 52, 49, 51, 55, 53, 54, 56, 57, 59, 58, 60]]
64: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 6], [9, 14, 10], [12, 8, 11, 17], [28, 31, 18, 15], [16, 19, 20, 24, 25, 27, 26], [22, 23, 29, 42], [32, 37, 34, 33, 39, 36], [40, 38], [41, 43, 44], [47, 45, 46, 51], [56, 52, 50, 53, 55], [48, 57, 54], [60, 49, 59, 58]]
65: [[2, 35, 7, 1], [3, 4], [30, 13, 21, 5, 6, 8, 9, 11, 12, 16], [15, 18, 10, 14, 20, 23, 19, 17, 27, 26, 22, 28, 24, 25, 31, 29, 40, 33, 32, 37, 34, 36, 39, 41, 38, 43, 42, 44, 45, 47, 46, 55, 48, 58, 53, 50, 49, 51, 59, 52, 54, 60, 57, 56]]
66: [[2, 35, 7, 1], [3, 4, 30, 13], [21, 5, 6, 9], [12, 11, 24, 14, 15, 18, 8, 19, 10, 22, 16, 17, 20, 23, 31, 26, 27, 28, 25, 29, 40, 32, 36, 33, 34, 39, 45, 37, 43, 38, 46, 41, 42, 44, 47, 49, 54, 48, 52, 50, 51], [59, 53, 58, 57, 55, 56, 60]]
67: [[35, 7, 1, 2], [3, 4, 30], [13, 5, 21], [9, 14, 24], [8, 11, 15, 12, 6, 10], [16, 22, 19, 17, 18], [20, 25, 26, 23, 27, 28], [29, 31, 42, 33, 36, 34, 32], [38, 44, 45, 43, 41], [37, 39, 40, 46, 47, 55, 49, 52], [50, 48, 54, 59, 53, 56], [51, 60], [57, 58]]
68: [[2, 35, 7], [1, 3, 4], [30, 13, 21, 5, 6, 9, 14, 11, 12, 8, 10, 19], [16, 23, 15, 17, 22, 25, 18, 20, 26, 31, 24, 28, 27, 29, 40, 32, 38, 34, 36, 39, 42, 33, 37, 46, 43, 44, 41, 47, 45, 51, 55, 53, 50, 52, 48, 58, 56, 54, 59, 57, 49, 60]]
69: [[2, 35, 7, 1], [3, 4, 30, 13, 21, 6], [5, 8, 12, 10, 27, 9, 14, 11, 19, 20, 17, 22, 15, 18, 16, 31, 29, 24, 26, 23, 25], [28, 42, 33, 32, 36, 34, 39, 38], [41, 45, 44, 43, 40, 37, 46, 47, 49, 48, 53, 54, 51, 56, 59, 55, 50, 52, 58, 57, 60]]
70: [[2, 35, 7], [1, 3, 4, 30, 13, 21, 5, 6, 9, 11], [8, 24, 10, 19, 15, 20, 12, 17, 16], [14, 18, 22], [23, 29, 28, 25, 31, 27, 26, 40, 36, 38, 33, 32, 34, 39, 37, 47, 43, 46, 41, 44, 42, 45, 50, 57, 54, 48, 53, 51, 59, 49, 55, 56, 52, 58, 60]]
71: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 8, 6], [14, 9, 26, 10], [16, 12, 15, 11, 19], [23, 17], [20, 18], [24, 22, 25], [29, 27, 28, 31], [40, 32, 38, 37, 34], [39, 36, 33], [43, 47, 41, 42, 44, 45, 46], [51, 56, 50], [55, 53, 52, 59, 48, 57, 49, 60, 54, 58]]
72: [[2, 35, 7, 1], [3, 4], [30, 13, 21], [5, 6, 8, 11, 10, 12, 18, 15], [16, 9, 14, 22, 17, 23], [20, 19, 24, 31, 25, 28, 26], [29, 27, 40, 43], [32, 33, 34, 37, 38], [39, 41, 36, 44], [45, 42, 46, 47, 51, 50, 58], [53, 49, 48, 54], [55, 57, 60], [52, 56, 59]]
73: [[2, 35, 7, 1], [3, 4, 30], [13, 21, 5, 10], [9, 14, 6], [11, 12, 18, 23, 8, 19, 24, 15, 22], [16, 20, 26, 31, 17, 25, 29, 27, 28, 38, 33, 32, 34, 41, 39, 40, 42, 43, 36, 37], [45, 46, 44, 47, 50, 55, 49], [52, 53, 48, 56, 51, 54, 57, 60, 58, 59]]
