0: [[3, 2, 9, 6, 13, 8, 1, 5], [10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
32: [[3, 2, 9, 1, 6, 13, 5, 8, 10], [4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
33: [[3, 2, 9, 1, 6, 13, 5, 8, 10], [4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
34: [[3, 2, 9, 1, 6, 13, 5, 8, 10], [4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
35: [[3, 2, 9, 1, 6, 13, 5, 8, 10], [4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
36: [[3, 2, 9, 1, 6, 13, 5, 8, 10], [4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
37: [[3, 2, 9, 1, 6, 13, 5], [8, 10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
38: [[3, 2, 9, 1, 6, 13, 5], [8, 10, 4, 7, 11, 14, 22, 16, 19, 12], [15, 20, 18, 17], [21, 23, 24]]
39: [[3, 2, 9, 1, 6, 13, 5], [8, 10, 4, 7, 11, 14, 22, 16, 12], [19, 15, 20, 18, 17], [21, 23, 24]]
40: [[3, 2, 9, 1, 6, 13, 5], [8, 10, 4, 7, 11, 14, 22, 16, 12], [19, 15, 20, 18, 17], [21, 23, 24]]
41: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 22, 16, 19, 15, 12], [20, 18, 17], [21, 23, 24]]
42: [[3, 2, 9, 1, 6, 13, 5, 8, 10], [4, 7, 11, 14, 22, 16, 19, 15, 12], [20, 18, 17], [21, 23, 24]]
43: [[3, 2, 9, 1, 6, 13, 5, 8], [10, 4, 7, 11, 14, 12, 22, 16, 19], [15, 17, 20, 18, 21], [23, 24]]
44: [[3, 2, 9, 1, 6, 13, 5], [8, 10, 4, 7, 11, 14, 12, 22, 16, 19], [15, 17, 20, 18, 21], [23, 24]]
45: [[3, 2, 9, 1, 6, 13, 5], [8, 10, 4, 7, 11, 14, 12, 22, 16, 19, 15], [17, 20, 18, 21], [23, 24]]
46: [[3, 2, 9, 1, 6, 13, 5, 8, 10], [4, 7, 11, 14, 12, 22, 16, 19, 15], [17, 20, 18, 21], [23, 24]]
47: [[3, 2, 9, 1, 6, 13, 5, 8, 10], [4, 7, 11, 14, 12, 22, 16, 19, 15], [17, 20, 18, 21], [23, 24]]
48: [[2, 9, 1, 6, 13, 5, 3, 8], [10, 4, 7, 11, 14, 12, 22, 16], [19, 15, 17, 20], [18, 21, 23, 24]]
49: [[2, 9, 1, 6, 13, 5, 3, 8], [10, 4, 7, 11, 14, 12, 22, 16], [19, 15, 17, 20], [18, 21, 23, 24]]
