0: [[19, 20, 51], [58, 22], [13, 6, 21], [25, 32], [14, 41, 35, 2], [34, 3, 33], [24, 15, 10, 12], [4, 37, 16, 29], [9, 5, 38, 18], [1, 54], [17, 55, 47], [26, 8, 7, 39, 40, 23, 30, 28], [43, 27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
14: [[19, 20], [51, 58, 22], [13, 6, 21], [25, 32, 14], [41, 35, 2], [34, 3, 33], [24, 15, 10], [12, 4, 37], [16, 29, 9], [5, 38, 18], [1, 54, 17], [55, 47], [26, 8, 7], [39, 40, 23], [30, 28, 43], [27, 11, 46], [31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
15: [[19, 20], [51, 58, 22], [13, 6, 21], [25, 32, 14], [41, 35, 2, 34], [3, 33, 24], [15, 10, 12], [4, 37, 16], [29, 9, 5], [38, 1, 54], [17, 55, 47], [26, 8, 7], [18, 39, 40], [23, 30, 28], [43, 27, 11], [46, 31, 42], [45, 56], [44, 36], [50, 52, 53], [49, 57, 48], [60, 59]]
16: [[19, 20], [51, 58, 22, 13], [6, 21, 25], [32, 14, 41], [35, 2, 34], [3, 33, 24], [15, 10, 12], [4, 37, 16], [29, 9], [5, 38, 1], [54, 17, 55], [47, 26, 8], [7, 39, 40], [23, 30], [18, 28], [43, 27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 60, 59]]
17: [[19, 20, 51], [58, 22, 13], [6, 21, 25], [32, 14, 41], [35, 2, 34], [3, 33, 24], [15, 10, 12], [4, 37, 16], [29, 9, 5, 38], [1, 54, 17], [55, 47, 31], [26, 8, 7], [39, 40], [23, 30, 28], [43, 27, 11], [46, 18, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
18: [[19, 20, 51], [58, 22, 13], [6, 21, 25], [32, 14, 41], [35, 2], [34, 3, 33], [24, 15, 10], [12, 4, 37], [16, 29, 9], [5, 38, 18], [1, 54, 17], [55, 47, 26], [8, 7, 39], [40, 23, 30], [28, 43, 27], [11, 46], [31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 60, 59]]
19: [[19, 20], [51, 58, 22], [13, 6, 21], [25, 32], [14, 41, 35], [2, 34, 3], [33, 24, 15], [18, 10, 4], [37, 12, 29], [9, 5, 16], [38, 1, 54], [17, 55, 47], [26, 8], [7, 39, 40, 23], [30, 28, 42], [11, 43, 27], [31, 46], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
20: [[19, 20, 51], [58, 22, 13], [6, 21, 25], [32, 14, 41], [35, 2, 34], [3, 33, 24], [15, 10, 12], [4, 37, 16], [29, 9, 5], [38, 18, 1], [54, 17, 55], [47, 26], [8, 7, 39], [40, 23, 30, 28], [43, 27, 11], [46, 31, 42], [45, 56, 44], [36, 50], [52, 53, 49, 57, 48, 59, 60]]
21: [[19, 20], [51, 58], [22, 13, 21], [25, 32], [14, 41, 35], [34, 2, 6], [3, 33, 24], [15, 10, 12], [4, 37, 16], [29, 9], [5, 18, 38], [1, 54], [17, 55], [47, 26, 8], [7, 39], [40, 23, 30], [28, 43, 27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 60, 59]]
22: [[19, 20, 51], [58, 22, 13], [6, 21, 25], [32, 14, 41], [35, 2, 34], [3, 33, 24], [15, 10, 12], [4, 37, 16], [29, 9, 5], [38, 1, 54], [17, 55, 47], [26, 8, 7], [18, 39, 40], [23, 30, 28], [43, 27, 11], [46, 31, 42], [45, 56], [44, 36], [50, 52, 53], [49, 57, 48], [60, 59]]
23: [[19, 20, 51], [58, 22, 13], [6, 21], [25, 32, 14], [41, 35, 2, 34], [3, 33, 24], [15, 10, 12, 4], [37, 16, 29], [9, 5, 38], [18, 1, 54], [17, 55, 42, 8], [7, 39, 40], [23, 30, 26], [28, 43, 27, 11], [46, 31, 47], [45, 56, 44], [36, 50, 52], [53, 49, 57, 48, 59, 60]]
24: [[19, 20], [51, 58, 22], [13, 6, 21], [25, 32, 14], [41, 35, 2], [34, 3, 33], [24, 15, 10], [12, 5, 4], [16, 29, 9], [37, 38, 18], [1, 54, 17], [55, 47, 26], [8, 7, 39], [40, 23, 30], [28, 43, 27], [11, 46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
25: [[19, 20], [51, 58, 22], [13, 6, 21], [25, 32, 14], [41, 35, 2], [34, 3, 33], [24, 15, 10], [12, 4, 37], [16, 29, 9, 5], [38, 18, 1], [54, 17, 55], [47, 26, 8], [7, 39], [40, 23, 30], [28, 43, 27], [11, 46, 31], [42, 45], [56, 44], [36, 50, 52], [53, 49, 57], [48, 60, 59]]
26: [[19, 20, 51, 58], [22, 13, 25, 21], [32, 14, 41], [35, 34, 3, 2], [33, 24, 15, 4, 37, 6, 10, 12], [16, 29, 9], [5, 38, 1], [54, 17, 55, 47], [26, 8, 7], [39, 40, 23, 18], [30, 28, 46], [11, 43, 27], [31, 42, 45], [56, 44, 36], [50, 52, 53], [49, 57, 48, 59, 60]]
27: [[19, 20], [51], [58], [22, 13, 21], [25, 32, 14], [41, 35, 2], [34, 3, 33], [1, 24, 15], [10, 12, 4], [37, 16, 29], [9, 5, 18], [38], [6, 54, 17], [55, 47, 26], [7, 39, 40], [23, 30], [8, 28, 43], [27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
28: [[19, 20, 51, 58], [22, 13, 21], [25], [32, 14, 41], [35, 34, 2], [3, 33, 24], [15, 6, 10, 12], [4, 37, 16], [9, 5, 18, 29], [38, 1], [17, 55, 47], [26, 8, 7], [54, 39, 40], [23, 30, 28], [43, 27, 11], [46, 31, 42], [45, 56], [44, 36], [50, 52, 53], [49, 57, 48], [60, 59]]
29: [[19, 20], [51, 58, 22], [13, 6, 21], [25, 32, 14], [41, 35, 2], [34, 3, 33], [24, 15, 10], [12, 4, 37], [16, 29, 9], [5, 38, 1], [54, 17, 55], [47, 26, 8], [7, 18, 39], [40, 23, 30], [28, 43], [27, 11, 46], [31, 42, 45], [56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
30: [[19, 20, 51], [58, 22], [13, 6, 21], [25, 32, 14], [41, 35, 2], [34, 3], [33, 24, 15], [18, 10], [4, 37], [12, 29], [9, 5, 16], [38, 1, 54, 17], [55, 47, 26], [8, 7, 39], [40, 23, 30], [28, 43, 27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
31: [[19, 20, 51], [58, 22, 13], [6, 21, 25], [32, 14, 41], [35, 2, 3], [33, 24, 15, 12], [34, 10, 4], [37, 16, 29], [9], [5, 38, 1], [18, 54, 17], [55, 47, 26], [8, 7], [39, 40, 23], [30, 28, 43], [27, 11, 46], [31, 42, 45], [56, 44], [36, 50, 52], [53, 49, 57], [48, 60, 59]]
32: [[19, 20, 51], [58, 22, 13, 21], [25], [32, 14, 41], [35, 2], [34, 3, 33], [24, 15, 6, 10], [4, 37, 29], [9, 5, 12], [16, 38, 1, 18], [54, 17, 55], [47, 26, 8], [7, 39, 40], [23, 30], [28, 43, 27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57, 48, 59, 60]]
33: [[19, 20], [51], [58], [22, 13, 21], [25, 32, 14], [41, 35, 2], [34, 3, 33], [24, 15, 6, 10], [4, 37, 12], [16, 9, 5, 18], [30, 17], [1, 54, 29], [55], [47, 26, 8], [7, 39, 40], [23, 38, 28], [43, 27], [11, 46], [31, 42, 45], [56, 44, 36], [50, 52, 53], [49, 57, 48], [59, 60]]
34: [[19, 20], [51, 58, 22], [13], [6, 21], [25, 32], [14, 41, 35], [2, 34, 3], [33, 24, 15], [10, 12, 4], [37, 16, 29], [9, 5, 38], [18, 1], [54, 17, 55], [47, 26, 8], [7, 39, 40], [23, 30, 28], [43, 27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
35: [[19, 20, 51], [58, 22, 13], [6, 21, 25], [32, 14, 41], [35, 2, 34], [3, 33, 24], [15, 10, 12, 4], [37, 16, 29], [9, 5, 18], [38, 1, 54], [17, 55, 47], [26, 8, 7], [39, 23, 30], [28, 46, 11], [43, 27, 40], [31, 42, 45], [56, 44, 36], [50, 52, 53], [49, 57, 48, 59, 60]]
36: [[19, 20], [51, 58], [22, 13], [6, 21, 25], [32, 14, 41], [35, 2, 34], [3, 33, 24], [15, 10], [12, 4], [37, 29, 16], [9, 5, 38], [18, 1, 54], [17, 55, 47], [26, 8, 7], [39, 40], [23, 30, 28], [43, 27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
37: [[19, 20], [51, 58], [22, 13, 21], [25, 32, 14], [41, 35, 2], [34, 3, 33], [24, 15, 6, 10], [4, 37, 29], [16, 12], [9, 5], [38, 1, 54], [17, 55], [47, 26, 7], [39, 40, 23], [30, 8, 28, 18], [43, 27, 11], [46, 31, 42], [45, 56], [44, 36, 50], [52, 53, 49, 57, 48, 59, 60]]
38: [[19, 20], [51, 58], [22, 13], [6, 21], [25, 32, 14], [41, 35, 2], [34, 3, 33], [24, 15, 10], [12, 4, 37], [16, 29, 9], [5, 18], [38, 1, 54], [17, 55, 47], [26, 7, 39], [40, 23, 30], [8, 28, 43], [27, 11, 46], [31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
39: [[19, 20], [51, 58, 22], [13, 21, 25], [32, 8, 14], [41, 35, 2], [34, 3, 33], [24, 15, 10], [12, 4, 37], [16, 29, 9], [5, 38, 18], [1, 54, 17], [55, 47, 26], [6, 7], [39, 40], [23, 30, 28], [43, 27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57, 48, 60, 59]]
40: [[19, 20, 51], [58, 22, 13], [6, 21, 25], [32, 14, 41], [35, 2, 34], [3, 33, 24], [15, 10, 12], [4, 37, 16], [29, 9, 5], [38], [1, 54], [17, 55, 47], [26, 8], [7, 18], [39, 40, 23], [30, 28, 43], [27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
41: [[19, 20], [51, 58, 22], [13, 6, 21], [25, 32, 14], [41, 35], [2, 34, 3], [33, 24, 15], [10, 12, 4], [37, 16, 29], [9, 5, 18], [38, 1, 54], [17, 55, 47], [26, 8, 7], [39, 40, 23], [30, 28], [43, 27, 11], [46, 31, 42, 45], [56, 44, 36], [50, 52, 53], [49, 57, 48], [59, 60]]
42: [[19, 20, 51], [58, 22, 13, 21], [25], [32, 14, 41], [35, 34, 2], [3, 33, 24], [15, 12], [6, 10, 4], [37, 16, 29], [9, 5, 38], [1, 18, 54], [17, 55], [47, 26], [8, 7, 39], [40, 23, 30], [28, 43, 27], [11, 46, 31], [42, 45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 60, 59]]
43: [[19, 20], [51, 58, 22], [13, 21, 25], [32, 8, 14], [41], [35, 2, 34], [3, 33], [24, 15, 10], [12, 4, 37], [16, 29, 9], [5, 18], [38, 1, 54], [17, 55, 47], [26, 6, 7], [40, 23, 30], [28, 46, 11], [43, 27], [39, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
44: [[19, 20, 51], [58, 22, 13], [6, 21, 25], [32, 14, 41], [35, 2, 34], [3, 33, 24, 15], [10, 12, 4], [37, 16, 29], [9, 5, 38, 18], [1, 54, 17], [55, 47, 26], [8, 7, 39], [40, 23, 30, 28, 43, 27], [11, 46, 31, 42, 45, 56, 44, 36], [50, 52, 53, 49, 57, 48, 59, 60]]
45: [[19, 20, 51], [58, 22, 13], [6, 21, 25], [32, 14, 41], [35, 2, 34], [3, 33, 24], [15, 10, 12], [4, 37, 16], [29, 9, 5], [38, 1, 54], [17, 55, 47], [26, 8, 7], [18, 39, 40], [23, 30, 28], [42, 11, 43], [27, 31, 46], [45, 56], [44, 36], [50, 52, 53], [49, 57, 48], [59, 60]]
46: [[19, 20, 51], [58, 22, 13], [6, 21, 25], [32, 14, 41], [35, 2, 34], [3, 33, 24], [15, 10, 12], [4, 37, 17], [16, 9, 5], [38, 18, 1], [54, 29, 55, 47], [26, 8], [7, 39, 40], [23, 30, 28], [43, 27], [11, 46, 31], [42, 45, 56], [44, 36], [50, 52, 53], [49, 57, 48], [59, 60]]
47: [[19, 20], [51, 58], [22, 13], [6, 21, 25], [32, 14, 41], [35, 2, 34], [3, 33, 24], [15, 10, 12], [4, 37], [16, 29, 9], [5, 38, 1], [54, 17, 55], [47, 31, 26], [8, 7, 39], [40, 23, 30], [28, 43], [27, 11], [46, 18, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
48: [[19, 20, 51], [58, 22], [13, 21, 25, 32, 8, 14], [41, 35, 2, 34, 3, 33, 24], [15, 10, 12], [4, 37, 16], [29, 9, 5], [18, 38], [1, 54, 17], [55, 47, 26], [6, 7, 39, 40], [23, 30, 28, 43], [27, 11, 46], [31, 42, 45], [56, 44, 36, 50, 52, 53], [49, 57, 48, 59, 60]]
49: [[19, 20, 51], [58, 22, 13], [6, 21, 25], [32, 14, 41], [35, 2], [34, 3, 33], [24, 15, 10], [12, 4, 37], [16, 29, 9], [5, 38], [18, 1], [54, 17, 55], [47, 26, 8], [7, 39, 40], [23, 30, 28], [43, 27, 11, 46], [31, 42, 45], [56, 44, 36], [50, 52, 53], [49, 57, 48, 60, 59]]
50: [[19, 20, 51], [58, 22, 13], [6, 21, 25], [32, 14, 41], [35, 2, 34], [3, 33, 24], [15, 10, 12], [4, 37, 17], [16, 9, 5, 38], [18, 1, 54], [29, 55], [47, 26, 8], [7, 39], [40, 23, 30], [28], [43], [27, 11, 46], [31, 42, 45], [56, 44], [36, 50, 52], [53, 49, 57], [48, 60, 59]]
51: [[19, 20], [51], [58], [22, 13, 21], [25, 32, 14], [41, 35, 2], [34, 3, 33], [24, 15, 6, 10], [12, 4, 37], [16, 9, 5], [18, 30, 17], [1, 54, 29], [55], [47, 26, 8], [7, 39, 40], [23, 38, 28], [43, 27], [11, 46], [31, 42, 45], [56, 44, 36], [50, 52, 53], [49, 57, 48], [59, 60]]
52: [[19, 20], [51, 58], [22, 13, 6], [21, 25], [32, 14, 41], [35, 2], [34, 3, 33], [24, 15], [10, 12, 4, 37], [16, 29, 9, 5], [38, 18, 1, 54], [17, 55], [47, 26, 8], [7, 39, 40, 23, 30, 28], [43, 27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
53: [[19, 20, 51], [58, 22], [13, 6, 21], [25, 32], [14, 41, 35], [2, 34, 3], [33, 24, 15], [10, 12, 5], [4, 16, 29], [9, 37, 38], [18, 1, 54], [17, 55, 47], [26, 8, 7], [39, 40, 23], [30, 28, 43], [27, 11, 46], [31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
54: [[19, 20], [51, 58, 22], [13, 21, 25], [32, 14, 41], [35, 2], [34, 3, 33], [24, 15, 6], [10, 12, 4], [37, 16, 9], [5, 18], [29, 38, 1], [54, 17, 55], [47, 26, 8], [7, 40, 23], [30, 28], [46, 11, 43], [27, 39, 31], [42, 45], [56, 44, 36], [50, 52, 53], [49, 57, 48], [59, 60]]
55: [[19, 20], [51, 58, 22], [13, 6, 21], [25, 32], [14, 41, 35], [2, 34, 3], [33, 24, 15], [18, 10, 4], [37, 12, 29], [9, 5, 16], [38, 1, 54], [17, 55, 47], [26, 8], [7, 39], [40, 23, 30], [28, 43, 27], [11, 46], [31, 42, 45], [56, 44, 36], [50, 52, 53], [49, 57, 48], [60, 59]]
56: [[19, 20, 51], [58, 22, 13], [6, 21, 25], [32, 14, 41], [35, 2, 34], [3, 33, 24], [15, 10, 12], [4, 37, 29], [16, 9, 5], [38, 18, 1], [54, 17, 55], [47, 26, 8], [7, 39], [40, 23, 30], [28, 43, 27], [11, 46], [31, 42, 45], [56, 44, 36], [50, 52, 53], [49, 57, 48, 59, 60]]
57: [[19, 20], [51, 58], [22, 13, 6], [21, 25, 32], [14, 41, 35], [2, 34, 3], [33, 24, 15], [10, 12, 4], [37, 16, 29], [9, 5, 18], [38, 1, 54], [17, 55, 47], [26, 8, 7], [39, 40], [23, 30, 28], [43, 27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 60, 59]]
58: [[19, 20, 51], [58], [22, 13, 21], [25, 32], [14, 41, 35], [2, 34, 3, 33], [24, 15, 6], [10, 4, 37], [29, 9, 5], [12, 16, 38], [1, 18, 54], [17, 55, 47], [26, 8, 7], [39, 40, 23], [30, 28], [43, 27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 60, 59]]
59: [[19, 20], [51, 58, 22], [13, 6, 21], [25, 32, 14], [41, 35, 2], [34, 3, 33], [24, 15, 10], [12, 4, 37], [16, 29, 9], [5, 38, 18, 1], [54, 17, 55], [47, 26, 8], [7, 39, 40], [23, 30, 28], [43, 27], [11, 46, 31], [42, 45, 56], [44, 36, 50, 52, 53, 49, 57, 48, 60, 59]]
60: [[19, 20, 51], [58, 22, 13], [6, 21, 25], [32, 14], [41, 35, 2], [34, 3, 24], [15, 33, 10], [12, 4, 37, 16], [9, 5, 18], [30, 17, 1], [54, 29, 55], [47, 26, 8], [7], [40, 23, 38], [28, 46, 11, 43], [27, 39, 31], [42, 45, 56], [44, 36, 50], [52, 53, 49, 57], [48, 59, 60]]
61: [[19, 20, 51], [58, 22, 13], [21, 25, 32], [14, 41, 35], [34, 2, 6], [3, 33], [24, 15, 10], [12, 4, 37], [16, 29, 9], [5, 18, 38], [1, 54, 17], [55, 47], [26, 8, 7], [39, 40], [23, 30, 28], [46, 11, 43], [27, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
62: [[19, 20], [51, 58, 22], [13, 6, 21, 25, 32, 14, 41, 35], [2, 34, 3, 33, 24, 15, 10, 12, 4, 37, 16, 29, 9, 5, 38, 1, 54, 17, 55, 47, 26, 8, 7, 23, 39, 40, 18, 30, 28, 43, 27, 11, 46, 31, 42, 45, 56, 44, 36], [50, 52, 53, 49, 57, 48, 60, 59]]
63: [[19, 20], [51, 58], [22, 13, 6], [21, 25, 32], [14, 41, 35], [2, 34, 3], [33, 24, 15], [10, 12, 4], [37, 16], [29, 9, 5], [18, 38, 1], [54, 17, 55], [47, 26, 8], [7, 39, 40], [23, 30, 28], [43, 27, 11], [46, 31, 42], [45, 56, 44], [36, 50, 52], [53, 49, 57], [48, 59, 60]]
64: [[19, 20], [51, 58, 22], [13, 6, 21], [25, 32, 14], [41, 35, 2], [34, 3, 33], [24, 15, 10], [12, 4, 37], [17, 16, 9], [5, 38], [18, 1, 54], [29, 55, 47], [26, 8, 7], [39, 40], [23, 30, 28], [43, 11], [27, 46, 31], [42, 45, 56], [44, 36, 50], [52, 53], [49, 57, 48], [59, 60]]
65: [[19, 20], [51, 58], [22, 13, 21], [25, 32], [14, 41, 35], [34, 2, 6], [3, 33], [24, 15, 10], [12, 4, 37], [16, 29, 9], [5, 18], [38, 1, 54], [17, 55, 47], [26, 8], [7, 40, 23], [30, 28, 46], [11, 43, 27, 39, 31, 42], [45, 56, 44, 36], [50, 52, 53, 49, 57, 48, 59, 60]]
66: [[19, 20, 51], [58, 22], [13, 21], [25, 32], [14, 41, 35, 2], [34, 3, 33], [24, 15, 6, 10], [4, 12], [37, 16, 29, 9], [5, 38, 1, 18], [54, 17, 55], [47, 26, 8], [7, 39, 23], [30, 28], [46, 11], [43, 27, 40], [31, 42, 45, 56], [44, 36, 50], [52, 53, 49], [57, 48, 60, 59]]
67: [[19, 20, 51, 58, 22, 13, 6, 21], [25, 32, 14, 41, 35, 2, 34, 3, 33, 24, 15, 10, 12, 4, 37, 29, 16, 9, 5, 38, 18, 1, 54, 17, 55, 47, 26, 8, 7, 39, 40, 23, 30, 28, 43, 27, 11, 46, 31, 42, 45, 56, 44, 36], [50, 52], [53, 49, 57, 48, 60, 59]]
68: [[19, 20, 51], [58, 22, 13], [21, 6, 25], [32, 14, 41], [35, 2, 34], [3, 33, 24, 15], [10, 12, 4], [37, 16, 29], [9, 5, 38], [18, 1, 54, 17, 55, 47], [26, 8, 7, 39, 40, 23, 30, 28], [43, 27, 11, 46, 31, 42, 45, 56], [44, 36, 50, 52, 53, 49, 57, 48, 59, 60]]
69: [[19, 20, 51], [58, 22, 13], [21, 25, 32, 14], [41, 35, 2], [34, 6, 3], [33, 24, 15, 10], [12, 4, 37], [16, 29], [9, 5, 18], [38, 1, 54], [17, 55, 47], [26, 8, 7, 39], [40, 23], [30, 28, 43, 27, 11, 46, 31], [42, 45, 56, 44, 36, 50, 52], [53, 49, 57, 48, 60, 59]]
70: [[19, 20, 51], [58, 22, 13], [21, 6, 25], [32, 14, 41], [35, 2, 34], [3, 33, 24, 15, 10, 12], [4, 37, 16, 29, 9, 5, 38, 18], [1, 54, 17], [55, 47, 26, 8, 7, 39], [40, 23, 30, 28, 43], [27, 11, 46, 31, 42, 45, 56, 44, 36, 50, 52, 53, 49, 57, 48, 60], [59]]
71: [[19, 20, 51], [58, 22, 13], [6, 21, 25], [32, 14, 41], [35, 2, 34], [3, 33, 24, 15], [10, 4, 12], [37, 16, 29], [9, 5, 38], [18, 1, 54, 17, 55, 47], [26, 8, 7, 39, 40, 23, 30, 28], [43, 27, 11, 46, 31, 42, 45, 56], [44, 36, 50, 52, 53, 49, 57, 48, 59, 60]]
72: [[19, 20], [51], [58], [22, 13, 21, 6], [25, 32, 14], [41, 35, 2], [34, 3, 33, 24, 15, 12, 10], [4, 37, 16, 29, 9, 5, 38, 18], [1, 54, 17, 55, 47, 26, 8, 7, 39, 40, 23, 30, 28, 43, 27, 11, 46, 31, 42, 45, 56, 44, 36, 50, 52, 53, 49, 57, 48, 59, 60]]
73: [[19, 20], [51, 58, 22], [13, 25, 21], [32, 14, 41], [35, 2], [34, 3, 33], [24, 15, 6, 10], [4, 12], [37, 16, 9, 29], [5, 38, 1], [54, 17], [55, 47, 26], [8, 7, 39], [40, 23, 18], [30, 28, 43], [27, 11, 46], [31, 42], [45, 56, 44], [36, 50, 52], [53, 49], [57, 48, 59, 60]]
