0: [[4, 9, 1, 19], [10, 2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
27: [[19, 9, 1, 10, 4], [2, 7, 14, 6, 11, 5], [12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
28: [[19, 9, 1, 10, 2, 3, 4], [7, 14, 6, 11, 5], [12, 8, 13, 15, 16], [20, 22, 17, 18], [23, 21, 24]]
29: [[19, 9, 1, 10, 2, 3, 4], [7, 14, 6, 11, 5], [12, 8, 13, 15, 16], [20, 22, 17, 18], [23, 21, 24]]
30: [[4, 9, 1, 19], [10, 2, 7, 14], [6, 11, 5, 12, 8], [13, 15, 16, 20, 22, 17, 18, 3], [23, 21, 24]]
31: [[4, 9], [1, 10, 2, 7, 14, 6, 11], [5, 12, 8, 13, 15, 19], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
32: [[4, 9], [1, 10, 2, 7, 14, 6, 11], [5, 12, 8, 13, 15, 19], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
33: [[4, 9], [1, 10, 2, 7, 14, 6, 11], [5, 12, 8, 13, 15, 19], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
34: [[4, 9], [1, 10, 2, 7, 14, 6, 11], [5, 12, 8, 13, 15, 19], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
35: [[19, 9, 1, 10, 4], [2, 7, 14, 6], [11, 5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
36: [[4, 9, 19], [1, 10, 2, 7, 14, 6], [11, 5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
37: [[4, 9, 1, 19], [10, 2, 7, 14, 6], [11, 5, 12, 8], [13, 15, 16, 20, 22, 17, 18, 3], [23, 21, 24]]
38: [[4, 9], [1, 10, 2, 7, 14, 6, 11], [5, 12, 8, 13, 19], [15, 16, 20, 22, 17, 18, 3], [23, 21, 24]]
39: [[4, 9], [1, 10, 2, 7, 14, 6, 11, 5], [12, 8, 13, 15, 19], [16, 20, 22, 17, 18, 3], [23, 21, 24]]
40: [[4, 9], [1, 10, 2, 7, 14, 6], [11, 5, 12, 8, 13, 19], [15, 16, 20, 22, 17, 18, 3], [23, 21, 24]]
41: [[4, 9, 1, 19], [10, 2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 23, 3], [21, 24]]
42: [[19, 9, 1, 10, 4], [2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 3], [18, 23, 21, 24]]
43: [[4, 9, 1, 19, 3], [10, 2, 7, 14, 6, 11], [5, 12, 8, 13, 15, 16], [20, 22, 17], [18, 23, 21, 24]]
44: [[19, 9, 1, 10, 4], [2, 7, 14, 6, 11], [5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 23, 3], [21, 24]]
45: [[4, 9, 1, 19, 3], [10, 2, 7, 14, 6, 11], [5, 12, 8, 13, 15, 16], [20, 22, 17, 18, 23], [21, 24]]
46: [[4, 9, 1, 19, 3], [10, 2, 7, 14, 6], [11, 5, 12, 8, 13], [15, 16, 20, 22, 17], [18, 23, 21, 24]]
47: [[4, 9], [1, 10, 2, 7, 14, 6, 11], [5, 12, 8, 13, 15, 19], [16, 20, 22, 17, 18, 23, 3], [21, 24]]
48: [[4, 9, 19], [1, 10, 2, 7, 14, 6], [11, 5, 12, 8, 13, 15], [16, 20, 22, 17, 18, 23, 3], [21, 24]]
49: [[19, 3, 4, 9], [1, 10, 2, 7, 14], [6, 11, 5, 12, 8, 13], [15, 16, 20, 22, 17], [18, 23, 21, 24]]
