0: [[35, 7, 1, 2], [3, 4], [13, 5, 8, 11, 21, 6], [9, 12, 28, 10], [14, 23, 22, 15, 18], [17, 20, 25, 16, 19, 29, 26, 24, 27, 30, 31, 36, 40, 33, 46, 32, 34, 47, 39, 37, 38, 41, 42, 43, 44, 51, 50, 52, 56, 53, 54, 45], [48, 57, 49], [55, 59, 58, 60]]
17: [[35, 7, 1, 2, 3, 4, 13, 21, 6, 5], [25, 11, 8, 10, 27, 15, 28, 16, 22, 20, 9, 17, 12], [14, 23, 18, 19, 30, 24, 31, 26, 29, 40, 32, 33, 37], [34, 36, 39, 47, 42, 38, 43, 45, 41, 44], [51, 48, 46, 50, 60], [52, 49, 53, 57, 54], [55, 56, 58, 59]]
18: [[35, 7, 1, 2, 3], [4, 13, 21, 6, 15, 9, 10, 12, 14, 11], [8, 28], [22, 16, 18, 17, 29, 20, 5, 19, 26, 23, 24, 25, 27, 30, 31], [41, 34, 38, 36, 33, 32, 37, 47, 46, 39, 40, 43, 45, 42, 50], [51, 58, 54, 44], [48, 49, 53, 52, 55, 59, 57, 56, 60]]
19: [[35, 7, 1, 2], [3, 4], [13, 21, 5, 6, 11], [15, 9, 8, 25, 16, 10], [19, 14, 20, 30], [22, 18, 23, 12, 24], [17, 26, 28], [27, 29, 31, 36], [32, 33, 42, 37, 39, 38, 41, 47], [46, 45], [43, 40, 44, 50, 34, 52, 49, 55, 54, 53, 48, 51, 57, 59, 58, 60, 56]]
20: [[35, 7, 1, 2], [3, 4], [13, 21, 5, 9, 31, 6], [8, 12, 24, 25], [28, 10, 14, 22, 11], [19, 20, 15, 16, 23, 29, 26, 17, 18, 30, 27, 36, 32, 34, 38, 39, 42, 37, 40, 33, 41, 47, 43, 45, 44, 46, 51, 60, 56, 53, 49, 50, 52, 55, 48, 57, 58, 54, 59]]
21: [[35, 7, 1, 2, 3, 4], [13, 21, 5, 6, 27, 14, 8], [11, 9, 30, 25, 10, 24, 16, 15], [20, 23, 12, 19, 17, 22, 18, 26, 28, 29, 47, 44, 34, 37, 36, 38, 42, 56, 31, 32, 33, 43, 41, 45, 39, 40, 50, 49, 54, 51, 46], [48, 52, 53, 55, 59, 57, 58, 60]]
22: [[35, 7, 1, 2, 3], [4, 13, 21, 14, 5, 9, 8, 11, 6, 26], [10, 28], [22, 12, 18, 15, 31, 16, 19, 23, 20, 24, 25, 17, 27, 30, 29], [37, 32, 36, 34], [33, 40, 39, 45, 42, 46, 38, 43, 41, 47, 44, 51, 56, 52, 53], [50, 48, 49, 57, 54, 58, 55, 59, 60]]
23: [[35, 7, 1, 2], [3, 4], [13, 21, 5, 14, 6, 9], [15, 10, 8, 28], [11, 12, 20, 17, 18, 19, 16, 26, 27, 23, 25, 30, 22, 31, 29, 24, 36, 45, 37, 38, 32, 34, 60, 39, 33, 40, 42, 41, 43, 46, 55, 50, 44, 52, 57, 54, 47, 53, 48, 49, 51], [59, 58, 56]]
24: [[35, 7, 1, 2], [3, 4, 13, 5], [10, 27, 17, 8, 9, 6, 28, 12, 15, 21, 22, 29, 18, 14, 24, 11, 16, 23, 19, 26, 20, 25, 31, 30, 44, 32, 37, 47, 33, 34, 46, 39, 36, 38, 43, 40, 42, 45, 58], [49, 60, 57, 41, 50, 52, 48, 51, 53, 55, 54, 59, 56]]
25: [[35, 7, 1, 2, 3], [4, 13, 21, 14, 6, 9, 8, 5, 11, 10], [24, 29], [22, 15, 16, 12, 28, 23, 17, 19, 26, 18, 20, 25, 27, 31, 30], [41, 34, 38, 36, 33, 32, 39, 37, 42, 46, 44, 43, 45, 40, 47, 51, 60, 54], [52, 48, 49, 50, 53, 55, 59, 57, 58, 56]]
26: [[35, 7, 1, 2], [3, 4], [13, 21, 5, 14, 6, 9], [15, 10, 8, 28], [11, 12, 20], [17, 18, 19, 16, 26, 27, 23, 25, 30, 22, 31, 29, 24, 36, 45, 37, 38, 32, 34, 60, 39, 33, 40, 42, 41, 43, 46, 55, 50, 44, 52, 57, 54, 47, 53, 48, 49, 51, 59, 58, 56]]
27: [[35, 7, 1, 2], [3, 4], [13, 21, 6, 8, 29, 15], [9, 17, 26, 11], [14, 12, 31, 5, 28, 10, 18], [19, 16, 20, 22, 23, 27, 24, 25, 30, 36, 32, 39, 37, 43, 42, 38, 34, 41, 40, 47], [46, 45, 44, 33, 50, 52, 49, 53, 51, 54, 48, 57, 58, 59, 55, 56, 60]]
28: [[35, 7, 1, 2], [3, 4, 13, 5, 8, 11, 15, 21, 6], [9, 27, 12, 30, 17, 14, 18, 19, 20, 22, 16, 23, 25, 26, 24, 29, 31, 10], [28, 36, 34, 33, 37, 32, 50, 40, 45, 39, 42, 38, 43, 41], [46, 44, 54, 47, 56, 57, 52, 51, 53, 48, 49, 55, 58, 59, 60]]
29: [[35, 7, 1, 2], [3, 4, 13, 21, 5, 26, 9, 8, 14, 11, 6], [28, 12, 31, 15, 10, 17, 20, 18, 19, 27, 16, 30, 24, 22], [23, 29, 25, 44, 38, 32, 36, 33, 34, 37, 47, 42, 39, 43, 41, 40, 46, 59, 58, 49, 56, 52, 53, 45, 48, 50, 51, 54, 55, 57, 60]]
30: [[35, 7, 1, 2], [3, 4, 13, 21, 5, 9, 31, 6], [8, 14, 28, 10, 22, 11, 30, 23, 26, 17, 12, 15, 16, 19, 25, 18, 20, 24, 27, 29, 36, 33, 39, 34, 32], [41, 47, 37, 44, 38, 46, 42, 43, 40, 54, 53, 55, 48, 49, 52, 45, 57, 51, 50, 58, 59, 56, 60]]
31: [[35, 7, 1, 2, 3], [4, 13, 21, 12, 5], [6, 8, 9, 11, 31, 10], [15, 30, 20, 24, 17], [14, 16, 27, 19, 26, 22], [18, 28, 23, 25, 29], [36, 37, 32, 33, 39], [38, 46, 44], [40, 34], [41, 42, 43, 51, 45, 58, 56], [49, 52, 47, 53, 55, 48, 54, 50, 57, 59, 60]]
32: [[35, 7, 1, 2], [3, 4], [13, 21, 5, 31], [9, 6, 15, 11], [14, 10, 8, 19, 16, 30], [23, 12, 17, 18, 20, 22, 25, 24, 27, 26, 28, 29, 44, 32, 34, 40, 33, 42, 38, 39, 36, 37, 43, 46, 41, 47, 56, 48, 49, 55, 45, 50, 53, 52], [51, 54, 58, 60, 59, 57]]
33: [[35, 7, 1, 2], [3, 4], [13, 21, 5, 31], [9, 6, 15, 11], [14, 10, 8, 19, 16, 30], [23, 12, 17, 18, 20, 22, 25, 24, 27, 26, 28, 29, 44, 32, 34, 40, 33, 42, 38, 39, 36, 37, 43, 46, 41, 47, 56, 48, 49, 55, 45, 50, 53, 52], [51, 54, 58, 60, 59, 57]]
34: [[35, 7, 1, 2], [3, 4, 13, 21, 5, 26, 8, 9, 6], [15, 11], [30, 10, 20, 22, 12, 23, 16, 14, 17, 25, 18, 19, 24, 27, 31, 29, 28, 44, 34, 32, 36, 33, 38, 37, 41, 42, 39, 43, 40, 45, 46, 47, 50, 48, 56, 55, 54, 57, 49, 52, 51, 53, 58, 59, 60]]
35: [[35, 7, 1, 2], [3, 4], [13, 21, 14, 28, 10, 5, 9, 12, 25, 8, 15, 6, 30, 11, 17, 19, 20, 23], [16, 24, 27, 18, 22, 26, 31, 29, 46, 32, 37, 36, 39, 34, 44, 38, 40, 41, 43, 42, 45, 47, 56, 58, 54, 48, 33, 50, 51, 49, 57], [53, 55, 52, 59, 60]]
36: [[35, 7, 1, 2], [3, 4, 13, 21, 5, 11, 31, 6], [9, 14, 10], [26, 8, 15, 30, 23, 17, 24, 12, 18], [16, 19], [22, 20, 25, 27, 28, 29, 36, 33, 39, 34, 38, 42, 47, 37, 32, 40, 43, 46], [41, 44, 45, 49, 50, 48, 53, 52, 54, 55, 51, 57, 56, 59, 58, 60]]
37: [[35, 7, 1, 2], [3, 4], [13, 21, 8, 5, 29], [6, 9, 14, 24, 10, 11, 19, 22, 12, 18, 15, 16, 20, 23, 17, 25, 26, 27, 30, 28, 31, 34, 32, 37, 38, 36, 39, 47, 44, 33, 43, 41], [40, 45, 46], [49, 50, 54, 42], [53, 52, 48, 55, 56, 57, 51, 58, 59, 60]]
38: [[35, 7, 1, 2], [3, 4], [13, 5, 6, 15, 21, 14], [9, 8, 11, 10], [12, 22, 20, 19, 16, 17, 18, 28, 23, 26], [31, 25, 24, 27, 30, 29, 44], [33, 34, 45, 32, 43, 46, 36, 38, 37, 40, 47, 39, 41, 51, 50], [52, 53, 42, 54, 48, 58, 57, 49, 55, 59, 60, 56]]
39: [[35, 7, 1, 2], [3, 4, 13, 21, 5, 10, 8, 6], [9, 11, 14, 25, 12, 26, 19, 16, 28, 22, 17, 15, 18], [20, 23, 24, 27, 29, 30, 31, 44, 33, 36, 37, 34, 32, 38, 45, 40, 42, 39, 47, 41, 43, 46, 54, 57, 48, 55, 51, 49, 50, 52, 53, 58, 56, 59, 60]]
40: [[35, 7, 1, 2, 3, 4, 13, 21, 6, 5], [9, 11, 8, 14, 25, 15, 12, 19, 22, 10, 20, 17, 24], [16, 23, 26, 18, 30, 29, 27, 28, 31, 32, 34, 36, 37], [33, 38, 47, 43, 40, 39, 42, 41, 45, 46, 50, 48, 53, 51], [44, 54, 55, 49, 57, 52, 56], [59, 58, 60]]
41: [[35, 7, 1, 2], [3, 4], [13, 5, 31, 14, 9, 8, 21, 6], [11, 12], [24, 29, 22, 30, 15, 16, 26, 20, 19, 17, 23, 25, 27, 28, 32, 36, 34, 10], [33, 39, 43, 37, 38, 42, 40, 45, 44, 41, 47, 46, 49, 52, 50, 55, 54, 18], [53, 48, 51, 58, 57, 56, 59, 60]]
42: [[35, 7, 1, 2], [3, 4, 13, 21, 6], [14, 8, 12, 11, 5], [10, 15, 22, 9, 28, 18, 19, 20], [16, 25, 24, 23], [26, 17, 27, 31, 29], [30, 40, 33, 34, 38, 36, 32, 44, 37], [43, 39, 41, 47, 42, 45], [46, 49, 50, 53, 51, 52, 48, 56, 54, 57, 55, 59, 60, 58]]
43: [[35, 7, 1, 2], [3, 4, 13, 21, 9, 5, 25, 6, 8, 10, 28, 14, 31, 18, 24, 22, 27, 11, 12, 15, 16, 19, 17], [20, 23, 26, 30, 29, 36, 32, 34, 33, 38, 41, 47, 37, 46, 40, 39, 42, 43, 44, 45, 53, 48, 50, 55, 52, 49, 54, 51, 56, 59, 57, 58, 60]]
44: [[35, 7, 1, 2], [3, 4, 13, 5, 29, 9, 21, 6], [8, 14, 28, 12, 19, 22, 11, 24, 17, 15, 25, 16, 18, 27, 20, 23, 30, 26, 31, 36, 32, 39, 34, 33, 10], [42, 47, 43, 44, 37, 46, 41, 38, 40, 54, 53, 55, 48, 49, 52, 45, 57, 51, 50, 56, 59, 58, 60]]
45: [[35, 7, 1, 2], [3, 4, 13, 21], [5, 30, 25, 6, 9, 15, 28, 8, 10, 22, 24, 11, 18, 12, 14, 27, 20, 19, 16, 26, 17, 29, 23, 31, 44, 32, 33, 46, 37, 34, 47, 39, 36, 38, 41, 43, 40, 42, 50, 58, 45, 48, 49, 54, 52, 51, 55, 53], [57, 56, 60, 59]]
46: [[35, 7, 1, 2], [3, 4], [13, 5, 25, 12], [9, 26, 24, 14, 28, 11, 8, 15, 17, 10, 21, 6], [23, 18, 19, 16, 20, 22, 27, 29, 31, 30, 32, 34, 36, 38, 33, 44, 39, 37, 42, 46, 45, 43, 41, 40, 47, 50, 60, 48, 52, 49, 55, 54, 53, 51, 58, 57, 59, 56]]
47: [[35, 7, 1, 2], [3, 4], [13, 21, 5, 14, 6, 9], [15, 10, 8, 28], [11, 12, 20], [17, 18, 19], [16, 26, 27, 23, 25, 30, 22, 31, 29, 24, 36, 45, 37, 38, 32, 34, 60, 39, 33, 40, 42, 41, 43, 46, 55, 50, 44, 52, 57, 54, 47, 53, 48, 49, 51, 59, 58, 56]]
48: [[35, 7, 1, 2], [3, 4, 13, 21, 6], [5, 8, 11, 9, 12], [25, 15, 28, 14, 22, 10, 18, 16, 24, 17, 23, 31, 19, 20], [27, 26, 29, 30, 40, 33, 32], [37, 34, 38], [44, 36, 42, 39, 41, 43, 46, 45, 47, 48, 52, 55, 58, 54, 53, 49, 50, 57, 51, 59, 56, 60]]
49: [[35, 7, 1, 2], [3, 4, 13, 21, 5, 6, 8], [14, 11, 10, 9, 12, 22, 15, 20], [19, 16], [18, 25, 28, 24, 26, 17, 23, 31, 29, 27, 30, 44, 32, 36, 33, 38, 41, 34, 39, 45, 37, 47, 40, 42, 43, 46, 49, 51, 50, 53, 52, 54, 55, 48, 57, 58, 56, 59, 60]]
50: [[35, 7, 1, 2], [3, 4, 13, 21, 6, 31, 5, 10, 9], [12, 25, 8, 14], [11, 30, 15, 18], [17, 16, 19, 20, 22, 23, 26, 28, 29, 24, 27, 44, 40, 33, 36, 39, 34, 47, 46, 32, 38, 41, 43, 45, 37, 48, 42, 60, 50, 51, 54, 52, 49, 56, 53, 55, 57, 58, 59]]
51: [[35, 7, 1, 2], [3, 4, 13, 21, 5, 6, 25, 8, 10, 9, 12, 11, 14, 19, 22, 31, 15, 28, 17, 24, 16, 18, 23, 30, 20], [26, 27, 29, 42, 36, 32, 33, 39, 34, 37, 38, 44, 40, 41, 43, 45, 46, 47, 49, 48, 51, 53, 52, 54, 50, 55, 57, 60, 58, 59, 56]]
52: [[35, 7, 1, 2], [3, 4, 13, 21, 5, 6, 19, 8, 9, 10, 11], [31, 24], [12, 15, 20, 14, 25, 16, 17], [18, 22], [23, 28, 26, 27, 30, 29, 44, 33], [32, 39, 34, 58, 36, 45, 38, 40, 37, 43, 42, 47, 41], [50, 46, 52, 53], [48, 51, 49, 54, 55, 56, 57, 59, 60]]
53: [[35, 7, 1, 2], [3, 4, 13, 21, 5, 8, 6, 9, 14, 10, 27], [11, 12, 31, 20, 19, 15, 22], [29, 24], [16, 17, 18, 23, 28, 26, 25, 30, 32, 34, 33, 36, 37, 42, 40, 45, 39, 38, 44, 43, 41, 47, 46, 50, 55, 54, 49, 60, 51, 48, 52, 57, 58, 53, 56, 59]]
54: [[35, 7, 1, 2], [3, 4, 13, 21, 5, 15, 17, 6, 8, 12, 24, 9, 10, 19, 18, 11, 22, 14, 16, 20, 23, 28, 27, 26, 29, 25, 31, 30, 40, 32, 39, 46, 33, 34, 47, 37, 36, 38, 41, 43, 42, 45, 51, 54, 44, 57, 50, 53, 52, 48, 58, 55], [49, 56, 60, 59]]
55: [[35, 7, 1, 2], [3, 4], [13, 21, 5, 14], [31, 12, 6, 8, 29, 9], [22], [15, 10, 25, 18, 17, 20, 11, 24, 26, 16], [30, 19, 23, 27, 28], [32, 37, 33, 43], [34, 36, 39], [44, 47, 38], [45, 40, 42, 59, 41, 58], [49, 52, 48, 46, 50], [55, 51, 53, 56, 54, 57, 60]]
56: [[35, 7, 1, 2], [3, 4, 13, 21, 5, 6, 12, 8, 15, 11, 10, 27, 26, 14, 9, 18, 19, 16, 17, 28, 25, 22, 30, 20, 23, 24, 31, 29, 40, 34, 38, 33, 37, 41, 47, 32, 36, 39, 42, 43, 44, 45, 46, 50, 59, 52, 53, 48, 49], [55, 56, 51, 57, 54, 60, 58]]
57: [[35, 7, 1, 2], [3, 4, 13, 21, 5, 6, 24, 9, 8], [15, 10], [14, 11, 20, 30, 12, 22], [25, 16, 17, 18, 29, 19, 26, 23], [27, 31], [28, 44, 34, 32, 33, 38, 36, 39, 41, 42, 37, 43, 40, 47, 45], [46, 49, 48, 50, 55, 54, 56, 51, 52, 53, 58, 59, 57, 60]]
58: [[35, 7, 1, 2], [3, 4, 13, 5, 8, 6, 9, 15, 10, 11, 12, 31, 17, 14, 25, 28, 16, 19, 20, 30, 18, 26, 24, 22, 21], [23, 27, 29, 46, 32, 33, 36, 37, 47, 39, 41, 34, 40, 42, 43, 44, 38, 45, 54, 48, 49, 50, 52, 51, 53, 57, 55, 59, 56, 58, 60]]
59: [[35, 7, 1, 2], [3, 4, 13, 5], [9, 6, 25, 10, 15, 11], [29, 24, 28, 8, 12], [14, 16, 22, 23, 20, 17, 18, 26, 19, 21], [31, 30], [27, 36, 34, 38, 33, 37, 39, 40, 41, 32, 47, 43, 46, 45, 42], [44, 50, 56, 48, 53, 49, 55, 51, 58, 52, 59, 54, 60, 57]]
60: [[35, 7, 1, 2], [3, 4], [13, 21, 8, 11, 25, 6, 5, 9, 10], [30, 15], [18, 24, 22, 27, 28, 12, 14, 16, 19, 31, 20, 17, 23, 26, 29, 36, 32, 34], [33, 39, 42, 47, 37, 38, 40, 43, 44, 41, 45, 46, 49, 48, 50, 55, 52, 53, 54, 51, 56, 57, 59, 58, 60]]
61: [[35, 7, 1, 2], [3, 4], [13, 5, 8, 30, 27, 6], [9, 11, 12, 10, 14, 18, 19, 15, 26, 20, 17, 21, 16, 22, 23, 28, 25, 24, 29, 31, 40, 36, 32], [37, 39, 42, 38, 34, 47, 33], [45, 41, 44, 46, 43, 51, 48, 50, 54, 52, 57, 53, 58, 55, 49, 56, 59, 60]]
62: [[35, 7, 1, 2, 3, 4], [13, 21, 5, 11, 18, 6], [8, 10, 9, 29, 12, 14], [22, 16, 23, 27], [17, 15], [20, 19, 25, 24, 26, 30, 28, 31, 44, 36, 32, 39, 34], [33, 38, 47, 40, 46, 43, 37, 41, 42, 45, 50, 48, 49, 53, 51, 55, 52, 56, 54, 57, 58, 59, 60]]
63: [[35, 7, 1, 2], [3, 4, 13, 5], [9, 28, 6, 17], [11, 8, 24, 30, 14, 20, 16, 12], [10, 15, 18, 19, 21, 23, 25, 27, 22], [26, 31, 29, 40, 37, 32, 39, 34, 33], [36, 42, 38, 44, 41, 43, 47, 45, 53, 58, 60, 48, 46], [49, 51, 50, 55, 54, 52, 57, 59, 56]]
64: [[35, 7, 1, 2], [3, 4, 13, 21, 6, 5, 8, 30, 15], [11, 9, 10, 22], [24, 14, 17, 27, 29, 16, 18, 26, 20, 12, 19], [31, 23, 25, 28], [46, 40], [37, 32], [36, 34, 42, 33, 39, 38, 43, 47, 45, 41, 44, 51, 52, 57, 49, 54, 48, 53, 50, 58, 55, 59, 56, 60]]
65: [[35, 7, 1, 2], [3, 4], [13, 5, 29, 14, 11, 9, 8, 21, 6], [12, 19, 22], [20, 15, 16, 17, 10], [23, 24, 26, 25, 27, 28, 31], [30, 33], [36, 34, 39, 32, 41, 46, 37, 38, 43, 40, 47, 42, 44, 45, 50, 54, 49, 52, 53, 48, 55, 51, 57, 56, 58, 59, 60, 18]]
66: [[35, 7, 1, 2], [3, 4, 13, 21], [19, 15, 12, 8, 5, 6, 14, 9, 10, 22], [11], [16, 17, 18, 23, 20, 25, 26], [30, 24], [27, 28, 29, 31, 32, 37, 36, 33, 39, 34, 46, 38, 43, 42, 44, 40], [41, 45, 47, 59, 48, 54, 60, 50, 49, 51, 55, 52, 53, 58, 56, 57]]
67: [[35, 7, 1, 2], [3, 4, 13], [5, 6, 14, 27, 9, 15, 8, 16, 11, 10, 19, 31, 12, 23, 17, 22, 24, 20, 26, 21, 18, 25, 29, 28, 30, 44, 36, 32, 37, 33, 38, 39, 40, 34, 41, 42, 43, 46, 45, 48, 49, 60, 53, 51, 50, 47, 59, 54, 52, 55, 56, 58, 57]]
68: [[35, 7, 1, 2], [3, 4, 13, 5, 8, 12, 6, 29, 9, 10, 24, 17, 11, 14, 22, 30, 31, 15, 16, 19, 28, 27, 26, 18, 20, 23, 21, 25, 32, 40, 36], [33, 37, 56, 39, 41, 34, 43, 42, 47, 44, 45, 46, 58, 49, 48, 38, 54, 52, 50, 51, 53, 57, 59, 55, 60]]
69: [[35, 7, 1, 2], [3, 4, 13, 21, 5, 6, 10, 11, 8, 9, 16, 15, 12, 19, 18, 20, 14, 17, 26, 24, 23, 27, 22, 25, 29, 28, 31], [30, 32, 33, 38, 34, 36, 37, 47, 41, 44, 39, 40, 42, 43], [46, 45, 58, 49, 51, 48, 55], [50, 52, 53], [54, 56, 59, 57, 60]]
70: [[35, 7, 1, 2, 3], [4, 13, 21, 5, 6], [9, 10, 14, 12, 31, 8], [11, 15, 22, 26, 17, 23, 20, 16], [24, 19, 25, 18, 29, 27, 30, 28, 36, 37, 32, 41, 33, 42, 39, 46, 38, 34, 43, 40, 44, 47, 45, 50], [51, 49, 53, 48, 60, 52, 59, 55], [54, 56, 58, 57]]
71: [[35, 7, 1, 2], [3, 4, 13, 21, 12, 5, 6, 10, 8], [11, 15, 14, 9], [16, 18, 19, 29, 17, 20, 26], [30, 23, 27, 22, 24, 28, 25, 31, 42, 38, 33, 32, 36, 40, 37, 43, 41, 44, 39], [47, 45, 46, 60, 34, 49, 52, 51], [50, 53, 54, 59, 55, 58], [57, 48, 56]]
72: [[35, 7, 1, 2, 3, 4, 13, 21, 5], [6, 27, 26, 9, 24, 10, 14, 8, 23, 11, 12], [16, 15, 17, 20, 19, 18, 29, 22, 25, 28, 31, 30, 44, 32], [33, 37, 38, 34, 46, 36], [39, 41, 40, 42, 45], [59, 57, 51, 43, 54, 47, 52, 49, 48, 50, 53, 60, 56, 58, 55]]
73: [[35, 7, 1, 2], [3, 4, 13, 5, 31, 9], [6, 8, 11, 10, 14, 12, 15, 16, 24, 18, 30, 19, 23, 27, 17, 22, 20, 26, 21, 25, 28, 29, 40, 34, 38, 44, 32, 37, 33, 36, 43, 47, 42, 39, 41, 45, 46, 48, 53, 55, 49, 51, 52, 54, 58, 56, 59, 57, 50, 60]]
