0: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
15: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
16: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
17: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
18: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
19: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
20: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
21: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
22: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
23: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
24: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
25: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
26: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
27: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
28: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
29: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22, 20], [21, 23, 24]]
30: [[2, 19, 1], [5, 4, 7, 13, 11, 8, 9, 6], [14, 10], [12, 15, 16, 18, 17, 22, 20, 3], [21, 23, 24]]
31: [[2, 19, 5, 4, 7], [13, 11, 8, 9, 6, 1], [14, 10], [12, 15, 16, 18, 17, 22, 20, 3], [21, 23, 24]]
32: [[2, 19, 5, 1], [4, 7, 13, 11, 8, 9, 6], [14, 10], [12, 15, 16, 18, 17, 22, 20, 3], [21, 23, 24]]
33: [[2, 19, 5, 1], [4, 7, 13, 11, 8, 9, 6], [14, 10], [12, 15, 16, 18, 17, 22, 20, 3], [21, 23, 24]]
34: [[2, 19, 5, 4], [7, 13, 11, 8, 9, 14, 6, 1], [10, 12, 3], [15, 16, 18, 17, 22, 20], [21, 23, 24]]
35: [[2, 19, 5, 4], [7, 13, 11, 8, 9, 14, 6, 1], [10, 12, 3], [15, 16, 18, 17, 22, 20], [21, 23, 24]]
36: [[2, 19, 5, 4], [7, 13, 11, 8, 9, 14, 6, 1], [10, 12, 3], [15, 16, 18, 17, 22, 20], [21, 23, 24]]
37: [[2, 19, 5, 4], [7, 13, 11, 8, 9, 14, 6, 1], [10, 12, 3], [15, 16, 18, 17, 22, 20], [21, 23, 24]]
38: [[2, 19, 5, 4], [7, 13, 11, 8, 9, 14, 6, 1], [10, 12, 3], [15, 16, 18, 17, 22, 20], [21, 23, 24]]
39: [[2, 19, 5, 4, 7], [13, 11, 8, 9, 14, 6, 1], [10, 12, 3], [15, 16, 18, 17, 22, 20], [21, 23, 24]]
40: [[2, 19, 5, 4, 7, 1], [13, 11, 8, 6], [9, 14], [10, 12, 15, 16, 18, 17, 22, 20, 3], [21, 23, 24]]
41: [[2, 19, 5], [4, 7, 13, 11, 8, 1], [9, 14, 6], [10, 12, 15, 16, 18, 17, 22, 20, 3], [21, 23, 24]]
42: [[2, 19, 5], [4, 7, 13, 11, 8, 1], [9, 14, 6], [10, 12, 15, 16, 18, 17, 22, 20, 3], [21, 23, 24]]
43: [[2, 19, 5], [4, 7, 13, 11, 8, 1], [9, 14, 6], [10, 12, 15, 16, 18, 17, 22, 20, 3], [21, 23, 24]]
44: [[3, 6], [1, 2, 19, 5, 4], [7, 13, 11, 8, 9], [14, 10], [12, 15, 16, 18, 17, 22], [20, 21, 23, 24]]
45: [[2, 19, 5, 4], [7, 13, 11, 8, 1], [9, 14, 6], [10, 12, 15, 16, 18, 17, 22, 3], [20, 21, 23, 24]]
46: [[2, 19, 5, 4, 7], [13, 11, 8, 9, 14, 6, 1], [10, 12, 3], [15, 16, 18, 17, 22, 20, 21], [23, 24]]
47: [[2, 19, 5, 4, 7], [13, 11, 8, 9, 14, 6, 1], [10, 12, 3], [15, 16, 18, 17, 22, 20, 21], [23, 24]]
48: [[2, 19, 5, 4], [7, 13, 11, 8, 1], [9, 14, 6], [10, 12, 15, 16, 18, 17, 3], [22, 20, 21, 23, 24]]
49: [[2, 19, 5], [4, 7, 13, 11, 8, 1], [9, 14, 6], [10, 12, 15, 16, 18, 17, 22, 3], [20, 21, 23, 24]]
