0: [[13, 2, 12, 19, 35, 5, 11], [1, 6, 7, 3, 4, 22, 20, 16], [10, 15], [9, 18, 8], [24, 29], [14, 25, 21, 26, 27, 28], [17, 23, 30, 31, 32, 34, 33], [37, 36]]
11: [[13, 2, 12, 19, 35, 5], [11, 1, 6, 7, 3, 4], [22, 20, 16], [10, 15], [9, 18, 8, 24], [29, 14, 25, 21, 26, 27, 28], [17, 23, 30, 31, 32, 34, 33, 37, 36]]
12: [[13, 2, 12, 19, 35, 5, 11], [1, 6, 7], [3, 4, 22, 20, 16], [10, 15, 9, 18], [8, 24, 29, 14], [25, 21, 26, 27], [28], [17, 23], [30, 31, 32], [34, 33, 37, 36]]
13: [[13, 2, 12, 19, 35, 5, 11], [1, 6, 7, 3, 4], [22], [20, 16], [10, 15, 9, 18, 8, 24, 29, 14], [25, 21, 26, 27], [28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
14: [[13, 2, 12, 19, 35, 5, 11], [1, 6, 7, 3], [4, 22, 20, 16, 10, 15], [9, 18, 8, 24, 29, 14, 25], [21, 26, 27, 28], [17, 23, 30, 31, 32], [34, 33, 37, 36]]
15: [[13, 2, 12], [19, 35, 5, 11], [1, 6, 7], [3, 4, 22, 20, 16], [10, 15, 9, 18, 8], [24, 29, 14], [25, 21, 26, 27], [28, 17, 23, 30], [31, 32, 34], [33, 37, 36]]
16: [[13, 2, 12, 19, 35, 5], [11, 1, 6], [7, 3, 4, 22, 20], [16, 10, 15, 9, 18], [8, 24, 29, 14], [25, 21, 26, 27], [28], [17, 23], [30, 31, 32], [34, 33, 37, 36]]
17: [[13, 2, 12, 19], [35, 5, 11], [1, 6, 7, 3, 4], [22, 20, 16, 10], [15, 9, 18, 8], [24, 29, 14], [25, 21, 26, 27], [28, 17, 23, 30, 31, 32, 34], [33, 37, 36]]
18: [[13, 2, 12], [19, 35, 5, 11, 1, 6, 7], [3, 4, 22, 20, 16], [10, 15], [9, 18, 8], [24, 29], [14, 25, 21], [26, 27, 28, 17], [23, 30, 31, 32], [34, 33, 37, 36]]
19: [[13, 2], [12, 19, 35, 5], [11, 1, 6, 7], [3, 4, 22], [20, 16], [10, 15, 9, 18, 8], [24, 29, 14], [25, 21, 26, 27], [28, 17, 23, 30], [31, 32, 34], [33, 37, 36]]
20: [[13, 2, 12, 19, 35], [5, 11], [1, 6, 7, 3, 4], [22, 20, 16, 10, 15], [9, 18, 8, 24], [29, 14], [25, 21, 26, 27], [28, 17, 23], [30, 31, 32, 34], [33, 37, 36]]
21: [[13, 2, 12, 19], [35, 5], [11], [1, 6, 7], [3, 4, 22, 20, 16, 10, 15], [9, 18, 8, 24, 29, 14, 25], [21, 26, 27, 28], [17, 23, 30, 31, 32, 34, 33], [37, 36]]
22: [[13, 2, 12, 19, 35, 5], [11, 1, 6, 7, 3, 4], [22], [20, 16, 10], [15, 9], [18, 8, 24, 29, 14], [25, 21, 26, 27], [28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
23: [[13, 2, 12, 19, 35, 5], [11, 1, 6], [7, 3], [4, 22, 20], [16, 10, 15, 9], [18, 8, 24, 29], [14, 25, 21, 26], [27, 28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
24: [[13, 2, 12, 19, 35], [5, 11], [1, 6, 7, 3], [4, 22, 20, 16], [10, 15, 9, 18], [8, 24, 29, 14, 25, 21, 26, 27, 28, 17], [23, 30, 31, 32, 34, 33, 37, 36]]
25: [[13, 2, 12, 19, 35, 5, 11], [1, 6, 7], [3, 4, 22, 20, 16], [10, 15, 9, 18], [8, 24, 29, 14], [25, 21, 26, 27, 28, 17, 23, 30], [31, 32], [34, 33, 37, 36]]
26: [[13, 2, 12], [19, 35, 5, 11, 1], [6, 7, 3, 4, 22], [20, 16, 10, 15], [9, 18, 8, 24, 29, 14, 25], [21, 26, 27, 28, 17, 23], [30, 31, 32, 34, 33], [37, 36]]
27: [[13, 2], [12, 19, 35, 5, 11], [1, 6, 7, 3, 4, 22, 20, 16], [10, 15, 9], [18, 8, 24, 29, 14, 25], [21, 26], [27], [28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
28: [[13, 2, 12], [19, 35, 5, 11], [1, 6, 7, 3], [4, 22, 20], [16, 10, 15], [9, 18, 8, 24, 29], [14, 25, 21, 26, 27], [28, 17], [23, 30, 31, 32], [34, 33, 37, 36]]
29: [[13, 2, 12], [19, 35], [5, 11, 1, 6, 7], [3, 4, 22, 20, 16], [10, 15, 9], [18, 8], [24, 29, 14, 25], [21, 26, 27, 28], [17, 23], [30, 31, 32, 34, 33], [37, 36]]
30: [[13, 2, 12, 19, 35, 5], [11, 1, 6, 7, 3, 4], [22, 20], [16, 10, 15, 9, 18, 8], [24, 29, 14, 25, 21, 26, 27], [28, 17], [23, 30, 31, 32, 34, 33, 37, 36]]
31: [[13, 2, 12, 19, 35, 5, 11], [1, 6], [7, 3, 4, 22], [20, 16, 10, 15, 9, 18, 8, 24, 29], [14, 25, 21, 26, 27, 28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
32: [[13, 2, 12, 19], [35, 5, 11], [1, 6], [7, 3, 4], [22, 20, 16, 10, 15], [9, 18, 8], [24, 29], [14, 25, 21], [26, 27, 28, 17], [23, 30, 31, 32], [34, 33, 37], [36]]
33: [[13, 2, 12, 19], [35, 5, 11], [1, 6, 7, 3], [4, 22, 20], [16, 10, 15], [9, 18, 8], [24, 29], [14, 25, 21], [26, 27, 28, 17], [23, 30], [31, 32, 34, 33], [37, 36]]
34: [[13, 2, 12, 19, 35, 5, 11], [1, 6, 7, 3, 4, 22, 20, 16], [10, 15, 9], [18, 8, 24], [29, 14, 25, 21], [26, 27, 28, 17], [23, 30, 31], [32], [34, 33, 37, 36]]
35: [[13, 2, 12, 19], [35, 5, 11, 1, 6, 7, 3], [4, 22, 20, 16, 10, 15], [9, 18, 8, 24, 29, 14], [25, 21, 26, 27, 28, 17], [23, 30], [31, 32], [34, 33, 37, 36]]
36: [[13, 2, 12, 19], [35, 5, 11, 1, 6], [7, 3, 4, 22, 20, 16], [10, 15], [9, 18, 8], [24, 29, 14, 25, 21], [26, 27, 28, 17, 23], [30, 31, 32, 34, 33], [37, 36]]
37: [[13, 2], [12, 19, 35, 5, 11], [1, 6, 7, 3, 4], [22, 20], [16], [10, 15, 9, 18], [8, 24, 29, 14], [25, 21], [26, 27, 28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
38: [[13, 2, 12, 19], [35, 5, 11], [1, 6], [7, 3, 4], [22, 20, 16, 10, 15], [9, 18, 8], [24, 29], [14, 25, 21, 26, 27, 28], [17, 23], [30], [31, 32, 34, 33, 37, 36]]
39: [[13, 2, 12, 19, 35, 5], [11, 1, 6, 7], [3, 4, 22, 20, 16, 10], [15, 9], [18, 8, 24], [29, 14, 25, 21, 26], [27, 28], [17, 23, 30, 31, 32, 34, 33, 37, 36]]
40: [[13, 2], [12, 19, 35, 5, 11], [1, 6, 7], [3, 4, 22, 20], [16, 10, 15, 9], [18, 8, 24, 29], [14, 25, 21, 26, 27], [28, 17, 23, 30], [31, 32], [34, 33, 37, 36]]
41: [[13, 2], [12, 19, 35, 5, 11], [1, 6, 7], [3, 4, 22, 20], [16, 10, 15, 9], [18, 8, 24, 29], [14, 25, 21, 26], [27, 28, 17, 23, 30], [31, 32], [34, 33, 37, 36]]
42: [[13, 2, 12, 19, 35], [5, 11, 1, 6], [7, 3, 4], [22, 20, 16, 10], [15, 9, 18, 8], [24, 29, 14, 25, 21, 26, 27], [28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
43: [[13, 2, 12, 19, 35], [5, 11], [1, 6, 7, 3], [4, 22, 20, 16], [10, 15, 9, 18, 8], [24, 29, 14, 25, 21], [26, 27], [28, 17, 23], [30, 31, 32, 34], [33, 37, 36]]
44: [[13, 2, 12, 19, 35, 5], [11, 1, 6], [7, 3, 4, 22, 20, 16, 10], [15, 9], [18, 8, 24, 29], [14, 25, 21, 26, 27, 28, 17, 23, 30], [31, 32, 34, 33, 37, 36]]
45: [[13, 2], [12, 19, 35, 5], [11, 1, 6, 7, 3], [4, 22, 20, 16, 10], [15, 9, 18, 8, 24], [29, 14, 25], [21, 26, 27, 28], [17, 23], [30, 31, 32], [34, 33, 37, 36]]
46: [[13, 2], [12, 19, 35, 5], [11, 1, 6, 7, 3], [4, 22, 20, 16, 10], [15, 9, 18, 8, 24], [29, 14, 25], [21, 26, 27, 28], [17, 23], [30, 31, 32], [34, 33, 37, 36]]
47: [[13, 2], [12, 19, 35, 5], [11, 1, 6, 7, 3], [4, 22, 20, 16], [10, 15, 9, 18, 8, 24], [29, 14, 25], [21, 26, 27, 28], [17, 23, 30, 31], [32, 34, 33], [37, 36]]
48: [[13, 2, 12, 19, 35, 5, 11], [1, 6, 7], [3, 4], [22, 20, 16, 10, 15], [9, 18, 8, 24, 29], [14, 25, 21, 26], [27, 28, 17, 23, 30], [31, 32], [34, 33, 37, 36]]
49: [[13, 2, 12, 19], [35, 5], [11, 1, 6], [7, 3, 4, 22, 20], [16, 10, 15], [9, 18, 8, 24], [29, 14, 25, 21, 26], [27, 28, 17], [23, 30, 31, 32, 34, 33], [37, 36]]
50: [[13, 2, 12], [19, 35, 5, 11], [1, 6, 7, 3], [4, 22, 20, 16], [10, 15, 9, 18, 8], [24, 29, 14, 25], [21, 26], [27, 28, 17, 23], [30, 31, 32, 34, 33, 37, 36]]
51: [[13, 2, 12], [19, 35, 5, 11], [1, 6, 7, 3, 4, 22, 20], [16, 10], [15, 9, 18, 8, 24, 29, 14, 25], [21, 26, 27, 28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
52: [[13, 2, 12, 19, 35, 5], [11, 1, 6, 7], [3, 4], [22, 20, 16, 10], [15, 9, 18, 8, 24, 29, 14, 25, 21], [26, 27, 28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
53: [[13, 2, 12, 19, 35, 5, 11], [1, 6, 7, 3], [4, 22, 20], [16, 10, 15, 9, 18, 8, 24, 29, 14, 25, 21, 26, 27, 28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
54: [[13, 2, 12, 19], [35, 5, 11, 1, 6], [7, 3, 4, 22], [20, 16, 10, 15, 9], [18, 8, 24], [29, 14, 25, 21, 26, 27], [28, 17, 23], [30, 31, 32, 34], [33, 37, 36]]
55: [[13, 2, 12, 19], [35, 5, 11, 1], [6, 7, 3], [4, 22, 20, 16], [10, 15, 9, 18, 8, 24], [29, 14, 25, 21, 26, 27], [28, 17, 23], [30, 31, 32, 34, 33], [37, 36]]
56: [[13, 2, 12, 19, 35, 5, 11], [1, 6, 7, 3, 4, 22, 20, 16, 10, 15], [9, 18, 8, 24, 29, 14, 25, 21, 26, 27, 28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
57: [[13, 2, 12], [19, 35, 5, 11, 1], [6, 7, 3, 4, 22, 20], [16, 10, 15, 9, 18, 8, 24, 29], [14, 25], [21, 26, 27, 28, 17, 23], [30, 31, 32, 34, 33, 37, 36]]
58: [[13, 2, 12, 19], [35, 5], [11, 1, 6], [7, 3, 4, 22], [20, 16, 10, 15, 9, 18], [8, 24, 29], [14, 25, 21, 26, 27], [28, 17, 23, 30, 31, 32], [34, 33, 37], [36]]
59: [[13, 2], [12, 19, 35, 5], [11, 1, 6], [7, 3, 4, 22], [20, 16], [10, 15, 9, 18, 8], [24, 29, 14, 25, 21], [26, 27], [28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
60: [[13, 2], [12, 19, 35], [5, 11, 1, 6], [7, 3], [4, 22, 20], [16, 10, 15, 9], [18, 8, 24, 29], [14, 25, 21, 26], [27, 28, 17], [23, 30, 31, 32], [34, 33, 37, 36]]
61: [[13, 2, 12, 19], [35, 5, 11, 1, 6, 7, 3, 4], [22, 20, 16, 10, 15, 9, 18, 8, 24, 29, 14], [25, 21, 26, 27, 28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
62: [[13, 2, 12, 19], [35, 5, 11], [1, 6, 7, 3, 4], [22, 20, 16, 10], [15, 9], [18, 8, 24, 29], [14, 25, 21, 26, 27, 28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
63: [[13, 2, 12, 19], [35, 5, 11], [1, 6, 7, 3, 4], [22, 20, 16, 10], [15, 9, 18, 8], [24, 29, 14, 25, 21, 26, 27, 28, 17, 23], [30, 31, 32, 34, 33, 37, 36]]
64: [[13, 2, 12, 19, 35, 5, 11], [1, 6, 7, 3], [4, 22, 20, 16, 10, 15, 9, 18], [8, 24], [29, 14, 25, 21, 26, 27, 28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
65: [[13, 2, 12], [19, 35, 5, 11, 1], [6, 7], [3], [4, 22, 20, 16], [10, 15], [9, 18, 8], [24, 29, 14, 25, 21], [26, 27, 28], [17, 23, 30, 31], [32, 34, 33, 37, 36]]
66: [[13, 2, 12, 19], [35, 5, 11, 1], [6, 7, 3], [4, 22, 20, 16, 10, 15], [9, 18, 8], [24, 29, 14, 25], [21, 26, 27, 28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
67: [[13, 2, 12, 19], [35, 5, 11, 1, 6], [7, 3, 4, 22], [20, 16, 10], [15, 9, 18, 8], [24, 29, 14, 25], [21, 26, 27, 28, 17, 23, 30], [31, 32, 34, 33, 37, 36]]
68: [[13, 2], [12, 19, 35, 5], [11, 1, 6, 7, 3, 4], [22, 20], [16, 10, 15], [9, 18, 8, 24, 29], [14, 25, 21, 26, 27], [28, 17, 23, 30], [31, 32], [34, 33, 37, 36]]
69: [[13, 2, 12, 19, 35, 5, 11, 1], [6, 7, 3, 4], [22, 20, 16, 10, 15, 9, 18], [8, 24, 29, 14, 25, 21, 26, 27, 28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
70: [[13, 2], [12, 19, 35, 5], [11, 1, 6], [7, 3, 4, 22, 20, 16, 10, 15, 9, 18, 8, 24, 29, 14, 25, 21, 26, 27, 28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
71: [[13, 2, 12, 19], [35, 5, 11, 1, 6, 7], [3, 4, 22, 20, 16], [10, 15, 9, 18], [8, 24], [29, 14, 25, 21, 26, 27, 28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
72: [[13, 2, 12, 19, 35, 5, 11], [1, 6, 7], [3, 4, 22, 20, 16, 10, 15], [9, 18, 8, 24, 29, 14, 25, 21], [26, 27], [28, 17, 23], [30, 31], [32, 34, 33, 37, 36]]
73: [[13, 2, 12], [19, 35], [5, 11, 1, 6, 7, 3, 4, 22, 20, 16, 10, 15, 9, 18, 8, 24, 29, 14, 25, 21, 26], [27, 28, 17, 23, 30, 31, 32, 34, 33, 37, 36]]
