0: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7, 8, 11, 13, 10, 12], [16, 19, 14], [23, 22], [29, 24, 28], [25, 20], [21, 26, 27]]
18: [[18, 9, 17], [5, 6, 2], [15, 1, 4, 3], [7, 8, 11], [13, 10], [12], [16, 14, 22, 23, 19, 24, 25, 20], [21, 28, 29, 26, 27]]
19: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3], [7, 8, 11], [13, 10, 12], [16, 14, 22, 23], [19, 24, 25], [20, 21], [28], [29, 26, 27]]
20: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3], [7, 8, 11], [12, 14, 13], [19, 10, 20], [23, 16], [29, 24, 22], [21, 27, 25, 26, 28]]
21: [[18, 9, 17], [5, 6], [2, 15, 1, 4], [3, 7, 10], [11, 13], [8, 16, 12], [14, 19, 25, 20, 22], [24, 28, 21, 26, 23, 27, 29]]
22: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3], [7, 8, 11], [13, 20, 12, 16, 14, 10, 23, 22, 29, 24, 19, 27, 25, 21, 28, 26]]
23: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3], [7, 8, 11], [12, 10], [13, 19, 14], [20, 23, 22, 16], [25, 28, 24, 27, 21], [26, 29]]
24: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7], [8, 11, 14], [12, 10, 19, 13], [16, 22, 23], [29, 24, 21], [25, 28, 27, 26, 20]]
25: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7], [8, 11, 10, 12], [13, 22], [19, 14], [23, 16, 29], [24, 21, 20, 25, 28, 26, 27]]
26: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3], [7, 8, 11], [13, 10, 12, 16, 20, 14, 24, 21, 29, 25], [22], [19, 23, 28, 26, 27]]
27: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7], [8, 11, 13], [10, 12, 14, 22, 21, 16, 24, 29, 19, 20, 25, 28, 23, 26, 27]]
28: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3], [7, 8, 11], [13, 20], [12, 16, 14], [10, 23, 22, 29, 24, 19, 25], [27], [21, 26, 28]]
29: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7], [8, 11, 13], [10, 12, 20], [19, 14, 23], [28, 29, 24], [21, 27, 16], [22, 26, 25]]
30: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7], [8, 11], [13, 10, 12, 14, 16, 19, 20, 22, 21, 25, 23, 24, 28, 29, 27, 26]]
31: [[18, 9, 17, 5, 6, 2, 15], [1, 4, 3, 7, 8, 11, 13, 10, 12, 19, 14, 26, 23, 22, 16, 24], [28, 29, 27, 21, 20, 25]]
32: [[18, 9, 17], [5, 6, 2], [15, 1, 4], [3, 7, 8], [11, 13], [10, 12], [22, 23, 14], [16, 19, 29], [25, 20, 26], [21, 28, 27], [24]]
33: [[18, 9, 17], [5, 6], [2, 15, 1, 4, 3], [7, 8, 11, 13, 20, 12, 16], [10, 14, 22, 21, 24, 19, 23, 27, 25, 29, 28, 26]]
34: [[18, 9, 17], [5, 6, 2, 15, 1, 4], [3, 7, 8, 11], [14, 10], [12, 16, 13], [20, 23], [22, 19], [24, 29, 25], [27, 21, 26, 28]]
35: [[18, 9, 17], [5, 6, 2], [15, 1], [4, 3, 7, 8, 11, 13], [10, 12, 22, 19], [14, 16, 21], [29, 24, 28, 25, 20, 23, 26, 27]]
36: [[18, 9, 17], [5, 6], [2, 15, 1, 4, 3, 7], [8, 11, 10, 12, 13, 21, 19, 14], [22, 20, 29, 24], [16, 25, 23], [27, 26, 28]]
37: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3], [7, 8, 11], [12, 14, 13], [19, 10, 20], [21, 16], [22, 24, 23, 25, 27, 28, 26, 29]]
38: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3], [7, 8, 11], [13, 10, 14, 19, 20], [12], [24, 21], [29, 27, 23, 16, 25, 28, 22, 26]]
39: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7], [8, 11], [13, 10, 12], [14, 19, 16, 23, 20], [21, 24, 22, 25, 27, 29, 26, 28]]
40: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7], [10, 11], [13, 14, 12, 16], [19, 8, 23], [22, 24], [20, 25, 21, 26], [27, 28, 29]]
41: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3], [7, 8, 11], [12, 10, 13], [20, 14, 22], [23, 16], [29, 24, 19], [21, 28, 25, 26], [27]]
42: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7, 8], [11, 13], [16, 10, 12], [20], [19, 29, 24, 22, 14], [23, 25, 21, 27], [26, 28]]
43: [[18, 9], [17, 5, 6, 2, 15, 1, 4], [3], [7, 8, 11, 13, 20, 16, 23, 22, 10, 12, 14], [21, 24, 29, 27, 19, 25, 26, 28]]
44: [[18, 9, 17], [5, 6, 2, 15], [1, 4, 3, 7, 8, 11, 13, 10, 12, 16, 19, 14, 22, 27, 25, 20, 23, 28, 24, 21, 26, 29]]
45: [[18, 9, 17], [5, 6, 2], [15, 1, 4], [3, 7, 8], [11, 13], [10, 12, 19], [14, 16], [23, 22, 29], [25], [21, 20], [28, 24, 26, 27]]
46: [[18, 9, 17, 5], [6, 2, 15, 1], [4, 3, 7, 8, 11, 13, 10, 12, 16, 19, 14, 23, 22, 29, 25, 24, 20, 21, 26, 27, 28]]
47: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3], [7, 8, 11], [13, 10, 12], [19, 23], [14, 24, 21], [29, 25, 22], [16, 20, 28, 26, 27]]
48: [[18, 9, 17], [5, 6, 2, 15, 1, 4, 3, 7, 8, 11, 14, 12, 10, 16, 13, 19, 23, 22, 20, 25, 28, 24, 27, 21], [29, 26]]
49: [[18, 9], [17, 5, 6], [2, 15, 1], [4, 3, 7, 8], [11, 13, 12, 10], [16, 23, 14], [19, 22, 29, 24, 20, 25, 28, 21, 26, 27]]
50: [[18, 9, 17], [5, 6], [2, 15, 1, 4], [3], [7, 10, 11, 13], [8, 22, 14, 12], [16, 26], [19, 21, 25], [28, 23, 24], [29, 20, 27]]
51: [[18, 9, 17], [5, 6, 2], [15, 1, 4, 3], [7, 8], [11, 13, 10], [12, 16, 14, 19, 22], [21, 29, 24, 20, 23, 25, 27], [26, 28]]
52: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3], [7, 8, 11], [12, 14, 10], [16, 29], [13, 23, 22], [24, 21], [25, 19, 27], [20, 26, 28]]
53: [[18, 9, 17], [5, 6, 2], [15, 1, 4], [3, 7, 8], [11, 13, 14], [10, 19], [26, 12, 16], [20, 29], [24, 22, 25], [27, 21, 23, 28]]
54: [[18, 9, 17], [5, 6, 2, 15, 1, 4], [3, 7, 8], [11, 12, 10], [13, 19, 14], [16, 23, 22, 21, 24, 29, 25, 20, 27, 26, 28]]
55: [[18, 9, 17], [5, 6], [2, 15, 1, 4, 3, 7], [8, 11, 13], [24, 10, 19], [22, 16, 27], [21, 25, 12], [23, 20, 26], [28, 29, 14]]
56: [[18, 9, 17], [5, 6, 2], [15, 1, 4], [3, 7, 8], [11, 14, 10], [12, 16], [13, 20, 23], [22, 27], [24, 28], [19, 25, 21], [26, 29]]
57: [[18, 9, 17], [5, 6], [2, 15, 1], [4, 3, 7], [8, 11], [13, 10, 16], [19, 20], [22, 24, 21], [25], [27, 23], [26, 28, 12, 29, 14]]
58: [[18, 9], [17, 5, 6], [2, 15, 1], [4, 3, 7], [8, 11, 10], [14, 13], [12, 19, 20], [23, 16], [29, 24], [22, 21, 27, 25, 26, 28]]
59: [[18, 9], [17, 5], [6, 2, 15], [1, 4, 3, 7], [8, 11, 12], [10, 13, 19], [16, 14, 23], [22, 24, 20], [25, 29, 27], [21, 26, 28]]
