0: [[18, 3, 16], [11, 15, 7, 14, 8, 12], [6, 17, 9, 5, 13], [19, 2, 22, 10, 4, 20, 1], [23, 24, 21]]
28: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17], [9, 19, 2, 22, 10, 4, 20], [23, 24, 21]]
29: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17], [9, 19, 2, 22, 10, 4, 20], [23, 24, 21]]
30: [[3, 18], [16, 12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
31: [[3, 18], [16, 12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
32: [[3, 18, 16], [12, 11, 15, 7, 14, 8, 13], [1, 5], [6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
33: [[3, 18, 16], [12, 11, 15, 7, 14, 8, 13], [1, 5], [6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
34: [[3, 18, 16], [12, 11, 15, 7, 14, 8, 13], [1, 5], [6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
35: [[3, 18, 16], [12, 11, 15, 7, 14, 8, 13], [1, 5], [6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
36: [[12, 11, 15, 7, 14], [8, 13, 18], [1, 5, 6, 17, 9, 3, 16], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
37: [[3, 18, 16], [12, 11, 15, 7, 14], [8, 13], [1, 5, 6, 17], [9, 19, 2, 22, 10, 4, 20], [23, 24, 21]]
38: [[3, 18, 16, 12], [11, 15, 7, 14, 8, 13], [1, 5], [6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
39: [[3, 18, 16, 12], [11, 15, 7, 14, 8, 13], [1, 5], [6, 17, 9], [19, 2, 22, 10, 4, 20], [23, 24, 21]]
40: [[12, 11, 15, 7, 14], [8, 13, 18], [1, 5, 6, 17, 3, 16], [9, 19, 2, 22, 10, 4, 20], [23, 24, 21]]
41: [[12, 11, 15, 7, 14], [8, 13, 18], [1, 5, 6, 17, 3, 16], [9, 19, 2, 22, 10, 4, 20], [23, 24, 21]]
42: [[12, 11, 15, 7, 14], [8, 13, 18], [1, 5, 6, 17, 3, 16], [9, 19, 2, 22, 10, 4, 20], [23, 24, 21]]
43: [[3, 18], [16, 12, 11, 15, 7, 14, 8, 13], [1, 5], [6, 17, 9, 19], [2, 22, 10, 4, 20], [23, 24, 21]]
44: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17], [9, 19, 2, 22, 10, 4], [20, 23, 24, 21]]
45: [[3, 18, 16], [12, 11, 15, 7, 14, 8], [13, 1], [5, 6, 17, 9, 19], [2, 22, 10, 4, 20, 23], [24, 21]]
46: [[3, 18, 16], [12, 11, 15, 7, 14], [8, 13], [1, 5, 6, 17], [9, 19, 2, 22, 10, 4], [20, 23, 24, 21]]
47: [[12, 11, 15, 7, 14], [8, 13, 18], [1, 5, 6, 17, 3, 16], [9, 19, 2, 22, 10, 4], [20, 23, 24, 21]]
48: [[12, 11, 15, 7, 14], [8, 13, 18], [1, 5, 6, 17, 3, 16], [9, 19, 2, 22, 10, 4], [20, 23, 24, 21]]
49: [[3, 18, 16, 12], [11, 15, 7, 14, 8, 13], [1, 5], [6, 17, 9, 19], [2, 22, 10, 4, 20, 23], [24, 21]]
