0: [[19, 18], [1], [3, 4], [5, 6], [9, 2, 24, 17, 7], [15, 10, 12], [11, 8, 14], [26, 27, 21], [23, 16, 20, 25, 22], [28, 13, 29]]
21: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 25, 27, 24, 26, 28, 29]]
22: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 25, 26, 24, 27, 29, 28]]
23: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 25, 26, 24, 27, 29, 28]]
24: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 28, 27, 25, 26, 24, 29]]
25: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 29, 27, 25, 26, 28, 24]]
26: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 24, 27, 25, 26, 28, 29]]
27: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 28, 26, 24, 27, 29, 25]]
28: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 25, 26, 24, 27, 28, 29]]
29: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 28, 27, 24, 26, 25, 29]]
30: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 29, 27, 25, 24, 28, 26]]
31: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 24, 27, 26, 29, 28, 25]]
32: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 29, 27, 25, 26, 24, 28]]
33: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 24, 27, 29, 26, 28, 25]]
34: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 29, 27, 25, 26, 28, 24]]
35: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 28, 26, 25, 24, 27, 29]]
36: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 24, 27, 25, 26, 28, 29]]
37: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 25, 27, 24, 26, 28, 29]]
38: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 28, 26, 25, 24, 27, 29]]
39: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 24, 27, 25, 26, 29, 28]]
40: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 24, 26, 25, 27, 28, 29]]
41: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 28, 26, 24, 27, 29, 25]]
42: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 24, 26, 25, 27, 28, 29]]
43: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 29, 26, 25, 27, 28, 24]]
44: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 24, 27, 25, 26, 29, 28]]
45: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 29, 27, 24, 25, 28, 26]]
46: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 29, 27, 25, 26, 28, 24]]
47: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 28, 27, 25, 26, 24, 29]]
48: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 29, 26, 25, 27, 24, 28]]
49: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 24, 27, 25, 26, 29, 28]]
50: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 28, 27, 25, 26, 29, 24]]
51: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 25, 27, 24, 26, 29, 28]]
52: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 25, 27, 24, 26, 28, 29]]
53: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 29, 27, 25, 26, 24, 28]]
54: [[19, 22, 5, 16, 10, 1, 7, 9, 6, 2], [4, 3, 12, 11, 8, 13, 15, 17, 14, 18], [21, 20, 23, 25, 26, 24, 27, 29, 28]]
55: [[19, 18, 5, 10, 8, 1, 7, 9, 6, 2], [4, 3, 12, 11, 13, 14, 15, 17, 16, 27], [21, 20, 22, 28, 29, 25, 23, 26, 24]]
56: [[19, 18, 5, 20, 10, 1, 7, 9, 6, 2], [13, 3, 12, 11, 8, 4, 15, 17, 14, 26], [21, 22, 16, 28, 23, 27, 25, 29, 24]]
57: [[19, 18, 5, 11, 8, 1, 7, 9, 6, 2], [4, 3, 12, 10, 13, 15, 14, 16, 26, 20], [21, 22, 17, 28, 23, 25, 27, 29, 24]]
58: [[19], [5], [11, 8], [1, 7, 9, 6, 2, 22], [4, 3, 12], [15, 13, 16, 10], [17, 18, 21], [20, 23, 24, 25, 27, 14], [26, 28, 29]]
59: [[19, 22, 5, 20, 10], [1, 7, 9], [6, 2], [13, 3], [12], [4, 14], [15, 8, 16], [11, 18, 21], [17, 23, 29, 25, 27], [26, 28, 24]]
