0: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
30: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
31: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
32: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
33: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
34: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
35: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
36: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
37: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
38: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
39: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
40: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
41: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
42: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
43: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
44: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
45: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
46: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
47: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
48: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
49: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
50: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
51: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
52: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
53: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
54: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
55: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
56: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
57: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
58: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
59: [[6, 5, 24, 10], [18], [1, 17, 15, 11], [3, 8, 4], [9, 13, 14], [7, 2, 12, 16, 19, 22], [20, 25], [21, 26, 27], [23, 28, 29]]
