0: [[3, 1, 16, 9, 2], [4, 14, 10, 5, 6], [11, 7], [12, 13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
18: [[3, 1, 16, 9, 2], [4, 14, 10, 5], [6, 11, 7, 12], [13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
19: [[3, 1, 16, 9, 2], [4, 14, 10, 5, 6], [11, 7, 12, 13, 8], [15, 18], [17, 19, 20, 22], [21, 23, 24]]
20: [[9, 3, 16], [2, 4, 14, 10, 5], [6, 11, 7, 12, 13], [8, 15, 18, 17], [19, 20, 22, 1], [21, 23, 24]]
21: [[3, 1, 16, 9, 2], [4, 14, 10, 5, 6], [11, 7, 12, 13, 8], [15, 18], [17, 19, 20, 22], [21, 23, 24]]
22: [[3, 1, 16, 9, 2], [4, 14, 10, 5, 6], [11, 7, 12, 13, 8], [15, 18], [17, 19, 20, 22], [21, 23, 24]]
23: [[9, 3, 1, 16], [2, 4, 14, 10, 5], [6, 11, 7], [12, 13, 8, 15], [18, 17, 19, 20, 22], [21, 23, 24]]
24: [[9, 2, 4, 14, 10, 3], [5, 6, 11, 7, 16], [12, 13, 8, 15, 18], [17, 19, 20, 22, 1], [21, 23, 24]]
25: [[9, 2, 4, 3, 1, 16], [14, 10, 5, 6, 11, 7], [12, 13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
26: [[9, 2, 1, 16], [4, 14, 10, 5, 6, 3], [11, 7, 12, 13], [8, 15], [18, 17, 19, 20, 22], [21, 23, 24]]
27: [[9, 2, 1, 16], [4, 14, 10, 5, 6, 3], [11, 7, 12, 13], [8, 15], [18, 17, 19, 20, 22], [21, 23, 24]]
28: [[3, 1, 16, 9], [2, 4, 14, 10, 5], [6, 11, 7, 12, 13], [8, 15], [18, 17, 19, 20, 22], [21, 23, 24]]
29: [[3, 1, 16, 9, 2], [4, 14, 10, 5], [6, 11, 7, 12, 13], [8, 15], [18, 17, 19, 20, 22], [21, 23, 24]]
30: [[3, 1, 16, 9], [2, 4, 14, 10, 5], [6, 11, 7, 12], [13, 8, 15], [18, 17, 19, 20, 22], [21, 23, 24]]
31: [[3, 1, 16, 9], [2, 4, 14, 10, 5], [6, 11, 7, 12], [13, 8, 15], [18, 17, 19, 20, 22], [21, 23, 24]]
32: [[9, 2, 1], [4, 14, 10, 5, 3], [6, 11, 7, 12, 16], [13, 8, 15, 18, 17], [19, 20, 22], [21, 23, 24]]
33: [[3, 1, 16, 9], [2, 4, 14, 10], [5, 6, 11, 7], [12, 13, 8], [15, 18, 17, 19, 20, 22], [21, 23, 24]]
34: [[3, 1, 16, 9, 2], [4, 14], [10, 5, 6, 11, 7], [12, 13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
35: [[3, 1, 16], [9, 2, 4, 14, 10], [5, 6, 11, 7], [12, 13, 8, 15], [18, 17, 19, 20, 22], [21, 23, 24]]
36: [[3, 1, 16, 9, 2], [4, 14, 10, 5], [6, 11, 7, 12, 13], [8, 15, 18, 17], [19, 20, 22], [21, 23, 24]]
37: [[3, 1, 16, 9, 2], [4, 14, 10, 5, 6], [11, 7, 12, 13], [8, 15, 18, 17], [19, 20, 22], [21, 23, 24]]
38: [[3, 1, 16, 9, 2], [4, 14, 10, 5, 6], [11, 7, 12, 13], [8, 15, 18, 17], [19, 20, 22], [21, 23, 24]]
39: [[3, 1, 16, 9, 2], [4, 14, 10, 5, 6], [11, 7, 12, 13], [8, 15, 18, 17], [19, 20, 22], [21, 23, 24]]
40: [[3, 1, 16, 9], [2, 4, 14, 10], [5, 6, 11], [7, 12, 13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
41: [[3, 1, 16, 9], [2, 4, 14], [10, 5, 6, 11, 7, 12], [13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
42: [[3, 1, 16, 9], [2, 4, 14], [10, 5, 6, 11, 7], [12, 13, 8, 15, 18], [17, 19, 20, 22], [21, 23, 24]]
43: [[3, 1, 16, 9], [2, 4, 14, 10], [5, 6, 11], [7, 12, 13, 8, 15], [18, 17, 19, 20, 22], [21, 23, 24]]
44: [[3, 1, 16, 9], [2, 4, 14, 10], [5, 6, 11], [7, 12, 13, 8, 15], [18, 17, 19, 20, 22], [21, 23, 24]]
45: [[3, 1, 16], [9, 2, 4, 14, 10, 5], [6, 11, 7], [12, 13, 8, 15], [18, 17, 19, 20], [22, 21, 23, 24]]
46: [[9], [2, 4, 14], [10, 5, 6, 11, 3, 16], [7, 12, 13, 8, 15, 18], [17, 19, 20, 22, 1], [21, 23, 24]]
47: [[9, 2, 4, 14], [10, 5, 6, 11, 3, 16], [7, 12, 13, 8, 15, 18], [17, 19, 20, 22, 1], [21, 23, 24]]
48: [[3, 1, 16, 9, 2, 4], [14, 10, 5, 6, 11], [7, 12, 13], [8, 15, 18, 17], [19, 20, 22], [21, 23, 24]]
49: [[9, 2, 4, 14], [10, 5, 6, 11, 3, 16], [7, 12, 13, 8, 15], [18, 17, 19, 20, 22, 1], [21, 23, 24]]
