0: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
16: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
17: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
18: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
19: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
20: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
21: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
22: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
23: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
24: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
25: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
26: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
27: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
28: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
29: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
30: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
31: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
32: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
33: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
34: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
35: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
36: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
37: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
38: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
39: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
40: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
41: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
42: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
43: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
44: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
45: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
46: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
47: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
48: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
49: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
50: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
51: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
52: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
53: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
54: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
55: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
56: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
57: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
58: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
59: [[15, 23, 6, 1, 5, 7, 17, 10], [3, 8, 4, 13, 11, 9, 12, 14], [2, 20, 19, 18, 22, 16], [24, 28], [29, 26, 25, 21, 27]]
