0: [[7, 11], [1, 2], [4, 22, 5], [13, 6], [10, 9, 14, 8], [12, 15], [3, 16], [17, 18, 19, 20], [21, 23, 24]]
33: [[7, 11], [1, 2], [4, 22], [5, 13, 6, 10, 9], [14, 8], [12, 15], [3, 16], [17, 18, 19, 20, 21], [23, 24]]
34: [[2, 4], [22, 5, 13, 6, 10, 9], [14, 8, 7, 11], [12, 15], [3, 16], [17, 18], [19, 20, 1], [21, 23, 24]]
35: [[2], [4, 22], [5, 13], [6, 10], [9, 14, 8, 12, 15, 3], [16, 17, 7, 11], [18, 19, 20, 1], [21, 23, 24]]
36: [[7, 11], [1, 2], [4, 22], [5, 13, 6, 10, 9], [14, 8], [12, 15], [3, 16, 17, 18, 19], [20, 21], [23, 24]]
37: [[7, 11], [1, 2, 4], [22, 5, 13, 6], [10, 9], [14, 8], [12, 15, 3, 16], [17, 18], [19, 20], [21, 23, 24]]
38: [[2], [4, 22], [5, 13], [6, 10, 9, 14], [8, 12], [15, 3], [16, 17, 7, 11], [18, 19, 20, 1], [21, 23, 24]]
39: [[7, 11], [1, 2], [4, 22], [5, 13], [6, 10], [9, 14, 8, 12, 15], [3, 16], [17, 18, 19], [20, 21, 23, 24]]
40: [[7, 11], [1, 2, 4, 22], [5, 13], [6, 10, 9], [14, 8], [12, 15], [3, 16], [17, 18, 19, 20, 21], [23, 24]]
41: [[7, 11], [1, 2], [4, 22], [5, 13], [6, 10], [9, 14], [8, 12, 15, 3, 16, 17, 18, 19], [20, 21], [23, 24]]
42: [[2, 1], [4, 22, 5, 13, 6], [10, 9], [14, 8, 7, 11], [12, 15], [3, 16], [17, 18, 19], [20, 21], [23, 24]]
43: [[7, 11], [1, 2], [4, 22], [5, 13], [6, 10, 9, 14], [8, 12], [15, 3], [16, 17, 18, 19, 20, 21], [23, 24]]
44: [[7, 11], [1, 2], [4, 22], [5, 13, 6, 10], [9, 14], [8, 12, 15], [3, 16, 17], [18, 19], [20, 21, 23, 24]]
45: [[2, 1], [4, 22], [5, 13], [6, 10], [9, 14, 8, 12], [15, 3], [16, 17, 7, 11], [18, 19], [20, 21, 23, 24]]
46: [[7, 11], [1, 2], [4, 22, 5, 13, 6], [10, 9], [14, 8, 12], [15, 3], [16, 17], [18, 19], [20, 21, 23, 24]]
47: [[2, 4], [22, 5], [13, 6], [10, 9, 1], [14, 8, 12, 7, 11], [15, 3], [16, 17, 18, 19], [20, 21], [23, 24]]
48: [[2, 4], [22, 5], [13, 6, 1], [10, 9, 14, 8, 12], [15, 3], [16, 17, 7, 11], [18, 19], [20, 21], [23, 24]]
49: [[2, 4], [22, 5], [13, 6], [10, 9], [14, 8, 7, 11], [12, 15, 3], [16, 17], [18, 19, 20, 21, 1], [23, 24]]
