0: [[1, 6, 2, 9, 3, 4, 5], [15, 13, 8], [7, 11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
27: [[1, 6, 2, 9], [3, 4, 5, 15, 13], [8, 7, 11, 10], [14, 12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
28: [[1, 6, 2, 9], [3, 4, 5, 15, 13], [8, 7, 11, 10], [14, 12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
29: [[1, 6, 2, 9, 3], [4, 5, 15, 13, 8, 7], [11, 10], [14, 12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
30: [[1, 6, 2, 9, 3], [4, 5, 15, 13, 8, 7], [11, 10], [14, 12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
31: [[1, 6, 2, 9, 3, 4], [5, 15], [13, 8, 7, 11, 10], [14, 12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
32: [[1, 6, 2], [9, 3, 4, 5], [15, 13, 8, 7, 11], [10, 14, 12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
33: [[1, 6, 2], [9, 3, 4], [5, 15, 13, 8, 7, 11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
34: [[1, 6, 2], [9, 3, 4, 5, 15, 13, 8, 7], [11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
35: [[1, 6, 2], [9, 3, 4, 5], [15, 13, 8, 7, 11, 10], [14, 12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
36: [[1, 6, 2], [9, 3, 4, 5], [15, 13, 8, 7, 11, 10], [14, 12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
37: [[1, 6, 2], [9, 3], [4, 5, 15, 13, 8, 7, 11, 10, 14], [12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
38: [[1, 6], [2, 9, 3, 4], [5, 15, 13, 8, 7, 11], [10, 14, 12, 20, 17, 19, 18, 16], [23, 21, 22, 24]]
39: [[1, 6, 2, 9, 3, 4, 5], [15, 13, 8], [7, 11, 10, 14], [12, 20, 17, 19, 18, 16, 23], [21, 22, 24]]
40: [[1, 6, 2, 9, 3, 4], [5, 15, 13, 8], [7, 11], [10, 14, 12, 20, 17, 19, 18], [16, 23, 21, 22, 24]]
41: [[1, 6, 2, 9, 3], [4, 5, 15, 13, 8], [7, 11], [10, 14, 12, 20, 17, 19, 18], [16, 23, 21, 22, 24]]
42: [[1, 6, 2, 9, 3, 4, 5], [15, 13, 8], [7, 11, 10, 14, 12], [20, 17, 19, 18, 16, 23], [21, 22, 24]]
43: [[1, 6, 2, 9, 3, 4], [5, 15, 13, 8], [7, 11, 10, 14, 12], [20, 17, 19, 18], [16, 23, 21, 22, 24]]
44: [[1, 6, 2, 9, 3, 4, 5], [15, 13, 8], [7, 11, 10], [14, 12, 20, 17, 19, 18], [16, 23, 21, 22, 24]]
45: [[1, 6, 2, 9, 3, 4, 5, 15], [13, 8], [7, 11, 10, 14], [12, 20, 17, 19, 18, 16, 23], [21, 22, 24]]
46: [[1, 6, 2, 9, 3, 4, 5], [15, 13, 8, 7, 11], [10, 14, 12, 20], [17, 19, 18, 16, 23], [21, 22, 24]]
47: [[1, 6, 2, 9], [3, 4, 5, 15], [13, 8, 7, 11, 10, 14], [12, 20, 17, 19, 18, 16, 23], [21, 22, 24]]
48: [[1, 6, 2, 9], [3, 4], [5, 15, 13, 8, 7, 11, 10, 14], [12, 20, 17, 19, 18, 16, 23], [21, 22, 24]]
49: [[1, 6, 2, 9, 3, 4, 5], [15, 13, 8, 7], [11, 10], [14, 12, 20, 17, 19, 18], [16, 23, 21, 22, 24]]
