0: [[7, 19], [5, 25], [17, 1, 6], [3, 4], [13, 8, 2, 9, 11, 15, 18, 29, 10, 12], [16], [20, 23, 22, 14], [27, 21, 26], [24, 28]]
26: [[7, 19], [5, 25], [17, 1], [6, 3, 4, 13, 10], [2, 11, 9, 8], [12, 15], [16, 14, 20, 23, 21, 22, 18, 26, 27, 24, 29, 28]]
27: [[7, 19], [5, 25, 17, 1, 6, 3, 4], [13, 2, 10, 9, 8], [14, 11, 15, 12, 20, 18, 22, 21, 16, 23, 24], [27, 26], [29, 28]]
28: [[7, 19], [5, 25], [17, 1, 6], [3, 4], [13, 2, 8, 10], [9, 14, 15, 11], [16, 18], [23, 12, 20, 22, 26, 24, 27, 29, 28, 21]]
29: [[7, 19], [5, 25], [17, 1, 6], [3, 4], [9, 11, 8], [2], [12, 15, 13], [10, 24, 16, 18, 23, 14, 21], [20, 22, 27, 26, 28, 29]]
30: [[7, 19], [5, 25], [17, 1, 6], [3, 4], [13], [8, 2, 9, 11], [15, 18, 29], [16, 20, 23, 27, 21, 26, 24, 28, 10, 12], [22, 14]]
31: [[7, 19], [5, 25], [17, 1, 6, 3], [4, 13, 2, 10], [8, 14], [11, 9, 12, 20, 15, 22, 21, 29, 18, 16], [23, 27, 24, 28, 26]]
32: [[7, 19], [5, 25], [17, 1, 6], [3, 4], [15, 9, 2, 11, 10, 13, 8, 12, 14, 28], [18], [20, 21, 16], [23, 22, 24, 27, 26, 29]]
33: [[7, 19], [5, 25], [17, 1, 6], [3, 4], [11, 8, 2], [9, 10], [15, 13], [12, 14], [16, 20, 29], [26, 18, 21, 22, 23, 24, 27, 28]]
34: [[7, 19], [5, 25], [17, 1, 6, 3, 4], [13], [8, 2, 9, 11], [12, 14, 18], [10, 28], [16, 21, 20, 22, 15, 23, 24, 26, 29, 27]]
35: [[7, 19], [5, 25], [17, 1], [6, 3, 4], [13], [8, 2, 11, 9], [15, 12, 10], [14, 16], [18, 20, 22, 21, 27, 28, 23, 26, 24, 29]]
36: [[7, 19], [5, 25], [17, 1], [6], [3, 4, 2], [8, 9], [10, 11, 15, 24, 21, 28, 14], [12, 20, 16, 13, 18, 22, 27, 23, 26, 29]]
37: [[7, 19], [5, 25], [17, 1, 6], [3, 4], [13, 11, 10, 8], [2, 12], [18, 28], [14, 15, 9, 20, 23, 16, 21], [22, 27, 24, 26, 29]]
38: [[7, 19], [5, 25, 17, 1, 6, 3, 4, 13, 8, 2, 11, 9, 12, 15, 10, 14, 23, 20, 18, 16, 21, 22, 27], [28, 26, 24, 29]]
39: [[7, 19], [5, 25], [17, 1], [6], [3, 2], [4], [8, 9, 10], [11, 14], [13, 15, 16, 22], [20, 12, 18, 23], [24, 21], [26, 27, 28, 29]]
40: [[7, 19], [5, 25], [17, 1], [6, 3], [2, 4, 8], [9, 12], [11], [15, 14], [13], [16, 22, 20], [10, 18, 23], [24, 21], [28, 27, 26, 29]]
41: [[7, 19], [5, 25], [17, 1], [6, 3], [4, 11], [8, 10, 2, 9, 14], [15, 12, 13, 20, 16, 18, 23], [21, 22, 26, 24, 29, 27, 28]]
42: [[7], [19, 5], [25], [17, 1, 6], [3, 2, 4], [8, 9], [12, 11, 15, 14, 13], [16, 22, 20, 10, 18, 23], [24, 21, 28, 27, 26, 29]]
43: [[7, 19], [5, 25, 17, 1, 6, 3, 4], [9, 13, 10, 2, 8, 15, 11, 12, 14, 16, 18, 21, 20, 22, 24, 23, 27, 26, 28, 29]]
44: [[7, 19], [5, 25, 17, 1, 6, 3, 4], [13, 10, 2, 12, 9, 8, 11, 14, 15, 28, 16, 18, 22, 20, 23, 21, 24, 26, 27, 29]]
45: [[7, 19], [5, 25, 17, 1, 6, 3, 4], [9, 8, 10, 2, 13, 15, 11, 12, 14, 16, 20, 21, 18, 22, 24, 23, 27, 26, 28, 29]]
46: [[7, 19], [5, 25, 17, 1, 6, 3, 4], [13, 11, 2, 12, 9, 8, 15, 10, 28, 24, 18, 16, 20, 21, 14, 27, 22, 26, 23, 29]]
47: [[7, 19], [5, 25], [17, 1, 6, 3, 12, 22], [4, 9], [2, 11], [15, 28, 8], [26, 13, 16, 14], [21, 20], [18, 27], [23, 24, 29, 10]]
48: [[7, 19], [5, 25, 17, 1, 6, 3, 4, 10], [14, 2, 11, 8], [15, 9, 12, 13, 18, 20, 23, 21, 28, 16, 26, 24, 27, 22, 29]]
49: [[7, 19], [5, 25], [17, 1], [6, 3, 4, 13], [11, 10], [12, 8, 9], [2, 26], [14, 15], [16, 18, 20, 21, 22, 23, 24, 28, 29, 27]]
50: [[7, 19], [5, 25], [17, 1, 6, 3, 4, 13, 8, 10, 9, 14], [12, 15, 22, 2], [23, 16], [11, 18], [21, 20], [26, 28], [24, 29, 27]]
51: [[7], [19, 5, 25, 17, 1, 6, 3, 4, 9, 8, 2, 13, 11, 15, 14, 28, 10, 12, 20, 16, 23, 22, 18, 29, 21, 26, 24], [27]]
52: [[7, 19], [5, 25], [17, 1, 6], [3, 2], [12], [8, 4], [9], [13, 14, 10], [11, 24, 15], [20, 16], [18, 22, 26, 21, 23], [27, 28, 29]]
53: [[7, 19, 5, 25, 17, 1, 6, 3], [4, 9, 10, 8, 2, 11, 15, 14, 13], [12, 22], [20, 23, 16, 21, 18, 24, 26, 27, 29, 28]]
54: [[7, 19, 5, 25, 17, 1, 6, 3], [4, 2], [8, 10, 9, 14, 13, 15, 11, 12, 21], [20, 18, 16, 22, 23, 26], [27, 24, 28, 29]]
55: [[7, 19], [5, 25, 17], [1, 6, 3], [4, 9], [10, 2, 8, 15, 12, 14, 29, 26, 11], [16], [20, 13, 22, 18], [21, 28, 23], [27, 24]]
56: [[7, 19, 5], [25, 17, 1], [6, 3, 4], [13, 8], [2], [9, 11, 15], [16, 29], [10, 12], [18, 14, 21, 20], [22, 27, 23], [28, 24, 26]]
57: [[7], [19, 5, 25, 17], [1, 6, 3], [4, 13], [9, 12], [10, 8], [15, 11, 14, 18, 2, 20, 21, 23, 26, 28, 16, 22, 24, 29, 27]]
58: [[7, 19, 5], [25, 17], [1, 6, 3], [4, 9], [11], [2, 10], [13, 15, 18], [14, 8, 24], [16, 22], [20, 21, 12, 23], [27], [26, 29, 28]]
59: [[7, 19, 5], [25, 17], [1], [6, 3], [4, 9], [10, 2, 11, 8], [14, 12], [28, 16], [29, 13, 15], [20, 22], [26, 18, 21, 23], [24, 27]]
