0: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12, 15], [18, 14, 24, 29], [13, 9, 16, 19, 22], [26, 27, 21], [20, 10, 23, 25, 28]]
30: [[17, 7, 1, 2, 6], [5, 8, 3, 11], [4, 12, 15, 18, 14, 24], [10, 13, 9, 16, 19, 22], [26, 27, 21], [20, 29, 23, 25, 28]]
31: [[17, 7, 1, 2, 6], [5, 8, 3, 11], [4, 12, 15, 18, 24, 10], [14, 13, 9, 16, 19, 22], [26, 27, 21], [20, 23, 29, 25, 28]]
32: [[17, 7, 1, 2, 6], [5, 8, 3, 11], [4, 12, 15, 18, 14, 24], [29, 13, 9, 16, 19, 22], [26, 27, 21], [20, 10, 23, 25, 28]]
33: [[17, 7, 1, 2], [6, 5, 8, 3, 11, 4], [12, 15, 18, 14, 24, 13], [10, 9, 16, 19, 22], [27, 26, 21], [20, 23, 29, 25, 28]]
34: [[17, 7, 1, 2], [6, 5, 8, 3, 11, 4], [15, 12, 18, 14, 24, 13], [10, 9, 16, 19, 22], [26, 27, 21], [20, 29, 23, 25, 28]]
35: [[17, 7, 1, 2], [6, 5, 8, 3, 11, 4], [12, 15, 18, 14, 24, 10], [13, 9, 16, 19, 22], [26, 27, 21], [20, 23, 29, 25, 28]]
36: [[17, 7, 1, 2], [6, 5, 8, 3, 11, 4], [12, 15, 18, 14, 24, 10], [13, 9, 16, 19, 22], [26, 27, 21], [20, 23, 29, 25, 28]]
37: [[17, 7, 1, 2], [6, 5, 8, 3, 11, 4], [12, 15, 18, 14, 24, 10], [13, 9, 16, 19, 22], [26, 27, 21], [20, 29, 23, 25, 28]]
38: [[17, 7, 1, 2], [6, 5, 8, 3, 11, 4], [12, 15, 18, 14, 24, 10], [13, 9, 16, 19, 22], [27, 26, 21], [20, 23, 29, 25, 28]]
39: [[17, 7, 1, 2], [6, 5, 8, 3, 11, 4], [12, 15, 18, 14, 24, 10], [9, 13, 16, 19, 22], [27, 26, 21], [20, 23, 29, 25, 28]]
40: [[17, 7, 1, 2, 6], [5, 8, 3, 11, 4, 14], [13, 18, 24, 10, 12, 9], [15, 16, 19, 22], [27, 26, 21], [20, 23, 29, 25, 28]]
41: [[17, 7, 1, 2], [6, 5, 8, 3, 11, 4], [12, 15, 18, 14, 24, 25], [13, 9, 16, 19, 22], [26, 27, 21], [20, 10, 23, 29, 28]]
42: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12, 15], [18, 14, 24, 10], [13, 9, 16, 19, 22], [26, 25, 21], [20, 23, 27, 29, 28]]
43: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 15, 12], [18, 24, 26, 10], [13, 9, 16, 19, 22], [14, 27, 21], [20, 23, 29, 25, 28]]
44: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12, 15], [18, 14, 24, 10], [13, 9, 16, 19, 22], [26, 23, 21], [20, 27, 28, 25, 29]]
45: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 12], [15, 18, 14, 24, 10, 9], [13, 16, 19, 22], [26, 25, 21], [20, 27, 23, 28, 29]]
46: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4], [12, 15, 18, 14, 24], [10, 13, 9], [16, 19, 22, 26, 27, 21], [20, 29, 23, 25, 28]]
47: [[17, 7, 1, 2], [6, 5, 8, 3, 11, 4], [12, 15, 18, 26, 24, 10], [14, 9, 16, 19, 22], [27, 13, 21], [20, 23, 29, 28, 25]]
48: [[17, 7, 1, 2, 6], [5, 8, 3, 11], [4, 12, 15, 18, 14, 24], [9, 13, 10, 16, 19, 22], [27, 23, 21], [20, 26, 29, 25, 28]]
49: [[17, 7, 1, 2, 6], [5, 8, 3, 11, 4, 12], [15, 18, 14, 24], [10, 9, 13], [16, 19, 22, 27, 29, 21], [20, 26, 23, 25, 28]]
50: [[17, 7, 1, 2], [6, 5, 8, 3, 11, 4], [12, 15, 18, 14, 24, 29], [13, 9, 16, 19, 22], [26, 10, 21], [20, 27, 23, 25, 28]]
51: [[17, 7, 1], [2, 6, 5, 8], [3, 11, 4, 12, 15, 18], [14, 24, 10, 13, 9], [16, 19, 22, 27, 26, 21], [20, 23, 29, 25, 28]]
52: [[17, 7, 1], [2, 6, 5, 8], [3, 11, 4, 12, 15, 18], [14, 24, 10, 9, 13], [16, 19, 22, 26, 27, 21], [20, 23, 29, 25, 28]]
53: [[17, 7, 1], [2, 6, 5, 8, 3], [11, 4, 12, 15], [18, 14, 24, 10, 13, 9], [16, 19, 22, 26, 27, 21], [20, 23, 28, 25, 29]]
54: [[17, 7, 1], [2, 6, 5, 8, 3], [11, 4, 12, 15], [18, 14, 24, 10, 13, 9], [16, 19, 22, 26, 27, 21], [20, 29, 23, 25, 28]]
55: [[17, 7, 1], [2, 6, 5, 8, 3], [11, 4, 15, 12], [18, 24, 10, 14, 13, 9], [16, 19, 22, 26, 27, 21], [20, 23, 29, 25, 28]]
56: [[17, 7, 1], [2, 6, 5, 8, 3], [11, 4, 12, 15], [18, 14, 24, 10, 13, 9], [16, 19, 22, 26, 27, 21], [20, 23, 29, 28, 25]]
57: [[17, 7, 1, 2, 6], [5, 8, 3, 11], [4, 12, 15, 18, 14, 24], [25, 13, 9, 16, 19, 22], [27, 10, 21], [20, 23, 29, 26, 28]]
58: [[17, 7, 1], [2, 6, 5, 8, 3], [11, 4, 13, 14], [18, 12, 24, 10, 15, 9], [16, 19, 22, 26, 27, 21], [20, 23, 28, 25, 29]]
59: [[17, 7, 1, 2, 6, 5], [8, 3, 11, 4, 14], [28, 10, 9, 26, 13, 12], [15, 16, 19, 22], [18, 27, 21], [20, 23, 29, 25, 24]]
