0: [[9, 17, 6, 20, 8, 5], [7, 14, 22], [1, 16, 13, 11], [10, 2, 4, 3], [15, 12, 19, 18], [23, 21, 24]]
16: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
17: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
18: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
19: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
20: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
21: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
22: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
23: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
24: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
25: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
26: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
27: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
28: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
29: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
30: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
31: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
32: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10], [2, 4, 3], [15, 12, 19, 18], [23, 21, 24]]
33: [[9, 17, 6], [20, 8, 5, 7], [14, 22, 1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18], [23, 21, 24]]
34: [[9, 17, 6], [20, 8, 5], [7, 14, 22, 1], [16, 13, 11, 10], [2, 4, 3, 15], [12, 19, 18], [23, 21, 24]]
35: [[9, 17], [6, 20], [8, 5, 7], [14, 22, 1], [16, 13, 11], [10, 2, 4], [3, 15], [12, 19, 18], [23, 21, 24]]
36: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2, 4], [3, 15, 12, 19], [18, 23, 21, 24]]
37: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15], [12, 19, 18, 23, 21, 24]]
38: [[9, 17, 6, 20, 8, 5, 7, 14, 22, 1], [16, 13, 11, 10, 2, 4, 3], [15, 12, 19, 18, 23, 21, 24]]
39: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15, 12, 19, 18, 23, 21, 24]]
40: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15, 12, 19, 18, 23, 21, 24]]
41: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2], [4, 3, 15, 12, 19, 18, 23, 21, 24]]
42: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2, 4, 3, 15, 12, 19, 18, 23, 21, 24]]
43: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2, 4, 3, 15, 12, 19, 18, 23, 21, 24]]
44: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2, 4, 3, 15, 12, 19, 18, 23, 21, 24]]
45: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16, 13], [11, 10, 2, 4, 3, 15, 12, 19, 18, 23, 21, 24]]
46: [[9, 17, 6], [20, 8, 5], [7, 14, 22, 1, 16, 13, 11, 10, 2, 4, 3, 15, 12, 19, 18, 23, 21, 24]]
47: [[9, 17, 6], [20, 8, 5], [7, 14, 22], [1, 16], [13, 11, 10], [2, 4, 3, 15, 12, 19, 18, 23, 21, 24]]
