0: [[2, 10], [11, 7], [14, 6, 12, 5, 13, 4], [9, 8, 15, 18, 16, 3], [17, 19, 20, 22, 1], [21, 23, 24]]
14: [[1, 2, 10, 4], [11, 7, 14, 13, 6], [5, 12, 9, 8, 15], [18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
15: [[1, 2, 10, 4], [11, 7, 14, 13, 6], [5, 12, 9, 8, 15], [18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
16: [[1, 2, 10, 4], [11, 7, 14, 13, 6], [5, 12, 9, 8, 15], [18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
17: [[1, 2, 10], [11, 7], [14, 13, 6, 5, 4], [12, 9, 8, 15, 18], [16, 17, 19, 20, 22, 3], [21, 23, 24]]
18: [[1, 2, 11, 7], [14, 13, 6, 5, 12], [9, 8, 15, 18], [16, 17, 19, 20, 22, 3, 10, 4], [21, 23, 24]]
19: [[1, 2, 11, 7, 10], [14, 13, 6, 5, 12, 4], [9, 8, 15, 18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
20: [[1, 2, 11, 7, 10], [14, 13, 6, 5, 12, 4], [9, 8, 15, 18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
21: [[1, 2, 10], [11, 7, 14, 13, 6], [5, 12, 4], [9, 8, 15, 18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
22: [[1, 2, 10], [11, 7, 14, 13, 6], [5, 12, 4], [9, 8, 15, 18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
23: [[1, 2], [11, 7, 14, 13, 6], [5, 12, 9, 8], [15, 18], [16, 17, 19, 20, 22, 3, 10, 4], [21, 23, 24]]
24: [[1, 2], [11, 7, 14, 13, 6], [5, 12, 9, 8], [15, 18], [16, 17, 19, 20, 22, 3, 10, 4], [21, 23, 24]]
25: [[1, 2], [11, 7, 14, 13, 10], [6, 5, 12, 9, 8], [15, 18], [16, 17, 19, 20, 22, 3, 4], [21, 23, 24]]
26: [[1, 2, 11, 10, 4], [7, 14, 13, 6, 5], [12, 9, 8, 15], [18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
27: [[1, 2, 11], [7, 14, 13, 10], [6, 5, 3, 4], [12, 9, 8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
28: [[1, 2, 11, 7, 10], [14, 13, 6, 5, 12, 4], [9, 8, 15, 18, 16, 3], [17, 19, 20], [22, 21, 23, 24]]
29: [[3, 2, 11, 7, 10], [14, 13], [6, 5, 12, 9], [8, 15, 18, 16, 17], [19, 20, 22, 4, 1], [21, 23, 24]]
30: [[1], [2, 11, 7, 14, 13, 10], [6, 5, 12, 9, 8], [15, 18], [16, 17, 19, 20, 22, 3, 4], [21, 23, 24]]
31: [[1, 2], [11, 7, 14, 13, 10], [6, 5, 3, 4], [12, 9, 8], [15, 18, 16, 17, 19, 20, 22], [21, 23, 24]]
32: [[1], [2, 11, 7, 14, 13, 10], [6, 5, 12, 9, 8], [15, 18], [16, 17, 19, 20, 22, 3, 4], [21, 23, 24]]
33: [[1], [2, 11, 7, 14, 13, 10], [6, 5, 12, 9, 8], [15, 18], [16, 17, 19, 20, 22, 3, 4], [21, 23, 24]]
34: [[1], [2, 11, 7, 14, 13, 10], [6, 5, 3, 4], [12, 9, 8, 15, 18], [16, 17, 19, 20, 22], [21, 23, 24]]
35: [[1], [2, 11, 7, 14, 13, 10], [6, 5, 3, 4], [12, 9, 8, 15, 18], [16, 17, 19, 20, 22], [21, 23, 24]]
36: [[3, 2, 10, 1], [11, 7], [14, 13, 6, 5, 12], [9, 8, 15, 18, 16, 17], [19, 20, 22, 21, 4], [23, 24]]
37: [[3, 1], [2, 11, 7, 14, 13, 10], [6, 5, 12, 9, 4], [8, 15, 18, 16, 17, 19], [20, 22], [21, 23, 24]]
38: [[1], [2, 11, 7, 14, 13, 6, 5, 10], [12, 9, 8, 15, 18, 16, 3], [17, 19, 20, 22, 4], [21, 23, 24]]
39: [[3, 2, 10, 1], [11, 7], [14, 13, 6, 5, 12, 9], [8, 15, 18, 16, 17], [19, 20, 22, 21, 4], [23, 24]]
40: [[3, 2, 10, 1], [11, 7], [14, 13, 6, 5, 12, 9], [8, 15, 18, 16, 17], [19, 20, 22, 21, 4], [23, 24]]
41: [[1, 2, 10, 4], [11, 7, 14, 13, 6], [5, 12, 9, 8, 15], [18, 16, 3], [17, 19, 20, 22, 21], [23, 24]]
42: [[1, 2, 11, 10], [7, 14, 13, 6, 5, 4], [12, 9, 8, 15], [18, 16, 17, 19, 20, 3], [22, 21, 23, 24]]
43: [[3, 4], [2, 11, 7, 14, 13], [6, 5, 12], [9, 8, 15, 18, 16, 17], [19, 20, 10, 1], [22, 21, 23, 24]]
44: [[1, 2], [11, 7, 14, 13, 6], [5, 12], [9, 8, 15, 18, 16, 17, 3], [19, 20, 22, 21, 10, 4], [23, 24]]
45: [[1, 2], [11, 7, 14, 13, 6], [5, 12], [9, 8, 15, 18, 16, 17, 3], [19, 20, 22, 21, 10, 4], [23, 24]]
46: [[1, 2, 11, 7, 10], [14, 13, 6, 5, 12], [9, 8, 15, 18, 16, 17, 3], [19, 20, 22, 21, 4], [23, 24]]
47: [[1, 2, 11, 4], [7, 14, 13, 6, 10], [5, 12, 9], [8, 15], [18, 16, 17, 19, 20, 3], [22, 21, 23, 24]]
48: [[1, 2, 11, 4], [7, 14, 13, 6, 10], [5, 12, 9], [8, 15], [18, 16, 17, 19, 20, 3], [22, 21, 23, 24]]
49: [[3, 10, 4, 1, 2], [11, 7, 14, 13, 6], [5, 12, 9, 8, 15], [18, 16, 17, 19, 20], [22, 21], [23, 24]]
