0: [[1, 2], [6, 3], [7, 11], [14, 4], [5, 9, 8, 15], [12, 13], [10, 19], [20, 18, 22, 17, 16], [21, 23, 24]]
24: [[2], [11, 7], [14, 4], [5, 9, 6], [8, 15], [12, 13], [10, 19, 1], [20, 18], [22, 17], [16, 21, 3], [23, 24]]
25: [[2], [11, 7], [14, 4], [5, 9, 6], [8, 15], [12, 13], [10, 19, 1], [20, 18], [22, 17], [16, 21, 3], [23, 24]]
26: [[2], [11, 7], [14, 4], [5, 9, 6], [8, 15], [12, 13], [10, 19, 1], [20, 18], [22, 17], [16, 21, 3], [23, 24]]
27: [[2], [11, 7], [14, 4], [5, 9, 6], [8, 15], [12, 13], [10, 19, 1], [20, 18], [22, 17], [16, 21, 3], [23, 24]]
28: [[2], [11, 7], [14, 4], [5, 9, 6], [8, 15], [12, 13], [10, 19, 1], [20, 18], [22, 17], [16, 21, 3], [23, 24]]
29: [[2], [11, 7], [14, 4], [5, 9, 8, 15, 6], [12, 13], [10, 19, 1], [20, 18], [22, 17], [16, 21, 3], [23, 24]]
30: [[2], [11, 14, 7], [4, 5], [9, 8, 15], [12, 13, 6], [10, 19, 1], [20, 18], [22, 17], [16, 21, 3], [23, 24]]
31: [[1, 2], [6, 3], [7, 11, 14, 4, 5, 9, 8, 15, 12, 13, 10, 19, 20, 18, 22, 17], [16, 21], [23, 24]]
32: [[1, 2], [6, 3], [7, 11], [14, 4], [5, 9], [8, 15], [12, 13], [10, 19], [20, 18, 22, 17], [16, 21, 23, 24]]
33: [[2], [11, 14, 4, 6, 7], [5, 9], [8, 15], [12, 13], [10, 19, 1], [20, 18], [22, 17], [16, 21, 3], [23, 24]]
34: [[1, 2], [6, 3], [7, 11], [14, 4], [5, 9], [8, 15, 12, 13], [10, 19, 20], [18, 22, 17, 16, 21, 23, 24]]
35: [[1, 2], [6, 3], [7, 11], [14, 4], [5, 9], [8, 15], [12, 13], [10, 19], [20, 18, 22, 17, 16, 21, 23, 24]]
36: [[1, 2], [6, 3], [7, 11], [14, 4], [5, 9, 8, 15], [12, 13, 10, 19, 20, 18, 22, 17, 16, 21, 23, 24]]
37: [[1, 2], [6, 3], [7, 11, 14], [4, 5], [9, 8], [15, 12, 13], [10, 19], [20, 18], [22, 17], [16, 21, 23, 24]]
38: [[1, 2], [6, 3], [7, 11], [14, 4], [5, 9], [8, 15], [12, 13], [10, 19], [20, 18], [22, 17], [16, 21, 23, 24]]
39: [[1, 2], [6, 3], [7, 11], [14, 4], [5, 9], [8, 15], [12, 13], [10, 19], [20, 18], [22, 17], [16, 21, 23, 24]]
40: [[1, 2], [6, 3], [7, 11], [14, 4], [5, 9], [8, 15, 12], [13, 10, 19, 20], [18, 22, 17, 16, 21, 23, 24]]
41: [[1, 2, 6, 3], [7, 11], [14, 4], [5, 9, 8, 15, 12], [13, 10, 19], [20, 18, 22, 17, 16, 21, 23, 24]]
42: [[1, 2], [6, 3], [7, 11], [14, 4], [5, 9], [8, 15], [12, 13], [10, 19], [20, 18], [22, 17, 16, 21, 23, 24]]
43: [[1, 2], [6, 3], [7, 11], [14, 4], [5, 9], [8, 15], [12, 13, 10], [19, 20, 18, 22, 17, 16, 21, 23, 24]]
44: [[1, 2], [6, 3], [7, 11], [14, 4, 5, 9], [8, 15, 12, 13, 10, 19, 20, 18, 22, 17, 16, 21, 23, 24]]
45: [[2], [7, 11], [14, 4], [5, 9, 1, 6], [8, 15, 12, 13, 10, 19, 20, 18, 22, 17, 16, 21, 23, 24, 3]]
46: [[2], [7, 11], [14, 4], [5, 9, 1, 6], [8, 15, 12, 13, 10, 19, 20, 18, 22, 17, 16, 21, 23, 24, 3]]
47: [[2], [7, 11], [14, 4], [5, 9, 1, 6], [8, 15, 12, 13, 10, 19, 20, 18, 22, 17, 16, 21, 23, 24, 3]]
48: [[1, 2], [6, 3], [7, 11], [14, 4], [5, 9], [8, 15], [12, 13, 10], [19, 20, 18], [22, 17, 16, 21, 23, 24]]
49: [[2], [7, 11], [14, 4, 5, 9, 8, 6], [15, 12], [13, 10, 19, 20, 18, 22, 17, 16, 21, 23, 24, 1, 3]]
