0: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
16: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
17: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
18: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
19: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
20: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
21: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
22: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
23: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
24: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
25: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
26: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
27: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
28: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
29: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
30: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
31: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
32: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
33: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
34: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
35: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
36: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
37: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
38: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
39: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
40: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
41: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
42: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
43: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
44: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
45: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
46: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
47: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
48: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
49: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
50: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
51: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
52: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
53: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
54: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
55: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
56: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
57: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
58: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
59: [[17, 21], [9, 1], [2, 16], [3, 11, 20, 22], [29, 6, 5, 25], [15, 13], [28, 24, 18, 10], [23, 7], [8, 26, 4, 19, 12, 14], [27]]
