0: [[22, 11, 2, 20, 4], [1, 7, 9], [5, 12], [3, 8, 6], [14, 10], [18, 29, 24], [23, 13, 15, 16, 19, 17], [27, 21], [25, 26, 28], [30, 31, 34, 33, 32], [35, 37], [36]]
50: [[22, 11, 2], [20, 4, 1], [7, 9], [5, 12, 3], [8, 6], [14, 10, 18], [29, 24, 23], [13, 15], [16, 19, 17, 27, 21, 25, 26, 28, 30, 31, 34, 33, 32, 35, 37, 36]]
51: [[22, 11], [2, 20, 4], [1, 7], [9, 5, 12, 3, 8], [6, 14, 10, 18], [29, 24, 23, 13, 15, 16, 19, 17, 27, 21, 25, 26, 28, 30, 31, 34, 33, 32, 35, 37, 36]]
52: [[22, 11, 2], [20, 4], [1, 7, 9], [5, 12], [3, 8, 6], [14, 10, 18], [29, 24, 23], [13, 15], [16, 19, 17, 27, 21, 25], [26, 28, 30, 31, 34, 33, 32, 35, 37, 36]]
53: [[22, 11], [2, 20, 4], [1, 7, 9], [5, 12, 3], [8, 6, 14], [10, 18], [29, 24, 23], [13, 15, 16], [19, 17], [27, 21, 25], [26, 28, 30, 31, 34, 33, 32, 35, 37, 36]]
54: [[22, 11], [2, 20], [4, 1], [7, 9], [5, 12], [3, 8, 6], [14, 10, 18], [29, 24, 23], [13, 15, 16], [19, 17, 27], [21, 25, 26], [28, 30, 31], [34, 33, 32], [35, 37, 36]]
55: [[22, 11, 2], [20, 4], [1, 7], [9, 5], [12, 3, 8], [6, 14, 10], [18, 29, 24], [23, 13], [15, 16, 19, 17, 27, 21, 25, 26, 28, 30, 31, 34, 33, 32, 35, 37, 36]]
56: [[22, 11, 2], [20, 4, 1], [7, 9], [5, 12, 3], [8, 6, 14], [10, 18], [29, 24, 23], [13, 15, 16], [19, 17, 27], [21, 25], [26, 28], [30], [31, 34, 33, 32, 35, 37, 36]]
57: [[22, 11], [2, 20, 4], [1, 7], [9, 5, 12], [3, 8, 6], [14, 10, 18, 29], [24, 23, 13], [15, 16, 19], [17, 27, 21], [25, 26], [28, 30, 31], [34, 33, 32, 35, 37, 36]]
58: [[22, 11], [2, 20], [4, 1], [7, 9, 5], [12, 3], [8, 6], [14, 10], [18, 29], [24, 23, 13], [15, 16], [19, 17, 27], [21, 25], [26, 28], [30, 31, 34], [33, 32], [35, 37, 36]]
59: [[22, 11], [2, 20, 4], [1, 7], [9, 5, 12], [3, 8, 6], [14, 10, 18], [29, 24, 23], [13, 15, 16], [19, 17, 27, 21, 25, 26, 28, 30], [31, 34, 33, 32, 35, 37, 36]]
60: [[22, 11], [2, 20], [4, 1, 7], [9, 5], [12, 3, 8], [6, 14, 10], [18, 29, 24], [23, 13, 15], [16, 19], [17, 27], [21, 25, 26], [28, 30, 31], [34, 33, 32], [35, 37, 36]]
61: [[22, 11], [2, 20], [4, 1, 7], [9, 5], [12, 3, 8], [6, 14, 10], [18, 29, 24], [23, 13], [15, 16, 19], [17, 27, 21, 25, 26, 28, 30, 31, 34, 33, 32, 35, 37, 36]]
62: [[22, 11], [2, 20, 4], [1, 7], [9, 5, 12], [3, 8, 6], [14, 10, 18, 29], [24, 23, 13], [15, 16, 19, 17, 27, 21, 25, 26, 28, 30, 31, 34, 33, 32, 35, 37, 36]]
63: [[22, 11], [2, 20, 4], [1, 7, 9], [5, 12, 3], [8, 6, 14], [10, 18, 29], [24, 23], [13, 15, 16], [19, 17, 27, 21, 25, 26, 28, 30, 31, 34, 33, 32, 35, 37, 36]]
64: [[22, 11], [2], [20, 4, 1, 7, 9, 5, 12, 3, 8, 6, 14, 10, 18, 29, 24, 23, 13, 15, 16, 19, 17, 27, 21, 25, 26, 28, 30, 31, 34, 33, 32, 35, 37, 36]]
65: [[22, 11], [2, 20, 4], [1, 7], [9, 5], [12, 3, 8], [6, 14, 10], [18, 29, 24], [23, 13, 15], [16, 19], [17, 27, 21, 25, 26, 28, 30, 31, 34, 33, 32, 35, 37, 36]]
66: [[22, 11], [2, 20], [4, 1], [7, 9], [5, 12], [3, 8], [6, 14], [10, 18, 29], [24, 23, 13], [15, 16], [19, 17, 27], [21, 25, 26], [28, 30, 31], [34, 33, 32], [35, 37, 36]]
67: [[22, 11], [2, 20], [4, 1, 7], [9, 5, 12], [3, 8, 6], [14, 10, 18], [29, 24, 23], [13, 15, 16], [19, 17, 27], [21, 25], [26, 28, 30], [31, 34, 33, 32, 35, 37, 36]]
68: [[22, 11, 2], [20, 4, 1, 7, 9, 5, 12, 3, 8, 6, 14, 10, 18, 29, 24, 23, 13, 15, 16, 19, 17, 27, 21, 25, 26, 28, 30, 31, 34], [33, 32, 35, 37, 36]]
69: [[22, 11], [2, 20, 4], [1], [7, 9, 5], [12, 3, 8], [6, 14], [10, 18, 29], [24, 23, 13], [15, 16, 19], [17, 27, 21], [25, 26], [28, 30, 31, 34, 33, 32, 35, 37, 36]]
70: [[22, 11], [2, 20], [4, 1], [7, 9, 5], [12, 3, 8], [6, 14, 10], [18, 29, 24, 23], [13, 15, 16], [19, 17, 27], [21, 25, 26], [28, 30], [31, 34, 33], [32, 35], [37, 36]]
71: [[22, 11], [2, 20, 4], [1, 7], [9, 5], [12, 3], [8, 6, 14], [10, 18, 29], [24, 23, 13], [15, 16], [19, 17, 27], [21, 25, 26], [28, 30, 31], [34, 33], [32, 35, 37, 36]]
72: [[22, 11, 2], [20, 4, 1], [7, 9, 5], [12, 3, 8], [6, 14, 10], [18, 29], [24, 23, 13], [15, 16], [19, 17, 27], [21, 25, 26], [28, 30, 31], [34, 33, 32], [35, 37, 36]]
73: [[22, 11], [2, 20], [4, 1, 7], [9, 5], [12, 3, 8], [6, 14], [10, 18], [29, 24, 23], [13, 15, 16], [19, 17, 27], [21, 25, 26], [28, 30, 31], [34, 33, 32], [35, 37], [36]]
