0: [[10, 3], [4, 22], [1, 2, 13], [5, 7, 14, 6, 9, 11], [8, 12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
36: [[22, 1, 2, 13, 5, 7, 14, 4], [6, 9, 8, 11, 12], [17, 15], [16, 18, 3], [19, 20, 10], [23, 21, 24]]
37: [[22, 1, 2, 13, 5, 7, 14, 4], [6, 9, 8, 11, 12], [17, 15], [16, 18, 3], [19, 20, 10], [23, 21, 24]]
38: [[22, 1, 2, 13, 5, 7, 4], [14, 6, 9, 10, 3], [11, 8], [12, 17, 15, 16, 18, 19, 20], [23, 21, 24]]
39: [[10, 3], [4, 22], [1, 2], [13, 5, 7, 14, 6, 9, 8, 11], [12, 17, 15, 16, 18, 19], [20, 23, 21, 24]]
40: [[10, 3], [4, 22], [1, 2], [13, 5, 7, 14, 6, 9, 11], [8, 12, 17, 15, 16, 18, 19], [20, 23, 21, 24]]
41: [[10, 3], [4, 22], [1, 2], [13, 5, 7, 14, 6, 9, 8, 11, 12, 17], [15, 16, 18, 19], [20, 23, 21, 24]]
42: [[10, 3], [4, 22], [1, 2], [13, 5, 7, 14, 6, 9, 11], [8, 12, 17, 15, 16, 18, 19, 20, 23], [21, 24]]
43: [[10, 3], [4, 22], [1, 2], [13, 5, 7, 14, 6, 9], [11, 8, 12, 17, 15, 16, 18, 19, 20, 23], [21, 24]]
44: [[3, 22, 10, 4, 1], [2, 13, 5], [7, 14], [6, 9], [8, 11, 12, 17, 15, 16, 18, 19], [20, 23, 21, 24]]
45: [[22, 1, 2, 13], [5, 7], [14, 6, 10, 3, 4], [9, 8, 11, 12], [17, 15, 16, 18, 19], [20, 23, 21, 24]]
46: [[22, 1, 4], [2, 13, 10, 3], [5, 7, 14, 6, 9, 11, 8], [12, 17, 15, 16, 18, 19, 20, 23], [21, 24]]
47: [[22], [1, 2, 13], [5, 7], [14, 6, 10, 3, 4], [9, 8, 11, 12, 17, 15, 16, 18], [19, 20, 23, 21, 24]]
48: [[10, 3, 4, 22, 1, 2], [13, 5, 7, 14, 6, 9, 11], [8, 12, 17, 15, 16], [18, 19], [20, 23], [21, 24]]
49: [[22, 1], [2, 13, 5, 7, 10], [14, 6, 9, 11, 8, 12, 17], [15, 16, 3, 4], [18, 19], [20, 23, 21, 24]]
