0: [[11, 35, 5, 7, 2, 1, 14], [12, 9, 4, 3, 8, 24], [13, 19, 21, 6], [23, 15, 16, 22, 29, 17, 18, 10], [27, 25], [26, 20, 31, 28, 30, 33, 32, 34, 38], [36, 43, 45, 39, 42, 37, 47], [40, 41, 46, 53, 44, 51, 55], [57, 49], [50, 54, 52, 48, 56, 58, 60, 59]]
23: [[11, 35, 5, 7, 2, 1, 14], [9, 3, 4, 15, 6, 25, 13], [31, 16, 8, 18, 19], [21, 12, 17, 20, 28], [10, 26, 24, 22, 27, 23, 29, 30], [33, 32], [36, 34, 37, 43, 41, 39, 38, 46], [42, 45, 44, 40, 53, 47, 51], [48, 57, 49, 50, 54, 52], [55, 56, 60, 58, 59]]
24: [[11, 35, 5, 7, 2, 1, 14], [12, 3], [8, 4, 22, 9, 10, 6, 30], [13, 15], [27, 19], [16, 18, 20, 24, 17, 25, 21, 31, 23, 26, 28, 29, 34, 36], [38], [32, 37, 42, 47, 33, 39, 40, 41, 43, 46, 44, 53, 50, 51, 45], [57, 49, 48], [55, 56, 58, 52, 54, 60, 59]]
25: [[11, 35, 5, 7, 2, 1, 14], [3, 4, 9, 6, 8, 10, 31, 23, 26, 28, 12, 17, 16, 13, 15, 21], [18], [24, 25, 20, 19], [22, 29, 27, 30, 33, 32, 39, 37, 38, 43, 34], [40, 42, 36, 41, 46, 54], [44, 47, 49, 52, 48, 56, 45, 53, 55, 50, 51, 59, 60, 58, 57]]
26: [[11, 35, 5, 7, 2], [3, 14], [4, 6, 1, 8, 12, 24, 31, 9, 10], [15, 29, 19, 13, 21, 16, 18, 17, 23, 22, 20], [27, 25, 26, 28, 30, 33, 32, 34, 37, 38], [43, 45, 36], [42, 46], [39, 40, 41, 44, 53, 47, 60, 50], [57, 51, 52, 54, 55, 48, 56, 59, 49, 58]]
27: [[11, 35, 5, 7, 2, 1, 14, 12, 3], [4, 10, 8, 13, 6, 21, 24], [17, 15, 9, 20, 30, 26, 16, 23, 19, 18, 22, 25, 27, 29, 28, 31, 37, 34, 36, 32, 33, 46, 45, 41, 38, 39, 43, 40, 42, 44, 52, 59, 47, 48, 57, 55, 49, 54, 50, 51, 53, 60, 58, 56]]
28: [[11, 35, 5, 7, 2, 1], [14, 4, 3, 8, 6, 9, 21, 15], [16, 24, 10, 12, 13, 22, 30, 29, 17], [18, 19, 20, 27, 31, 23, 25, 28, 26, 33, 34, 38, 36, 32, 47, 45, 41, 40, 37, 39, 51, 42, 43, 52, 48, 46, 44, 57, 49, 54, 55, 53, 50, 58, 60, 56, 59]]
29: [[11, 35, 5, 7, 2, 1, 14], [12, 3, 4, 6, 13, 25], [8, 17, 16, 9], [15, 10, 20, 22, 28, 18, 19, 23, 21, 26, 27, 24], [29, 30, 31, 33, 34, 38, 36, 32, 42, 37, 39, 40, 41], [47, 45, 44, 43, 52, 48, 46], [60, 57, 53, 51, 54, 49, 59], [56, 58, 50, 55]]
30: [[11, 35, 5, 7, 2, 1, 14], [3, 9, 4, 8, 26, 19, 12, 6], [10, 30, 31, 15, 17, 16, 13, 20, 18], [21, 22, 23, 24, 28, 29], [25, 27, 33, 34, 36, 37, 32], [47, 44, 38, 40, 42, 39, 46], [41, 43], [48, 50, 55], [45, 57, 49, 52, 51, 53, 56], [58, 59, 54, 60]]
31: [[11, 35, 5, 7, 2, 1, 14], [12, 3, 4, 8, 6, 21], [15, 10, 26, 13], [16, 9, 17, 18, 31, 20, 19, 24], [28, 27, 22, 25], [23, 30, 29, 33, 32, 37, 34, 39, 42], [47, 36, 38, 40, 46, 45, 44, 41], [53, 51, 50, 43, 57, 49, 48], [54, 52, 55, 58, 56, 60, 59]]
32: [[11, 35, 5, 7, 2], [1, 12, 3, 4, 8, 24], [15, 19, 9, 6, 10, 18], [13, 14, 17, 16, 21], [20, 22, 25, 30, 23, 31], [26, 29, 28, 27, 33, 32, 39], [38, 34, 47, 36, 43, 42, 37], [44, 46, 41, 45, 40, 50, 51], [52, 57], [49, 48], [55, 53, 54, 56, 60, 58, 59]]
33: [[11, 35, 5, 7, 2, 1], [14, 12, 6, 4, 13, 9, 24, 15], [21, 8, 10, 16, 3, 18], [20, 17, 19, 25, 23, 22, 27, 26, 30, 31, 28, 29, 37, 34, 32, 36, 33, 43, 41, 39, 38, 46, 42, 40, 44, 47, 45, 51, 60, 48, 57, 52, 49, 50, 54, 53, 56, 55, 58, 59]]
34: [[11, 35, 5, 7, 2, 1, 6], [12, 3, 8, 24, 22, 13, 4, 9, 23, 10, 18, 14, 15, 19, 28, 16, 20], [17, 21, 25, 30, 26, 29, 27], [31, 33, 32, 37, 38, 34, 40, 36, 43, 39, 41, 42, 44, 46, 47], [52, 48, 51, 55, 49, 50, 45, 54, 53, 58, 56, 57, 59, 60]]
35: [[11, 35, 5, 7, 2, 1], [14, 3, 4, 12, 8], [28, 9], [13, 21, 10, 16], [15, 6, 18, 20, 17, 23, 24, 19], [22, 30], [26, 27, 29, 31, 25, 33, 32, 34, 37], [38, 43, 36, 39, 40, 42, 44, 45, 41, 46, 47], [48, 51, 55, 57, 49, 50, 52, 53, 54, 56], [60, 58, 59]]
36: [[11, 35, 5, 7, 2], [1, 14, 4, 3, 8, 13, 6, 27, 9, 31, 10, 28, 23, 12, 15, 22, 17, 16, 18, 24, 21, 19, 25, 26, 29, 20, 30, 33, 32, 36, 39, 34, 41, 45, 42, 38, 44, 37, 40, 46, 47, 56, 43, 52, 54, 57, 50], [48, 49, 51, 55, 53, 58, 60, 59]]
37: [[11, 35, 5, 7, 2], [1, 14, 4, 3, 13, 8, 6, 21, 10, 9, 15, 31, 29, 12, 18, 22, 16, 17, 20, 23, 24, 26, 28, 19, 25, 30, 27, 37, 34, 38, 32, 36, 39, 33, 41, 40, 45, 43, 46, 44, 42, 52], [48, 47, 49, 56, 53, 55], [50, 51, 59, 57, 54, 58, 60]]
38: [[11, 35, 5, 7, 2], [1, 14, 4, 3, 8, 24], [15, 17, 12, 6, 10, 18, 9, 13, 26, 20, 21, 16, 19], [25, 30, 22, 31, 23, 29, 28, 27, 33, 32, 39, 38, 34, 43, 46, 45, 36, 37, 41, 40, 42, 44, 47, 50, 51, 52, 57, 49, 48, 55, 53, 54, 59, 60, 58, 56]]
39: [[11, 35, 5, 7, 2, 1], [14, 12, 9, 4, 10, 6, 26, 8, 15, 3, 17, 23, 13, 21, 16, 18, 19], [20], [22, 24, 25, 30, 29, 27, 28, 31, 41, 36, 33, 37, 34, 39, 40, 42, 32, 47], [44, 43, 46, 45, 52, 51, 49, 38, 56, 48], [53, 55, 50, 54, 57, 59, 58, 60]]
40: [[11, 35, 5, 7, 2, 1, 14, 3], [8, 6, 10, 4, 28, 15, 19, 24, 9, 18, 25, 16, 17, 20, 12, 13, 21, 31, 29, 22, 23, 26, 30, 27, 33, 34, 39, 32, 36, 47, 44, 40, 41, 42, 46, 37, 45, 38, 53, 43, 51, 49, 48, 50, 55], [54, 52, 56, 58, 60, 57, 59]]
41: [[11, 35, 5, 7, 2, 1, 14, 3, 4], [8, 9, 13, 15, 18, 10, 21, 6], [12, 31, 20, 17, 19, 28, 16], [23, 25, 22, 26, 24, 27, 29], [30, 33], [34, 32, 36, 37, 43, 45, 47, 42], [38, 39, 44, 41, 40, 53, 49, 46, 54, 57, 51, 50, 48, 52, 55, 58, 60, 59, 56]]
42: [[11, 35, 5, 7, 2], [1, 14, 6], [3, 8, 9, 15, 29, 12, 18, 10], [28, 13, 4, 20, 19, 16, 21, 17, 26, 31, 22, 30, 23, 25, 27, 24, 32, 37, 39, 38, 34, 33, 36, 43, 40, 42, 45, 41, 44, 47, 60, 48, 46, 55, 57, 49, 50, 54, 52, 51, 56, 58, 53, 59]]
43: [[11, 35, 5, 7, 2, 1], [14, 4], [3, 13, 6, 10, 21, 8, 17, 25, 9, 15, 12, 18, 30, 16, 19, 22, 20, 23, 26, 28, 27, 24, 29, 31, 33, 32, 38, 37, 34, 43, 45, 42, 40, 39, 36, 51, 41, 44, 52, 48, 50, 47, 57, 49, 46, 54, 53, 58, 55, 56, 59, 60]]
44: [[11, 35, 5, 7, 2, 1, 14], [4], [8, 6, 3, 9, 25, 13, 29, 15], [17, 12, 19, 20, 10, 27, 21], [16, 18, 24, 23, 22, 26, 30], [31, 28], [37, 34, 33, 32, 39, 42], [36, 41, 38, 47, 43, 45, 40], [44, 46, 49, 50, 55, 57], [51, 52, 48, 53, 54, 56, 58, 60, 59]]
45: [[11, 35, 5, 7, 2, 1, 14], [12, 3, 4, 6, 8, 25, 15, 23, 10, 13, 19, 18, 20, 17, 22, 9, 16, 21, 30, 26, 24, 28, 29, 27, 31, 38, 32], [33, 34, 36, 41, 37, 43, 40], [39, 46, 42, 45, 47, 44, 49, 51, 48, 56, 52, 53, 55, 50], [59, 60, 57, 58, 54]]
46: [[11, 35, 5, 7, 2], [15, 12, 4, 1, 8, 24], [9, 21, 3, 6, 13, 10], [19, 23, 17, 22, 18], [16, 14, 31, 25, 26, 27], [29, 20, 28, 34, 33, 32, 36], [38], [30, 37, 39, 43, 42, 41, 44, 46], [40, 45, 52, 48, 55, 49], [57, 47, 53, 51, 54, 50, 59, 60, 56, 58]]
47: [[11, 35, 5, 7, 2, 1], [12, 3, 8, 4, 9, 13, 14, 17, 23, 24, 25, 22, 28, 15, 20, 19, 30, 16, 26, 29, 18, 10, 21, 6], [27, 31], [33, 32, 37, 38, 36], [40, 45, 46, 41, 34, 42, 39, 49, 44, 43], [55, 50, 47, 57, 48, 51, 52, 54, 53, 58, 56, 59, 60]]
48: [[11, 35, 5, 7, 2, 1, 14], [6, 8, 4, 3, 17, 24, 9, 23, 13, 12, 10, 19, 20, 18, 21, 29, 15, 25, 22, 27, 26, 28, 16, 31, 30, 44, 34, 36, 32, 33, 42], [37], [39, 38, 47, 43, 46, 45, 40, 54, 41, 53, 55, 57, 48, 49, 50], [52, 51, 56], [58, 59, 60]]
49: [[11, 35], [5, 7, 2, 1, 14, 12, 6, 3, 4, 9, 24, 8, 13, 10, 15, 18, 19, 21, 20, 17, 27, 25, 16, 23, 22, 26, 30, 28, 29, 31, 37, 32, 39, 38, 33, 43, 41, 34, 36, 45, 40, 42, 47], [46, 52, 44, 60, 54, 56, 50], [49, 48, 51, 55, 57, 53, 58, 59]]
50: [[11, 35, 5, 7, 2, 1], [14, 4, 3, 13, 6, 8, 10, 9, 21, 26, 25, 15, 17, 16, 22, 12, 18, 23, 19, 30, 20, 27, 28, 31, 24, 29, 37, 34, 32, 36, 33, 42, 45], [46, 40], [38, 43], [39, 48, 44, 47, 54, 41, 49], [57, 55, 51, 50, 52, 59, 53, 58, 60, 56]]
51: [[11, 35, 5, 7, 2, 1, 14], [4, 3, 12, 6, 8, 9, 25, 21, 27, 28, 15, 18, 26, 13], [10], [23, 17, 19, 20], [22, 16, 24, 29, 30], [31, 34, 32, 33, 36, 37, 43], [38, 40, 39, 42, 41, 46, 54, 44], [47, 49, 53, 48, 56, 45, 51, 55, 50, 52, 57, 60, 58, 59]]
52: [[11, 35, 5, 7, 2, 1, 14], [3, 6, 4, 8, 12, 20, 15, 9, 13, 25, 16, 10, 21, 19, 22, 18, 17, 23, 31, 27, 29, 26, 24, 28], [30], [32, 33, 37, 39, 36, 45, 34, 40, 42, 44, 38, 46, 41, 43, 47], [55, 49, 48], [57, 51, 53, 50, 52, 59, 58, 54, 56, 60]]
53: [[11, 35, 5, 7, 2, 1], [14, 4], [3, 8, 6, 9, 26, 15, 12, 10], [13, 22, 17, 18, 19, 29, 23, 21, 27], [24, 25, 31, 20, 16, 30, 28, 33, 32, 34, 36, 37, 43, 45, 46, 40, 42, 38, 39, 48, 41, 53, 50, 47, 49, 57, 51, 44, 55, 52, 54, 60, 58, 56, 59]]
54: [[11, 35, 5, 7, 2, 1], [14, 4, 3, 8, 6, 9, 10, 15, 20, 13, 27, 12, 16, 18, 22, 31, 21, 17], [24, 23, 19, 26, 25, 30, 29], [28, 33, 34, 32, 40, 37, 43], [45, 41, 42, 36, 44, 39, 47], [46], [38, 50, 51, 49, 57, 55, 48, 53], [52, 54, 60, 58, 56, 59]]
55: [[11, 35, 5, 7, 2, 1, 14, 6], [8, 4, 3, 9, 10, 12, 23, 13, 28, 15, 19, 21, 22, 27, 18, 17, 24, 25, 20, 31, 26, 16, 29, 30, 41, 32, 39, 37, 38, 42, 33, 36, 34, 47, 43, 46, 44, 40, 55, 49, 52, 54, 56, 48, 45], [51, 50, 53, 59, 58, 60, 57]]
56: [[11, 35, 5, 7, 2, 1, 14, 12], [4, 3, 8, 10, 13, 6, 21, 25, 17, 9, 15, 18, 30, 26, 24, 22, 16, 19, 23, 20, 27, 28, 29, 31, 33, 32, 36, 37, 34, 43, 45, 42, 38, 39, 40, 41, 46, 44, 52, 59, 50, 47, 57, 49, 48, 54, 53, 58, 51, 56], [55, 60]]
57: [[11, 35, 5, 7, 2, 1, 14], [4, 6, 8, 3, 10, 16, 15, 9, 17, 20, 28, 12, 13, 23, 18, 21, 27, 19, 22, 24, 30], [26, 25, 29, 31, 37, 34, 33], [39, 38], [32, 41, 36, 42, 43, 40, 45], [44], [47, 54, 46, 55, 50, 49], [48, 60, 51, 52, 53], [58, 59, 57, 56]]
58: [[11, 35, 5, 7, 2, 1], [14], [3, 4, 12, 15, 8, 24, 9, 6, 10, 26, 20, 17, 18, 13, 29, 19, 21, 22, 31, 16, 23, 27, 25, 28, 30, 33, 32, 34, 38, 36, 43, 42, 39], [40, 37, 47, 45, 41, 44, 50, 52, 46, 48, 57, 49, 51, 54, 53, 55, 58, 59, 56, 60]]
59: [[11, 35, 5, 7, 2, 14, 1], [12, 3, 6, 4, 8, 24], [9, 10, 15, 16], [13, 21, 18, 19, 17, 26, 20, 22, 23], [25, 31, 29, 27, 28, 30, 32, 33, 34, 37, 36, 42, 45, 43, 38, 39, 46, 40, 41, 50, 53, 44, 55, 48, 49, 47, 52, 54, 51, 56, 58, 57, 60, 59]]
60: [[11, 35, 5, 7, 2, 1, 14], [4, 3, 8, 25, 22, 10, 6, 12, 26, 9, 18, 17, 15, 30, 29, 13, 21], [16, 24, 19, 27, 31, 28, 20, 23], [33, 34], [32, 36, 37, 43, 40, 44, 42, 38], [41, 39, 45, 46, 55, 48, 51, 49, 50], [47, 52, 53, 54, 58, 60, 56, 59, 57]]
61: [[11, 35, 5, 7, 2, 1, 14], [4], [3, 9, 6, 12, 28, 13, 8, 10], [19, 31, 15, 20, 22, 23], [16, 17, 24, 18, 21, 26, 30, 25, 27, 29, 33, 32, 36, 38, 34, 41, 39, 37, 42, 40, 47, 43, 46, 44, 54, 50, 51, 49, 57, 55, 45, 48, 52, 53, 56, 59, 58, 60]]
62: [[11, 35, 5, 7, 2, 1, 14], [12, 3, 9, 8, 22, 24], [28, 15, 4, 13, 23, 16, 20, 10, 21, 6], [17, 26, 18, 25, 27, 31, 30, 29], [33, 37, 34, 32, 36, 44, 41, 38, 45], [19, 42, 46, 39, 40, 47, 51, 43, 59, 49, 57, 48, 52, 50], [53, 54, 55, 58, 56, 60]]
63: [[11, 35, 5, 7, 2, 1, 14], [4, 6, 8, 9, 24, 17, 13, 18, 10, 31, 15], [12], [19, 20, 3, 22], [16, 26, 23, 28, 21, 27, 29, 30, 25, 37, 32, 36, 34, 33, 43, 39, 41, 42, 38, 40, 45, 44, 46, 52, 50, 47, 49, 57, 55, 54, 48, 53], [51, 56, 58, 59, 60]]
64: [[11, 35, 5, 7, 2, 1, 14], [4, 8, 3, 9], [17, 13, 23, 15, 19, 12, 27, 18, 10, 21, 6], [16, 20, 30, 22, 29, 25, 24, 28, 26], [31, 41, 32, 33, 34, 36], [42, 38, 37, 39, 47, 43], [40, 44, 45, 48, 51, 46, 49, 57, 50, 52, 53, 54, 55, 56, 58, 60, 59]]
65: [[11, 35, 5, 7, 2], [1, 3, 4, 9, 6, 24, 12, 28, 8, 10, 14, 17, 23, 13], [22, 19, 15, 16, 21, 20, 26, 29, 18, 30, 27, 25], [31, 33, 32, 36, 38, 34, 41, 39], [40, 37, 43, 44, 46, 42, 47], [45, 50, 51, 53, 57, 49, 48, 52, 55, 58, 56, 54, 59, 60]]
66: [[11, 35, 5, 7, 2, 1, 14, 12, 3], [6, 10, 8, 25, 9, 4, 13], [24, 15, 17, 20, 23, 16, 21, 19, 18, 22, 28, 30, 27], [29, 26, 31, 41, 33, 36, 37, 34, 38, 39, 43, 32, 47, 44, 42, 45, 40], [53, 51, 52, 46, 57, 49, 48, 55, 50, 54, 58, 56, 60, 59]]
67: [[11, 35, 5, 7, 2, 1, 14], [4, 3, 6, 9, 24, 19, 13, 23, 17, 26], [10, 12, 18, 22, 8, 15, 21, 25, 20, 16, 28, 29, 27, 31, 30, 33, 40, 32, 39, 38, 41, 37], [36, 42, 34, 47, 43, 52, 44, 54, 46, 53, 45, 57, 51, 49, 48, 59, 50, 58, 60, 55, 56]]
68: [[11, 35, 5, 7, 2, 1], [14, 4, 3, 12, 8, 28], [9, 6, 23, 26, 13, 31, 10], [16, 29], [15, 17, 21, 20, 19, 30, 27, 18, 22, 24, 25, 33, 32, 34, 38, 36, 43, 39, 37, 40, 42, 44, 41, 46, 47], [45, 54, 55, 48, 49, 51, 53, 52, 50, 58, 56, 59, 57, 60]]
69: [[11, 35, 5, 7, 2, 1, 12], [15, 3, 6, 8, 4, 17, 9], [19, 10, 20, 13, 14, 24, 16, 21, 18, 26, 25, 30, 23, 28, 22, 29, 31, 27, 33, 36, 39, 34, 32, 47, 44, 43, 38, 37, 40, 41, 45, 42, 52, 50, 51, 46, 57, 49, 48, 55, 54, 53, 56, 59, 58, 60]]
70: [[11, 35, 5, 7, 2, 1, 14], [4, 9], [12, 3, 8, 24, 6, 20, 16, 15], [23, 13, 17, 18, 28, 19, 21, 10, 22], [26, 29, 27, 30, 31, 25, 33], [32, 36, 37, 38, 47], [45, 41, 42, 34, 40, 39, 43, 46, 44, 48, 50, 55, 56, 49, 51, 54, 52, 53, 57, 58, 60, 59]]
71: [[11, 35, 5, 7, 2], [1, 14, 4, 3, 6, 8], [12, 19, 10, 9, 15, 29, 13, 22, 20, 26, 17, 16, 18, 23, 21, 24, 25], [27, 31, 28, 30, 37, 34, 38, 39, 36, 43, 33, 32, 42], [45, 40, 46, 41, 44, 52, 50, 47, 48, 57, 53, 49, 55, 51, 60, 56, 54, 58, 59]]
72: [[11, 35, 5, 7, 2, 1, 14], [4, 3, 8, 9, 6, 24], [21, 10, 18, 12], [13, 15, 16, 22, 28, 17, 19, 20], [23, 25], [26, 27, 31, 29, 30, 37, 34, 33, 39], [32, 43, 42, 36, 40, 38, 47, 41, 45, 46, 48], [44, 51, 55, 57, 49, 50, 54, 56, 58, 52], [53, 59, 60]]
73: [[11, 35, 5, 7, 2, 1, 14], [4, 3, 8, 9, 12, 28, 13, 10, 15], [18, 20, 6, 16, 17, 19, 21], [23, 24, 29, 26, 22, 25, 27, 31, 30, 33, 34, 32, 37, 38, 41, 36, 43, 39, 42, 44, 47, 46, 40, 53, 48, 51, 52, 57, 49, 45, 50, 54, 55, 56, 59, 58, 60]]
