0: [[2, 9, 17, 1], [6, 5], [7, 3, 11, 8], [4, 15, 10, 12], [20, 25], [18, 16, 19, 13, 14], [23, 22], [21, 26, 27], [29, 24, 28]]
21: [[2, 9], [17, 1], [6, 5], [7, 3], [11, 12], [4, 13, 10, 8], [20, 25, 18], [16, 19, 15, 14], [22, 23, 21, 26], [27, 28, 24], [29]]
22: [[2, 9, 17], [1, 6, 5], [7, 3, 11, 4, 8, 13, 15], [20, 10, 18], [12, 22, 16], [14, 23, 19, 21, 24, 26, 29, 28, 25, 27]]
23: [[2, 9], [17, 1], [6, 5], [7, 3, 11], [4, 8, 15, 10], [12, 20, 25], [18, 16], [19, 14, 29], [22, 13, 21], [26, 27, 24, 28, 23]]
24: [[2, 9, 17, 1, 6, 5, 7, 3, 11, 4, 8, 13, 15], [20, 12, 18, 10, 22, 14, 16, 19, 23, 21], [24, 26, 27, 25, 29, 28]]
25: [[2, 9, 17], [1, 6, 5], [7, 3, 11], [12, 8, 4], [10, 13, 20, 25, 18, 28, 19, 14, 15, 23, 22, 21, 26, 27, 16, 24, 29]]
26: [[2, 9], [17, 1, 6, 5], [7, 3, 11, 12, 8, 15, 10, 4, 22, 25, 18, 21, 13, 14, 19, 23, 16], [20, 26, 27, 28, 24, 29]]
27: [[2, 9], [17, 1, 6], [5, 7], [3, 11, 8], [4, 14, 10], [13, 20, 25], [18, 22, 19], [12, 15, 16], [23, 21, 26], [27, 24, 28, 29]]
28: [[2, 9, 17], [1, 6, 5], [7, 3, 11, 12, 4, 8, 10, 13, 20, 25, 18, 28, 19, 14, 15, 23, 22, 21, 26, 16, 29, 24, 27]]
29: [[2, 9], [17, 1], [6, 5, 7], [3, 11, 8], [4, 15, 10], [12, 20, 25], [18, 13, 19], [14, 16, 23, 22, 21, 26, 27, 28, 24, 29]]
30: [[2, 9], [17, 1], [6, 5], [7, 3, 11], [8, 4], [13, 10], [14, 20, 25], [18, 21], [19, 15], [23, 12, 16], [22, 26, 27], [28, 24, 29]]
31: [[2, 9], [17, 1], [6, 5], [7], [3], [11, 4, 15, 20], [25, 18, 8], [10, 12, 16, 19, 13, 22, 23, 21, 26, 27, 14, 29, 24, 28]]
32: [[2, 9, 17], [1, 6, 5], [7, 3, 11, 12, 4, 13, 14], [20, 28, 19, 10, 8, 18], [16, 15, 22, 23, 21, 26, 24, 25, 27, 29]]
33: [[2, 9, 17], [1, 6, 5], [7, 3, 11], [8, 4, 15, 10, 12, 20, 25, 18, 29, 19, 14, 13, 16, 22, 21, 27, 23, 24, 28, 26]]
34: [[2, 9], [17, 1], [6, 5], [7, 3], [11], [12, 8, 15], [10, 4], [20, 25], [18, 14], [23, 13], [19, 16, 21], [22, 26], [27, 28, 24, 29]]
35: [[2, 9], [17, 1], [6, 5], [7, 3], [11, 4, 8, 10, 14], [12, 20, 25, 19, 16, 13, 18, 21, 23, 15, 22, 24, 27, 28, 26, 29]]
36: [[2, 9, 17], [1, 6, 5], [7, 3], [11, 8, 4], [15, 10, 12], [20, 25], [18, 29], [19, 14, 13], [22, 21, 26], [23, 16, 28, 24, 27]]
37: [[2, 9], [17, 1], [6, 5, 7], [3, 11], [8, 4], [12], [10, 13, 20, 27, 19, 15, 18, 22, 14, 16, 21, 26, 24, 23, 28, 25, 29]]
38: [[2, 9, 17], [1, 6, 5, 7, 3, 11, 4, 12], [15, 10, 8, 18, 25, 14, 16, 19, 22, 13, 21, 23], [20, 26, 27, 28, 24, 29]]
39: [[2, 9], [17, 1, 6], [5, 7], [3, 11, 8], [4], [15, 12, 14], [20, 16, 18], [10, 19, 13], [21, 23, 22], [25, 26, 27], [28, 24, 29]]
40: [[2, 9], [17, 1], [6, 5, 7], [3, 11, 8], [4, 12, 10], [13, 20, 25, 18, 16, 19, 14, 15, 22, 21, 23, 26, 27, 28, 24, 29]]
41: [[2, 9], [17, 1, 6], [5, 7, 3, 11, 12, 4, 15, 10, 14, 20, 25, 18, 16, 19, 8, 13, 22, 21, 23, 26, 27, 28, 24, 29]]
42: [[2, 9], [17, 1, 6, 5, 7], [3, 11], [4, 12, 15], [10, 8, 20], [25, 18, 21, 19, 13, 16, 23, 14, 22, 26, 27, 29, 24, 28]]
43: [[2, 9], [17, 1], [6, 5], [7, 3, 11], [4, 8, 10, 14, 12, 20, 25, 18], [16, 19, 13], [21, 23], [15, 22], [26, 27, 24], [28, 29]]
44: [[2, 9], [17, 1], [6, 5], [7, 3], [11, 12], [4, 14], [15, 8, 20], [25, 18, 16, 19, 13, 21, 22, 10], [23, 26, 27, 28, 24, 29]]
45: [[2, 9], [17, 1, 6], [5, 7, 3], [11, 8], [4, 15, 10, 14], [20, 25, 18], [13, 19, 22], [12, 16, 21], [27, 26, 23], [24, 28, 29]]
46: [[2, 9, 17], [1, 6], [5, 7, 3], [11, 8, 4], [14, 10], [12], [20, 25], [18, 16], [19, 13, 15], [23, 22, 21], [26, 27, 28, 24, 29]]
47: [[2, 9, 17], [1, 6, 5], [7, 3], [11, 8], [4, 15, 10], [12, 20, 25, 18, 29], [14, 19, 13, 22, 21, 16, 26, 27, 23, 24, 28]]
48: [[2, 9, 17], [1, 6, 5], [7, 3], [11, 8, 4], [15, 12, 10], [20, 25, 18, 14, 19, 13, 16, 23, 22, 21, 24, 27, 28, 26, 29]]
49: [[2, 9, 17], [1, 6], [5, 7, 3], [11, 8, 4, 15], [14, 12, 20, 24, 18, 29, 19, 10, 13, 16, 21, 22, 27, 23, 25, 28, 26]]
50: [[2, 9, 17], [1, 6, 5], [7, 3], [11, 8], [4, 15, 14], [12, 20, 25, 18, 29, 19, 10, 13, 16, 22, 21, 27, 23, 26, 24, 28]]
51: [[2, 9, 17], [1, 6, 5, 7], [3, 11], [12, 4, 8], [20, 29, 10], [13, 18, 14], [15, 16, 21], [26, 24, 23], [19, 22, 25], [27, 28]]
52: [[2, 9, 17], [1, 6], [5, 7], [3, 11], [8, 4, 10], [13, 12], [20, 25, 18, 16, 19, 14, 15, 23], [22, 21, 26, 27, 24, 28, 29]]
53: [[2, 9], [17, 1, 6], [5, 7, 3], [11, 8], [4, 15, 10], [12, 20], [25, 18], [29, 19, 14], [13, 22], [16, 21, 26], [27, 24, 28, 23]]
54: [[2, 9, 17, 1], [6, 5, 7], [3, 11, 12], [4, 13, 14], [20, 24, 19], [10, 8, 26, 15, 16, 22, 23], [21, 18, 29, 28, 27, 25]]
55: [[2, 9, 17], [1, 6], [5, 7, 3], [11, 8], [4, 15, 10], [12, 20, 25, 18], [16, 19, 13, 14], [23, 28, 21, 26, 27, 22, 24, 29]]
56: [[2, 9], [17, 1, 6], [5, 7, 3, 11], [8, 4], [14, 10, 12], [20, 24, 18], [15, 16, 23, 13, 19, 22, 25, 26, 21, 27], [28, 29]]
57: [[2, 9], [17, 1], [6, 5, 7], [3, 11, 8], [4, 15, 10], [12, 20, 24], [18, 13, 19, 14], [16, 23], [21, 22, 26], [25, 28, 27, 29]]
58: [[2, 9, 17], [1, 6, 5], [7, 3], [11, 8, 4], [12, 10, 13], [20, 25, 18], [16, 19, 14], [15, 21, 22], [27, 23, 24], [28, 26, 29]]
59: [[2, 9, 17], [1, 6, 5], [7, 3, 11], [8, 4], [15, 14, 12], [20, 24], [18, 13, 19], [10, 16, 22], [21, 23], [25, 27], [29, 28, 26]]
