0: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
15: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
16: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
17: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
18: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
19: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
20: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
21: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
22: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
23: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
24: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
25: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
26: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
27: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
28: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
29: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
30: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
31: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4], [14, 8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
32: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4], [14, 8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
33: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4], [14, 8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
34: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4], [14, 8, 5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
35: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14, 8], [5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
36: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14, 8], [5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
37: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14, 8], [5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
38: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14, 8], [5, 9, 12, 13, 15, 17, 18, 20], [23, 21, 22, 24]]
39: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18], [20, 23, 21, 22, 24]]
40: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18], [20, 23, 21, 22, 24]]
41: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18], [20, 23, 21, 22, 24]]
42: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4], [14, 8, 5, 9, 12, 13, 15, 17, 18], [20, 23, 21, 22, 24]]
43: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4], [14, 8, 5, 9, 12, 13, 15, 17, 18], [20, 23, 21, 22, 24]]
44: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4], [14, 8, 5, 9, 12, 13, 15, 17, 18], [20, 23, 21, 22, 24]]
45: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4], [14, 8, 5, 9, 12, 13, 15, 17, 18], [20, 23, 21, 22, 24]]
46: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4], [14, 8, 5, 9, 12, 13, 15, 17, 18], [20, 23, 21, 22, 24]]
47: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14], [8, 5, 9, 12, 13, 15, 17, 18, 20, 23], [21, 22, 24]]
48: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14, 8], [5, 9, 12, 13, 15, 17, 18, 20, 23], [21, 22, 24]]
49: [[1, 19, 6, 16, 10, 2, 3, 11, 7, 4, 14, 8], [5, 9, 12, 13, 15, 17, 18, 20, 23], [21, 22, 24]]
