0: [[38, 5, 7], [4, 3], [24, 1, 2, 12, 22], [9, 6], [41, 15, 14], [25, 18, 13, 23], [19, 17, 21], [26, 16, 11, 30], [20, 29, 27], [28, 31, 63], [36, 33, 37, 34], [44, 32, 39, 8], [35], [40, 42], [47, 46, 45], [50, 54, 53, 51, 52], [58, 49], [57, 56, 55], [61, 48, 59], [60, 62, 65, 43], [64, 66, 70], [67, 71], [72, 68], [77, 75, 69, 10], [73, 74, 78], [76, 81, 80], [82, 79, 83], [86, 84, 85, 87, 88]]
11: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 6], [11, 8, 9], [14, 13, 10], [15, 16], [21, 20], [25, 28, 17], [18, 19, 26, 27, 51, 23, 57, 29], [47, 46, 30, 50, 33], [40, 31, 32, 37, 49], [36, 39, 34, 35, 41, 42, 43, 44, 45, 58, 48, 56, 55, 52, 54, 53, 62, 63, 59, 61, 60, 66, 72, 64, 81, 67, 65, 74, 69, 78, 71, 70, 73, 68, 75, 79, 77, 80, 82, 86, 76, 84, 83, 85, 87, 88]]
12: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22], [6, 10], [9, 8, 11, 43, 31, 13], [17, 15, 14, 27], [49, 16, 18, 19, 20, 21, 23, 62, 61, 56, 34, 25, 30, 26, 44, 28, 40, 29, 32, 33, 36, 35, 39, 42, 41, 37], [46, 45, 55, 63], [47, 50, 53, 51, 48, 52, 58, 57, 59, 54, 60, 66, 72, 65, 70, 76, 64, 67, 69, 71, 68, 75, 73, 78, 74, 77, 79, 81, 80, 84, 82, 85, 86, 83, 87, 88]]
13: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 6], [9, 8, 11, 15, 14, 10, 25, 13, 52, 16, 17, 18, 21, 20, 26, 23, 19, 27, 53, 28, 59, 31, 46, 30, 42, 39, 40, 37, 56, 33, 29, 32, 35, 34, 36], [43, 41, 47, 48, 44, 45, 50, 55, 51, 57, 49, 54, 61, 62, 58, 60, 63, 67, 64, 65, 81, 66, 69, 78, 76, 68], [73, 70, 72, 71, 79], [77, 80, 84, 82, 75, 88, 83, 86], [87, 85, 74]]
14: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 6, 9], [8, 11, 10], [15, 14, 26, 27], [45, 29, 13], [16, 17, 21], [19, 20, 25, 30, 57, 31, 58, 28, 32, 34, 33, 44, 40, 18, 41, 36, 23, 46, 60], [35, 47, 37], [42, 63, 39, 48, 43, 49, 51, 52, 53, 50, 56, 59, 62, 55, 61, 54, 69, 64, 65, 67, 66], [68, 70, 76], [71, 73, 75], [72, 77, 79, 74, 78, 85, 80, 81], [82, 86, 83, 84, 87, 88]]
15: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22, 10, 14, 8, 11, 9, 27, 13, 18, 15], [17, 21, 30], [23, 16], [19, 26, 25], [20, 28, 31, 39, 43, 29, 32, 63], [44, 6, 48, 34, 60], [40, 42, 33, 35, 46, 41, 57, 37, 62, 36, 53, 51, 45, 58, 49, 52, 47, 59, 61, 54, 50, 56, 55, 66, 64, 65, 69, 68, 70, 78], [77, 67, 72, 74, 71, 73, 79, 76, 75, 85, 84, 80, 81, 86, 83, 82, 87, 88]]
16: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 9, 8, 10, 15, 29, 11, 13, 19, 25, 14, 17, 16, 30, 52, 27, 23, 20, 18], [26, 21, 63, 59, 57, 37, 28, 31, 36, 32, 49, 41, 43, 34, 33, 42, 39, 45, 40, 44, 60, 46], [35, 47, 48, 51, 50, 55, 58, 53, 54, 62, 56, 61, 68, 66, 69, 64, 74, 65, 78, 71, 67, 73, 72, 76, 70, 77, 75, 79, 84, 80, 83, 81, 85, 82, 86, 87, 88]]
17: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [10, 6], [40, 9, 29, 8], [27, 25, 15, 41, 17, 26, 11, 20, 14, 16, 19, 18, 21, 23, 13, 55, 47, 48, 58, 43, 32, 52, 35, 60, 28, 33, 30, 53, 31, 44, 34, 37, 46, 36, 42, 45, 50, 54, 39, 51, 49, 57, 56, 59, 61, 62, 63, 68, 72, 66, 69, 64, 65, 70, 71, 78, 73, 74, 75, 67, 76, 77, 79, 80, 84, 86, 82, 83, 81, 87, 85, 88]]
18: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 9, 40, 8, 15, 14, 25, 10, 13, 28, 16, 26, 11, 21, 18, 17, 19, 20, 23], [27, 45, 29, 56, 51, 55, 32, 30, 52, 44, 62, 33, 50, 59, 41, 43, 31, 35, 46, 42, 34, 36, 37, 39, 61, 47, 53, 48, 49, 57, 60, 58, 54, 63, 64, 69, 65, 68, 76, 70, 74, 77, 66, 72, 78, 67, 75, 73, 79, 81, 83, 84, 86, 71, 80, 85, 82, 87, 88]]
19: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [10, 6, 8, 11, 13, 61], [14, 15, 18, 30, 9], [20, 17], [21, 16, 23], [19, 28, 48, 25, 60], [43, 29, 37], [51, 26, 27], [40, 31], [53, 32], [36, 33, 34, 44, 41, 35, 39, 42, 45, 46], [58, 49], [47, 52], [50, 54], [55, 59], [56, 62], [57, 63, 66, 65, 68], [64, 70], [72, 79, 77], [67, 69], [74, 73], [75, 76, 71], [85, 78, 84, 80, 81, 87, 82, 83, 86, 88]]
20: [[38, 5, 7], [4, 3], [24, 1], [2, 14, 11, 8, 6, 41, 9, 30, 15, 28, 20, 27, 49, 12, 22], [18, 16, 19, 26, 23, 17, 29, 21, 31, 25, 43, 51, 35, 33, 13], [36, 37, 32, 54, 34, 44, 39, 40, 60, 50, 42, 47, 52, 45, 48, 46, 53, 55, 56, 59, 58, 57, 61, 63, 62, 66, 64, 67, 69, 65, 76, 68, 75, 73, 70, 74, 71, 79, 72, 77, 78, 84, 80, 82, 83, 81, 86, 85, 87, 88, 10]]
21: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 10, 32], [11, 13], [25, 8, 28], [9, 26, 14, 19, 29, 15, 18, 17, 51, 16, 20, 30, 21, 60, 23, 43, 27, 31, 62, 41, 33, 36, 44, 34, 37, 56, 47, 40, 46, 39, 45, 59, 49, 52, 35, 48, 42, 54, 61, 63, 50, 57, 53, 55, 58, 66, 68, 69, 64, 67, 65, 78, 76, 79, 70, 72, 73, 77, 71, 74, 81, 80, 82, 85, 75, 86, 84, 83, 87, 88]]
22: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 10, 32], [11, 13], [25, 8, 28], [9, 26, 14, 19, 29, 15, 18, 17, 51, 16, 20, 30, 21, 60, 23, 43, 27, 31, 62, 41, 33, 36, 44, 34, 37, 56, 47, 40, 46, 39, 45, 59, 49, 52, 35, 48, 42, 54, 61, 63, 50, 57, 53, 55, 58, 66, 68, 69, 64, 67, 65, 78, 76, 79, 70, 72, 73, 77, 71, 74, 81, 80, 82, 85, 75, 86, 84, 83, 87, 88]]
23: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 10, 32, 11, 25], [8, 9, 13, 14, 26, 47, 18, 15, 54, 17, 21, 16, 19, 20, 31, 29, 56, 23, 42, 58, 27, 55, 41, 34, 40, 44, 30, 37, 57, 33, 35, 36, 39, 43, 45, 53], [62, 51, 52, 46, 48, 49, 50, 59, 60, 61, 82, 63, 65, 70, 68, 66, 71, 64, 76, 77, 74, 69, 72, 73, 75, 78, 79, 80, 81, 83, 85, 84, 86, 87, 88, 67, 28]]
24: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [10, 6, 8, 11, 9, 45], [13, 14, 15, 26, 16], [23, 18], [21, 19], [17], [27, 20, 50, 30, 44, 43, 28, 40, 59, 29, 31], [32, 55, 56], [25, 37], [33, 34, 46], [49, 57, 39, 60, 36, 51, 35, 41], [42, 53, 52, 47, 58], [61, 48, 54, 62, 63, 65, 66, 69, 64, 68, 70, 78, 77, 67, 72, 74, 76, 73, 79, 71, 75, 85, 84, 80, 81, 87, 82, 83, 86, 88]]
25: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22], [6, 10, 9], [8, 19, 27, 25, 11, 15, 17, 13, 14, 61, 16, 18, 50, 20, 21, 29, 28, 23, 30, 31, 26, 55, 33, 34], [42, 35, 32, 37, 63, 40, 39, 44, 45, 36, 41, 46, 43, 56], [47, 49], [52, 53, 48, 51, 54, 57, 58, 60, 59, 62, 66, 65, 64, 68, 76, 69, 70, 71, 67, 78, 73, 72, 74, 75, 77, 79, 81, 80, 83, 82, 84, 85, 86, 87, 88]]
26: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22, 6], [8, 42, 11], [10, 9, 19], [31, 25], [13, 14, 15, 26, 16, 28, 17, 18, 20, 27, 55, 21, 30, 23], [33, 45, 56, 29, 36, 32, 34, 40, 39, 41, 44, 35, 47, 43, 37, 52, 49, 51, 46, 50, 53, 58, 48, 59, 54, 62, 60, 63, 61, 57, 66, 64, 67, 69, 68, 70, 74, 78, 71, 76, 65, 72, 75, 73, 79, 77, 80, 82, 81, 83, 87, 84, 85, 86, 88]]
27: [[38, 5, 7], [4, 3], [24, 1, 2, 12, 22], [6, 9, 11, 10], [15, 8, 25], [28, 13, 23], [31, 14, 27], [17, 16], [18, 19, 21, 20], [30, 26, 29, 33, 40, 51, 36, 43, 34, 32, 63], [35, 37, 44, 46, 39, 41, 45, 50, 47, 57, 55, 48, 56, 53, 54, 52], [59, 60, 49, 58, 62, 61, 42, 68, 64, 76, 69, 66, 70, 67, 72, 74, 65, 71, 78, 73, 77, 75, 79, 82, 86, 80, 81, 85, 84], [87, 83, 88]]
28: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 20], [11, 10, 41], [14, 15], [8, 31, 13], [16, 17], [19, 21, 45, 6, 18, 28, 22, 23, 25, 27, 29, 26, 30, 37, 32, 34, 48, 42, 47, 9, 33, 35, 49, 36, 39, 40, 50, 62, 44, 43, 52, 46, 61, 56, 51, 55, 53, 54, 63, 57, 58, 59, 60, 65, 68, 75, 66, 87, 64, 72, 70, 77, 67, 74], [73, 69, 78, 76, 81, 84, 82, 83, 79, 80, 86, 71, 85, 88]]
29: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 6], [41, 8, 10, 15, 25, 14, 30, 16, 11, 26, 18, 17, 21, 19, 20, 28, 27, 23, 60, 34, 31, 13, 61, 58, 35, 29, 32, 36, 9, 40, 42, 33, 43, 46, 37], [39, 45, 47, 51, 48, 44, 55, 50, 49, 52, 54, 53, 63], [56, 57, 59, 62, 67], [64, 69, 65], [66, 68, 78, 70], [77, 73, 75, 76, 71, 79, 72, 74, 82, 84, 83, 80, 81, 86, 87, 85, 88]]
30: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 10, 9, 11, 8, 45], [28, 13, 15, 26, 17], [14, 49], [21, 18], [48], [27, 20], [50, 29, 16, 59, 19, 56, 23, 25, 57, 32, 51, 42, 35, 41, 33, 30, 31, 34, 44, 47, 53, 36, 43, 37, 39, 46, 55, 52, 63, 40, 58, 54, 60, 61, 62, 65, 68, 69], [66, 64, 71, 70, 78, 67, 77, 72, 73, 75, 74, 76, 79, 81, 84, 82, 83, 80, 85, 87, 86, 88]]
31: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 10], [8, 9, 11, 15], [25, 14], [13, 16], [19, 30], [27, 18, 17, 21], [20, 23, 31, 61, 26, 28, 29, 57, 46, 32], [43, 35, 33, 40, 42, 41, 34, 36, 44, 37, 58, 39, 45], [48, 47, 59, 52, 49, 53, 54, 50, 51, 55, 56, 62, 63, 60, 68, 65, 66, 64, 67, 69, 79, 71, 72, 70, 74, 77, 73, 78, 75, 76, 81, 84, 82, 80, 83, 87, 85, 86, 88]]
32: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 6, 11], [9, 8, 10, 31, 13, 14, 23, 21], [29, 15, 48, 19, 17, 51, 18, 16, 20, 27, 26, 25, 62, 37, 33, 50, 28, 44, 30, 32, 60, 63, 34, 35, 39, 58, 36, 40, 45, 53, 41, 49, 43, 42, 46, 61, 47, 54, 59, 56, 52, 55, 57, 66, 70, 64, 67, 65, 73, 68, 78, 75, 79, 72, 76, 69, 74, 71, 77, 80, 86, 82, 83, 84, 81, 85, 87, 88]]
33: [[38, 5, 7], [4, 3, 24], [1, 2], [12, 22, 6, 34, 9], [8, 11, 27], [15, 14], [10, 30, 20, 28, 18, 21, 16, 19, 57, 26, 17, 25, 13, 60, 62, 49, 58, 32, 23, 61, 29, 51, 31, 33, 36, 35, 41, 39, 37, 43, 40, 47, 42, 44, 45, 46, 48, 53, 54, 50, 55, 52, 56, 59, 63, 64, 74, 65, 66, 70, 69, 67, 78, 68, 72, 76, 71, 79, 73, 75, 80, 83, 85, 77], [82, 88, 81, 84, 87, 86]]
34: [[38, 5, 7], [4, 3], [24, 1], [2, 12], [22, 10, 9, 14, 8, 13, 26, 31, 11, 15, 16, 6, 23, 17], [18, 21, 19, 27, 28, 20, 55, 30, 25, 29, 51, 34, 32, 56, 35, 44, 52, 40, 41, 39, 33, 42, 45, 43, 37, 46, 48, 63, 49, 47, 53, 36, 57, 50, 58, 61, 54, 60, 62, 59, 66, 68, 64, 70, 86, 74, 65, 67, 69, 75, 73, 72, 76, 77, 71], [78, 84, 80, 83, 79, 81, 87, 82, 85, 88]]
35: [[38, 5, 7], [4, 3], [24, 1, 2, 12, 22], [6, 14], [8, 9, 47, 27], [10, 13, 11, 25, 26, 16, 19, 15, 17, 18, 30, 20, 23], [54, 31, 57, 28, 60, 43, 34, 21, 29, 44, 41, 33, 63, 32, 35, 39, 37], [36, 40, 42, 45, 58, 46, 48, 51, 49, 56, 50, 59, 53], [52, 55, 61, 62, 66], [65, 64, 67], [75, 68, 70, 78, 76, 72, 71, 69], [79, 77, 73, 74, 82], [88, 87, 80, 83, 86], [85, 81, 84]]
36: [[38, 5, 7], [4, 3], [24, 1, 2, 12, 22], [6, 9, 10, 11, 25, 8, 15, 14, 18, 21], [20, 26, 19], [29, 16], [17, 13, 23, 27, 31, 28, 30, 50, 37, 39], [32, 34, 36, 59, 40, 42, 51, 33, 35, 44, 41, 45, 60, 43, 46, 52, 56, 49, 55, 47, 63, 48, 58, 53, 54, 57, 61, 62, 66, 72, 67, 64, 80, 71, 65, 70, 73, 68, 69, 74, 76, 75, 78, 77, 88, 86, 81, 85, 79, 82, 83, 84, 87]]
37: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22, 6, 40, 11, 8, 25, 9, 31], [10, 21, 17, 26], [20, 51], [13, 16], [14, 18, 15, 33, 55], [61, 28, 36], [19, 29], [50, 23], [27, 47], [30, 58], [39, 37, 63, 34, 32], [43, 41], [48, 53, 45], [49, 42, 52, 35], [44, 62, 46], [54, 56, 57], [59, 60], [66, 64, 68, 83, 65, 67, 69, 70, 73, 75], [71, 76, 72, 77, 79, 74, 81, 80, 78, 82, 84, 87, 85, 86, 88]]
38: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [6, 11], [8, 9, 15], [13, 14], [10, 16, 21, 18, 26, 17, 25, 29, 28, 23, 27, 19, 30, 20, 31, 45, 61, 58, 39, 48, 37, 42, 34, 35, 54, 36, 40, 63, 33, 41, 46, 32, 43, 44, 47, 49, 55, 57, 53, 52, 50, 51, 56, 59, 60], [62, 67, 64, 69, 65, 66, 68, 75, 70, 71, 72, 73, 74, 79, 77, 76, 85, 80, 88, 78, 83, 81, 86, 82, 87, 84]]
39: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22], [6, 9, 11], [8, 15, 28, 10, 31, 13, 14, 18, 17, 19, 20, 26, 16, 63, 25, 23, 58, 21, 30, 27, 43, 29, 59, 42, 46, 33, 39, 32, 34, 37, 40, 44, 45, 47, 36, 41, 51, 49, 52, 35, 48, 53, 54, 55, 62, 50, 57, 56, 60, 61, 66, 65, 64, 69, 67, 73, 71, 76, 77, 68, 74, 75, 70, 79, 72, 85, 82, 78, 80, 81], [86, 83, 84, 87, 88]]
40: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 6], [11, 8, 9, 15, 13, 10, 14, 19, 29, 18, 16, 27, 17, 20, 21, 26, 31, 25, 23, 57, 61, 28, 46, 30, 34, 36, 40, 37, 41, 32, 47, 49, 39], [50, 35, 45, 42, 43, 52, 59, 44, 33, 53, 55, 48, 54, 51], [63, 62, 56, 58, 60], [67, 64], [66, 81], [68, 65, 74], [69, 79, 76, 70, 73, 71, 77, 72], [75, 80, 82, 78, 83], [84, 86, 87, 85, 88]]
41: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22, 6, 40, 11, 8, 10, 13, 30], [14, 17, 21, 18], [20, 59, 16, 9, 26, 19, 15, 23, 51, 61, 28, 36, 56, 29, 27, 44, 25, 45, 32, 58, 39, 37, 31, 33, 34, 35], [46, 42, 49, 47], [41, 50, 52, 43, 48, 53, 57, 54, 55, 62, 63, 60, 66, 65, 64, 71, 68, 67, 69, 77, 75, 74, 73, 72, 76, 78, 79, 70, 81, 80, 83, 82, 85, 86, 84, 87, 88]]
42: [[38, 5, 7], [4, 3], [24, 1, 2], [12, 22], [6, 10], [9, 8], [14, 27, 29], [21, 11, 19, 13, 26, 15, 17, 18, 48, 16, 20, 23], [25, 51, 28, 30, 59, 31, 50, 33, 56, 41, 36, 34, 43, 39, 37, 35], [40, 45, 46], [47, 44, 32, 52], [62, 60, 55, 54, 42, 53, 58, 63, 49, 57, 61, 66], [65, 64, 75, 68, 67, 70, 71, 69, 77, 72, 73], [74, 79, 76], [78, 81, 84, 82, 83, 80, 85, 87, 86, 88]]
43: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [34, 9, 10, 15, 8, 13, 11, 6, 14, 18, 19, 23, 20, 25, 27, 16, 21, 17, 55, 58, 26, 54, 47, 29], [30, 44, 48, 32, 36, 42, 33, 37, 35, 40, 28, 31, 43, 45, 41, 51, 61, 46, 50, 56, 39, 49, 62, 52, 53, 57, 59], [60, 63, 66, 65, 70, 64, 69], [67, 77], [74, 75, 73, 71], [68, 78], [72, 76, 79, 80, 81, 87, 82, 86, 84, 83, 85, 88]]
44: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 6], [10, 8, 9], [14, 11, 26], [25, 15], [31, 18], [23, 16, 19], [17, 21], [20, 13, 27], [28, 29, 60], [47, 41, 42], [44, 35, 32, 56, 52, 30, 50, 34, 55, 48, 45], [37, 33, 59, 36, 39, 53, 57, 49, 40, 51, 43, 46, 62, 58, 54, 61, 63], [64, 66, 68, 69], [65, 73, 74, 78, 75], [67, 71], [76, 70, 79], [77], [81, 72, 87, 80, 82, 83, 84, 85, 86, 88]]
45: [[38, 5, 7], [4, 3], [24, 1, 2, 12, 22], [6, 11, 8], [9], [47, 14], [10, 15], [16, 21, 31], [13, 28, 18, 19, 20, 26, 17, 23], [25, 57, 29, 27, 36], [30, 46, 35, 32, 40], [33, 37, 49, 50, 39, 34, 53, 41, 42, 43, 44, 45, 58, 48, 61, 55, 51, 54, 52, 56, 63, 59, 60, 62, 66, 72, 68, 65, 67, 64, 75, 70, 71, 69, 78, 73, 74, 76, 77, 79, 80, 83, 85, 81, 84, 82], [87, 86, 88]]
46: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 6], [11, 8, 9], [14, 25, 10], [15, 18], [21, 16], [29, 28, 17], [13, 19, 30, 27, 23, 20, 57, 26], [62, 53, 35, 44, 33], [56, 31], [37, 39, 51, 32], [47], [34, 40], [43, 46], [41, 36, 61], [58, 48, 42, 55, 60, 52, 45, 63, 54], [59, 49, 50, 70, 64, 66, 81, 67, 65, 74, 69, 78, 71, 72, 75, 68, 79, 73, 77, 80, 82, 86, 76, 85, 83, 84, 87, 88]]
47: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 6, 10, 8, 11, 13, 9, 14, 28, 30, 18, 31, 25, 48, 16, 19, 17, 20], [23, 21], [15, 61], [56, 57, 53], [26, 58], [27, 29, 41], [32, 35, 33], [45, 46, 36], [55, 34, 37, 42, 39, 40, 43, 44, 60, 51, 47, 63, 49, 54, 50, 52, 59, 62, 66, 65, 67, 68, 64, 76], [69, 71], [70, 77, 73, 75, 74, 72, 81], [78, 85, 84, 88, 79, 87, 82, 83, 80, 86]]
48: [[38, 5, 7], [4, 3], [24, 1, 2, 12, 22], [6, 11, 10], [8], [33, 25, 29, 9, 14, 17], [13, 27, 15], [16, 18], [50, 52, 19], [21, 31], [20, 30, 26], [28, 23, 37, 32, 42, 34, 36, 40, 35, 41, 39, 43, 56, 44, 48, 49, 47, 62, 46, 45, 51, 53, 54, 55], [58, 59, 57, 60, 61, 63, 66, 65, 69, 64, 68, 71, 70, 77], [67, 75], [73, 72, 74, 79, 76, 78, 81, 80, 83, 84, 82, 85, 87, 86, 88]]
49: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22, 6], [10, 8, 11, 14, 29, 9, 28, 27, 19, 21, 26, 13, 15, 16, 17, 60, 18, 63, 20, 23, 25, 30, 35, 58, 31, 40], [32, 33, 36], [45, 34, 39], [46, 37], [41, 43, 42, 51, 47, 44, 52, 53, 48, 49], [54, 50, 55, 56, 57, 59, 61, 62, 73, 64, 66, 65, 67, 77, 74, 78, 69, 68, 75, 71, 72, 70, 76, 79, 84, 80, 82, 85, 81, 87, 83, 86, 88]]
50: [[38, 5, 7], [4, 3], [24, 1], [2, 12, 22], [10, 8, 40, 14, 25, 27, 9, 28, 13, 6, 11, 21, 17, 15, 50, 18, 16, 48, 20, 26, 23, 57, 29, 35, 31, 39, 44], [19, 32, 33, 30, 34, 47, 36], [45, 43, 46, 37, 41, 59], [42, 52, 51, 53, 58, 54], [55, 56, 49, 60, 61, 63, 62, 66, 68, 69, 64, 70, 65, 78, 67, 71, 74, 72, 73, 75, 76, 77, 81, 84, 82, 87, 79, 85, 86, 80, 83, 88]]
