0: [[4, 3], [19, 1, 2], [6, 5], [11, 15, 7, 9, 13, 8, 17], [16, 22, 18, 10, 12, 23, 14], [20, 25], [21, 27, 26], [29, 28, 24]]
11: [[4, 3], [19, 1, 2], [6, 5], [11, 15, 7], [9, 14, 8, 25], [18, 23], [16, 10], [13, 22], [12, 17, 20], [21, 27, 26], [29, 28, 24]]
12: [[4, 3], [19, 1], [2, 6, 5], [11, 15], [7, 9, 14, 8], [17, 16, 23], [18, 10], [13, 22], [12, 20, 25], [21, 27, 26], [29, 28, 24]]
13: [[4, 3], [19, 1, 2], [6, 5, 11], [15, 7], [9, 13, 8], [17, 18], [23, 10, 20], [12, 14, 16], [22, 25], [21, 27, 26], [29, 28, 24]]
14: [[4, 3], [19, 1], [2, 6], [5, 11, 15], [7, 9, 13], [8, 17, 18], [22, 23, 10], [12, 16], [14, 20, 25], [21, 27, 26, 29], [28, 24]]
15: [[4, 3], [19, 1, 2], [6, 5], [11, 15, 7], [9, 13], [8, 17], [16, 22], [18, 14], [10, 23, 12], [20, 25, 21], [27, 26], [29, 28, 24]]
16: [[4, 3], [19, 1, 2], [6, 5], [11, 15, 7, 9, 13, 8, 17], [18, 23], [16, 10, 12], [22, 14], [20, 25], [21, 27, 26, 29, 28, 24]]
17: [[4, 3], [19, 1], [2, 6], [5, 11], [15, 7], [9, 13, 8], [17, 16, 23], [18, 10], [12, 22], [14, 20, 25], [21, 27, 26], [29, 28, 24]]
18: [[4, 3], [19, 1], [2, 6, 5], [11, 15, 7], [9, 13], [8, 17, 18], [14, 22, 10], [12, 20, 16], [23, 25], [21, 27, 26], [29, 28, 24]]
19: [[4, 3], [19, 1], [2, 6], [5, 11], [15, 7], [9, 13], [8, 17, 18], [23, 14, 10], [12, 20], [16, 22, 25], [21, 27, 26], [29, 28, 24]]
20: [[4, 3], [19, 1, 2], [6, 5], [11, 15, 7, 9, 13, 8, 17], [16, 22, 18, 10, 12, 20, 14], [21, 25], [23, 27, 26], [29, 28, 24]]
21: [[4, 3], [19, 1], [2, 6], [5, 11, 15], [7, 9], [13, 8, 17], [16, 23, 18], [10, 12, 14], [22, 20, 25], [21, 27, 26], [28, 24, 29]]
22: [[4, 3], [19, 1], [2, 6], [5, 11, 15], [7, 9], [13, 8, 17], [16, 22, 18], [10, 12], [20, 14], [23, 25], [21, 27, 26], [28, 29, 24]]
23: [[4, 3, 19], [1, 2], [6, 5], [9, 15, 7], [10, 12, 8], [16, 18, 23], [17, 14], [11, 13], [20, 22, 25], [21, 27, 26], [29, 28, 24]]
24: [[4, 3], [19, 1, 2], [6, 5], [11, 15, 7], [9, 17, 14], [16, 23, 22], [18, 10], [13, 12], [21, 28, 20], [27, 26, 29], [25, 24, 8]]
25: [[4, 3], [19, 1, 2], [6, 5], [11, 15, 7], [9, 13], [8, 17, 16], [22, 18], [10, 12, 14, 23], [20, 25, 21], [27, 26, 28, 29, 24]]
26: [[4, 3], [19, 1], [2, 6, 5], [11, 15, 7], [9, 13], [8, 17, 16], [22, 18], [10, 12, 14], [23, 20], [25, 21, 27, 26], [29, 28, 24]]
27: [[4, 3, 19], [1, 2, 6], [5, 11], [15, 7], [8, 12, 9], [16, 17], [23, 18], [14, 10, 22], [13, 20, 25], [21, 27, 26], [29, 28, 24]]
28: [[4, 3], [19, 1], [2, 6, 5, 11], [15, 7], [9, 13], [8, 17, 16], [22, 14, 10], [12, 23, 18], [20, 25, 21], [27, 26], [29, 28, 24]]
29: [[4, 3], [19, 1], [2, 6], [5, 11], [15, 7], [9, 13, 8], [17, 16, 23], [10, 14], [20, 22], [12, 18], [25, 21, 27, 26], [29, 28, 24]]
30: [[4, 3], [19, 1], [2, 6], [5, 11], [15, 7], [9, 13], [8, 17, 16], [22, 18, 10], [12, 14, 23], [20, 25, 21], [27, 26, 29], [28, 24]]
31: [[4, 3], [19, 1, 2], [6, 5], [11, 15, 7], [9, 13], [8, 17, 16], [23, 18, 10], [12, 22, 14], [20, 27, 21, 25, 26, 29, 28, 24]]
32: [[4, 3], [19, 1, 2], [6, 5, 11], [15, 7], [9, 13, 8], [17, 18, 14], [23, 10], [12, 20, 16], [22, 25, 21], [27, 26, 29], [28, 24]]
33: [[4, 3], [19, 1], [2, 6, 5], [11, 15, 7], [9, 13], [8, 17], [16, 22], [18, 12, 10], [23, 14, 20], [25, 21], [27, 26], [29, 28, 24]]
34: [[4, 3], [19, 1, 2], [6, 5], [11, 15, 7], [9, 13], [8, 17, 16], [23, 18], [10, 12, 22], [14, 20, 25], [21], [27, 26, 29, 28, 24]]
35: [[4, 3, 19], [1, 2], [6, 5], [11, 15, 7], [9, 14, 8], [17, 16], [23, 10], [12, 13], [22, 28], [20, 25, 21], [27, 26, 29], [18, 24]]
36: [[4, 3], [19, 1, 2], [6, 5, 11], [15, 7], [9, 13, 8, 17, 16, 14, 18, 10], [12, 20, 23, 22, 25, 21, 27, 26, 29, 28, 24]]
37: [[4, 3], [19, 1, 2], [6, 5], [11, 15], [7, 9, 13], [8, 17, 18], [22, 14, 10], [12, 23], [16, 20, 25, 21, 27, 26, 29, 28, 24]]
38: [[4, 3], [19, 1], [2, 6], [5, 11], [15, 7], [9, 14, 8], [17, 16, 23], [10, 13], [20, 22, 12], [18, 25, 21], [27, 26, 29], [28, 24]]
39: [[4, 3], [19, 1, 2], [6, 5, 11], [15, 7, 9, 13, 8, 17, 16, 22, 18, 10, 12, 23, 14, 20, 25, 21, 27, 26, 29, 28, 24]]
40: [[4, 3], [19, 1], [2, 6], [5, 11, 15, 7], [9, 13, 8], [17, 18, 22], [14, 10, 28], [12, 16], [20, 25, 21], [27, 26, 29], [24, 23]]
41: [[4, 3], [19, 1, 2], [6, 5, 11], [15, 7, 9, 13, 8, 17, 16, 23, 18, 10, 12, 22, 14, 20, 25, 21, 27, 26, 29, 28, 24]]
42: [[4, 3], [19, 1, 2], [6, 5, 11], [15, 7], [9, 13, 8], [17, 16, 22], [18, 10, 12, 23, 14, 20, 25, 21, 27, 26, 29, 28, 24]]
43: [[4, 3], [19, 1, 2, 6, 5, 11, 15, 7, 9, 13, 8, 17, 16, 22, 18, 10, 12, 20, 14, 23, 25, 21, 27, 26], [29, 28, 24]]
44: [[4, 3], [19, 1, 2], [6, 5, 11], [15, 7], [9, 13, 8], [17, 16, 22, 18, 14, 10, 23, 12, 20, 25, 21, 27, 26, 29, 24, 28]]
45: [[4, 3], [19, 1, 2], [6, 5], [11, 15], [7, 9], [13, 8], [17, 16, 23, 26], [10, 14, 22], [12, 20, 25, 21, 27, 18, 29, 28, 24]]
46: [[4, 3], [19, 1, 2], [6, 5, 11, 15, 7, 9, 13, 8, 17, 18, 23, 22, 10, 12, 16, 14, 20, 25, 21, 27, 26, 29, 28, 24]]
47: [[4, 3, 19], [1, 2, 6], [5, 11], [15, 7, 9, 13], [8, 17, 16, 23, 18, 12, 10], [22, 14, 20], [25, 21, 27], [26, 29, 28, 24]]
48: [[4, 3], [19, 1, 2], [6, 5, 11], [15, 7, 9], [13, 8, 17, 18, 23, 10, 26], [12, 22, 14, 20, 25, 21, 27, 16, 29, 28, 24]]
49: [[4, 3], [19, 1], [2, 6], [5, 11], [15, 7, 9], [13, 8], [17, 16, 23, 10, 14, 20, 12], [18, 22], [25, 21, 27], [26, 29, 28], [24]]
50: [[4, 3], [19, 1], [2, 6], [5, 11], [15, 7], [9, 13], [8, 17], [16, 22, 14], [10, 12, 18], [23, 20, 25, 21, 27, 26, 28, 24, 29]]
51: [[4, 3, 19], [1, 2, 6], [5, 11, 15, 7, 9, 13, 8, 17, 16, 22, 18, 12, 10, 23, 14, 20, 25, 21, 27, 26, 29, 28, 24]]
52: [[4, 3, 19], [1, 2, 6], [5, 11, 15, 7, 9, 13, 8, 17, 18, 23, 20, 26, 28, 21, 27, 12, 14, 16, 25, 10, 22, 24, 29]]
53: [[4, 3, 19], [1, 2, 6], [5, 11, 15, 7, 9, 13, 8, 17, 18, 22, 10, 14, 12, 23, 16, 20, 25, 21, 27, 26, 29, 28, 24]]
54: [[4, 3, 19, 1, 2, 6, 5], [11, 15], [7, 9, 13], [8, 17, 16], [22, 18, 10, 12, 23, 14, 20, 25, 21, 27, 26, 29, 28, 24]]
55: [[4, 3], [19, 1], [2, 6], [5, 11], [15, 7, 9], [13, 8, 17, 16, 23, 10, 14, 26, 20, 12, 18, 25, 21, 27, 22, 29, 28, 24]]
56: [[4, 3, 19], [1, 2, 6], [5, 11, 15], [7, 9, 13, 8, 17, 18, 22, 14, 10, 12, 23, 16, 20, 25, 21, 27, 26, 29, 28, 24]]
57: [[4], [3, 19, 1, 2, 6, 5, 11, 15, 7, 9, 13, 8, 17, 16, 22, 18, 14, 10, 23, 12, 20, 25, 21, 27, 26, 29, 28], [24]]
58: [[4, 3, 19], [1, 2, 6], [5, 11], [15, 7, 9], [12, 8, 17], [16, 22, 14], [10, 13, 18], [23, 20, 25, 21, 27, 26, 29, 28, 24]]
59: [[4, 3], [19, 1], [2, 6], [5, 11, 15], [7, 9, 13], [8, 17, 16], [22, 10, 20], [12, 14, 23], [18, 28, 21], [27, 25, 29], [26, 24]]
