0: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 28, 22, 20, 23, 25]]
13: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [22, 14, 23, 28, 25, 20]]
14: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 22, 23, 25, 28]]
15: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
16: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [28, 14, 20, 23, 25, 22]]
17: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [22, 23, 20, 14, 25, 28]]
18: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
19: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
20: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 23, 20, 25, 28]]
21: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 22, 23, 25, 28]]
22: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 22, 23, 25, 28]]
23: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 23, 22, 25, 28]]
24: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 23, 22, 25, 28]]
25: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [28, 22, 14, 23, 25, 20]]
26: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [20, 23, 25, 28, 22, 14]]
27: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
28: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 23, 20, 25, 28]]
29: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 23, 22, 25, 28]]
30: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 23, 20, 22, 25, 28]]
31: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
32: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [22, 14, 20, 23, 25, 28]]
33: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
34: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
35: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 23, 22, 25, 28]]
36: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
37: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
38: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
39: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 22, 23, 25, 28]]
40: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 22, 23, 25, 28]]
41: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [20, 22, 14, 23, 25, 28]]
42: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 22, 23, 25, 28]]
43: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 22, 23, 25, 28]]
44: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
45: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 23, 28, 25, 20]]
46: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
47: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 23, 22, 25, 28]]
48: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [22, 14, 20, 23, 25, 28]]
49: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
50: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 22, 23, 25, 28]]
51: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 23, 20, 25, 28]]
52: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
53: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 22, 23, 25, 28]]
54: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 22, 23, 25, 28]]
55: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 25, 23, 28]]
56: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [22, 23, 20, 14, 25, 28]]
57: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [22, 14, 28, 23, 25, 20]]
58: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 20, 22, 23, 25, 28]]
59: [[27, 29, 26, 21], [24, 5, 4, 3, 10, 12], [15, 2, 18, 1, 6], [9, 11, 13], [7, 8, 17, 16, 19], [14, 22, 20, 23, 25, 28]]
