0: [[22, 2, 4, 14, 9], [24, 23, 21], [7, 11], [5, 16, 6], [18, 15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
20: [[22, 2], [4, 14], [9, 24, 23, 21], [7, 11, 5, 16, 6], [18, 15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
21: [[22, 2, 4, 14], [9, 24, 23, 21], [7, 11, 5], [16, 6], [18, 15], [8, 20, 12, 13, 17, 1, 3, 10, 19]]
22: [[22, 2, 4], [14, 9], [24, 23], [21, 7, 11, 5, 16, 6], [18, 15, 8, 20], [12, 13, 17, 1, 3, 10, 19]]
23: [[22, 2], [4, 14, 9], [24, 23], [21, 7, 11, 5, 16, 6], [18, 15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
24: [[22, 2], [9, 24, 23, 21], [11, 5, 7], [16, 6, 4, 14], [18, 15], [8, 20, 12, 13, 17, 1, 3, 10, 19]]
25: [[22, 2], [9, 24, 23, 21], [11, 5, 7], [16, 6, 4, 14], [18, 15], [8, 20, 12, 13, 17, 1, 3, 10, 19]]
26: [[22, 2, 9, 24], [23, 21], [11, 7], [5, 16, 6, 4], [18, 15], [8, 20, 12, 13, 17, 1, 3, 10, 19, 14]]
27: [[22, 2, 4], [9, 24, 23], [21, 11, 7], [5, 16, 6, 18, 15, 8], [20, 12, 13, 17, 1, 3, 10, 19, 14]]
28: [[22, 2, 4], [9, 24, 23], [21, 11, 7], [5, 16, 6, 18, 15, 8], [20, 12, 13, 17, 1, 3, 10, 19, 14]]
29: [[22, 2, 4], [14, 9, 24], [23, 21], [7, 11, 5], [16, 6, 18, 15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
30: [[22, 2], [24, 4], [23, 21], [7, 11, 5, 16, 6, 18], [15, 8, 9], [20, 12, 13, 17, 1, 3, 10, 19, 14]]
31: [[22, 2], [24, 4], [23, 21], [7, 11, 5, 16, 6, 18], [15, 8, 9], [20, 12, 13, 17, 1, 3, 10, 19, 14]]
32: [[22, 2], [4, 14, 9, 24], [23, 21], [7, 11, 5], [16, 6, 18, 15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
33: [[22, 2], [24, 23, 21, 7, 11, 14], [5, 16, 6, 4], [18, 15, 8, 9], [20, 12, 13, 17, 1, 3, 10, 19]]
34: [[22, 2], [9, 24, 23], [21, 11, 7], [5, 16, 4], [6, 18, 15], [8, 20, 12, 13, 17, 1, 3, 10, 19, 14]]
35: [[22, 2], [4, 14], [9, 24, 23], [21, 7, 11, 5, 16], [6, 18, 15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
36: [[22, 2], [4, 14], [9, 24, 23], [21, 7, 11, 5, 16], [6, 18, 15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
37: [[22, 2], [9, 24, 23], [21], [11, 5, 16, 4, 7], [6, 18, 15], [8, 20, 12, 13, 17, 1, 3, 10, 19, 14]]
38: [[22, 2], [24, 23, 21, 7, 14], [11, 5], [16, 6, 4, 9], [18, 15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
39: [[22, 2, 4, 14], [9, 24, 23, 21, 7], [11, 5], [16, 6, 18], [15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
40: [[22, 2], [9, 24, 23], [21], [11, 5, 4, 7], [16, 6, 18, 15], [8, 20, 12, 13, 17, 1, 3, 10, 19, 14]]
41: [[22, 2], [24], [23, 21, 7, 11, 5], [16, 6, 4, 14], [18, 15, 8, 9], [20, 12, 13, 17, 1, 3, 10, 19]]
42: [[22, 2, 4, 14], [9, 24], [23, 21, 7], [11, 5, 16, 6, 18], [15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
43: [[22, 2], [24], [23, 21, 7, 11, 5], [16, 6, 18, 4, 14], [15, 8, 9], [20, 12, 13, 17, 1, 3, 10, 19]]
44: [[22, 2, 24], [23, 21, 7], [11, 5], [16, 6, 4, 14], [18, 15, 8, 9], [20, 12, 13, 17, 1, 3, 10, 19]]
45: [[22, 2, 24], [23, 21, 7], [11, 5], [16, 6, 4, 14], [18, 15, 8, 9], [20, 12, 13, 17, 1, 3, 10, 19]]
46: [[22, 2], [4, 14], [9, 24], [23, 21, 7, 11, 5], [16, 6, 18, 15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
47: [[22, 2, 24], [23, 21, 7], [11, 5, 16, 4], [6, 18, 14, 9], [15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
48: [[22, 2, 24], [23, 21, 7], [11, 5, 16, 4], [6, 18, 14, 9], [15, 8], [20, 12, 13, 17, 1, 3, 10, 19]]
49: [[22, 2, 24], [23, 21, 7], [11, 5], [16, 6, 18, 4], [15, 8, 20, 9], [12, 13, 17, 1, 3, 10, 19, 14]]
