0: [[15, 1], [24, 27], [6, 5, 25], [19, 2, 16], [21, 10, 14], [4, 8], [17, 13], [9, 28, 18], [23, 29, 7, 22], [3, 26, 11, 20, 12]]
28: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
29: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
30: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
31: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
32: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
33: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
34: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
35: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
36: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
37: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
38: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
39: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
40: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
41: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
42: [[10, 19, 7, 11, 5, 1, 15, 2, 6, 18], [9, 4, 12, 3, 8, 13, 16, 22, 17, 23], [21, 20, 14, 24, 27, 25, 26, 28, 29]]
43: [[3, 10], [15, 11, 6], [5, 9, 19], [2, 18, 23, 22], [4], [13, 8, 12], [1, 14], [16, 17, 21], [28, 7, 24], [25, 26, 27, 20, 29]]
44: [[10, 1, 3, 11, 5, 4, 15, 2, 6, 16], [7, 8, 12, 9, 17, 13, 20, 18, 21, 22], [23, 25, 14, 24, 19, 26, 27, 28, 29]]
45: [[10, 19, 21, 11, 5, 1, 7, 2, 6, 18], [13, 4, 12, 3, 8, 9, 17, 24, 15, 23], [16, 20, 14, 26, 27, 25, 22, 28, 29]]
46: [[14, 19, 5, 11, 4, 1, 15, 7, 2, 18], [21, 9, 12, 3, 8, 13, 16, 10, 17, 22], [23, 20, 6, 29, 27, 25, 26, 24, 28]]
47: [[11, 19, 6, 27, 5, 1, 15, 2, 10, 18], [9, 4, 12, 3, 8, 29, 16, 7, 13, 23], [21, 17, 14, 24, 25, 20, 26, 28, 22]]
48: [[10, 17, 3, 11, 5, 1, 15, 18, 7, 2], [4, 12, 14, 6, 8, 13, 24, 22, 21, 9], [23, 20, 26, 27, 19, 16, 25, 28, 29]]
49: [[10, 3, 18, 27, 5, 1, 15, 9, 2, 11], [13, 8, 14, 12, 17, 19, 4, 6, 21, 22], [23, 20, 7, 16, 24, 25, 26, 28, 29]]
50: [[10, 17, 4], [11, 7], [5, 6], [3, 2, 16], [9, 13, 12], [14, 8], [1, 15], [28, 18, 19], [21, 20, 22, 23], [24, 26, 25, 27, 29]]
51: [[10, 19, 7, 11, 4, 1, 13, 18, 6, 2], [3, 5, 14, 8, 9, 12, 24, 20, 17, 23], [21, 16, 15, 22, 27, 25, 26, 28, 29]]
52: [[14, 3, 26, 11, 6, 5, 9, 4, 2, 16], [25, 10, 12, 1, 8, 17, 7, 15, 21, 18], [19, 22, 23, 20, 24, 28, 27, 29, 13]]
53: [[11, 17, 7, 27, 4, 1, 13, 2, 6, 18], [9, 12, 14, 3, 8, 5, 10, 15, 24, 19], [23, 20, 21, 16, 22, 26, 25, 29, 28]]
54: [[15, 3, 2, 27, 4, 1, 29, 18, 6, 5], [21, 9, 14, 7, 8, 10, 24, 11, 12, 22], [23, 17, 28, 16, 19, 25, 26, 20, 13]]
55: [[15, 17, 13], [11, 6], [1, 25], [18, 2, 16], [4, 5, 12], [7, 8], [9, 20], [22, 24, 19], [21, 29, 14, 23], [3, 26, 10, 28, 27]]
56: [[10, 3], [26, 11], [7, 5, 27], [2, 6, 16], [9, 4, 12], [1, 8], [13, 28], [14, 17, 23], [21, 29, 15, 18], [19, 25, 20, 22, 24]]
57: [[11, 3, 27, 1, 6, 5, 13, 4, 2, 18], [17, 14, 9, 10, 8, 21, 12, 15, 20, 19], [22, 23, 7, 16, 25, 24, 26, 28, 29]]
58: [[10, 3, 7, 11, 4, 2, 13, 1, 5, 16], [12, 6, 8, 9, 14, 18, 20, 26, 17, 23], [21, 19, 15, 24, 27, 29, 22, 25, 28]]
59: [[11, 17], [5, 27], [2, 1, 3], [18, 6, 9], [12, 4, 14], [15, 8], [13, 16], [29, 24, 23], [19, 28, 7, 26], [20, 25, 10, 21, 22]]
