0: [[5, 4], [16, 3], [2, 1], [7, 11], [12, 6, 13], [10, 14], [9, 8, 15, 19, 20, 17, 18, 22], [21, 23, 24]]
26: [[2, 1], [7, 11], [12, 6, 5], [13, 10, 3], [14, 9], [8, 15], [19, 20], [17, 18, 16], [22, 21, 4], [23, 24]]
27: [[3, 16], [2, 1], [7, 11], [12, 6, 5, 4], [13, 10, 14, 9, 8, 15], [19, 20, 17], [18, 22, 21, 23, 24]]
28: [[2, 1], [7, 11, 16], [12, 6, 5, 4], [13, 10, 3], [14, 9], [8, 15], [19, 20], [17, 18, 22, 21], [23, 24]]
29: [[2, 1], [7, 11, 16], [12, 6, 5, 4], [13, 10, 3], [14, 9], [8, 15], [19, 20], [17, 18, 22, 21], [23, 24]]
30: [[3, 2, 4, 16], [1, 7], [11, 12], [6, 13, 10], [14, 9, 8, 15, 19], [20, 17, 18, 5], [22, 21, 23, 24]]
31: [[5, 4], [16, 3], [2, 1, 7], [11, 12], [6, 13], [10, 14], [9, 8, 15], [19, 20, 17], [18, 22, 21, 23, 24]]
32: [[3, 2], [1, 7, 16], [11, 12, 6, 5], [13, 10], [14, 9, 8], [15, 19, 20, 4], [17, 18, 22], [21, 23, 24]]
33: [[5, 4], [16, 3], [2, 1], [7, 11, 12, 6, 13, 10, 14], [9, 8, 15], [19, 20, 17, 18, 22, 21, 23, 24]]
34: [[5, 4], [16, 3], [2, 1], [7, 11, 12], [6, 13], [10, 14], [9, 8, 15, 19, 20, 17, 18, 22, 21, 23, 24]]
35: [[5, 4], [16, 3], [2, 1], [7, 11, 12, 6, 13, 10, 14, 9], [8, 15, 19], [20], [17, 18, 22, 21, 23, 24]]
36: [[3, 16], [2, 1, 7], [11, 12, 6, 5], [13, 10], [14, 9, 8], [15, 19, 4], [20, 17], [18, 22, 21], [23, 24]]
37: [[5, 4], [16, 3], [2, 1], [7, 11], [12, 6, 13, 10, 14, 9, 8, 15, 19, 20, 17, 18, 22, 21, 23, 24]]
38: [[5, 4], [16, 3], [2, 1], [7, 11], [12, 6, 13, 10, 14, 9, 8, 15, 19, 20, 17, 18, 22, 21, 23, 24]]
39: [[5], [2, 1], [7, 11, 16], [12, 6, 13, 10, 3], [14, 9, 4], [8, 15, 19, 20, 17, 18, 22, 21, 23, 24]]
40: [[5, 4], [16, 3], [2, 1], [7, 11], [12, 6], [13, 10], [14, 9], [8, 15, 19], [20, 17, 18, 22, 21, 23, 24]]
41: [[5, 4], [16, 3], [2, 1], [7, 11, 12, 6], [13, 10, 14, 9, 8, 15, 19, 20, 17, 18, 22, 21, 23, 24]]
42: [[5, 4], [16, 3], [2, 1, 7], [11, 12], [6, 13], [10, 14], [9, 8, 15, 19, 20, 17, 18, 22, 21, 23, 24]]
43: [[5, 4], [16, 3], [2, 1], [7, 11], [12, 6], [13, 10], [14, 9], [8, 15], [19, 20], [17, 18, 22, 21, 23, 24]]
44: [[5, 4], [16, 3], [2, 1], [7, 11, 12, 6], [13, 10], [14, 9, 8, 15, 19, 20, 17, 18, 22, 21, 23, 24]]
45: [[5, 4], [3, 2, 1, 7, 11, 16], [12, 6, 13], [10, 14, 9, 8, 15, 19, 20, 17, 18, 22, 21, 23, 24]]
46: [[5], [2, 1], [7, 11], [12, 6, 16, 3], [13, 10], [14, 9, 4], [8, 15, 19, 20, 17, 18, 22, 21, 23, 24]]
47: [[5, 4, 16], [3, 2, 1], [7, 11, 12], [6, 13, 10], [14, 9, 8, 15, 19, 20, 17, 18, 22, 21, 23, 24]]
48: [[5, 4], [16, 3, 2], [1, 7], [11, 12], [6, 13], [10, 14, 9, 8], [15, 19, 20, 17, 18, 22, 21, 23, 24]]
49: [[5, 4], [16, 3, 2], [1], [7, 11, 12, 6, 13, 10, 14, 9, 8, 15, 19, 20, 17, 18, 22, 21, 23, 24]]
