0: [[1, 14, 4, 3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
23: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
24: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
25: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
26: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
27: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
28: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
29: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
30: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
31: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
32: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
33: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
34: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
35: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
36: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
37: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
38: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
39: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
40: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22], [21, 23, 24]]
41: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22, 21, 23, 24]]
42: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20], [16, 18, 22, 21, 23, 24]]
43: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15], [17, 19, 20, 16, 18, 22, 21, 23, 24]]
44: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15, 17, 19, 20, 16, 18, 22, 21, 23, 24]]
45: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12], [8, 9, 15, 17, 19, 20, 16, 18, 22, 21, 23, 24]]
46: [[1, 14, 4], [3, 2, 10], [6, 5, 13], [7, 11, 12, 8, 9, 15, 17, 19, 20, 16, 18, 22, 21, 23, 24]]
47: [[1, 14, 4], [3, 2, 10], [6, 5, 13, 7, 11, 12, 8, 9, 15, 17, 19, 20, 16, 18, 22, 21, 23, 24]]
