0: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
18: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
19: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
20: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
21: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
22: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
23: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
24: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
25: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
26: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
27: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
28: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
29: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
30: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
31: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
32: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
33: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
34: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
35: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
36: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
37: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
38: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
39: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
40: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
41: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
42: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
43: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
44: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
45: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
46: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
47: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
48: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
49: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
50: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
51: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
52: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
53: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
54: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
55: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
56: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
57: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
58: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
59: [[17, 19, 1, 22], [24, 9, 2, 16, 18], [15, 23, 8, 7, 4, 13, 12], [3, 6, 11, 10, 14], [5, 28, 20, 25], [29, 27, 21, 26]]
