0: [[35, 2, 7], [1, 3, 4], [13, 5, 21, 6], [8, 12, 11, 15, 9, 14, 23, 29, 10], [27, 31, 16, 17, 28, 22], [19, 20, 24, 25, 26, 30, 36, 32, 34, 33, 39], [37, 45, 42, 38, 43, 40, 41, 46, 47, 18], [44, 48, 55, 50], [49, 57, 53], [56, 51, 52, 58, 59, 54, 60]]
16: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 6], [8, 14, 11, 12, 9, 10, 31, 28, 15, 20, 23, 17, 25, 16, 18, 22, 27, 19, 24, 26], [30, 29, 32, 33, 37, 45], [36], [38, 34, 39, 40, 41, 42, 46, 47, 43, 44, 56, 50, 48, 53, 49, 51, 58, 52, 55, 54, 59, 57], [60]]
17: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 6], [8, 14, 11, 12, 9, 10, 31, 28, 15, 20, 23, 17, 25, 16, 18, 22, 27, 19, 24, 26], [30, 29, 32, 33, 37, 45], [36], [38, 34, 39, 40, 41, 42, 46, 47, 43, 44, 56, 50, 48, 53, 49, 51, 58, 52, 55, 54, 59, 57], [60]]
18: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 8, 10, 9], [15, 11, 12, 31, 14, 28, 17, 19, 18, 22, 16, 23, 20, 24, 25, 29, 26, 30, 27, 57, 48, 37, 40, 32, 34, 42, 44, 33, 39, 36, 47, 38, 43, 41], [50, 49, 45, 58, 53, 46, 51, 54, 59, 52, 56, 60, 55]]
19: [[35, 2, 7, 1], [3, 4, 13, 5, 21, 6, 8], [26, 9, 12, 11, 14, 31, 15, 10, 18, 28], [29, 16, 22, 17], [19, 23, 24], [25, 27, 30, 20, 32, 36, 33, 38, 34], [37, 42, 46, 47, 41, 39, 45, 40, 58, 44, 57, 55, 50, 52, 43, 59, 60, 48, 49, 51, 53, 54, 56]]
20: [[35, 2, 7], [1, 3, 4, 13, 21, 17, 6, 8, 15], [9, 5, 16, 10, 11, 14, 19, 12, 20, 25, 22, 28, 18, 27, 30, 23, 26, 24, 29, 31, 32, 34, 51, 45, 39, 37, 38, 41, 36, 40, 42, 33, 43, 54, 44, 56, 46, 47, 55, 50, 53, 48, 52, 57, 49, 59, 58, 60]]
21: [[35, 2, 7], [1, 3, 4, 13, 5, 21, 14, 6], [10, 15, 9, 8, 30, 27, 12, 19, 11, 26, 20, 17, 22], [29, 31, 16, 18, 23, 56, 24, 28, 32, 34, 47, 46, 37, 33, 25, 40, 43], [36, 39, 38, 41, 42, 44, 58, 49, 45, 48, 51, 55, 50, 53, 54], [52, 59, 57, 60]]
22: [[35, 2, 7], [1, 3, 4], [13, 21, 6], [5, 10, 24, 8, 9, 11, 15, 22, 26, 19, 27], [29, 18, 12, 14, 28, 17, 25, 16, 20, 30, 23, 31, 32, 51, 37, 36, 41, 33, 34, 46, 47, 59, 40, 43, 38, 42, 44, 39, 55, 53, 50, 48, 52, 54, 45, 49, 56, 60, 57, 58]]
23: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6], [24, 8, 10, 29, 12, 27, 28, 9, 30], [22, 11, 17, 26, 14, 18], [15, 16, 19, 20, 25, 23, 31], [32, 40, 36, 38, 44, 39, 34, 33, 42, 37, 43, 41, 45, 47, 46, 49], [50, 54, 53, 48, 51, 52, 55, 59, 60, 56, 57, 58]]
24: [[35, 2, 7], [1, 3, 4], [13, 5, 8, 27, 9, 11, 12, 14, 23, 15, 18, 21, 6], [28, 22, 19, 16, 20, 17, 26, 30, 24, 25, 29, 31, 32, 48, 33, 38, 37, 34, 10], [40, 47, 46, 36, 51, 39, 44], [42, 53, 58, 41, 43, 52, 49, 45, 54, 55, 60, 50, 57], [56, 59]]
25: [[35, 2, 7], [1, 3, 4, 13, 5, 25, 14, 9, 21, 6], [8, 15, 12, 29, 11, 26, 10], [16, 17, 22, 23, 31, 30, 19, 24, 18], [20, 28, 27, 32, 51, 37, 44, 33, 40, 34], [46, 45, 47, 36, 43, 42, 39, 38, 49], [52, 41, 53], [48, 57, 56, 54, 50, 55, 58], [59, 60]]
26: [[35, 2], [7, 1, 3, 4, 13, 21, 5, 6, 18, 14, 11, 10, 9, 24, 31, 16, 8, 26, 12, 19, 17, 15, 20, 23, 22, 25, 27, 28, 30, 29, 33, 51, 34, 39, 44, 38, 37, 41, 47, 32, 43, 45, 46, 42, 40, 36], [48, 54, 55, 49, 56, 50, 53, 58, 59, 60, 57, 52]]
27: [[35, 2, 7], [1, 3, 4], [13, 5, 21, 6, 8, 11, 14], [10, 15, 9], [27, 12, 18], [16, 23, 19, 20], [22, 26, 17, 24, 28, 25, 29, 30, 31], [41, 34, 53, 45, 37, 32, 33], [36, 40, 43, 44, 39, 42, 38, 47, 51], [48, 46, 54, 49, 50, 55, 57], [52, 58, 56, 59, 60]]
28: [[35, 2, 7], [1, 3, 4, 13, 21, 9, 6, 8, 5], [11, 12, 10, 15, 20, 30, 14, 16, 23, 18, 17, 19, 24, 22, 27, 25, 26], [29, 28, 31], [32, 39, 38, 46, 37, 36, 34, 33, 40, 45, 43, 41], [42, 44, 57, 58, 50, 47, 49, 51, 48, 60, 53, 55, 52, 59, 54, 56]]
29: [[35, 2, 7], [1, 3, 4], [13, 21, 17, 6], [8, 5, 11, 9, 10, 14], [23, 28, 12, 27], [31, 15, 16], [18, 20, 19], [22, 24, 25], [26, 30, 46], [32, 34, 33, 39, 45, 29, 36, 37, 41, 38, 40, 42, 43], [44, 50, 48, 55, 47, 49, 53, 52, 56, 54, 51, 57, 58, 59, 60]]
30: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 8, 9, 11], [15, 10, 12, 23, 27, 24, 14, 30, 16], [20, 17, 22, 26, 18, 28, 25], [19, 29, 58, 41, 40, 33, 34, 31, 32, 42, 38], [37, 43, 36, 47, 45, 39, 57], [50, 55, 44, 46, 49, 52, 53, 51, 54, 48, 56, 59, 60]]
31: [[35, 2, 7], [1, 3, 4, 13, 21, 8, 6, 9, 5], [14, 15, 10, 12, 20, 27, 26], [16, 19, 22, 23, 28, 18, 29, 24, 17, 25], [31, 30, 33, 32, 51, 37, 45, 11, 36, 34], [38, 47, 39, 40, 41, 42, 43, 46, 49], [44, 54, 53], [48, 59, 56, 55, 50, 52, 60], [58, 57]]
32: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 10], [12, 11, 15, 9, 8, 23, 27, 26, 31], [29, 17, 16, 28, 22, 14], [18, 30, 25, 19, 20, 24, 32, 40, 33], [34, 45, 37, 42, 38, 43, 41], [36, 46, 47, 39, 56, 48, 55, 44, 50, 49, 52], [53, 51, 54, 57, 59, 58, 60]]
33: [[35, 2, 7], [1, 3, 4], [13, 21, 16, 6], [5, 11, 9, 15, 10, 12, 31, 22, 8], [18, 14, 19, 17, 23, 26, 27], [28, 25, 20, 24, 29, 58, 49, 48, 37, 40, 41, 57, 34, 44, 45, 30, 36, 38, 32, 47, 33], [42, 43, 39, 52, 46, 50, 53, 51, 54, 55, 56, 60, 59]]
34: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 9, 8, 15, 14, 10, 6, 12, 16, 27, 18, 11, 19, 20, 26, 28, 22], [17, 23, 25, 24, 30, 29, 43], [48, 33, 45], [31, 32, 36, 34, 37, 46, 39, 40, 41, 38, 42, 47], [51, 44], [50, 49, 57, 55, 54, 52, 53, 58, 59, 56, 60]]
35: [[35, 2, 7], [1, 3, 4, 13, 21, 5], [6, 8, 11, 9, 14, 10, 15, 23, 12, 19, 16, 26, 17, 22, 20, 18, 28, 25, 27, 24, 30, 29, 31, 32, 48, 33, 37, 39, 41, 40, 34, 36, 38, 57, 43, 42, 45, 46, 47, 51, 44, 50, 53, 49, 55], [54, 52, 58, 56, 59, 60]]
36: [[35, 2, 7], [1, 3, 4, 13], [21, 5, 14, 6, 12], [15, 9, 25, 10, 30, 11, 24, 8, 17, 16], [19, 22, 18, 23, 20, 26], [27, 28, 31], [29, 32, 34, 33, 43], [38, 37, 39, 40, 36, 42, 41], [45, 47, 59, 44, 50, 51, 46, 54], [48, 57, 56, 55, 49, 52, 53], [58, 60]]
37: [[35, 2, 7], [1, 3, 4], [13, 5, 21, 6], [9, 12, 11, 14, 8, 15, 28, 31, 10], [17, 23, 16, 20, 24, 22], [19, 27, 18], [25, 26, 29, 60, 32, 34, 37], [30, 39, 33, 40, 38, 43, 36, 41, 46, 47, 42, 45, 48, 51, 50, 44, 49, 53, 56, 52, 54, 55, 59, 58, 57]]
38: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 9, 11, 8], [15, 16, 12], [31, 28, 24, 23, 22, 14, 10], [19, 17, 18, 20, 27, 25, 26, 29, 30, 32, 50, 37, 38, 33], [34, 42, 46], [41, 47, 36, 39, 40, 43, 45, 57], [48, 49, 52, 44, 53, 54], [51, 59, 58, 56, 60, 55]]
39: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 14], [8, 9, 10, 11, 15, 6, 12, 27, 17], [16, 18, 19, 22, 23, 20], [25, 28, 24, 26, 60], [30, 29, 32, 31], [37, 33, 44], [42, 34, 39, 45, 36, 40, 41, 47, 38, 43], [59, 55, 46, 53, 49, 48, 52, 51, 57, 58, 56, 54, 50]]
40: [[35, 2, 7], [1, 3, 4, 13, 21, 5], [6, 9, 11, 12, 14, 10, 8, 23, 17, 24, 16, 31, 28], [18, 19, 15, 20, 29, 22, 25, 26, 30, 56, 32, 54, 33, 47, 27, 41, 38, 59, 44, 36, 43, 37, 39, 40, 34, 45, 42, 46, 55, 50, 52, 51, 48, 53, 60, 58, 49, 57]]
41: [[35, 2, 7], [1, 3, 4], [13, 5, 28, 6, 8, 9, 11], [10, 12, 15, 16, 29, 25, 27, 18, 21, 19, 23], [14, 22, 20], [24, 26, 31, 30, 34, 32, 42, 40, 17, 37], [48, 41, 33, 44], [36, 38, 47], [39, 43, 60, 45, 46, 54, 53], [57, 55, 49, 50, 51, 52, 59, 56, 58]]
42: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 14, 28, 10, 11, 30, 6, 9, 19, 20, 8, 15, 12, 26, 27, 17, 18, 22, 23, 16, 24, 25, 29, 31, 32, 33, 52, 38, 44, 36, 46, 37, 41, 34, 47, 39, 43, 45, 40, 48, 55, 42, 49, 50, 51, 53, 58, 54, 60], [57, 59, 56]]
43: [[35, 2, 7], [1, 3, 4], [13, 5, 21, 6], [8, 12, 15, 11, 9, 14, 23, 31, 10], [19, 22, 18, 17, 20, 27, 29], [16, 24, 25, 26, 30, 28, 32, 33, 34], [36, 37, 45, 42], [38, 39, 41], [40, 47, 43], [46, 44, 59, 55, 54, 48, 56, 49], [50, 51, 52, 53, 57, 58, 60]]
44: [[35, 2, 7], [1, 3, 4], [13, 21, 6, 14, 16, 11, 9, 15], [26, 12], [28, 10, 18, 8, 5, 25, 19, 17, 20, 22, 23, 24, 27, 31, 29, 30, 32, 37, 38, 41, 46, 33, 34, 39, 44, 36, 45, 40, 47, 42, 43, 58, 51, 50, 52, 49, 56, 48, 54, 53, 57, 55, 59, 60]]
45: [[35, 2, 7], [1, 3, 4], [13, 5, 8, 6, 16, 11, 9, 15, 10, 14, 29, 19, 24, 17, 22, 18, 28], [20, 23, 21, 26, 27, 25, 30, 31, 41, 12, 38, 33, 36, 32, 40], [34, 42, 37, 43, 39, 45, 47, 44, 46], [59, 55, 56, 48, 49, 50, 51, 54, 52, 53, 58, 60, 57]]
46: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 22], [6, 26, 9, 15, 10, 12, 31, 16, 8, 24, 29, 11, 14, 17, 20, 23, 25, 27, 19, 18, 28, 30, 32, 34, 52, 33, 39, 45, 47, 36, 38, 43, 40, 42, 41, 58, 44, 48, 37, 46, 51, 50, 54, 49, 53, 55, 56, 59, 57, 60]]
47: [[35, 2, 7], [1, 3, 4], [13, 5, 9], [14, 24, 6, 11, 8, 12, 15, 29, 10], [31, 18, 19, 21, 26, 20, 23], [28, 16, 17, 30, 25, 22, 27, 32, 37, 45], [53, 46], [33, 34, 38, 39, 36, 40, 41, 42, 43, 44, 47, 48], [49, 51, 52, 56, 50, 54, 55, 59, 58, 57, 60]]
48: [[35, 2, 7, 1], [3, 4, 13], [21, 6, 11, 8, 26, 10], [12, 9, 14, 19, 27, 24, 16, 15, 5, 20, 17, 18, 22, 29, 23, 28, 52, 25, 30, 32, 31, 37, 33, 38, 34, 40, 36, 39, 42, 45, 43, 41, 44, 46, 48, 51, 59, 47, 49, 50, 53, 54, 57, 58, 56], [55, 60]]
49: [[35, 2, 7], [1, 3, 4], [13, 5, 21, 6, 8, 10, 9], [15, 11, 12], [31, 30, 28, 17, 22, 14, 20], [18, 16, 19], [23, 24, 27, 26, 25, 29, 33, 32, 37, 34, 36, 42, 38], [46, 44, 43, 45, 47, 39, 41, 40, 48, 50, 51, 53, 54, 55, 52, 56, 58, 49, 59, 57, 60]]
50: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 10, 8, 14, 9, 12, 15, 6, 25, 11], [18, 20, 27, 16, 17, 23, 28, 19, 22, 24, 26, 30, 29], [31, 32, 50, 45, 33, 37, 34, 42, 36, 38, 39, 40, 43, 46, 41, 47, 44, 49, 56, 48, 52, 51, 55, 54, 53, 58, 57, 60, 59]]
51: [[35, 2, 7], [1, 3, 4, 13, 5, 21, 6, 24, 12, 11, 15], [9, 8, 23, 25, 10, 14, 29], [18, 17, 28, 22, 16, 19, 27, 20, 26, 30, 31, 33, 32, 37, 38, 42, 41, 34, 36, 43, 40, 45, 44, 46, 47, 60, 56, 39, 50, 49, 53, 52, 48, 51, 54, 58, 57, 55, 59]]
52: [[35, 2, 7], [1, 3, 4, 13, 21, 6, 14, 10, 20, 8, 11, 9, 5, 29, 27, 22, 18], [17, 12, 15, 23, 25, 24, 30, 16, 19, 26, 28, 47, 36, 46, 45, 31, 38], [42, 32, 33, 39, 34, 37, 56, 40, 41, 43], [59, 54, 44, 53, 50, 48, 52, 49, 57, 55, 51, 60, 58]]
53: [[35, 2, 7], [1, 3, 4], [13, 21, 5], [14, 12, 10, 9, 15, 6, 8, 31], [11, 18], [16, 24, 22, 17, 19, 23, 20, 25, 27, 26, 30, 28, 29], [48, 32, 37, 33, 53, 44, 34, 36, 45, 41, 38, 47, 46, 39, 43, 49, 52, 40, 42, 59, 50, 54, 51, 55, 58, 57, 60, 56]]
54: [[35, 2, 7, 1], [3, 4, 13, 21, 6, 14, 12, 10, 8, 11, 9, 5], [27, 26, 15, 18, 16, 31, 28, 23, 17, 24, 30, 22, 19, 20, 25, 29, 32, 38], [37, 33, 40, 36, 42, 34, 39, 47, 43], [45, 44, 46, 49, 50, 59, 41, 53, 52, 48, 56, 51, 54], [57, 55], [60, 58]]
55: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 6, 8, 14, 11, 10, 9], [15, 26, 31, 27, 28], [19, 16, 12, 17, 20, 22, 23, 18, 24, 25, 30, 29, 32, 34, 53, 39, 47, 45, 42, 33, 36, 44, 57, 46, 43, 52, 37, 48, 55, 40, 54, 49, 38, 41, 50, 51, 58, 59, 56, 60]]
56: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6], [8, 9, 11], [14, 12, 15, 31], [29, 10, 17], [23, 16, 19, 28], [22, 20, 25, 24, 27, 26], [30, 36, 32, 34, 33, 39], [41, 45, 42, 37, 43, 38, 40, 46, 47, 18], [44, 48, 51, 50], [49, 56, 53], [54, 55, 52, 58, 59, 57, 60]]
57: [[35, 2, 7, 1, 3, 4], [13, 5, 9, 6, 8, 10, 11, 15, 21, 12, 31, 23, 20, 17, 14], [30, 16, 22, 18, 28, 19, 24, 27, 26, 29, 25, 33, 51, 37, 32, 34, 40, 38, 39, 44, 43, 36, 47, 41, 42, 45, 46, 54, 48, 49, 50, 55, 60, 52, 53, 57, 59, 56, 58]]
58: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 6], [26, 14, 11], [15, 9, 30, 23, 28, 10, 8], [12, 16, 17, 18, 19, 25, 20, 24, 22, 27, 31], [52, 32, 34, 29, 39, 45, 37, 33, 36, 43, 40, 46, 38, 41, 42, 44, 54, 47, 50, 51, 57, 49], [48, 53, 55, 58, 56, 59, 60]]
59: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 6], [24, 11, 10, 14, 25, 12], [27, 8, 20, 31, 9, 29], [19, 18, 15, 22], [16, 26], [17, 23, 52, 30, 28, 34, 37, 32, 36, 38, 39, 40, 33, 43, 42, 46, 41, 45, 44, 57, 48, 49, 53, 50, 47, 51, 55, 54, 56, 59, 58, 60]]
60: [[35, 2, 7, 1, 3, 4, 13, 21, 5, 6, 8, 10, 9, 11, 14, 12], [31, 15, 24, 16, 17, 18], [22, 23, 19, 28, 20, 27, 25, 26, 29, 30, 32, 51, 37, 40, 33], [34, 42, 44, 43, 38, 54, 45, 36, 39, 41, 59, 52, 50, 46, 55, 53, 60, 47, 57, 48, 56, 49, 58]]
61: [[35, 2, 7], [1, 3, 4], [13, 21, 12, 6, 8, 9, 5, 10], [11, 14, 29, 16, 31, 18, 23, 22, 19, 24, 15], [30, 20, 17, 26, 57, 28], [56, 32, 36], [47, 25, 37, 48, 34, 27, 44], [40, 42, 39, 33, 38, 43, 41, 45], [46, 49, 51, 55, 52, 53, 50, 54, 59, 58, 60]]
62: [[35, 2, 7], [1, 3, 4], [13, 5, 11, 6, 10], [12, 9, 15, 17, 8, 31, 14, 18, 25], [21, 19, 16, 28, 30, 22], [23, 24, 27, 26, 29, 33, 20, 48, 37, 32, 38, 41, 34, 44, 47, 43, 36, 46, 45, 39, 40], [49, 53, 42, 50, 51, 52, 54, 59, 55, 58, 57, 56, 60]]
63: [[35, 2, 7, 1, 3, 4, 13, 21, 5, 6, 8], [9, 11, 14, 10, 15, 29], [24, 31, 23], [20, 18, 17, 16, 30, 22, 19], [27, 25, 26, 28, 56, 32, 37, 33], [12, 36, 41, 34, 39, 45, 42, 40, 43, 38, 44], [46, 58, 51, 59, 47, 49, 53, 48, 52, 54, 50, 57, 55, 60]]
64: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 14, 8, 10, 11, 12, 9, 15, 29, 31], [6, 18, 25, 27, 22, 17, 19, 24, 20, 23, 16, 26, 28, 30, 32], [50, 37, 39, 45, 41, 42, 38, 33, 44, 57, 34, 43, 46, 36, 47, 55, 48], [49, 53, 40, 54, 51, 52, 59, 56, 58, 60]]
65: [[35, 2, 7], [1, 3, 4, 13, 5, 10, 6, 8, 11, 9, 17, 15, 12], [31, 14, 16, 18, 20, 27, 19, 22, 26, 24, 23, 21, 25, 28, 30, 29, 32, 33, 37, 36, 38, 40, 34, 44, 41, 46, 42, 45, 47, 43, 48, 59, 52, 50, 39, 51, 49, 53, 54, 55, 57, 56, 58, 60]]
66: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 12, 8, 9, 10, 11], [14, 31, 6, 15, 16], [17, 28, 19], [20, 30, 23, 22, 24, 25, 18, 29, 26, 27, 32, 43, 38, 39], [40, 45, 41], [37, 42, 44], [46, 47, 36, 34, 48, 33, 50, 52, 49, 51, 59, 53, 55, 54, 60, 57, 58, 56]]
67: [[35, 2, 7], [1, 3, 4, 13, 21, 12, 6, 8, 24, 10, 11, 17, 5, 25, 15, 30, 19], [9, 14, 20, 23, 22, 29, 16, 18, 26, 50], [55, 31, 33, 27, 37, 34, 36, 40, 46, 28, 39, 38, 44, 45, 42, 32, 41, 48, 43, 47, 52, 49, 53, 51, 54, 56, 59, 60, 57, 58]]
68: [[35, 2, 7], [1, 3, 4], [13, 21, 9, 6, 24], [28, 10, 31], [5, 11, 8, 12, 26, 22, 19, 17, 20, 14, 18], [25, 16, 29, 30, 27, 23, 33, 32, 40, 48], [38, 46, 15, 34], [36, 37, 39], [43, 45, 42, 41, 44, 56, 58, 53, 55, 47, 49], [52, 51, 50, 54, 57, 59, 60]]
69: [[35, 2, 7], [1, 3, 4, 13, 5, 8, 6, 24, 30, 11, 15], [9, 12, 14, 26, 10, 18, 16, 19, 21, 22, 17], [23, 20, 29, 25, 27, 28, 37, 32, 40, 49], [39, 47, 31, 33], [34, 44, 38], [41, 36, 42, 43, 45, 56, 57, 53, 55, 52, 46], [48, 51, 54, 50, 58, 60, 59]]
70: [[35, 2, 7], [1, 3, 4, 13, 5, 8, 6, 24, 30, 11, 15], [9, 12, 14, 26, 10, 18, 16, 19, 21, 22, 17], [23, 20, 29, 25, 27, 28, 37, 32, 40, 49], [39, 47, 31, 33], [34, 44, 38], [41, 36, 42, 43, 45, 56, 57, 53, 55, 52, 46], [48, 51, 54, 50, 58, 60, 59]]
71: [[35, 2, 7], [1, 3, 4, 13, 5, 12, 6, 8, 14, 9, 10, 31, 29, 15, 30, 17, 16, 11, 22, 18, 20, 21], [19, 23, 25], [24, 27, 26, 28], [33, 37, 36, 32, 38, 40, 34], [46, 39, 41, 44, 43, 42, 47, 49], [59, 45, 48, 53, 52, 56, 51, 54], [50, 55, 58, 57, 60]]
72: [[35, 2, 7], [1, 3, 4], [13, 5, 9], [6, 8, 10], [11, 14, 12], [15, 23, 17, 28, 19, 31, 16, 18, 20, 21, 22, 24, 25, 29, 27], [26, 30, 41, 37, 33, 47, 32, 45, 42, 36, 38, 40, 34, 39, 43, 46, 44], [49, 53, 48, 50, 51, 52, 54, 55, 58, 56, 57, 59, 60]]
73: [[35, 2, 7, 1], [3, 4, 13, 21, 6, 14, 8, 26, 10, 11, 9, 5], [25, 27, 12, 16], [17, 15, 20, 23, 19, 24, 28, 18, 30, 22, 29, 31, 32, 42, 37, 33, 36], [34, 38, 39, 40, 47, 43, 45], [41, 46, 44, 50, 55, 54, 53, 49, 48, 52], [58, 57, 51, 56, 59, 60]]
