0: [[15, 2, 7, 17], [19, 1], [3, 8, 4, 11], [5, 6], [9, 13, 10, 14], [20, 25], [16, 18, 23, 12, 22], [21, 27, 26], [28, 24], [29]]
31: [[15, 2, 7, 17], [19, 1, 3, 8, 4], [11, 5, 6], [9, 12], [10, 13, 20], [14, 16, 22, 18, 23, 21, 24, 26, 29, 27, 28, 25]]
32: [[15, 2, 7, 17], [19, 1], [3, 8, 4, 9, 6], [5, 11, 13, 23, 14, 12, 21, 20, 18, 16, 10, 26, 22, 24, 25, 28, 29, 27]]
33: [[15, 2, 7, 17], [19, 1], [3, 8, 4, 5], [6, 10, 13, 11, 9], [22, 20], [12, 16, 14, 18, 21], [23, 25, 26], [27, 24, 29, 28]]
34: [[15, 2, 7, 17], [19, 1, 3, 8, 4], [11, 5, 6, 9, 13], [10, 14, 20, 12, 16, 22], [18, 23, 21], [24, 26, 25, 28, 27, 29]]
35: [[15, 2], [7, 17, 19, 1, 3, 8, 4, 11, 5, 12, 6, 13], [9, 10, 20, 26, 16, 22, 23, 14, 21, 18, 25, 24, 28, 27, 29]]
36: [[15, 2, 7], [17, 19, 1, 3, 8, 4, 11, 13, 6, 9, 5, 10, 14, 20, 23, 22, 12, 16, 18, 21, 24, 27, 25, 28], [26, 29]]
37: [[15, 2, 7, 17], [19, 1, 3, 8, 4], [12, 5, 6, 9], [13, 10, 11, 21], [26, 16, 22, 20, 14, 23, 18, 24, 25, 28, 27, 29]]
38: [[15, 2, 7, 17], [19, 1, 3, 8, 4], [11, 5, 6, 9, 12], [14], [13, 16, 10, 18], [23, 20, 22], [21, 25, 26, 29, 24], [27, 28]]
39: [[15], [2, 7, 17, 19, 1, 3, 8, 4, 11, 5, 6, 9, 13, 10, 12, 21, 14, 16, 22, 20, 18, 23, 25, 26, 24, 28, 27, 29]]
40: [[14, 7], [1, 19, 17, 3, 2, 8, 4, 11, 5, 6, 10, 13, 9, 12, 20, 24, 16, 15, 27, 18, 22, 21, 23, 28, 26, 25], [29]]
41: [[15, 2, 7], [17, 19, 1, 3], [8, 4, 11, 5, 14, 9, 6, 13, 20, 28, 25, 18, 22, 23, 12, 16, 21, 26, 24, 29, 10, 27]]
42: [[15, 2, 7, 17, 19, 1, 3, 8, 4, 11, 5, 6, 9, 12, 10, 14, 20], [24, 13, 22, 16, 25, 21], [27, 26, 23, 18, 28, 29]]
43: [[15, 2], [7, 17], [19, 1, 3, 8, 4], [11, 5, 6, 9, 12], [10, 14, 21, 13, 16, 22], [18], [26, 23, 25, 20, 24, 28], [29, 27]]
44: [[3, 2, 17, 1, 5, 13], [7, 8, 4, 11, 6, 10, 9, 15], [18, 12, 20, 26, 16], [24, 14, 22, 19, 23, 25], [29, 28, 27, 21]]
45: [[14, 3, 5, 17, 1, 2, 7, 8, 4, 11, 9, 6, 13, 22, 26], [16, 12, 15, 18, 19], [20, 23, 24], [27, 28, 10, 21, 25, 29]]
46: [[15, 2, 7, 17], [19, 1, 3], [8, 4, 11], [5, 6], [10, 12], [9, 14, 20, 25], [18, 13], [27, 23, 21, 16], [22, 24, 26, 28, 29]]
47: [[15, 2, 7, 17], [19, 1, 3, 8, 4, 11, 13, 6], [9, 5], [10, 12, 20], [26, 16, 22, 14, 18], [21, 25, 23, 24, 28, 27, 29]]
48: [[15, 2, 7], [17, 19], [1, 3, 8, 4], [5, 6], [14, 9, 11, 12], [20, 16, 13], [18, 23, 21, 10], [22, 29, 26], [27, 24, 25, 28]]
49: [[15, 2, 7, 17, 19, 1], [3, 8, 4, 11, 5, 6], [9, 13, 10, 12], [20, 23], [18, 14, 26, 16], [21, 24, 22, 27], [28, 25, 29]]
50: [[15, 2, 7, 17], [19, 1], [3, 8, 4], [11, 5], [6, 9, 12, 10], [13, 20, 24, 16], [22, 14], [18, 21, 26], [23, 28, 27, 25, 29]]
51: [[15, 2, 7, 17, 19], [1, 3], [8, 4, 11, 5, 6], [9, 12, 10], [13, 20, 24, 16, 14, 26, 18, 21, 27, 22, 29, 23, 28, 25]]
52: [[15, 2], [7, 17, 19, 1], [3, 8], [4, 11, 5, 6, 9], [10, 14, 13, 20, 25, 18], [22, 23], [12, 21, 16, 24, 26], [27, 28, 29]]
53: [[15, 2, 7, 17], [19, 1, 3, 4, 8, 11], [5, 6, 9, 10, 28, 13], [12, 22, 26, 14, 18], [29, 23, 16, 24, 21, 20], [27, 25]]
54: [[15, 2], [7, 17, 19], [1, 3, 8, 4], [11, 5], [12, 9, 6, 10], [14, 20, 25], [22, 13, 24, 21], [16, 18, 23], [27, 28, 26, 29]]
55: [[15, 2], [7, 17, 19, 1], [3], [8, 4, 11, 6], [5, 13, 9], [14, 12, 16, 24, 20], [18, 23, 10, 22, 21, 26], [27, 28, 25, 29]]
56: [[15, 2], [7, 17, 19, 1, 3], [8, 4, 11, 5, 6], [13, 20, 25, 9, 12], [21, 18], [26, 16, 14, 29, 22], [23, 10, 24], [28, 27]]
57: [[15, 2, 7, 17], [19, 1], [3, 8, 4, 6, 5], [10, 9, 12, 11, 14, 20], [28], [29, 18, 16, 13, 23, 21], [26, 24, 22, 25, 27]]
58: [[3, 6, 19, 1, 2, 13], [7, 8], [4, 11, 5, 10, 9], [14, 17, 12], [21, 18, 16], [24, 15, 22, 20, 23, 26, 28, 25, 27, 29]]
59: [[15, 2, 7, 17], [19, 1, 3], [8, 4, 11], [5, 9], [6, 13, 14, 10], [16, 20], [12, 18, 23, 21], [22, 26, 25, 27, 28], [24, 29]]
