0: [[2, 19, 1], [3, 13, 6], [4, 5], [8, 9], [10, 14], [7, 11], [15, 12], [17, 16, 18, 20, 22], [21, 23, 24]]
39: [[2], [13, 6, 1, 3], [4, 5, 19], [8, 9, 10, 14, 7, 11, 15, 12, 17, 16], [18, 20, 22, 21, 23, 24]]
40: [[2], [13], [6, 4, 5], [8, 9], [10, 14], [7, 11, 15], [12, 17, 16, 19, 1, 3], [18, 20, 22, 21, 23, 24]]
41: [[2], [13, 6, 3], [4, 5], [8, 9], [10, 14, 7], [11, 15], [12, 17, 16, 19, 1], [18, 20, 22, 21, 23, 24]]
42: [[2, 19], [13, 6, 1, 3], [4, 5], [8, 9], [10, 14], [7, 11, 15, 12], [17, 16, 18, 20, 22, 21, 23, 24]]
43: [[2], [13, 6, 1, 3], [4, 5, 19], [8, 9, 10, 14], [7, 11, 15, 12, 17, 16, 18, 20, 22, 21, 23, 24]]
44: [[2, 19, 1, 3], [13, 6], [4, 5, 8, 9, 10], [14, 7, 11], [15, 12, 17, 16, 18, 20, 22, 21, 23, 24]]
45: [[2], [13, 6, 1, 3], [4, 5, 19], [8, 9], [10, 14, 7, 11, 15, 12, 17, 16, 18, 20, 22, 21, 23, 24]]
46: [[2], [13, 6, 4, 1, 3], [5, 8, 19], [9, 10, 14], [7, 11, 15, 12, 17, 16, 18, 20, 22, 21, 23, 24]]
47: [[2], [13, 6, 4], [5, 8], [9, 10, 1], [14, 7], [11, 15], [12, 17, 19], [16, 18, 3], [20, 22, 21, 23], [24]]
48: [[2, 19], [1, 3, 13, 6], [4, 5, 8, 9, 10, 14, 7, 11, 15, 12, 17, 16, 18, 20, 22, 21, 23, 24]]
49: [[2], [3], [13, 6, 4, 19, 1], [5, 8, 9, 10, 14, 7, 11, 15, 12, 17, 16, 18, 20, 22, 21, 23, 24]]
