0: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
24: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 23, 10, 28, 20], [21, 25, 26, 27, 29]]
25: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
26: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
27: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
28: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
29: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 23, 20, 28, 10], [21, 25, 26, 27, 29]]
30: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
31: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
32: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
33: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
34: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 20, 23, 28, 10], [21, 25, 26, 27, 29]]
35: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
36: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
37: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
38: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
39: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 20, 23, 28, 10], [21, 25, 26, 27, 29]]
40: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
41: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
42: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 23, 28, 20], [21, 25, 26, 27, 29]]
43: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
44: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 28, 23], [21, 25, 26, 27, 29]]
45: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 28], [21, 25, 26, 27, 29]]
46: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 23, 21, 28], [20, 25, 26, 27, 29]]
47: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 23, 21, 28], [20, 25, 26, 27, 29]]
48: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 26, 20, 29, 10], [21, 25, 23, 27, 28]]
49: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 21, 29, 20], [23, 25, 26, 27, 28]]
50: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 21, 20, 29], [23, 25, 26, 27, 28]]
51: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 21, 29], [23, 25, 26, 27, 28]]
52: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 21, 28, 20], [23, 25, 26, 27, 29]]
53: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 21, 28], [23, 25, 26, 27, 29]]
54: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 21, 23], [28, 25, 26, 27, 29]]
55: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 26], [21, 25, 28, 27, 29]]
56: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 26], [21, 25, 28, 27, 29]]
57: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 23, 26], [21, 25, 28, 27, 29]]
58: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 21, 23, 20], [28, 25, 26, 27, 29]]
59: [[22, 1, 6, 2, 9, 7, 14], [3, 5, 4, 8, 12], [15, 11, 17, 13, 16], [24, 19, 18, 10, 20, 21, 23], [28, 25, 26, 27, 29]]
