0: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12], [13, 8, 19, 15], [7], [14, 9, 10, 17, 18], [16, 20, 23, 27], [29, 24], [21, 25, 28, 26], [31, 30, 32, 33, 34], [35, 36]]
13: [[6, 22, 4, 3], [2, 1, 37], [11, 5, 12, 13], [8, 19, 15, 7, 14, 9, 10, 17], [18, 16, 20, 23], [27, 29, 24, 21], [25, 28, 26], [31, 30, 32, 33], [34, 35, 36]]
14: [[6, 22, 4], [3, 2, 1, 37, 11], [5, 12, 13], [8, 19, 15, 7], [14, 9, 10, 17], [18, 16, 20, 23], [27, 29, 24], [21, 25, 28, 26], [31, 30, 32], [33, 34, 35, 36]]
15: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12, 13], [8, 19, 15, 7], [14, 9, 10, 17], [18, 16, 20, 23], [27, 29], [24, 21, 25, 28, 26], [31, 30, 32, 33, 34], [35, 36]]
16: [[6, 22, 4, 3], [2, 1, 37, 11], [5, 12, 13, 8], [19, 15, 7, 14], [9, 10, 17, 18], [16, 20, 23], [27, 29, 24, 21], [25, 28, 26], [31, 30, 32, 33], [34, 35, 36]]
17: [[6, 22, 4, 3], [2, 1, 37, 11], [5, 12, 13, 8], [19, 15, 7, 14], [9, 10, 17, 18], [16, 20, 23, 27], [29, 24], [21, 25, 28, 26], [31, 30, 32], [33, 34, 35, 36]]
18: [[6, 22, 4, 3], [2, 1, 37], [11, 5, 12, 13], [8, 19, 15], [7, 14, 9, 10], [17, 18, 16], [20, 23], [27, 29, 24], [21, 25, 28, 26], [31, 30, 32], [33, 34], [35, 36]]
19: [[6, 22, 4], [3, 2, 1], [37, 11, 5, 12], [13, 8, 19, 15], [7, 14, 9, 10, 17], [18, 16, 20, 23], [27, 29, 24, 21], [25, 28, 26], [31, 30, 32], [33, 34, 35, 36]]
20: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12, 13], [8, 19, 15, 7], [14, 9, 10, 17], [18, 16, 20, 23], [27, 29, 24, 21], [25, 28], [26, 31, 30, 32], [33, 34], [35, 36]]
21: [[6, 22, 4], [3], [2, 1, 37], [11], [5, 12], [13, 8, 19, 15], [7, 14, 9, 10], [17, 18, 16], [20, 23], [27, 29, 24], [21, 25, 28, 26], [31, 30, 32, 33], [34, 35, 36]]
22: [[6, 22, 4, 3], [2, 1, 37, 11], [5, 12, 13, 8], [19, 15, 7], [14, 9, 10, 17], [18, 16, 20, 23], [27, 29, 24, 21], [25, 28, 26], [31, 30, 32, 33], [34, 35, 36]]
23: [[6, 22, 4], [3, 2, 1], [37, 11], [5, 12], [13, 8, 19, 15], [7, 14], [9, 10, 17], [18, 16, 20, 23], [27, 29, 24, 21], [25, 28, 26], [31, 30, 32, 33], [34, 35], [36]]
24: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12, 13], [8, 19, 15, 7], [14, 9, 10, 17], [18, 16, 20, 23], [27, 29, 24], [21, 25], [28, 26, 31], [30, 32, 33, 34], [35, 36]]
25: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12], [13, 8, 19, 15], [7], [14, 9, 10, 17, 18], [16, 20, 23, 27], [29, 24, 21, 25, 28], [26, 31, 30, 32, 33, 34, 35, 36]]
26: [[6, 22, 4, 3], [2, 1, 37], [11, 5, 12], [13, 8, 19, 15], [7, 14, 9, 10], [17], [18, 16, 20, 23], [27, 29, 24, 21], [25, 28], [26, 31, 30, 32], [33, 34, 35, 36]]
27: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12, 13, 8], [19, 15, 7, 14], [9, 10, 17], [18, 16, 20, 23], [27, 29, 24], [21, 25, 28, 26], [31, 30, 32, 33, 34, 35, 36]]
28: [[6, 22, 4], [3, 2, 1, 37, 11], [5, 12, 13, 8], [19, 15, 7, 14], [9, 10, 17, 18], [16, 20, 23, 27], [29, 24, 21], [25, 28, 26, 31], [30, 32, 33], [34, 35, 36]]
29: [[6, 22, 4], [3, 2, 1], [37, 11], [5, 12, 13], [8, 19, 15, 7], [14, 9, 10, 17], [18], [16, 20, 23, 27], [29, 24, 21], [25, 28, 26, 31], [30, 32, 33, 34], [35, 36]]
30: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12, 13], [8, 19, 15, 7], [14, 9, 10, 17], [18, 16, 20, 23], [27, 29, 24, 21, 25], [28, 26], [31, 30, 32, 33, 34, 35, 36]]
31: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12], [13, 8, 19], [15, 7], [14, 9, 10, 17], [18], [16, 20, 23, 27], [29, 24, 21], [25, 28, 26, 31], [30, 32, 33], [34, 35, 36]]
32: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12, 13], [8, 19, 15], [7, 14, 9, 10], [17], [18, 16], [20, 23, 27, 29], [24, 21], [25, 28, 26, 31], [30, 32, 33], [34, 35, 36]]
33: [[6, 22, 4, 3], [2, 1, 37], [11, 5, 12, 13], [8], [19, 15], [7, 14, 9], [10, 17], [18, 16, 20, 23], [27, 29, 24], [21, 25, 28], [26, 31, 30, 32, 33], [34, 35, 36]]
34: [[6, 22, 4, 3], [2, 1, 37, 11], [5, 12, 13, 8], [19, 15, 7], [14, 9, 10, 17], [18, 16], [20, 23, 27], [29, 24, 21], [25, 28, 26], [31, 30, 32], [33, 34, 35, 36]]
35: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12], [13, 8, 19, 15], [7], [14, 9, 10, 17], [18, 16, 20], [23, 27, 29, 24], [21, 25, 28], [26, 31, 30], [32, 33, 34, 35, 36]]
36: [[6, 22, 4], [3, 2, 1, 37, 11], [5, 12, 13], [8, 19, 15, 7], [14, 9, 10, 17], [18, 16, 20], [23, 27, 29, 24, 21], [25, 28], [26, 31, 30, 32, 33, 34, 35, 36]]
37: [[6, 22, 4], [3, 2, 1], [37, 11], [5, 12, 13], [8, 19, 15, 7], [14, 9, 10, 17], [18, 16, 20], [23, 27], [29, 24, 21], [25, 28, 26, 31], [30, 32, 33, 34], [35, 36]]
38: [[6, 22, 4], [3, 2], [1, 37], [11, 5, 12, 13], [8, 19, 15], [7, 14, 9, 10], [17, 18, 16, 20], [23, 27, 29, 24], [21, 25, 28, 26], [31, 30, 32], [33, 34, 35], [36]]
39: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12], [13, 8, 19, 15], [7], [14, 9, 10, 17, 18], [16, 20, 23], [27, 29], [24], [21, 25, 28, 26, 31, 30, 32, 33, 34, 35, 36]]
40: [[6, 22, 4, 3], [2, 1, 37], [11, 5, 12, 13], [8, 19, 15, 7], [14, 9, 10, 17], [18, 16, 20], [23, 27, 29, 24], [21, 25, 28], [26, 31, 30, 32, 33, 34, 35, 36]]
41: [[6, 22, 4], [3, 2, 1], [37, 11], [5, 12, 13], [8, 19, 15], [7, 14], [9, 10, 17, 18], [16, 20, 23], [27, 29], [24, 21, 25, 28], [26, 31, 30, 32], [33, 34, 35, 36]]
42: [[6, 22, 4], [3, 2], [1, 37, 11, 5], [12, 13, 8], [19, 15], [7, 14, 9, 10, 17], [18, 16, 20, 23], [27, 29, 24, 21], [25, 28, 26, 31], [30, 32, 33], [34, 35, 36]]
43: [[6, 22, 4, 3], [2, 1, 37], [11, 5, 12, 13], [8, 19, 15], [7, 14, 9, 10], [17, 18, 16], [20, 23], [27, 29, 24], [21, 25, 28, 26, 31, 30, 32, 33, 34, 35, 36]]
44: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12, 13], [8, 19, 15], [7, 14], [9, 10, 17], [18, 16, 20, 23], [27, 29, 24, 21], [25, 28, 26, 31, 30, 32, 33, 34, 35, 36]]
45: [[6, 22, 4, 3], [2, 1, 37, 11], [5, 12, 13, 8], [19, 15, 7, 14], [9, 10, 17, 18], [16, 20, 23, 27], [29, 24, 21, 25, 28], [26, 31, 30, 32], [33, 34, 35, 36]]
46: [[6, 22, 4, 3], [2, 1, 37, 11], [5, 12, 13], [8, 19, 15, 7], [14], [9, 10, 17, 18, 16], [20, 23, 27, 29], [24, 21, 25, 28], [26, 31, 30, 32], [33, 34, 35, 36]]
47: [[6, 22, 4, 3], [2, 1, 37], [11, 5], [12, 13, 8], [19, 15, 7, 14], [9, 10, 17, 18], [16, 20, 23, 27], [29, 24, 21], [25, 28], [26, 31], [30, 32, 33, 34, 35, 36]]
48: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12, 13, 8], [19, 15, 7], [14, 9, 10, 17, 18], [16, 20], [23, 27, 29, 24, 21, 25, 28, 26, 31, 30, 32, 33, 34, 35, 36]]
49: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12], [13, 8], [19, 15, 7, 14], [9, 10, 17, 18], [16, 20, 23, 27], [29, 24, 21, 25], [28, 26, 31, 30], [32, 33, 34], [35, 36]]
50: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12], [13, 8, 19, 15], [7, 14, 9], [10, 17, 18], [16, 20, 23, 27, 29, 24, 21, 25], [28, 26, 31, 30, 32, 33, 34, 35, 36]]
51: [[6, 22, 4, 3], [2, 1, 37, 11], [5, 12, 13], [8, 19, 15, 7], [14], [9, 10, 17, 18], [16, 20, 23, 27], [29, 24, 21, 25], [28], [26, 31], [30, 32, 33, 34], [35, 36]]
52: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12], [13, 8, 19, 15], [7, 14, 9, 10], [17, 18, 16, 20, 23, 27, 29, 24, 21, 25, 28, 26, 31, 30, 32, 33, 34, 35, 36]]
53: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12], [13, 8, 19, 15], [7], [14, 9, 10], [17, 18, 16, 20], [23, 27, 29], [24, 21, 25, 28, 26, 31, 30, 32, 33, 34, 35, 36]]
54: [[6, 22, 4], [3, 2, 1], [37, 11], [5, 12, 13], [8, 19, 15], [7, 14, 9], [10, 17, 18, 16], [20, 23], [27, 29], [24, 21, 25, 28], [26, 31, 30, 32], [33, 34, 35, 36]]
55: [[6, 22, 4, 3], [2, 1, 37, 11], [5, 12, 13, 8], [19, 15, 7, 14], [9, 10, 17, 18], [16, 20, 23], [27, 29, 24, 21], [25, 28, 26, 31, 30, 32, 33, 34, 35, 36]]
56: [[6, 22, 4, 3], [2, 1, 37, 11], [5, 12, 13, 8], [19, 15, 7, 14], [9, 10, 17, 18], [16, 20, 23], [27, 29, 24, 21], [25, 28, 26, 31, 30, 32, 33, 34, 35, 36]]
57: [[6, 22, 4], [3, 2], [1, 37, 11, 5], [12, 13, 8, 19], [15, 7], [14, 9, 10, 17], [18, 16, 20], [23, 27, 29, 24], [21, 25, 28, 26], [31, 30, 32, 33, 34, 35, 36]]
58: [[6, 22, 4, 3], [2, 1, 37, 11], [5, 12, 13, 8], [19, 15, 7, 14], [9, 10, 17], [18, 16, 20, 23], [27, 29, 24], [21, 25, 28, 26, 31, 30, 32, 33, 34, 35, 36]]
59: [[6, 22, 4], [3, 2, 1], [37, 11], [5, 12, 13], [8, 19, 15], [7, 14, 9, 10], [17, 18, 16, 20], [23, 27, 29], [24, 21, 25, 28], [26, 31, 30], [32, 33, 34], [35, 36]]
60: [[6, 22, 4], [3, 2, 1], [37, 11, 5, 12], [13], [8, 19, 15, 7], [14, 9], [10, 17, 18, 16], [20, 23, 27, 29], [24, 21, 25, 28], [26, 31, 30, 32, 33], [34, 35, 36]]
61: [[6, 22, 4], [3, 2, 1], [37, 11, 5, 12], [13, 8, 19, 15], [7, 14, 9, 10, 17, 18, 16, 20, 23, 27, 29, 24, 21, 25], [28, 26, 31, 30, 32, 33, 34, 35, 36]]
62: [[6, 22, 4], [3, 2, 1], [37, 11], [5, 12, 13], [8, 19, 15, 7], [14, 9, 10, 17, 18, 16, 20], [23, 27, 29], [24, 21, 25, 28, 26, 31, 30], [32, 33, 34, 35, 36]]
63: [[6, 22, 4], [3, 2], [1, 37, 11], [5, 12, 13], [8, 19], [15, 7, 14, 9], [10], [17, 18], [16, 20, 23, 27], [29, 24, 21], [25, 28, 26, 31], [30, 32, 33], [34, 35, 36]]
64: [[6, 22, 4], [3, 2, 1, 37], [11, 5, 12, 13], [8, 19, 15, 7], [14, 9], [10, 17, 18, 16], [20, 23, 27, 29, 24], [21, 25], [28, 26, 31, 30, 32, 33, 34, 35, 36]]
65: [[6, 22, 4], [3, 2, 1], [37, 11, 5, 12], [13, 8, 19, 15], [7, 14, 9, 10, 17, 18, 16, 20, 23, 27, 29, 24, 21, 25, 28, 26, 31, 30, 32, 33, 34, 35, 36]]
66: [[6, 22, 4], [3], [2, 1], [37, 11, 5], [12, 13, 8, 19], [15, 7, 14], [9, 10, 17], [18, 16, 20], [23, 27, 29], [24, 21], [25, 28], [26, 31, 30, 32], [33, 34, 35, 36]]
67: [[6, 22, 4], [3, 2, 1], [37, 11, 5, 12, 13, 8, 19, 15], [7, 14, 9], [10, 17, 18, 16], [20, 23, 27, 29, 24, 21, 25, 28, 26, 31, 30], [32, 33, 34, 35, 36]]
68: [[6, 22, 4], [3, 2, 1], [37, 11, 5, 12, 13, 8, 19], [15, 7, 14, 9, 10], [17, 18, 16, 20, 23, 27, 29, 24, 21, 25, 28, 26, 31, 30, 32, 33, 34, 35, 36]]
69: [[6, 22, 4], [3, 2, 1], [37, 11], [5, 12], [13, 8, 19], [15, 7, 14, 9, 10, 17, 18, 16], [20, 23, 27], [29, 24, 21, 25], [28, 26, 31, 30, 32, 33, 34, 35, 36]]
70: [[6, 22, 4, 3], [2, 1, 37, 11], [5, 12, 13, 8], [19, 15, 7, 14], [9, 10, 17, 18, 16, 20, 23, 27, 29, 24, 21, 25, 28, 26, 31], [30, 32, 33, 34, 35, 36]]
71: [[6, 22, 4, 3], [2, 1, 37, 11], [5, 12, 13], [8], [19, 15, 7, 14, 9, 10, 17, 18, 16, 20, 23, 27, 29, 24, 21, 25, 28, 26, 31, 30, 32, 33, 34, 35, 36]]
72: [[6, 22, 4, 3], [2, 1, 37, 11], [5, 12, 13], [8, 19, 15, 7], [14, 9], [10], [17, 18, 16, 20], [23, 27, 29], [24, 21, 25, 28, 26, 31, 30, 32, 33, 34, 35, 36]]
73: [[6, 22, 4], [3, 2, 1], [37, 11, 5, 12], [13, 8, 19], [15, 7, 14, 9], [10, 17, 18, 16, 20, 23, 27, 29, 24, 21, 25, 28, 26, 31, 30, 32, 33, 34, 35, 36]]
