0: [[4, 6, 5, 3], [1, 2], [11, 7], [10, 12, 14], [9, 8, 13, 15], [18, 16], [17, 22, 20, 19], [21, 23, 24]]
17: [[3, 1, 6], [2, 11], [7, 10], [12, 14, 9], [8, 13, 15, 18], [16, 17, 5], [22, 20, 19, 4], [21, 23, 24]]
18: [[5], [1, 2], [11, 7], [10, 12, 3], [14, 9, 6], [8, 13, 15, 18, 16, 17], [22, 20, 19, 21, 4], [23, 24]]
19: [[3, 6], [1, 2], [11, 7], [10, 12, 14, 4, 5], [9, 8, 13], [15, 18], [16, 17, 22, 20], [19, 21, 23, 24]]
20: [[5, 1, 4, 6, 3], [2, 11], [7, 10], [12, 14], [9, 8, 13, 15, 18, 16, 17, 22, 20, 19], [21, 23, 24]]
21: [[3], [1, 2], [11, 7], [10, 12], [14, 9, 8, 13, 6], [15, 18], [16, 17], [22, 20, 4, 5], [19, 21], [23, 24]]
22: [[3], [1, 2, 11, 7], [10, 12], [14, 9], [8, 13, 6, 5], [15, 18], [16, 17, 22], [20, 19, 4], [21, 23, 24]]
23: [[1, 2], [11, 7], [10, 12, 4, 3], [14, 9, 6], [8, 13], [15, 18, 16], [17, 22, 5], [20, 19, 21], [23, 24]]
24: [[3, 6], [1, 2], [11, 7], [10, 12, 14, 4], [9, 8, 5], [13, 15, 18], [16, 17, 22, 20], [19, 21, 23, 24]]
25: [[6, 5, 3, 4], [2, 1], [11, 7, 10, 12, 14, 9, 8, 13, 15, 18, 16, 17, 22, 20], [19, 21], [23, 24]]
26: [[3, 1, 4, 6], [2, 11], [7, 10, 12], [14, 9], [8, 13, 15, 18], [16, 17, 22, 5], [20, 19], [21, 23, 24]]
27: [[3], [1, 2], [11, 7, 10], [12, 14, 9, 6, 5], [8, 13], [15, 18], [16, 17, 22, 20], [19, 21, 4], [23, 24]]
28: [[3], [1, 2], [11, 7], [10, 12], [14, 9, 6], [8, 13, 15], [18, 16, 17], [22, 20, 4, 5], [19, 21, 23, 24]]
29: [[3], [1, 2], [11, 7], [10, 12, 4, 5], [14, 9, 6], [8, 13, 15], [18, 16], [17, 22, 20], [19, 21, 23, 24]]
30: [[3, 6], [1, 2], [11, 7], [10, 12, 14], [9, 8, 13], [15, 18], [16, 17, 22, 4, 5], [20, 19, 21, 23, 24]]
31: [[3], [1, 2], [11, 7], [10, 12], [14, 9, 6], [8, 13], [15, 18], [16, 17, 22, 4, 5], [20, 19, 21], [23, 24]]
32: [[3, 1, 2, 11, 6], [7, 10], [12, 14], [9, 8, 13], [15, 18], [16, 17, 5], [22, 20, 19, 21, 4], [23, 24]]
33: [[4, 5, 3, 6], [2, 11], [7, 10], [12, 14, 9, 8, 13, 15, 18, 16, 17, 22, 20, 19, 21, 1], [23, 24]]
34: [[5, 3, 4, 6], [2, 11], [7, 10], [12, 14, 9, 8, 13, 15, 18, 16, 17, 22], [20, 19, 21, 1], [23, 24]]
35: [[3], [1, 2], [11, 7, 10], [12, 14, 4, 5], [9, 8], [13, 15, 18, 16, 6], [17, 22, 20], [19, 21, 23, 24]]
36: [[4, 6], [5, 3, 1, 2, 11, 7, 10, 12, 14, 9, 8, 13, 15, 18, 16, 17, 22, 20, 19, 21], [23, 24]]
37: [[3, 6], [1, 2], [11, 7], [10, 12, 14], [9, 8, 13], [15, 18], [16, 17], [22, 20, 4, 5], [19, 21, 23], [24]]
38: [[5, 3, 4, 6], [1, 2, 11, 7, 10, 12, 14, 9, 8, 13, 15, 18, 16], [17, 22, 20], [19, 21, 23, 24]]
39: [[3], [1, 2], [11, 7], [10, 12, 4, 5], [14, 9, 8, 6], [13, 15], [18, 16, 17, 22, 20], [19, 21, 23, 24]]
40: [[3], [1, 2], [11, 7], [10, 12, 4], [14, 9, 6], [8, 13, 15], [18, 16], [17, 22, 5], [20, 19, 21, 23, 24]]
41: [[3, 6], [1, 2], [11, 7, 10], [12, 14, 4, 5], [9, 8], [13, 15, 18], [16, 17], [22, 20, 19, 21, 23, 24]]
42: [[4, 6, 5, 3], [1, 2], [11, 7], [10, 12, 14], [9, 8, 13, 15, 18, 16, 17, 22, 20, 19, 21, 23, 24]]
43: [[3], [1, 2], [11, 7], [10, 12, 4, 5], [14, 9, 8, 13, 6], [15, 18], [16, 17, 22, 20], [19, 21, 23], [24]]
44: [[3, 1, 4], [2, 11], [7, 10], [12, 14, 9, 6], [8, 13], [15, 18, 16], [17, 22, 5], [20, 19, 21], [23, 24]]
45: [[3, 1, 4], [2, 11], [7, 10], [12, 14], [9, 8, 5], [13, 15, 6], [18, 16], [17, 22, 20], [19, 21, 23, 24]]
46: [[3, 4, 6, 5], [1, 2], [11, 7, 10, 12], [14, 9], [8, 13, 15], [18, 16], [17, 22, 20], [19, 21, 23], [24]]
47: [[4, 6, 5, 3], [1, 2], [11, 7], [10, 12], [14, 9, 8, 13], [15, 18], [16, 17, 22], [20, 19, 21, 23], [24]]
48: [[4, 6, 5, 3], [1, 2, 11], [7, 10, 12, 14, 9, 8, 13, 15, 18, 16, 17, 22, 20, 19, 21, 23, 24]]
49: [[4, 5, 3, 6, 1], [2, 11], [7, 10], [12, 14, 9, 8, 13, 15, 18, 16, 17, 22, 20, 19, 21, 23, 24]]
