0: [[22, 4], [19, 17, 20, 1], [2, 9, 5, 6], [14, 10, 12, 7, 11], [3, 13, 8, 15, 18, 16], [21, 23, 24]]
20: [[22], [4, 19], [17, 20], [2, 9, 1], [5, 6], [14, 10], [12, 7, 3, 16, 11], [13, 8, 15], [18, 21, 23, 24]]
21: [[22, 4], [19, 17, 20, 2, 1], [9, 5], [6, 14], [10, 12, 7, 11], [3, 13, 8, 15], [18, 21, 16], [23, 24]]
22: [[22], [4, 19], [17, 20], [2, 9, 1], [5, 6], [14, 10, 12], [7, 3, 13, 16, 11], [8, 15], [18, 21, 23, 24]]
23: [[22], [4, 19, 17, 20, 1], [2, 9], [5, 6], [14, 10, 12], [7, 3, 16, 11], [13, 8, 15], [18, 21], [23, 24]]
24: [[22], [4, 19], [17, 20, 2, 1], [9, 5], [6, 14], [10, 12, 7, 11], [3, 13, 8, 16], [15, 18, 21], [23, 24]]
25: [[22], [4, 19, 17], [20, 2, 9, 1], [5, 6], [14, 10, 12, 7, 11], [3, 13, 8, 15, 16], [18, 21, 23, 24]]
26: [[22, 4, 19, 17], [20, 2, 9, 5, 6, 14, 10, 1], [12, 7, 3, 16, 11], [13, 8, 15], [18, 21, 23, 24]]
27: [[22, 4, 19, 17], [20, 2, 9, 5, 6, 14, 10, 1], [12, 7, 3, 16, 11], [13, 8, 15], [18, 21, 23, 24]]
28: [[22], [4, 19, 17, 20, 1], [2, 9], [5, 6], [14, 10], [12, 7, 3, 16, 11], [13, 8, 15], [18, 21, 23, 24]]
29: [[22], [4, 19, 1], [17, 20], [2, 9, 5], [6, 14, 10], [12, 7, 11], [3, 13, 8, 15], [18, 21, 16], [23, 24]]
30: [[22], [4, 19, 17], [20, 2, 9, 1], [5, 6, 14], [10, 12], [7, 3, 16, 11], [13, 8, 15], [18, 21, 23, 24]]
31: [[22, 4, 19], [17, 20, 2, 1], [9, 5, 6], [14, 10, 12], [7, 3, 13, 16, 11], [8, 15, 18, 21, 23, 24]]
32: [[22, 4, 19], [17, 20, 2, 1], [9, 5, 6], [14, 10, 12], [7, 3, 13, 16, 11], [8, 15, 18, 21, 23, 24]]
33: [[22, 4, 19, 17], [20, 2, 9, 1], [5, 6, 14], [10, 12, 7, 3, 13, 8, 16, 11], [15, 18, 21, 23, 24]]
34: [[22, 4], [19, 17, 1], [20, 2], [9, 5, 6], [14, 10], [12, 7, 3, 16, 11], [13, 8, 15, 18, 21, 23, 24]]
35: [[22], [4, 19], [17, 20], [2, 9, 5, 1], [6, 14], [10, 12, 7, 11], [3, 13, 8, 16], [15, 18, 21, 23, 24]]
36: [[22], [4, 19, 17], [20, 2], [9, 5], [6, 14], [10, 12, 7, 11], [3, 13, 16, 1], [8, 15], [18, 21, 23, 24]]
37: [[22], [4, 19], [17, 20], [2, 9, 5, 1], [6, 14, 10], [12, 7, 3, 13, 16, 11], [8, 15, 18, 21, 23, 24]]
38: [[22], [4, 19, 17, 20, 1], [2, 9], [5, 6], [14, 10, 12], [7, 3, 16, 11], [13, 8, 15, 18, 21, 23, 24]]
39: [[22], [4], [19, 17, 20, 1], [2, 9], [5, 6], [14, 10], [12, 7, 16, 11], [3, 13, 8, 15], [18, 21, 23], [24]]
40: [[22], [4, 19, 17, 20, 1], [2, 9], [5, 6], [14, 10, 12, 7, 11], [3, 13, 8, 15, 18, 21, 23, 24, 16]]
41: [[22], [4, 19], [17, 20, 2, 1], [9, 5, 6], [14, 10, 12, 7, 3, 13, 8, 15, 18, 21, 23, 24, 16, 11]]
42: [[22], [4, 19], [17, 20], [2, 9, 5, 1], [6, 14, 10, 12, 7, 3, 13, 8, 15, 18, 21, 23, 24, 16, 11]]
43: [[16, 11], [22, 19, 17, 4], [20, 2, 9, 5, 1], [6, 14, 10, 12, 7, 3, 13, 8, 15, 18, 21, 23, 24]]
44: [[16, 11], [22, 1, 4, 19], [17, 20, 2], [9, 5, 6, 14, 10, 12, 7, 3, 13, 8, 15, 18, 21, 23, 24]]
45: [[22, 1, 4, 16, 11], [19, 17, 20, 2], [9, 5, 6, 14, 10, 12, 7, 3, 13, 8, 15, 18, 21, 23, 24]]
46: [[22, 1, 4, 16, 11], [19, 17], [20, 2, 9], [5, 6, 14, 10, 12, 7, 3, 13, 8, 15, 18, 21, 23, 24]]
47: [[16, 11], [22, 1], [4, 19], [17, 20], [2, 9, 5, 6, 14, 10, 12, 7, 3, 13, 8, 15, 18, 21, 23, 24]]
48: [[22, 1], [4, 19], [17, 20, 2], [9, 5, 6, 14, 10, 12, 7, 3, 13, 8, 15, 18, 21, 23, 24, 16, 11]]
49: [[16], [11, 22, 1, 4, 19, 17, 20, 2, 9, 5, 6, 14, 10, 12, 7, 3, 13, 8, 15, 18, 21, 23], [24]]
