0: [[9, 8, 15], [3, 17, 16], [6, 1, 13], [11, 7], [10, 20, 2, 14], [12, 18, 19], [4, 22, 5], [21, 24, 23]]
22: [[8, 15], [3, 17, 16], [13, 1, 9], [6, 11], [7, 10, 14], [20, 2], [12, 18, 4, 19], [5, 22, 21], [24, 23]]
23: [[8, 15], [3, 17, 16], [13, 1, 9], [6, 11], [7, 10, 14], [20, 2], [12, 18, 4, 19], [5, 22, 21], [24, 23]]
24: [[8, 15], [3, 17, 16], [13, 1, 9], [6, 11], [7, 10, 14], [20, 2], [12, 18, 4, 19], [5, 22, 21], [24, 23]]
25: [[8, 15, 3], [17, 13, 1, 19, 9], [6, 11], [7, 10, 14], [20, 2], [12, 18, 16], [4, 5], [22, 21], [24, 23]]
26: [[16], [8, 15], [3, 17, 13, 1, 19], [6, 11, 9], [7, 10, 14], [20, 2], [12, 18, 4, 5, 22, 21], [24, 23]]
27: [[16], [8, 15, 3], [17, 13, 1, 19, 9], [6, 11], [7, 10, 14], [20, 2], [12, 18], [4, 5, 22, 21], [24, 23]]
28: [[16], [8, 15], [3, 17, 13, 1, 9], [6, 11, 7], [10, 20, 14], [2, 12, 19], [18, 4, 5], [22, 21], [24, 23]]
29: [[16], [8, 15, 3], [17, 13], [1, 6, 9], [11, 7, 10, 14], [20, 2, 12, 18], [4, 5, 19], [22, 21], [24, 23]]
30: [[16], [8, 15], [3, 17, 13, 1, 19], [6, 11, 9], [7, 10, 14], [20, 2, 12], [18, 4, 5], [22, 21], [24, 23]]
31: [[9], [8, 15, 3], [17, 13, 1, 6], [11, 7], [10, 20, 14], [2, 12], [18, 4, 19, 16], [5, 22, 21, 24, 23]]
32: [[16], [8, 15, 3], [17, 13, 1, 19, 9], [6, 11, 7], [10, 20, 14], [2, 12, 18], [4, 5, 22, 21, 24, 23]]
33: [[16, 8, 15], [3, 17], [13, 1, 6, 9], [11, 7], [10, 20, 14], [2, 12, 19], [18, 4, 5, 22, 21, 24, 23]]
34: [[16], [8, 15], [3, 17, 9], [13, 1, 19], [6, 11, 7], [10, 20, 2, 14], [12, 18, 4, 5, 22, 21, 24, 23]]
35: [[16, 8, 15], [3, 17, 13], [1, 6, 11, 9], [7, 10, 20, 14], [2, 12], [18, 4, 19], [5, 22, 21], [24, 23]]
36: [[16, 8, 15], [3, 17], [13, 1, 9], [6, 11], [7, 10, 19, 14], [20, 2, 12], [18, 4, 5, 22, 21, 24, 23]]
37: [[16], [8, 15], [3, 17], [13, 1, 19], [6, 11, 9], [7, 10, 20, 14], [2, 12, 18, 4, 5, 22, 21, 24, 23]]
38: [[16, 8, 15, 19], [3, 17], [13, 1, 6, 9], [11, 7, 10, 20, 2, 12, 14], [18, 4, 5, 22, 21, 24], [23]]
39: [[16], [8, 15], [3, 17, 9], [13, 1, 19], [6, 11, 7], [10, 20, 2, 12, 18, 4, 5, 22, 21, 24, 23, 14]]
40: [[16], [8, 15], [3, 17, 13, 1, 19, 9], [6, 11, 7], [10, 20, 2, 12, 18, 4, 5, 22, 21, 24, 23, 14]]
41: [[16, 8], [15, 3, 17], [13, 1, 19, 9], [6, 11, 7], [10, 20, 2, 12, 18, 4, 5, 22, 21, 24, 23, 14]]
42: [[16], [8, 15], [3, 17], [13, 1, 19], [6, 11, 9], [7, 10, 14], [20, 2], [12, 18, 4, 5, 22, 21, 24], [23]]
43: [[9], [16, 8], [15, 3], [17, 13, 1, 6, 11, 7, 10, 20, 2, 12, 19, 14], [18, 4, 5, 22, 21, 24, 23]]
44: [[16], [8, 15], [3, 17, 13], [1, 6, 11, 7, 9], [10, 20, 2, 12, 18, 4, 5, 22, 21, 24, 23, 19, 14]]
45: [[16], [8, 15], [3, 17, 9], [13, 1, 19], [6, 11, 7, 10, 20, 2, 12, 18, 4, 5, 22, 21, 24, 23, 14]]
46: [[9, 16], [8, 15, 3, 17, 19], [13, 1, 6, 11], [7, 10, 20, 2, 12, 18, 4, 5, 22, 21, 24, 23, 14]]
47: [[16], [8, 15], [3, 17, 13, 19], [1, 6, 11, 9], [7, 10, 20, 2, 12, 18, 4, 5, 22, 21, 24, 23, 14]]
48: [[16], [8, 15], [3, 17, 13, 19], [1, 6, 11, 9], [7, 10, 20, 2, 12, 18, 4, 5, 22, 21, 24, 23, 14]]
49: [[9], [16, 8, 15], [3, 17, 19], [13, 1, 6, 11, 7, 10, 20, 2, 12, 18, 4, 5, 22, 21, 24, 23, 14]]
