0: [[9, 1, 20, 13, 12], [22, 4], [7, 11], [6, 5], [14, 10, 2], [8, 15, 17, 19], [16, 3, 18], [21, 23, 24]]
17: [[13, 12], [22, 4], [7, 11], [6, 5, 14, 10], [2, 8, 15, 9], [17, 19, 16, 1, 20], [3, 18, 21], [23, 24]]
18: [[13, 12], [22, 4, 7], [11, 6, 5], [14, 10], [2, 8, 15], [17, 19, 9, 1, 20], [16, 3, 18, 21], [23, 24]]
19: [[9, 1], [20, 13, 12], [22, 4], [7, 11], [6, 5, 14, 10, 2, 8, 15, 17, 19, 16, 3], [18, 21, 23, 24]]
20: [[13], [12, 22, 4], [7, 11], [6, 5, 14, 10], [2, 8, 15, 9], [17, 19, 16, 1, 20], [3, 18, 21], [23, 24]]
21: [[13], [12, 22], [4, 7], [11, 6, 5], [14, 10], [2, 8, 15, 9], [17, 19, 16, 1, 20], [3, 18], [21, 23, 24]]
22: [[13, 12], [22, 4, 7], [11, 6, 5], [14, 10, 2], [8, 15, 9], [17, 19, 16, 1, 20], [3, 18, 21], [23, 24]]
23: [[13, 12], [22, 4, 7], [11, 6, 5], [14, 10, 2], [8, 15, 9], [17, 19, 16, 1, 20], [3, 18, 21], [23, 24]]
24: [[9, 1, 20], [13, 12, 22], [4, 7, 11, 6, 5], [14, 10, 2], [8, 15, 17], [19, 16, 3], [18, 21], [23, 24]]
25: [[13], [12, 22], [4, 7], [11, 6, 9, 1], [5, 14], [10, 2, 8, 20], [15, 17, 19], [16, 3, 18], [21, 23, 24]]
26: [[13], [12, 22], [4, 7], [11, 6, 9, 1], [5, 14], [10, 2, 8, 20], [15, 17, 19], [16, 3, 18], [21, 23, 24]]
27: [[9], [12, 22, 20], [4, 7], [11, 6, 13], [5, 14], [10, 2, 1], [8, 15, 17], [19, 16, 3, 18], [21, 23, 24]]
28: [[13, 12], [22, 4, 7], [11, 6], [5, 14, 10], [2, 8, 9, 1, 20], [15, 17, 19], [16, 3, 18, 21], [23, 24]]
29: [[13, 12], [22, 4], [7, 11, 6], [5, 14], [10, 2, 8, 20], [15, 17, 9], [19, 16, 3, 1], [18, 21, 23, 24]]
30: [[9, 1], [20, 13, 12], [22, 4], [7, 11], [6, 5], [14, 10, 2], [8, 15, 17], [19, 16, 3], [18, 21, 23], [24]]
31: [[13], [12, 22, 4, 7], [11, 6], [5, 14, 10], [2, 8, 9, 1, 20], [15, 17], [19, 16, 3, 18, 21], [23, 24]]
32: [[13], [12, 22, 4, 7], [11, 6], [5, 14, 10], [2, 8, 9, 1, 20], [15, 17], [19, 16, 3, 18, 21], [23, 24]]
33: [[9, 1, 20, 13, 12], [22, 4], [7, 11], [6, 5], [14, 10], [2, 8, 15, 17, 19, 16, 3, 18, 21, 23, 24]]
34: [[9, 1], [12, 20, 13], [22, 4], [7, 11, 6], [5, 14], [10, 2], [8, 15, 17, 19], [16, 3, 18, 21, 23, 24]]
35: [[9, 1], [12, 20, 13], [22, 4], [7, 11, 6], [5, 14], [10, 2], [8, 15, 17, 19], [16, 3, 18, 21, 23, 24]]
36: [[13], [12, 22], [4, 7], [11, 6, 5], [14, 10], [2, 8, 15], [17, 19, 9, 1, 20], [16, 3], [18, 21, 23, 24]]
37: [[13], [12, 22], [4, 7], [11, 6, 5], [14, 10], [2, 8, 15, 9], [17, 19, 16, 1, 20], [3, 18, 21], [23, 24]]
38: [[9, 20, 13, 1, 12], [22, 4], [7, 11], [6, 5], [14, 10, 2, 8, 15, 17, 19, 16, 3, 18, 21, 23, 24]]
39: [[9, 20, 13, 1, 12], [22, 4], [7, 11], [6, 5], [14, 10, 2, 8, 15, 17, 19, 16, 3, 18, 21, 23, 24]]
40: [[9, 1], [20, 13, 12], [22, 4], [7, 11], [6, 5, 14], [10, 2], [8, 15, 17], [19, 16], [3, 18, 21, 23], [24]]
41: [[13, 12], [22, 4, 7], [11, 6, 5], [14, 10], [2, 8, 15, 9], [17, 19, 16, 1, 20], [3, 18, 21, 23, 24]]
42: [[9, 20, 13, 1, 12], [22, 4], [7, 11, 6], [5, 14, 10, 2, 8, 15, 17, 19, 16, 3, 18, 21, 23, 24]]
43: [[12, 22, 20], [4, 7, 11], [6, 5], [14, 10], [2, 8, 9, 1, 13], [15, 17], [19, 16, 3], [18, 21, 23], [24]]
44: [[9, 1, 20], [13, 12, 22], [4, 7, 11], [6, 5, 14, 10], [2, 8, 15, 17, 19, 16, 3, 18, 21, 23, 24]]
45: [[13], [12, 22, 4, 7], [11, 6, 5, 14], [10, 2, 8, 1, 20], [15, 17, 9], [19, 16, 3, 18, 21, 23, 24]]
46: [[9, 1], [13], [12, 22, 4, 20], [7, 11, 6, 5, 14, 10, 2, 8, 15, 17, 19, 16, 3, 18, 21, 23, 24]]
47: [[9], [1, 20, 13, 12, 22, 4, 7, 11, 6, 5, 14, 10, 2, 8, 15, 17, 19, 16, 3, 18, 21, 23, 24]]
48: [[9], [1, 20, 13, 12, 22, 4, 7, 11, 6, 5, 14, 10, 2, 8, 15, 17, 19, 16, 3, 18, 21, 23], [24]]
49: [[9, 1], [20, 13, 12, 22], [4, 7], [11, 6], [5, 14, 10, 2, 8, 15, 17, 19, 16, 3, 18, 21, 23, 24]]
