0: [[3, 7, 20, 10], [1, 11, 15, 14], [25, 5, 6], [4, 8, 13, 12], [2, 17, 9, 19, 16, 18, 22], [23, 28, 24], [21, 27, 26, 29]]
17: [[3, 7, 20, 10], [1, 11, 15], [14, 25, 5, 6], [12, 4, 13, 8], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
18: [[3, 7, 20, 10], [1, 11, 15], [14, 25, 5, 6], [12, 8, 4, 13], [2, 17, 9, 19, 16, 18, 22], [23, 28, 24], [21, 27, 26, 29]]
19: [[3, 7, 20, 10], [1, 11, 15], [14, 25, 5, 6], [4, 8, 13, 12], [2, 17, 9, 19, 16, 18, 22], [23, 28, 24], [21, 27, 26, 29]]
20: [[3, 7, 20, 10], [1, 11, 15], [14, 25, 5, 6], [4, 8, 12, 13], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
21: [[3, 7, 20], [10, 1, 11, 15], [13, 25, 5, 6], [4, 8, 12, 14], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
22: [[3, 7, 20], [10, 1, 11, 15], [14, 25, 5, 6], [12, 8, 13, 4], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
23: [[3, 7, 20], [10, 1, 11, 15], [14, 25, 5, 6], [4, 8, 13, 12], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
24: [[3, 7, 20], [1, 11, 15, 10], [25, 5, 6, 14], [4, 8, 13, 12], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
25: [[3, 7, 20], [10, 1, 11, 15], [14, 25, 5, 6], [4, 8, 13, 12], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
26: [[3, 7, 20], [10, 1, 11, 15], [14, 25, 5, 6], [12, 8, 13, 4], [2, 17, 9, 19, 16, 18, 22], [23, 28, 24], [21, 27, 26, 29]]
27: [[3, 7, 20], [10, 1, 11, 15], [14, 25, 5, 6], [12, 8, 4, 13], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
28: [[3, 7, 20, 10], [1, 11, 15, 14], [25, 5, 6, 4], [8, 13, 12], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
29: [[3, 7, 20, 10], [1, 11, 15, 14], [25, 5, 6, 4], [8, 13, 12], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
30: [[3, 7, 20, 10], [1, 11, 15, 14], [25, 5, 6, 12], [8, 13, 4], [2, 17, 9, 19, 16, 18, 22], [23, 28, 24], [21, 27, 26, 29]]
31: [[3, 7, 20, 10], [1, 11, 15, 14], [25, 5, 6, 12], [8, 13, 4], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
32: [[3, 7, 20, 10], [1, 11, 15, 14], [25, 5, 4], [12, 6, 13, 8], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
33: [[3, 7, 20, 10], [1, 11, 15], [14, 25, 5, 6], [4, 13, 9, 8], [2, 17, 12, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
34: [[3, 7, 20, 10], [1, 11, 15, 8], [25, 5, 13], [4, 12, 9, 14], [2, 17, 6, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
35: [[3, 7, 20, 10, 1, 11, 15], [14, 25, 5, 6], [12, 8, 13, 4], [2, 17, 9], [18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
36: [[3, 7, 20, 10, 1, 11, 15], [14, 25, 5, 6], [12, 8, 13, 4], [2, 17, 9], [19, 16, 18, 22], [23, 28, 24], [21, 27, 26, 29]]
37: [[3, 7, 20, 10, 1, 11, 15], [14, 25, 5, 6], [4, 8, 12, 13], [2, 17, 9], [18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
38: [[3, 7, 20, 10, 1, 11, 15], [14, 25, 5, 6], [4, 8, 13, 12], [2, 17, 9], [19, 16, 18, 22], [23, 28, 24], [21, 27, 26, 29]]
39: [[3, 7, 20, 10, 1, 11, 15], [14, 25, 5, 6], [12, 8, 13, 4], [2, 17, 9, 19], [16, 18, 22], [23, 28, 24], [21, 27, 26, 29]]
40: [[3, 7, 20], [10, 1, 11, 15], [9, 25, 5, 6], [4, 8, 13, 12], [2, 17, 14, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
41: [[3, 7, 20, 10], [1, 11, 15, 14], [25, 5, 6, 4, 8, 12, 13], [2, 17, 9], [18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
42: [[3, 7, 20], [10, 1, 11, 15], [14, 25, 5, 4], [12, 8, 13, 6], [2, 17, 9, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
43: [[3, 7, 20], [10, 1, 11, 15], [14, 25, 5, 6], [4, 9, 13, 12], [2, 17, 8, 18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
44: [[3, 7, 20], [10, 1, 11, 15, 14, 25, 5], [6, 4, 8, 12], [13, 2, 17, 9], [19, 16, 18, 22], [23, 28, 24], [21, 27, 26, 29]]
45: [[3, 7, 20, 10, 1, 11, 15], [8, 25, 5, 6], [4, 12, 13], [14, 2, 17, 9], [18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
46: [[3, 7, 20, 10], [1, 11, 15, 4], [5, 6, 14], [8, 18, 12, 13], [2, 17, 9, 19, 16, 25, 22], [23, 28, 24], [21, 27, 26, 29]]
47: [[3, 7, 20, 10, 1, 11, 15], [14, 25, 5, 6], [4, 8, 13], [12, 2, 17, 9], [19, 16, 18, 22], [23, 28, 24], [21, 27, 26, 29]]
48: [[3, 7, 20, 10, 1, 11, 15], [14, 25, 5, 4], [12, 6, 8, 13], [2, 17, 9], [18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
49: [[3, 7, 20, 10], [1, 11, 15, 14], [25, 5, 6, 4, 12, 8, 9], [2, 17, 13], [18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
50: [[3, 7, 20, 10], [1, 11, 15, 14, 25, 5, 4], [12, 8, 13, 6], [2, 17, 9], [18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
51: [[3, 7, 20], [10, 1, 11, 15], [14, 25, 5, 4], [6, 9, 13, 12], [2, 17, 8, 19, 16, 18, 22], [23, 28, 24], [21, 27, 26, 29]]
52: [[3, 7, 20], [10, 1, 11, 15], [14, 25, 5, 6], [12, 8, 4], [13, 2, 17, 9], [18, 16, 19, 22, 23, 28, 24], [21, 27, 26, 29]]
53: [[3, 7, 20, 10, 1, 11, 15], [14, 25, 5, 6], [4, 13, 9], [12, 2, 17, 8], [18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
54: [[3, 7, 20], [10, 1, 11, 15, 14, 25, 5], [6, 12, 4, 8], [13, 2, 17, 9], [18, 16, 19], [22, 23, 28, 24], [21, 27, 26, 29]]
55: [[3, 7, 20], [10, 1, 11, 15, 6, 25, 5], [8, 4, 12, 13], [14, 2, 17], [9, 18, 16, 19], [22, 23, 28, 24], [21, 27, 26, 29]]
56: [[3, 7, 20], [10, 1, 11, 15], [14, 25, 5, 6, 4, 8, 13], [12, 2, 17, 9], [18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
57: [[3, 7, 20], [10, 1, 11, 15, 14, 25, 5], [6, 12, 8, 4], [13, 2, 17], [9, 19, 16, 18], [22, 23, 28, 24], [21, 27, 26, 29]]
58: [[3, 7, 20, 10, 1, 11, 15], [14, 25, 5, 4], [8, 6, 13], [12, 2, 17, 9], [18, 16, 19, 22], [23, 28, 24], [21, 27, 26, 29]]
59: [[3, 7, 20], [10, 1, 11, 15, 14, 25, 5], [6, 4, 8, 13], [12, 2, 17], [9, 19, 16, 18], [22, 23, 28, 24], [21, 27, 26, 29]]
