0: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
20: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
21: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
22: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
23: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
24: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
25: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
26: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
27: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
28: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
29: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
30: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4], [19, 9], [6, 14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
31: [[18, 15, 13, 8, 1], [2, 5, 17], [4, 19], [9, 6, 3, 16], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
32: [[18, 15, 13, 8, 1], [2, 5, 17], [4, 19], [9, 6, 3, 16], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
33: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19, 9], [6, 14], [10, 7, 11, 20, 22, 12], [21, 23, 24]]
34: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19, 9], [6, 14], [10, 7, 11, 20, 22, 12], [21, 23, 24]]
35: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19, 9], [6, 14], [10, 7, 11, 20, 22, 12], [21, 23, 24]]
36: [[18, 15, 13], [8, 1, 17], [2, 5, 4, 19], [9, 6, 3, 16], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
37: [[18, 15, 13], [8, 1, 17], [2, 5, 4, 19], [9, 6, 3, 16], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
38: [[18, 15, 13], [8, 1, 17], [2, 5, 4, 19], [9, 6, 3, 16], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
39: [[18, 15, 13], [8, 1, 17], [2, 5, 4, 19], [9, 6, 3, 16], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
40: [[18, 15, 13], [8, 1, 17], [2, 5, 4, 19], [9, 6, 3, 16], [14, 10, 7, 11, 20, 22, 12], [21, 23, 24]]
41: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22, 12, 21], [23, 24]]
42: [[18, 15, 13, 8, 1], [2, 5, 17], [4, 19, 9], [6, 14, 3, 16], [10, 7, 11, 20, 22, 12], [21, 23, 24]]
43: [[18, 15, 13, 8, 1], [2, 5, 17], [4, 19, 9], [6, 14, 3, 16], [10, 7, 11, 20, 22, 12], [21, 23, 24]]
44: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19, 9], [6, 14], [10, 7, 11, 20, 22, 12, 21], [23, 24]]
45: [[18, 15, 13, 8, 1], [2, 5, 17], [4, 19, 9], [6, 14, 3, 16], [10, 7, 11, 20, 22, 12, 21], [23, 24]]
46: [[18, 15, 13, 8, 1], [2, 5, 17], [4, 19, 9], [6, 14, 3, 16], [10, 7, 11, 20, 22, 12, 21], [23, 24]]
47: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22], [12, 21, 23, 24]]
48: [[3, 16], [17, 18, 15, 13, 8], [1, 2], [5, 4, 19], [9, 6], [14, 10, 7, 11, 20, 22], [12, 21, 23, 24]]
49: [[3, 16], [17, 18, 15, 13], [8, 1], [2, 5, 4, 19, 9], [6, 14], [10, 7, 11, 20, 22, 12, 21], [23, 24]]
