0: [[7, 2, 6, 17, 1, 15, 9], [20, 3, 4], [5, 25], [16, 11, 8, 24, 13, 18, 19, 22, 10, 12, 14], [23, 28], [21, 27, 26, 29]]
18: [[7, 2], [6, 17, 1, 15, 9, 20, 3, 5, 4, 25, 18, 10], [28], [11, 8, 13], [23, 19, 24, 16, 22, 12, 14], [21, 27, 26, 29]]
19: [[7, 2, 6, 17, 1, 15, 9, 20, 3], [4, 5], [25, 8, 11, 24, 14], [13, 23, 18, 22, 12], [16, 19, 28, 10], [21, 29, 26, 27]]
20: [[7, 2, 6], [17, 1], [15, 9, 20, 3, 4, 5, 28, 22, 10], [24, 11, 13, 19, 18, 16, 8, 14, 12], [23, 25], [21, 27, 26, 29]]
21: [[7, 2, 6, 17, 1], [15, 9, 20, 3, 4, 5, 22, 12], [28, 16, 11, 8], [24, 13, 18, 19, 10, 14], [23, 25], [21, 27, 26, 29]]
22: [[7, 2, 6], [17, 1, 15, 9, 20, 3, 4, 12], [5, 25], [16, 11, 24, 13, 18, 19, 21, 8, 10, 14], [23, 28], [27, 26, 29, 22]]
23: [[7, 2, 6, 17, 1, 15, 9, 20, 3, 4, 5, 10], [25, 16], [11, 8, 24, 12], [13, 18, 23, 22, 14], [19, 28], [21, 27, 26, 29]]
24: [[7, 2, 6, 17, 1, 15, 9, 20, 3, 4, 5, 10], [24, 11], [16, 8], [13, 19, 18, 23, 22, 12, 14], [28, 25], [21, 26, 27, 29]]
25: [[7, 2], [6, 17, 1, 15, 9, 20, 3, 4, 5], [24, 16, 10], [19, 8, 29, 11, 18, 13, 23, 22, 12, 14], [25], [21, 27, 26, 28]]
26: [[7, 2, 6], [17, 1, 15, 9, 20, 3, 4], [5, 10], [25, 19, 8, 11, 13, 22, 16, 18, 24, 12, 14], [23, 28, 21, 27, 26, 29]]
27: [[7, 2], [6, 17, 1], [15, 9], [20, 3, 4, 5, 25, 18, 11, 28, 8, 10, 12], [23, 19, 29, 13, 16, 22, 14], [21, 27, 24, 26]]
28: [[7, 2, 6, 17, 1, 15, 9, 20, 3, 4, 5, 12], [24, 16], [11, 23, 22], [13, 29, 8, 19, 10, 14], [18, 25], [21, 27, 26, 28]]
29: [[7, 2, 6, 17, 1, 15, 9, 20, 3, 4, 5, 12], [29, 8], [11, 13, 16, 22, 10, 14], [18, 19, 24], [23, 25], [21, 27, 26, 28]]
30: [[7, 2, 6], [17, 1], [15, 9, 20, 3, 4, 5, 25, 16], [11, 10], [13, 29, 19, 8, 18, 28, 23, 22, 12, 14], [21, 26, 27, 24]]
31: [[7, 2], [6, 17, 1], [15, 9, 20, 3, 4, 5, 11, 12], [24, 27, 8, 25, 18, 13, 16, 22, 10], [23, 28], [21, 19, 26, 29, 14]]
32: [[7, 2, 6, 17], [1, 15, 9, 20, 3, 4, 22, 12], [5, 25, 16, 8, 11, 24, 13, 21, 14], [23, 10], [18, 19], [28, 26, 27, 29]]
33: [[7, 2, 6, 17, 1, 15, 9, 20, 3, 4, 5, 25, 24, 11, 8, 10], [13, 28, 19, 22, 16, 12], [23, 14], [18, 21, 26, 27, 29]]
34: [[7, 2], [6, 17, 1, 15, 9, 20, 3, 4, 5, 27, 16, 10], [11, 12], [24, 18, 19, 8, 13, 14], [23, 28, 22], [21, 26, 29, 25]]
35: [[7, 2, 6], [17, 1, 15, 9, 20, 3, 4], [5, 29, 14], [16, 11, 8, 13, 18, 23, 19, 24, 22, 10, 12], [26], [21, 25, 27, 28]]
36: [[7, 2, 6, 17, 1, 15, 9, 20, 3, 5, 4, 10, 12], [28, 16], [11, 13], [8, 21, 19, 24, 18, 14], [23, 22], [25, 27, 26, 29]]
37: [[7, 2, 6], [17, 1], [15, 9, 20, 3, 5, 4, 25, 16, 12], [11, 29, 8, 13, 19, 10], [26, 18, 23, 22, 14], [21, 27, 24, 28]]
38: [[7, 2], [6], [17, 1, 15, 9, 20, 3, 4, 5, 26, 24, 10], [11, 8, 13, 19, 16, 12], [18, 23, 28, 22, 14], [21, 27, 25, 29]]
39: [[7, 2, 6, 17, 1, 15, 9], [20, 3, 4, 5, 14], [24, 11, 8, 29, 19, 13, 22, 10, 12], [16, 18], [23, 26], [21, 27, 25, 28]]
40: [[7, 2], [6, 17, 1], [15, 9, 20, 3, 4, 5, 25, 26, 14], [11, 10], [13, 29, 8, 18, 16, 19, 23, 28, 22, 12], [21, 27, 24]]
41: [[7, 2, 6, 17, 1, 15, 9, 20, 3, 4, 10], [5, 28], [16], [8, 24, 13, 18, 21, 11, 12], [19, 23, 22, 14], [25, 26, 27, 29]]
42: [[7, 2], [6, 17, 1, 15, 9, 20, 3, 4, 5, 28, 8, 10], [11], [13, 14], [19, 23, 18, 16, 24, 27, 22, 12], [21, 29, 26, 25]]
43: [[7, 2], [6, 17, 1, 15, 9, 20, 3, 4, 5, 28, 16, 10], [11], [18, 8, 13, 12], [27, 25, 23, 19, 22], [21, 24, 26, 29, 14]]
44: [[7, 2], [6, 17, 1, 15, 9, 20, 3, 4, 5, 25, 11], [8, 13, 10], [18, 19, 16, 22, 28, 12, 14], [23, 24, 21, 27, 26, 29]]
45: [[7, 2, 6, 17, 1, 15, 9, 20, 3, 4, 13, 12], [5, 24], [19, 8, 14], [26, 11, 18, 16, 28, 10], [23, 22], [21, 27, 25, 29]]
46: [[7, 2], [6], [17, 1, 15, 9, 20, 3, 4, 5, 26, 16, 10], [11, 8, 18, 13, 12], [24, 19, 23, 29, 22, 14], [21, 27, 25, 28]]
47: [[7, 2, 6, 17, 1, 15, 9, 20], [3], [4, 5, 25], [18, 11, 22], [13, 21, 8, 16, 19, 23, 28, 10, 12, 14], [24, 27, 26, 29]]
48: [[7, 2, 6, 17], [1, 15, 9, 20, 3, 4, 5, 22, 12], [8, 16, 11, 29, 18, 27, 21, 25, 10, 14], [19], [13], [23, 26, 24, 28]]
49: [[7, 2, 6, 17, 1, 15, 9], [20, 3, 5, 4, 14], [26, 24, 11, 13, 8, 16, 18, 19, 23, 22, 10], [28], [21, 27, 25, 29, 12]]
50: [[7, 2], [6, 17, 1], [15], [9, 20, 3, 4, 5, 25, 24, 8, 11, 21, 18, 10], [19, 13, 23, 27, 22, 12], [28, 16, 26, 29, 14]]
51: [[7, 2], [6, 17, 1, 15, 9, 20, 3], [4, 5, 25], [16, 11, 13, 28, 21, 18, 8, 10, 14], [23, 24, 22, 12], [19, 27, 26, 29]]
52: [[7, 2], [6, 17, 1, 15, 9, 20, 3, 4, 5, 24, 10, 12], [16, 11], [8, 13, 14], [27, 19, 23, 18, 25, 22], [21, 26, 28, 29]]
53: [[7, 2], [6, 17, 1, 15, 9, 20, 3], [4, 5, 24, 10], [11, 8, 18, 13, 16, 23, 27, 22, 12, 14], [19, 25], [21, 28, 26, 29]]
54: [[7, 2, 6, 17, 1, 15, 9, 20], [3], [4, 5, 11, 10], [24, 27], [8, 18, 29, 16, 13, 19, 28, 22, 14, 12], [21, 25, 26, 23]]
55: [[7, 2, 6, 17, 1], [15, 9, 20, 3, 4, 5, 10], [24, 19, 11], [8], [13, 18, 16, 23, 25, 26, 22, 12, 14], [21, 27, 28, 29]]
56: [[7, 2], [6, 17, 1, 15, 9, 20, 3, 4, 5, 25, 24, 10], [11, 8, 19, 29, 12], [13, 16], [23, 27, 22], [21, 18, 26, 28, 14]]
57: [[7, 2, 6, 17, 1, 15, 9], [20, 3, 4], [5, 12], [24, 11], [13, 8, 18, 19, 16, 27, 23, 26, 22, 10, 14], [21, 25, 29, 28]]
58: [[7, 2, 6, 17, 1, 15, 9, 20, 3, 4, 5], [11, 16], [27, 8, 25, 18, 21, 10], [13, 19], [23, 28], [24, 26, 29, 22, 12, 14]]
59: [[7, 2], [6, 17, 1, 15, 9, 20, 3, 4, 5, 28, 24, 10], [11, 8, 12], [16, 18], [27, 21, 13, 23, 19, 22, 14], [25, 26, 29]]
