0: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
17: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
18: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
19: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
20: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
21: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
22: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
23: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
24: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
25: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
26: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
27: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
28: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
29: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
30: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
31: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
32: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
33: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
34: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
35: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
36: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
37: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
38: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
39: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
40: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
41: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
42: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
43: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
44: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
45: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
46: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
47: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
48: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
49: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
50: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
51: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
52: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
53: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
54: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
55: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
56: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
57: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
58: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
59: [[19, 7, 1, 2, 6, 9, 18], [3, 4, 13, 11, 15, 12, 17, 8], [20, 24, 16, 22, 29, 23, 28, 10, 14], [5, 21, 26, 27, 25]]
