0: [[9, 6], [13, 19, 2, 1], [10, 3], [7, 11], [12, 5, 8, 14, 15, 20, 17], [22, 16, 18, 4], [21, 23, 24]]
39: [[19], [1, 4, 2, 10], [3, 7, 11, 12, 6], [5, 8, 9, 13], [14, 15, 20, 17, 22, 16, 18], [21, 23, 24]]
40: [[9, 6, 13, 1], [19], [4, 2, 10, 3], [7, 11], [12, 5, 8, 14, 15, 20, 17, 22], [16, 18, 21], [23, 24]]
41: [[9], [19], [4, 2, 10, 1], [3, 7, 6, 13], [11, 12, 5, 8, 14, 15, 20, 17, 22], [16, 18], [21, 23, 24]]
42: [[9, 13, 4, 6, 1], [2, 10, 19], [3, 7], [11, 12], [5, 8, 14, 15, 20, 17, 22], [16, 18], [21, 23, 24]]
43: [[19], [1, 4, 2, 10, 3, 7], [11, 12, 13], [5, 8, 9], [14, 15, 6], [20, 17, 22, 16, 18], [21, 23, 24]]
44: [[9, 6, 13], [1, 4, 2, 19], [10, 3], [7, 11, 12, 5, 8, 14, 15, 20, 17], [22, 16, 18, 21], [23, 24]]
45: [[13], [19, 4, 2, 10, 3, 7, 11, 12, 1], [5, 8], [14, 15, 20, 6], [17, 22, 9], [16, 18], [21, 23, 24]]
46: [[9, 13, 4, 2, 6, 1], [10, 3], [7, 11], [12, 5, 8, 14, 19], [15, 20], [17, 22, 16, 18, 21], [23, 24]]
47: [[9, 13, 4, 2, 6, 1], [10, 3], [7, 11, 12, 5, 8], [14, 15], [20, 17, 19], [22, 16, 18, 21], [23, 24]]
48: [[13, 19, 4, 2, 10, 1], [3, 7, 11, 12, 5, 8, 14, 6], [15, 20], [17, 22, 9], [16, 18, 21], [23, 24]]
49: [[9, 13, 4, 6, 1], [2, 10], [3, 7], [11, 12, 19], [5, 8, 14, 15], [20, 17, 22, 16, 18, 21], [23, 24]]
