0: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
15: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
16: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
17: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
18: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
19: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
20: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
21: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
22: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
23: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
24: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
25: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
26: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
27: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
28: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
29: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
30: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
31: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
32: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
33: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
34: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
35: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
36: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
37: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
38: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
39: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
40: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
41: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
42: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
43: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
44: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
45: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
46: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
47: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
48: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
49: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
50: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
51: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
52: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
53: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
54: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
55: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
56: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
57: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
58: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
59: [[17, 11, 15], [3, 5, 1, 6, 10, 14], [4, 8, 12], [7, 9, 24, 13], [2, 18, 16, 19, 22], [28, 23, 20, 25], [29, 26, 21, 27]]
