0: [[2, 22], [5, 9, 10, 6, 14, 4], [7, 12, 11], [13, 8, 15], [16, 18, 3], [17, 19, 20, 1], [23, 21, 24]]
39: [[2, 4, 1, 22, 3, 5, 9, 10, 6], [14, 7, 12, 11], [13, 8, 15, 16, 18, 17, 19, 20, 23, 21, 24]]
40: [[2], [22, 5, 9, 4], [10, 6, 3], [14, 7], [12, 11, 13, 8, 1], [15, 16, 18, 17, 19, 20, 23, 21, 24]]
41: [[2, 4], [22], [5], [9, 10], [6, 14, 7], [12, 11, 13, 1], [8, 15], [16, 18, 17, 3], [19, 20, 23, 21, 24]]
42: [[2, 22], [5], [9, 10], [6, 14, 7, 4], [12, 11, 13, 1], [8, 15], [16, 18, 3], [17, 19], [20, 23, 21], [24]]
43: [[2], [22], [5, 9, 10, 6, 4, 3], [14, 7, 12], [11, 13, 8, 1], [15, 16, 18, 17, 19, 20, 23, 21, 24]]
44: [[2, 4, 1, 22], [3, 5, 9, 10], [6, 14], [7, 12, 11], [13, 8, 15, 16, 18, 17, 19, 20, 23, 21, 24]]
45: [[2], [22, 5, 9, 10, 4, 1], [6, 14, 7, 12], [11, 13], [8, 15, 16, 3], [18, 17, 19, 20, 23, 21, 24]]
46: [[2], [22], [5, 9], [10, 6, 4, 1, 3], [14, 7, 12], [11, 13], [8, 15, 16], [18, 17, 19, 20, 23, 21, 24]]
47: [[2, 4, 1, 22], [3, 5], [9, 10], [6, 14, 7], [12, 11, 13, 8, 15, 16, 18, 17, 19, 20, 23, 21, 24]]
48: [[2, 4], [1, 22, 3], [5, 9, 10, 6, 14, 7, 12, 11, 13, 8, 15, 16, 18, 17, 19, 20, 23, 21, 24]]
49: [[2, 4, 1], [22, 3], [5, 9, 10], [6, 14, 7, 12], [11, 13, 8, 15, 16, 18, 17, 19, 20, 23, 21, 24]]
