0: [[19, 4], [2, 1, 9], [18, 15], [3, 5, 6], [7, 11], [8, 10, 14], [13, 12, 20], [17, 16], [22], [21, 23, 24]]
25: [[2], [18], [15, 3], [5, 6], [7, 11, 8], [10, 14, 13], [12, 20], [17, 19, 1, 9], [16, 22, 21, 4], [23, 24]]
26: [[2], [18], [15, 3], [5, 6, 9], [7, 11], [8, 10, 19], [14, 13, 1], [12, 20, 17], [16, 22, 4], [21], [23, 24]]
27: [[19, 4], [2, 1], [9, 18], [15, 3], [5, 6], [7, 11, 8], [10, 14, 13], [12, 20], [17, 16, 22, 21], [23, 24]]
28: [[2], [9, 18], [15, 3], [5, 6], [7, 11, 8], [10, 14, 13], [12, 20, 17, 19, 1], [16, 22, 21, 4], [23, 24]]
29: [[2, 18], [15, 3, 4], [5, 6, 9], [7, 11], [8, 10, 19], [14, 13], [12, 20, 1], [17, 16], [22, 21], [23, 24]]
30: [[2], [18], [15, 3, 4], [5, 6, 9], [7, 11], [8, 10, 19], [14, 13], [12, 20, 1], [17, 16], [22, 21], [23, 24]]
31: [[2], [18], [15, 3, 4], [5, 6, 9], [7, 11], [8, 10, 19], [14, 13], [12, 20, 1], [17, 16], [22, 21], [23, 24]]
32: [[19, 4], [2, 1, 9], [18, 15], [3, 5, 6], [7, 11, 8], [10, 14], [13, 12, 20, 17, 16, 22, 21, 23, 24]]
33: [[2], [18], [15, 3, 4], [5, 6, 7], [11, 8, 9], [10, 19, 1], [14, 13], [12, 20], [17, 16], [22, 21, 23, 24]]
34: [[2], [18], [15], [3, 5, 6, 4], [7, 11], [8, 10, 19], [14, 13, 12], [20, 17, 16, 22, 1, 9], [21, 23], [24]]
35: [[2], [9, 18], [15, 3, 4], [5, 6], [7, 11, 8, 10], [14, 13], [12, 20, 17, 16, 19, 1], [22, 21], [23, 24]]
36: [[2], [18], [15, 3], [5, 6], [7, 11], [8, 10, 19], [14], [13, 12], [20, 17, 1, 9], [16, 22, 4], [21, 23], [24]]
37: [[19, 4], [2, 1, 9], [18, 15], [3, 5, 6, 7, 11], [8, 10, 14], [13, 12], [20, 17, 16, 22, 21, 23, 24]]
38: [[2], [9, 18], [15, 3, 5, 4], [6, 7, 11, 8, 10], [14, 13], [12, 20, 17, 19, 1], [16, 22, 21], [23, 24]]
39: [[19, 4], [2, 1, 9], [18, 15], [3], [5, 6], [7, 11], [8, 10, 14], [13, 12], [20, 17], [16, 22, 21, 23], [24]]
40: [[19, 4], [2, 1, 9, 18], [15, 3], [5, 6], [7, 11], [8, 10, 14], [13, 12, 20, 17], [16, 22, 21, 23, 24]]
41: [[19, 4], [2, 1], [9, 18], [15, 3], [5, 6, 7, 11], [8, 10], [14, 13], [12, 20, 17, 16], [22, 21], [23, 24]]
42: [[19, 4], [2, 1, 9], [18, 15, 3], [5, 6, 7], [11], [8, 10, 14, 13], [12, 20, 17, 16, 22, 21, 23, 24]]
43: [[19, 4], [2, 1], [9, 18], [15, 3], [5, 6, 7], [11, 8], [10, 14], [13, 12], [20, 17], [16, 22, 21, 23, 24]]
44: [[19], [2, 1, 9], [18], [15, 3, 4], [5, 6], [7, 11, 8, 10, 14, 13, 12, 20, 17, 16, 22, 21, 23, 24]]
45: [[2], [9, 18], [15, 3], [5, 6, 4], [7, 11], [8, 10, 19, 1], [14, 13, 12, 20, 17, 16, 22, 21, 23, 24]]
46: [[2], [9, 18], [15, 3], [5, 6, 4], [7, 11], [8, 10, 19, 1], [14, 13, 12, 20, 17, 16, 22, 21, 23, 24]]
47: [[2], [9, 18], [15, 3, 5, 4], [6, 7, 11, 8], [10, 14, 13, 12, 20, 17, 16, 22, 21, 23, 24, 19, 1]]
48: [[19], [4, 2, 1, 9, 18, 15, 3, 5, 6, 7, 11, 8, 10, 14, 13, 12, 20, 17, 16, 22, 21, 23], [24]]
49: [[19, 4], [2, 1, 9, 18], [15, 3], [5], [6, 7], [11], [8, 10, 14, 13], [12, 20, 17, 16, 22, 21, 23, 24]]
