0: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 16, 17, 10, 14], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
40: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
41: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
42: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
43: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
44: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
45: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
46: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
47: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
48: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
49: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 16, 17, 10, 14], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
50: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 16, 17, 10, 14], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
51: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 16, 17, 10, 14], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
52: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 16, 17, 10, 14], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
53: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 10, 14, 16, 17], [18, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
54: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 24, 16, 10, 14], [18, 19, 17], [23, 20, 25, 28], [21, 26, 27]]
55: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 28, 16, 10, 14], [18, 19, 24], [23, 20, 25, 17], [21, 26, 27]]
56: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 16, 10, 18, 14], [17, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
57: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 16, 10, 14, 18], [17, 19, 24], [23, 20, 25, 28], [21, 26, 27]]
58: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 26, 19, 16, 10], [18, 14, 24], [23, 20, 25, 28], [21, 17, 27]]
59: [[2, 9, 11, 1, 22], [6, 5], [3, 4, 8, 12], [7, 15, 13, 29, 24, 28, 26, 10], [18, 19, 14], [23, 20, 25, 16], [21, 17, 27]]
